Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Chet Holmgren,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jared Butler,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
21,21,,2022-11-28,31-150,OKC,@,NOP,L (-4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
22,22,,2022-11-30,31-152,OKC,,SAS,W (+8),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
23,23,,2022-12-03,31-155,OKC,@,MIN,W (+7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
24,24,15,2022-12-05,31-157,OKC,@,ATL,W (+7),0,14.016666666666667,2.0,3.0,.667,1.0,2.0,.500,0,0,,0,2,2,3,1,0,0,0,5,7.4,+15,1.0,1.0,1.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
25,25,16,2022-12-07,31-159,OKC,@,MEM,L (-21),0,11.966666666666667,1.0,2.0,.500,1.0,2.0,.500,0,0,,1,2,3,0,0,0,0,1,3,2.9,+3,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
26,26,17,2022-12-10,31-162,OKC,@,CLE,L (-8),0,7.75,0.0,0.0,,0.0,0.0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,-9,0.0,0.0,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
27,27,,2022-12-12,31-164,OKC,@,DAL,L (-7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
28,28,18,2022-12-14,31-166,OKC,,MIA,L (-2),0,9.866666666666667,2.0,3.0,.667,1.0,2.0,.500,0,0,,0,3,3,0,0,0,0,2,5,3.8,-1,1.0,1.0,1.0,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
29,29,19,2022-12-16,31-168,OKC,,MIN,L (-2),0,10.966666666666667,1.0,4.0,.250,0.0,2.0,.000,0,0,,0,3,3,1,1,1,0,0,2,2.9,+11,2.0,1.0,0.5,37,21,0,27,18,37,39,0,20,17,38,38,19,36,14,40,39,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.5285714285714286,0.6176470588235294,,0.627906976744186,0.45,0.5068493150684932,0.52,0.0,0.4081632653061224,0.3953488372093023,0.5,0.7169811320754716,0.4634146341463415,0.4864864864864865,0.358974358974359,0.5882352941176471,0.582089552238806
