Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Kenrich Williams,Lindy Waters III,Luguentz Dort,Mike Muscala,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,8.0,2022-11-09,20-030,OKC,MIL,1.0,44.16666666666666,9.0,19.0,0.474,0.0,4.0,0.0,0.0,2.0,0.0,5.0,10.0,15.0,6.0,0.0,0.0,1.0,1.0,18.0,16.8,-8.0,15.0,9.0,0.6,64,29,33,20,68,72,48,39,48,38,69,38,36,64,62,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9142857142857144,0.8529411764705882,,0.7674418604651163,0.5,0.9315068493150684,0.96,0.0,0.979591836734694,0.9069767441860463,0.9056603773584906,0.926829268292683,0.9324324324324323,0.6031746031746031,0.9230769230769232,0.9411764705882352,0.9253731343283582,17,8,,57.0,9.0,,0.2982456140350877,0.8888888888888888,17,17.0,70.0,4.117647058823529,16.8,83.30000000000001,4.9,17.1,4.0,1.2,1.5,-0.3,0.1308003737153534,0.533,0.209,0.13,1.9,1.3,L (-4),L (-4)
12.0,9.0,2022-11-11,20-032,OKC,TOR,1.0,22.616666666666667,6.0,9.0,0.667,1.0,1.0,1.0,2.0,2.0,1.0,3.0,6.0,9.0,5.0,2.0,0.0,7.0,3.0,15.0,12.3,8.0,8.0,5.0,0.625,64,29,33,20,68,72,48,39,48,38,69,38,36,64,62,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9142857142857144,0.8529411764705882,,0.7674418604651163,0.5,0.9315068493150684,0.96,0.0,0.979591836734694,0.9069767441860463,0.9056603773584906,0.926829268292683,0.9324324324324323,0.6031746031746031,0.9230769230769232,0.9411764705882352,0.9253731343283582,17,8,,57.0,9.0,,0.2982456140350877,0.8888888888888888,17,13.0,68.0,4.0,11.5,77.9,4.582352941176471,17.1,4.0,1.2,1.5,-0.3,0.1308003737153534,0.533,0.209,0.13,1.9,1.3,W (+19),W (+19)
13.0,10.0,2022-11-13,20-034,OKC,NYK,1.0,36.68333333333333,10.0,14.0,0.714,2.0,3.0,0.667,2.0,2.0,1.0,1.0,9.0,10.0,12.0,0.0,0.0,3.0,1.0,24.0,26.6,15.0,11.0,8.0,0.7272727272727273,64,29,33,20,68,72,48,39,48,38,69,38,36,64,62,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9142857142857144,0.8529411764705882,,0.7674418604651163,0.5,0.9315068493150684,0.96,0.0,0.979591836734694,0.9069767441860463,0.9056603773584906,0.926829268292683,0.9324324324324323,0.6031746031746031,0.9230769230769232,0.9411764705882352,0.9253731343283582,17,8,,57.0,9.0,,0.2982456140350877,0.8888888888888888,17,27.0,67.0,3.941176470588236,25.8,82.99999999999999,4.88235294117647,17.1,4.0,1.2,1.5,-0.3,0.1308003737153534,0.533,0.209,0.13,1.9,1.3,W (+10),W (+10)
14.0,11.0,2022-11-14,20-035,OKC,BOS,1.0,33.483333333333334,6.0,17.0,0.353,1.0,6.0,0.167,3.0,3.0,1.0,0.0,7.0,7.0,4.0,0.0,1.0,7.0,3.0,16.0,3.9,6.0,11.0,5.0,0.4545454545454545,64,29,33,20,68,72,48,39,48,38,69,38,36,64,62,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9142857142857144,0.8529411764705882,,0.7674418604651163,0.5,0.9315068493150684,0.96,0.0,0.979591836734694,0.9069767441860463,0.9056603773584906,0.926829268292683,0.9324324324324323,0.6031746031746031,0.9230769230769232,0.9411764705882352,0.9253731343283582,17,8,,57.0,9.0,,0.2982456140350877,0.8888888888888888,17,1.0,66.0,3.882352941176471,2.700000000000003,75.9,4.464705882352941,17.1,4.0,1.2,1.5,-0.3,0.1308003737153534,0.533,0.209,0.13,1.9,1.3,L (-4),L (-4)
15.0,12.0,2022-11-16,20-037,OKC,WAS,1.0,20.466666666666665,5.0,11.0,0.455,1.0,3.0,0.333,0.0,0.0,,0.0,6.0,6.0,2.0,0.0,0.0,2.0,4.0,11.0,4.9,-23.0,8.0,4.0,0.5,64,29,33,20,68,72,48,39,48,38,69,38,36,64,62,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9142857142857144,0.8529411764705882,,0.7674418604651163,0.5,0.9315068493150684,0.96,0.0,0.979591836734694,0.9069767441860463,0.9056603773584906,0.926829268292683,0.9324324324324323,0.6031746031746031,0.9230769230769232,0.9411764705882352,0.9253731343283582,17,8,,57.0,9.0,,0.2982456140350877,0.8888888888888888,17,6.0,69.0,4.0588235294117645,4.9,86.5,5.088235294117647,17.1,4.0,1.2,1.5,-0.3,0.1308003737153534,0.533,0.209,0.13,1.9,1.3,W (+1),W (+1)
16.0,13.0,2022-11-18,20-039,OKC,MEM,1.0,36.833333333333336,10.0,20.0,0.5,0.0,4.0,0.0,0.0,1.0,0.0,1.0,5.0,6.0,11.0,0.0,1.0,3.0,4.0,20.0,15.6,-13.0,16.0,10.0,0.625,64,29,33,20,68,72,48,39,48,38,69,38,36,64,62,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9142857142857144,0.8529411764705882,,0.7674418604651163,0.5,0.9315068493150684,0.96,0.0,0.979591836734694,0.9069767441860463,0.9056603773584906,0.926829268292683,0.9324324324324323,0.6031746031746031,0.9230769230769232,0.9411764705882352,0.9253731343283582,17,8,,57.0,9.0,,0.2982456140350877,0.8888888888888888,17,14.0,67.0,3.941176470588236,15.6,67.79999999999998,3.988235294117646,17.1,4.0,1.2,1.5,-0.3,0.1308003737153534,0.533,0.209,0.13,1.9,1.3,L (-11),L (-11)
17.0,14.0,2022-11-21,20-042,OKC,NYK,1.0,33.75,8.0,15.0,0.533,0.0,2.0,0.0,2.0,2.0,1.0,3.0,6.0,9.0,7.0,1.0,0.0,3.0,1.0,18.0,17.1,-2.0,13.0,8.0,0.6153846153846154,64,29,33,20,68,72,48,39,48,38,69,38,36,64,62,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9142857142857144,0.8529411764705882,,0.7674418604651163,0.5,0.9315068493150684,0.96,0.0,0.979591836734694,0.9069767441860463,0.9056603773584906,0.926829268292683,0.9324324324324323,0.6031746031746031,0.9230769230769232,0.9411764705882352,0.9253731343283582,17,8,,57.0,9.0,,0.2982456140350877,0.8888888888888888,17,15.0,40.0,2.3529411764705883,16.299999999999997,59.10000000000002,3.4764705882352955,17.1,4.0,1.2,1.5,-0.3,0.1308003737153534,0.533,0.209,0.13,1.9,1.3,L (-10),L (-10)
18.0,15.0,2022-11-23,20-044,OKC,DEN,1.0,28.633333333333333,5.0,12.0,0.417,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,4.0,6.0,0.0,0.0,3.0,1.0,12.0,8.0,-12.0,8.0,4.0,0.5,64,29,33,20,68,72,48,39,48,38,69,38,36,64,62,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9142857142857144,0.8529411764705882,,0.7674418604651163,0.5,0.9315068493150684,0.96,0.0,0.979591836734694,0.9069767441860463,0.9056603773584906,0.926829268292683,0.9324324324324323,0.6031746031746031,0.9230769230769232,0.9411764705882352,0.9253731343283582,17,8,,57.0,9.0,,0.2982456140350877,0.8888888888888888,17,5.0,63.0,3.7058823529411766,7.6,81.10000000000001,4.770588235294119,17.1,4.0,1.2,1.5,-0.3,0.1308003737153534,0.533,0.209,0.13,1.9,1.3,L (-5),L (-5)
19.0,16.0,2022-11-25,20-046,OKC,CHI,1.0,37.5,5.0,13.0,0.385,0.0,1.0,0.0,0.0,0.0,,2.0,11.0,13.0,9.0,0.0,1.0,5.0,0.0,10.0,9.6,-2.0,12.0,5.0,0.4166666666666667,64,29,33,20,68,72,48,39,48,38,69,38,36,64,62,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9142857142857144,0.8529411764705882,,0.7674418604651163,0.5,0.9315068493150684,0.96,0.0,0.979591836734694,0.9069767441860463,0.9056603773584906,0.926829268292683,0.9324324324324323,0.6031746031746031,0.9230769230769232,0.9411764705882352,0.9253731343283582,17,8,,57.0,9.0,,0.2982456140350877,0.8888888888888888,17,15.0,44.0,2.588235294117647,9.6,63.4,3.7294117647058815,17.1,4.0,1.2,1.5,-0.3,0.1308003737153534,0.533,0.209,0.13,1.9,1.3,W (+4),W (+4)
20.0,17.0,2022-11-26,20-047,OKC,HOU,1.0,28.05,7.0,14.0,0.5,0.0,1.0,0.0,4.0,7.0,0.571,3.0,2.0,5.0,2.0,1.0,0.0,4.0,4.0,18.0,9.3,-26.0,13.0,7.0,0.5384615384615384,64,29,33,20,68,72,48,39,48,38,69,38,36,64,62,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9142857142857144,0.8529411764705882,,0.7674418604651163,0.5,0.9315068493150684,0.96,0.0,0.979591836734694,0.9069767441860463,0.9056603773584906,0.926829268292683,0.9324324324324323,0.6031746031746031,0.9230769230769232,0.9411764705882352,0.9253731343283582,17,8,,57.0,9.0,,0.2982456140350877,0.8888888888888888,17,1.0,53.0,3.117647058823529,7.700000000000001,61.5,3.6176470588235294,17.1,4.0,1.2,1.5,-0.3,0.1308003737153534,0.533,0.209,0.13,1.9,1.3,L (-13),L (-13)
21.0,18.0,2022-11-28,20-049,OKC,NOP,1.0,28.116666666666667,3.0,9.0,0.333,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,3.0,4.0,7.0,0.9,-5.0,8.0,3.0,0.375,64,29,33,20,68,72,48,39,48,38,69,38,36,64,62,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9142857142857144,0.8529411764705882,,0.7674418604651163,0.5,0.9315068493150684,0.96,0.0,0.979591836734694,0.9069767441860463,0.9056603773584906,0.926829268292683,0.9324324324324323,0.6031746031746031,0.9230769230769232,0.9411764705882352,0.9253731343283582,17,8,,57.0,9.0,,0.2982456140350877,0.8888888888888888,17,1.0,44.0,2.588235294117647,0.4999999999999969,59.29999999999998,3.488235294117646,17.1,4.0,1.2,1.5,-0.3,0.1308003737153534,0.533,0.209,0.13,1.9,1.3,,
22.0,19.0,2022-11-30,20-051,OKC,SAS,1.0,32.56666666666667,7.0,18.0,0.389,0.0,1.0,0.0,0.0,0.0,,5.0,9.0,14.0,5.0,2.0,0.0,0.0,1.0,14.0,15.5,6.0,17.0,7.0,0.4117647058823529,64,29,33,20,68,72,48,39,48,38,69,38,36,64,62,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9142857142857144,0.8529411764705882,,0.7674418604651163,0.5,0.9315068493150684,0.96,0.0,0.979591836734694,0.9069767441860463,0.9056603773584906,0.926829268292683,0.9324324324324323,0.6031746031746031,0.9230769230769232,0.9411764705882352,0.9253731343283582,17,8,,57.0,9.0,,0.2982456140350877,0.8888888888888888,17,17.0,57.0,3.3529411764705883,15.5,71.39999999999999,4.199999999999999,17.1,4.0,1.2,1.5,-0.3,0.1308003737153534,0.533,0.209,0.13,1.9,1.3,L (-4),L (-4)
23.0,20.0,2022-12-03,20-054,OKC,MIN,1.0,33.06666666666667,8.0,16.0,0.5,3.0,7.0,0.429,2.0,3.0,0.667,1.0,11.0,12.0,7.0,2.0,2.0,4.0,4.0,21.0,19.3,8.0,9.0,5.0,0.5555555555555556,64,29,33,20,68,72,48,39,48,38,69,38,36,64,62,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9142857142857144,0.8529411764705882,,0.7674418604651163,0.5,0.9315068493150684,0.96,0.0,0.979591836734694,0.9069767441860463,0.9056603773584906,0.926829268292683,0.9324324324324323,0.6031746031746031,0.9230769230769232,0.9411764705882352,0.9253731343283582,17,8,,57.0,9.0,,0.2982456140350877,0.8888888888888888,17,21.0,58.0,3.411764705882353,18.5,89.00000000000001,5.23529411764706,17.1,4.0,1.2,1.5,-0.3,0.1308003737153534,0.533,0.209,0.13,1.9,1.3,W (+8),W (+8)
24.0,21.0,2022-12-05,20-056,OKC,ATL,1.0,27.9,5.0,12.0,0.417,2.0,4.0,0.5,5.0,5.0,1.0,0.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,17.0,15.2,6.0,8.0,3.0,0.375,64,29,33,20,68,72,48,39,48,38,69,38,36,64,62,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9142857142857144,0.8529411764705882,,0.7674418604651163,0.5,0.9315068493150684,0.96,0.0,0.979591836734694,0.9069767441860463,0.9056603773584906,0.926829268292683,0.9324324324324323,0.6031746031746031,0.9230769230769232,0.9411764705882352,0.9253731343283582,17,8,,57.0,9.0,,0.2982456140350877,0.8888888888888888,17,10.0,58.0,3.411764705882353,13.2,68.19999999999999,4.011764705882352,17.1,4.0,1.2,1.5,-0.3,0.1308003737153534,0.533,0.209,0.13,1.9,1.3,W (+7),W (+7)
25.0,22.0,2022-12-07,20-058,OKC,MEM,1.0,26.83333333333333,4.0,13.0,0.308,2.0,3.0,0.667,0.0,0.0,,3.0,7.0,10.0,4.0,1.0,0.0,3.0,0.0,10.0,7.5,-23.0,10.0,2.0,0.2,64,29,33,20,68,72,48,39,48,38,69,38,36,64,62,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9142857142857144,0.8529411764705882,,0.7674418604651163,0.5,0.9315068493150684,0.96,0.0,0.979591836734694,0.9069767441860463,0.9056603773584906,0.926829268292683,0.9324324324324323,0.6031746031746031,0.9230769230769232,0.9411764705882352,0.9253731343283582,17,8,,57.0,9.0,,0.2982456140350877,0.8888888888888888,17,9.0,34.0,2.0,7.499999999999998,45.900000000000006,2.7,17.1,4.0,1.2,1.5,-0.3,0.1308003737153534,0.533,0.209,0.13,1.9,1.3,W (+7),W (+7)
