Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Shared Games with Xavier Moon,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon
12,13,7,2022-11-12,23-030,LAC,,BRK,L (-15),0,2.35,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,0.0,0.0,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
13,14,8,2022-11-14,23-032,LAC,@,HOU,W (+16),0,5.083333333333333,2.0,2.0,1.000,0.0,0.0,,2,2,1.000,2,1,3,0,0,1,0,0,6,7.8,-3,2.0,2.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
14,15,,2022-11-15,23-033,LAC,@,DAL,L (-2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
15,16,9,2022-11-17,23-035,LAC,,DET,W (+5),0,5.15,2.0,2.0,1.000,0.0,0.0,,0,0,,1,1,2,0,0,0,1,1,4,3.0,+1,2.0,2.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
16,17,10,2022-11-19,23-037,LAC,,SAS,W (+22),0,9.65,2.0,2.0,1.000,0.0,0.0,,2,4,.500,0,2,2,0,0,0,0,5,6,3.2,-5,2.0,2.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
17,18,,2022-11-21,23-039,LAC,,UTA,W (+7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
18,19,11,2022-11-23,23-041,LAC,@,GSW,L (-17),0,12.35,4.0,7.0,.571,0.0,0.0,,2,6,.333,3,3,6,0,0,0,0,1,10,7.7,+4,7.0,4.0,0.5714285714285714,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
19,20,12,2022-11-25,23-043,LAC,,DEN,L (-10),0,5.866666666666667,1.0,1.0,1.000,0.0,0.0,,1,6,.167,0,1,1,0,0,0,0,0,3,1.0,+9,1.0,1.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
21,21,13,2022-11-27,23-045,LAC,,IND,W (+14),0,11.0,1.0,2.0,.500,0.0,0.0,,8,12,.667,2,1,3,1,0,0,2,2,10,7.0,-1,2.0,1.0,0.5,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
22,22,14,2022-11-29,23-047,LAC,@,POR,W (+6),0,3.3833333333333333,0.0,1.0,.000,0.0,0.0,,0,0,,0,1,1,0,0,0,0,2,0,-1.2,-2,1.0,0.0,0.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
23,23,15,2022-11-30,23-048,LAC,@,UTA,L (-13),0,3.4833333333333334,0.0,2.0,.000,0.0,0.0,,0,0,,1,2,3,0,1,0,0,0,0,0.9,+1,2.0,0.0,0.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
24,24,16,2022-12-03,23-051,LAC,,SAC,L (-27),0,7.65,1.0,3.0,.333,0.0,0.0,,3,4,.750,3,3,6,0,0,1,0,0,5,6.6,+2,3.0,1.0,0.3333333333333333,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
25,25,17,2022-12-05,23-053,LAC,@,CHO,W (+2),0,10.0,4.0,5.0,.800,0.0,0.0,,0,0,,2,5,7,0,0,1,1,1,8,8.3,+8,5.0,4.0,0.8,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
26,26,18,2022-12-07,23-055,LAC,@,ORL,L (-5),0,15.183333333333334,3.0,6.0,.500,0.0,0.0,,1,4,.250,5,3,8,0,0,3,0,1,7,8.9,-3,6.0,3.0,0.5,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
27,27,19,2022-12-08,23-056,LAC,@,MIA,L (-5),0,5.433333333333334,1.0,1.0,1.000,0.0,0.0,,0,0,,0,3,3,0,0,0,0,1,2,2.2,-3,1.0,1.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
28,28,20,2022-12-10,23-058,LAC,@,WAS,W (+7),0,6.733333333333333,2.0,2.0,1.000,0.0,0.0,,0,0,,1,0,1,0,0,0,0,0,4,4.1,-4,2.0,2.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
29,29,21,2022-12-12,23-060,LAC,,BOS,W (+20),0,3.6166666666666667,1.0,2.0,.500,0.0,0.0,,0,0,,1,2,3,0,0,0,0,0,2,2.3,-1,2.0,1.0,0.5,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
30,30,22,2022-12-14,23-062,LAC,,MIN,W (+11),0,2.6,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-5,0.0,0.0,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
31,31,23,2022-12-15,23-063,LAC,,PHO,L (-16),1,23.233333333333334,2.0,6.0,.333,0.0,0.0,,1,3,.333,6,6,12,0,0,1,2,2,5,4.7,-2,6.0,2.0,0.3333333333333333,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
32,32,24,2022-12-17,23-065,LAC,,WAS,W (+9),0,4.3,0.0,0.0,,0.0,0.0,,0,0,,1,0,1,1,0,0,1,0,0,0.4,-7,0.0,0.0,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
33,33,25,2022-12-21,23-069,LAC,,CHO,W (+21),0,3.35,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-3,0.0,0.0,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
34,34,,2022-12-23,23-071,LAC,@,PHI,L (-5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
35,35,26,2022-12-26,23-074,LAC,@,DET,W (+11),0,3.1333333333333333,1.0,1.0,1.000,0.0,0.0,,1,1,1.000,0,3,3,0,1,0,0,1,3,4.2,+12,1.0,1.0,1.0,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
36,36,,2022-12-27,23-075,LAC,@,TOR,W (+11),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,28,16,32,10,26,16,19,29,9,32,24,19,28,21,33,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.56,0.7272727272727273,0.4210526315789473,0.7142857142857143,0.7647058823529411,0.3076923076923077,0.3220338983050847,0.4461538461538462,0.4090909090909091,0.4102564102564102,0.4,0.3392857142857143,0.4117647058823529,0.4375,0.4074074074074074,0.0
