Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Robert Covington,Shared Games with Terance Mann,Shared Games with Xavier Moon,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon
10,11,11,2022-11-07,32-205,LAC,,CLE,W (+2),1,36.233333333333334,6.0,11.0,.545,2.0,5.0,.400,4,4,1.000,0,2,2,7,0,0,4,4,18,12.6,-2,6.0,4.0,0.6666666666666666,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
11,12,12,2022-11-09,32-207,LAC,,LAL,W (+13),1,24.033333333333335,7.0,14.0,.500,0.0,2.0,.000,0,0,,0,0,0,3,1,0,4,5,14,4.1,+2,12.0,7.0,0.5833333333333334,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
12,13,13,2022-11-12,32-210,LAC,,BRK,L (-15),1,33.333333333333336,2.0,5.0,.400,2.0,5.0,.400,0,0,,1,5,6,6,1,0,3,2,6,6.9,-18,0.0,0.0,,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
13,14,14,2022-11-14,32-212,LAC,@,HOU,W (+16),1,22.8,7.0,11.0,.636,3.0,7.0,.429,0,0,,0,2,2,6,0,0,3,4,17,12.3,+7,4.0,4.0,1.0,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
14,15,15,2022-11-15,32-213,LAC,@,DAL,L (-2),1,25.116666666666667,3.0,7.0,.429,0.0,3.0,.000,0,0,,0,4,4,2,1,0,2,0,6,3.9,+6,4.0,3.0,0.75,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
15,16,16,2022-11-17,32-215,LAC,,DET,W (+5),1,34.6,7.0,12.0,.583,3.0,5.0,.600,6,6,1.000,0,3,3,3,0,1,2,3,23,17.9,+9,7.0,4.0,0.5714285714285714,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
16,17,17,2022-11-19,32-217,LAC,,SAS,W (+22),1,30.15,8.0,11.0,.727,4.0,4.0,1.000,0,1,.000,0,3,3,4,1,0,1,1,20,18.4,+22,7.0,4.0,0.5714285714285714,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
17,18,18,2022-11-21,32-219,LAC,,UTA,W (+7),1,36.333333333333336,10.0,20.0,.500,3.0,7.0,.429,4,4,1.000,1,2,3,4,0,0,0,4,27,19.5,+4,13.0,7.0,0.5384615384615384,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
18,19,19,2022-11-23,32-221,LAC,@,GSW,L (-17),1,22.433333333333334,4.0,9.0,.444,1.0,3.0,.333,2,2,1.000,0,1,1,6,1,0,5,4,11,5.2,-8,6.0,3.0,0.5,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
19,20,20,2022-11-25,32-223,LAC,,DEN,L (-10),1,31.166666666666668,4.0,8.0,.500,1.0,2.0,.500,0,0,,0,5,5,8,0,0,4,1,9,7.7,-13,6.0,3.0,0.5,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
21,21,21,2022-11-27,32-225,LAC,,IND,W (+14),1,25.966666666666665,2.0,10.0,.200,1.0,5.0,.200,0,0,,0,4,4,4,2,0,2,0,5,2.8,+7,5.0,1.0,0.2,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
22,22,22,2022-11-29,32-227,LAC,@,POR,W (+6),1,41.083333333333336,9.0,23.0,.391,2.0,7.0,.286,4,4,1.000,3,4,7,12,0,1,3,1,24,20.5,+17,16.0,7.0,0.4375,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
23,23,23,2022-11-30,32-228,LAC,@,UTA,L (-13),1,24.783333333333335,5.0,10.0,.500,2.0,6.0,.333,3,4,.750,0,1,1,3,2,0,2,4,15,10.4,-7,4.0,3.0,0.75,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
24,24,24,2022-12-03,32-231,LAC,,SAC,L (-27),1,23.183333333333334,1.0,12.0,.083,1.0,4.0,.250,3,5,.600,1,0,1,0,0,0,5,1,6,-7.5,-13,8.0,0.0,0.0,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
25,25,25,2022-12-05,32-233,LAC,@,CHO,W (+2),1,31.933333333333334,5.0,13.0,.385,3.0,7.0,.429,0,0,,1,1,2,2,0,0,2,2,13,5.5,-10,6.0,2.0,0.3333333333333333,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
26,26,26,2022-12-07,32-235,LAC,@,ORL,L (-5),1,31.233333333333334,5.0,20.0,.250,2.0,8.0,.250,3,3,1.000,1,0,1,3,0,0,2,1,15,3.4,-13,12.0,3.0,0.25,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
27,27,27,2022-12-08,32-236,LAC,@,MIA,L (-5),1,34.0,6.0,15.0,.400,4.0,6.0,.667,4,4,1.000,2,3,5,3,0,0,4,4,20,10.7,-7,9.0,2.0,0.2222222222222222,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
28,28,,2022-12-10,32-238,LAC,@,WAS,W (+7),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
29,29,28,2022-12-12,32-240,LAC,,BOS,W (+20),1,26.783333333333335,3.0,8.0,.375,1.0,4.0,.250,0,0,,0,2,2,2,2,0,2,2,7,3.8,+24,4.0,2.0,0.5,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
30,30,29,2022-12-14,32-242,LAC,,MIN,W (+11),1,25.65,4.0,9.0,.444,1.0,2.0,.500,1,1,1.000,0,3,3,1,2,0,1,4,10,6.3,0,7.0,3.0,0.4285714285714285,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
31,31,,2022-12-15,32-243,LAC,,PHO,L (-16),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
32,32,,2022-12-17,32-245,LAC,,WAS,W (+9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
33,33,30,2022-12-21,32-249,LAC,,CHO,W (+21),1,21.75,3.0,5.0,.600,2.0,4.0,.500,2,2,1.000,0,2,2,3,1,0,2,2,10,8.6,+22,1.0,1.0,1.0,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
34,34,31,2022-12-23,32-251,LAC,@,PHI,L (-5),1,25.166666666666668,2.0,6.0,.333,0.0,4.0,.000,0,0,,1,1,2,2,1,0,1,1,4,2.6,-13,2.0,2.0,1.0,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
35,35,32,2022-12-26,32-254,LAC,@,DET,W (+11),1,19.1,5.0,6.0,.833,2.0,2.0,1.000,2,2,1.000,0,1,1,2,1,0,2,5,14,10.5,+9,4.0,3.0,0.75,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
36,36,33,2022-12-27,32-255,LAC,@,TOR,W (+11),1,31.433333333333334,9.0,15.0,.600,2.0,6.0,.333,0,0,,0,1,1,3,0,0,1,2,20,13.7,+6,9.0,7.0,0.7777777777777778,34,15,52,10,29,28,32,45,28,12,49,45,40,32,51,0,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,48.0,81.0,4.0,0.68,0.6818181818181818,0.6842105263157895,0.7142857142857143,0.8529411764705882,0.5384615384615384,0.5423728813559322,0.6923076923076923,0.7777777777777778,0.5454545454545454,0.6282051282051282,0.75,0.7142857142857143,0.6666666666666666,0.6296296296296297,0.0
