Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Damion Lee,Shared Games with Dario ?ari?,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Damion Lee,Dario ?ari?,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Damion Lee,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Darius Bazley,Shared Games with Kevin Durant,Shared Games with Saben Lee,Shared Games with T.J. Warren,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Kevin Durant,co_inf with Saben Lee,co_inf with T.J. Warren,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022/11/9,37-187,PHO,@,MIN,W (+12),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,87,4.578947368421052,0.0,97.0,5.105263157894737
11,12,,2022/11/11,37-189,PHO,@,ORL,L (-17),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,97,5.105263157894737,0.0,89.19999999999999,4.694736842105263
12,13,,2022/11/14,37-192,PHO,@,MIA,L (-1),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,83,4.368421052631579,0.0,93.19999999999996,4.905263157894734
13,14,,2022/11/16,37-194,PHO,,GSW,W (+11),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,96,5.052631578947368,0.0,99.6,5.242105263157894
14,15,,2022/11/18,37-196,PHO,@,UTA,L (-1),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,82,4.315789473684211,0.0,104.1,5.478947368421053
15,16,,2022/11/20,37-198,PHO,,NYK,W (+21),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,112,5.894736842105263,0.0,111.0,5.842105263157895
16,17,,2022/11/22,37-200,PHO,,LAL,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,80,4.2105263157894735,0.0,88.69999999999999,4.668421052631579
17,18,,2022/11/25,37-203,PHO,,DET,W (+6),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,100,5.2631578947368425,0.0,100.4,5.28421052631579
18,19,,2022/11/26,37-204,PHO,,UTA,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,109,5.7368421052631575,0.0,113.9,5.994736842105263
19,20,,2022/11/28,37-206,PHO,@,SAC,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,91,4.789473684210527,0.0,103.79999999999995,5.46315789473684
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,0,0.0,0.0,0.0,0.0
21,21,,2022/11/30,37-208,PHO,,CHI,W (+19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,99,5.2105263157894735,0.0,117.09999999999998,6.163157894736841
22,22,,2022/12/2,37-210,PHO,,HOU,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,108,5.684210526315789,0.0,122.6,6.4526315789473685
23,23,,2022/12/4,37-212,PHO,@,SAS,W (+38),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,105,5.526315789473684,0.0,111.7,5.878947368421053
24,24,,2022/12/5,37-213,PHO,@,DAL,L (-19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,,119,6.2631578947368425,0.0,122.6,6.4526315789473685
25,25,11,2022/12/7,37-215,PHO,,BOS,L (-27),1,24:03:00,2.0,6.0,0.333,0.0,2.0,0,0,0.0,,0.0,4.0,4.0,4.0,1.0,0.0,4.0,3.0,4.0,0.4,-28,4.0,2.0,0.5,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,3.0,70,3.684210526315789,0.4000000000000012,81.5,4.2894736842105265
26,26,12,2022/12/9,37-217,PHO,@,NOP,L (-11),1,34:05:00,7.0,14.0,0.5,6.0,9.0,0.667,4,4.0,1,0.0,8.0,8.0,7.0,0.0,0.0,3.0,3.0,24.0,20.1,3,5.0,1.0,0.2,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,18.0,92,4.842105263157895,18.500000000000004,93.3,4.910526315789474
27,27,13,2022/12/11,37-219,PHO,@,NOP,L (-5),1,33:54:00,3.0,10.0,0.3,0.0,3.0,0,0,1.0,0,1.0,2.0,3.0,11.0,1.0,0.0,3.0,6.0,6.0,4.4,-5,7.0,3.0,0.428571429,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,7.0,103,5.421052631578948,4.399999999999999,111.3,5.8578947368421055
28,28,14,2022/12/13,37-221,PHO,@,HOU,L (-14),1,37:38:00,5.0,17.0,0.294,2.0,10.0,0.2,4,4.0,1,1.0,5.0,6.0,7.0,2.0,1.0,4.0,2.0,16.0,11.1,-10,7.0,3.0,0.428571429,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,7.0,74,3.8947368421052633,9.499999999999998,73.79999999999998,3.8842105263157887
29,29,15,2022/12/15,37-223,PHO,@,LAC,W (+16),1,36:03:00,6.0,13.0,0.462,2.0,6.0,0.333,1,2.0,0.5,1.0,6.0,7.0,13.0,2.0,1.0,1.0,0.0,15.0,21.2,7,7.0,4.0,0.571428571,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,22.0,108,5.684210526315789,20.8,96.3,5.068421052631579
30,30,16,2022/12/17,37-225,PHO,,NOP,W (+4),1,35:22:00,6.0,11.0,0.545,5.0,7.0,0.714,1,2.0,0.5,0.0,5.0,5.0,8.0,1.0,0.0,2.0,2.0,18.0,17.6,6,4.0,1.0,0.25,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,17.0,61,3.210526315789474,17.2,93.3,4.910526315789474
31,31,17,2022/12/19,37-227,PHO,,LAL,W (+26),1,31:29:00,9.0,18.0,0.5,3.0,5.0,0.6,7,8.0,0.875,1.0,3.0,4.0,8.0,2.0,0.0,0.0,4.0,28.0,26.2,18,13.0,6.0,0.461538462,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,16.0,99,5.2105263157894735,23.4,102.5,5.394736842105263
32,32,18,2022/12/20,37-228,PHO,,WAS,L (-3),1,35:38:00,3.0,11.0,0.273,1.0,3.0,0.333,5,7.0,0.714,2.0,2.0,4.0,11.0,2.0,0.0,3.0,3.0,12.0,12.2,-10,8.0,2.0,0.25,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,8.0,84,4.421052631578948,10.2,98.5,5.184210526315789
33,33,19,2022/12/23,37-231,PHO,,MEM,L (-25),1,24:34:00,5.0,8.0,0.625,0.0,1.0,0,0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,10.0,7.7,-20,7.0,5.0,0.714285714,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,6.0,68,3.5789473684210527,7.699999999999999,77.1,4.057894736842105
34,34,20,2022/12/25,37-233,PHO,@,DEN,L (-3),1,40:39:00,6.0,17.0,0.353,0.0,3.0,0,5,10.0,0.5,0.0,4.0,4.0,16.0,2.0,1.0,0.0,4.0,17.0,19,-1,14.0,6.0,0.428571429,42,16,33,51,68,49,39,14,42,50,53,29,35,59,61,42,48,74,57,67,53,31,60,18,69,72,40,83,79,0.68852459,0.380952381,0.6875,0.689189189,0.731343284,0.735849057,0.451612903,0.7,0,0.724637681,0.736111111,0.725,0.421686747,0.746835443,7,8,14,16,21,43,67,47,25,42,63,0.162790698,0,0.170212766,0.56,0.380952381,0.333333333,19,13.0,107,5.631578947368421,17.0,114.8,6.042105263157895
