Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario Šarić,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Duane Washington Jr.,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario Šarić,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Kevin Durant,Shared Games with T.J. Warren,Shared Games with Darius Bazley,Shared Games with Saben Lee,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Kevin Durant,co_inf with T.J. Warren,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Saben Lee,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,28-058,PHO,@,MIN,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,87.0,4.578947368421052,0.0,97.0,5.105263157894737
11,12,,2022-11-11,28-060,PHO,@,ORL,L (-17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,97.0,5.105263157894737,0.0,89.19999999999999,4.694736842105263
12,13,,2022-11-14,28-063,PHO,@,MIA,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,83.0,4.368421052631579,0.0,93.19999999999996,4.905263157894734
13,14,1,2022-11-16,28-065,PHO,,GSW,W (+11),0,1:26,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-4,0.0,0.0,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,1.0,95.0,5.0,2.0,97.6,5.136842105263158
14,15,,2022-11-18,28-067,PHO,@,UTA,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,82.0,4.315789473684211,0.0,104.1,5.478947368421053
15,16,2,2022-11-20,28-069,PHO,,NYK,W (+21),0,20:25,1.0,8.0,.125,1.0,6.0,.167,0,0.0,,4.0,3.0,7.0,2.0,0.0,0.0,2.0,2.0,3.0,0.1,+17,2.0,0.0,0.0,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,2.0,110.0,5.789473684210527,0.1000000000000005,110.9,5.836842105263158
16,17,3,2022-11-22,28-071,PHO,,LAL,W (+10),0,11:30,2.0,2.0,1.000,2.0,2.0,1.000,0,0.0,,2.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,6.0,8.4,+11,0.0,0.0,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,10.0,70.0,3.684210526315789,8.399999999999999,80.3,4.226315789473684
17,18,,2022-11-25,28-074,PHO,,DET,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,100.0,5.2631578947368425,0.0,100.4,5.28421052631579
18,19,4,2022-11-26,28-075,PHO,,UTA,W (+1),0,17:30,2.0,3.0,.667,2.0,2.0,1.000,0,0.0,,1.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,6.0,7.9,+4,1.0,0.0,0.0,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,8.0,101.0,5.315789473684211,7.900000000000001,105.99999999999996,5.57894736842105
19,20,5,2022-11-28,28-077,PHO,@,SAC,W (+5),0,3:03,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,+2,0.0,0.0,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,0.0,91.0,4.789473684210527,-0.4,104.19999999999996,5.484210526315787
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,0.0,0.0,0.0,0.0,0.0
21,21,6,2022-11-30,28-079,PHO,,CHI,W (+19),0,9:28,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.1,+8,0.0,0.0,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,1.0,98.0,5.157894736842105,-0.1,117.19999999999996,6.168421052631577
22,22,7,2022-12-02,28-081,PHO,,HOU,L (-1),0,19:23,2.0,4.0,.500,2.0,4.0,.500,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,8.0,5.4,-8,0.0,0.0,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,4.0,104.0,5.473684210526316,4.600000000000001,118.0,6.2105263157894735
23,23,8,2022-12-04,28-083,PHO,@,SAS,W (+38),0,27:46,3.0,3.0,1.000,2.0,2.0,1.000,0,1.0,.000,0.0,1.0,1.0,4.0,1.0,0.0,0.0,2.0,8.0,10.0,+11,1.0,1.0,1.0,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,10.0,95.0,5.0,10.0,101.7,5.352631578947369
24,24,9,2022-12-05,28-084,PHO,@,DAL,L (-19),1,13:30,2.0,5.0,.400,2.0,5.0,.400,0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,6.0,4.9,-9,0.0,0.0,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,5.0,114.0,6.0,4.899999999999999,117.7,6.1947368421052635
25,25,10,2022-12-07,28-086,PHO,,BOS,L (-27),0,10:06,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,+10,0.0,0.0,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,3.0,70.0,3.684210526315789,2.0,79.9,4.205263157894737
26,26,,2022-12-09,28-088,PHO,@,NOP,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,110.0,5.789473684210527,0.0,111.8,5.88421052631579
