Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Frank Jackson,Shared Games with Jarrell Brantley,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler
10,11,,2022-11-06,23-217,UTA,@,LAC,W (+8),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
11,12,,2022-11-07,23-218,UTA,,LAL,W (+23),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
12,13,11,2022-11-09,23-220,UTA,@,ATL,W (+6),1,28.25,3.0,4.0,.750,0.0,1.0,.000,0,0,,1,6,7,0,1,0,0,3,6,6.7,-4,3.0,3.0,1.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
13,14,12,2022-11-12,23-223,UTA,@,WAS,L (-9),1,17.483333333333334,3.0,6.0,.500,1.0,2.0,.500,0,0,,4,4,8,1,1,0,1,2,7,7.9,-12,4.0,2.0,0.5,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
14,15,13,2022-11-13,23-224,UTA,@,PHI,L (-7),1,24.133333333333333,4.0,6.0,.667,0.0,2.0,.000,1,2,.500,4,6,10,3,0,0,3,3,9,8.5,-17,4.0,4.0,1.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
15,16,14,2022-11-15,23-226,UTA,,NYK,L (-7),1,24.333333333333332,1.0,1.0,1.000,0.0,0.0,,0,2,.000,2,7,9,1,1,0,1,1,2,4.7,-4,1.0,1.0,1.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
16,17,15,2022-11-18,23-229,UTA,,PHO,W (+1),1,26.616666666666667,3.0,6.0,.500,0.0,1.0,.000,0,0,,5,6,11,8,0,0,3,6,6,8.5,+19,5.0,3.0,0.6,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
17,18,16,2022-11-19,23-230,UTA,@,POR,W (+5),1,28.133333333333333,3.0,6.0,.500,0.0,2.0,.000,1,2,.500,2,7,9,1,0,0,0,3,7,6.6,+14,4.0,3.0,0.75,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
18,19,17,2022-11-21,23-232,UTA,@,LAC,L (-7),1,24.1,1.0,4.0,.250,0.0,0.0,,4,4,1.000,3,7,10,5,1,0,3,1,6,8.9,-7,4.0,1.0,0.25,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
19,20,18,2022-11-23,23-234,UTA,,DET,L (-9),1,21.85,3.0,5.0,.600,0.0,0.0,,1,1,1.000,1,2,3,2,1,1,1,1,7,7.7,0,5.0,3.0,0.6,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
21,21,19,2022-11-25,23-236,UTA,@,GSW,L (-11),1,27.266666666666666,5.0,8.0,.625,0.0,1.0,.000,3,4,.750,2,8,10,2,1,0,2,2,13,12.4,-13,7.0,5.0,0.7142857142857143,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
22,22,20,2022-11-26,23-237,UTA,@,PHO,L (-1),1,22.916666666666668,3.0,4.0,.750,0.0,0.0,,0,0,,1,6,7,1,1,0,0,2,6,7.8,-9,4.0,3.0,0.75,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
23,23,21,2022-11-28,23-239,UTA,,CHI,L (-7),1,22.4,4.0,4.0,1.000,1.0,1.0,1.000,0,2,.000,2,5,7,3,1,0,1,2,9,11.2,-10,3.0,3.0,1.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
24,24,22,2022-11-30,23-241,UTA,,LAC,W (+13),1,24.6,7.0,10.0,.700,0.0,1.0,.000,0,0,,6,6,12,2,2,0,1,1,14,17.8,+5,9.0,7.0,0.7777777777777778,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
25,25,23,2022-12-02,23-243,UTA,,IND,W (+20),1,20.333333333333332,4.0,5.0,.800,0.0,0.0,,0,0,,0,6,6,2,1,0,3,2,8,6.5,+11,5.0,4.0,0.8,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
26,26,24,2022-12-03,23-244,UTA,,POR,L (-5),1,31.633333333333333,6.0,8.0,.750,4.0,4.0,1.000,0,0,,0,7,7,4,2,0,1,0,16,18.7,+5,4.0,2.0,0.5,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
27,27,25,2022-12-07,23-248,UTA,,GSW,W (+1),0,23.616666666666667,2.0,3.0,.667,0.0,0.0,,0,0,,1,3,4,1,0,0,0,1,4,4.6,-3,3.0,2.0,0.6666666666666666,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
28,28,26,2022-12-09,23-250,UTA,,MIN,L (-10),0,26.6,4.0,8.0,.500,0.0,2.0,.000,4,5,.800,5,5,10,2,2,0,0,2,12,15.2,-10,6.0,4.0,0.6666666666666666,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
29,29,27,2022-12-10,23-251,UTA,@,DEN,L (-5),1,25.933333333333334,2.0,7.0,.286,0.0,1.0,.000,2,2,1.000,2,3,5,4,3,0,2,4,6,6.4,-9,6.0,2.0,0.3333333333333333,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
30,30,28,2022-12-13,23-254,UTA,,NOP,W (+21),1,22.633333333333333,8.0,9.0,.889,0.0,0.0,,2,3,.667,8,6,14,6,1,1,1,5,18,24.8,+12,9.0,8.0,0.8888888888888888,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
31,31,29,2022-12-15,23-256,UTA,,NOP,W (+3),1,21.416666666666668,0.0,4.0,.000,0.0,1.0,.000,3,4,.750,2,4,6,3,2,0,0,1,3,6.1,-4,3.0,0.0,0.0,39,0,0,0,51,40,20,47,12,7,78,3,40,34,30,37,25,39,17,49,48.0,1.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8125,0.0,0.0,0.0,0.8360655737704918,0.5882352941176471,0.9090909090909092,0.7121212121212122,0.8571428571428571,1.0,0.9629629629629628,0.4285714285714285,0.5970149253731343,0.576271186440678,0.5084745762711864,0.6607142857142857,0.4807692307692308,0.6,0.4722222222222222,0.6621621621621622
