Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Frank Jackson,Shared Games with Jarred Vanderbilt,Shared Games with Jarrell Brantley,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler
10,11,7,2022-11-06,24-065,UTA,@,LAC,W (+8),0,8.733333333333333,0.0,2.0,.000,0.0,1.0,.000,0,0,,0,2,2,0,0,0,1,2,0,-2.6,+2,1.0,0.0,0.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
11,12,8,2022-11-07,24-066,UTA,,LAL,W (+23),0,12.0,0.0,5.0,.000,0.0,1.0,.000,0,0,,0,0,0,1,1,1,1,2,0,-2.9,-6,4.0,0.0,0.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
12,13,,2022-11-09,24-068,UTA,@,ATL,W (+6),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
13,14,9,2022-11-12,24-071,UTA,@,WAS,L (-9),0,2.466666666666667,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,0.0,0.0,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
14,15,,2022-11-13,24-072,UTA,@,PHI,L (-7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
15,16,,2022-11-15,24-074,UTA,,NYK,L (-7),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
16,17,,2022-11-18,24-077,UTA,,PHO,W (+1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
17,18,,2022-11-19,24-078,UTA,@,POR,W (+5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
18,19,10,2022-11-21,24-080,UTA,@,LAC,L (-7),0,9.366666666666667,0.0,0.0,,0.0,0.0,,2,2,1.000,0,1,1,1,0,0,3,1,2,-0.4,-14,0.0,0.0,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
19,20,,2022-11-23,24-082,UTA,,DET,L (-9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
21,21,11,2022-11-25,24-084,UTA,@,GSW,L (-11),0,30.183333333333334,3.0,11.0,.273,0.0,6.0,.000,2,2,1.000,3,2,5,6,3,1,1,3,8,9.9,+2,5.0,3.0,0.6,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
22,22,12,2022-11-26,24-085,UTA,@,PHO,L (-1),0,16.033333333333335,4.0,5.0,.800,4.0,4.0,1.000,0,0,,0,0,0,0,0,0,1,2,12,8.3,-12,1.0,0.0,0.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
23,23,13,2022-11-28,24-087,UTA,,CHI,L (-7),0,14.016666666666667,1.0,5.0,.200,0.0,2.0,.000,0,0,,0,1,1,3,0,0,0,2,2,0.5,0,3.0,1.0,0.3333333333333333,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
24,24,14,2022-11-30,24-089,UTA,,LAC,W (+13),0,15.466666666666667,5.0,7.0,.714,1.0,2.0,.500,0,0,,0,1,1,0,0,0,1,2,11,6.6,-1,5.0,4.0,0.8,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
25,25,15,2022-12-02,24-091,UTA,,IND,W (+20),0,3.4833333333333334,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,0,0,2,0,0,0,0,0,0.7,0,0.0,0.0,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
26,26,,2022-12-03,24-092,UTA,,POR,L (-5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
27,27,16,2022-12-07,24-096,UTA,,GSW,W (+1),0,28.883333333333333,4.0,5.0,.800,3.0,4.0,.750,0,0,,0,7,7,4,3,0,3,2,11,13.2,-11,1.0,1.0,1.0,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
28,28,17,2022-12-09,24-098,UTA,,MIN,L (-10),1,25.133333333333333,4.0,8.0,.500,2.0,4.0,.500,1,3,.333,1,3,4,4,1,0,1,3,11,9.4,+4,4.0,2.0,0.5,25,0,34,0,0,35,25,12,31,13,4,36,3,49,26,26,19,27,17,33,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,56.0,52.0,65.0,36.0,74.0,0.5208333333333334,0.0,0.4358974358974359,0.0,0.0,0.5737704918032787,0.3676470588235294,0.5454545454545454,0.4696969696969697,0.9285714285714286,0.5714285714285714,0.4444444444444444,0.4285714285714285,0.7313432835820896,0.4406779661016949,0.4642857142857143,0.3653846153846153,0.4153846153846154,0.4722222222222222,0.4459459459459459
