Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-06,31-201,UTA,LAC,1.0,29.45,2.0,4.0,0.5,1.0,2.0,0.5,4.0,4.0,1.0,0.0,4.0,4.0,4.0,1.0,0.0,3.0,5.0,9.0,7.0,10.0,2.0,1.0,0.5,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,7.0,56.0,2.8,5.4,67.3,3.365,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,W (+8),W (+8)
12.0,12.0,2022-11-07,31-202,UTA,LAL,1.0,22.766666666666666,3.0,4.0,0.75,0.0,0.0,,4.0,4.0,1.0,0.0,3.0,3.0,2.0,2.0,1.0,4.0,2.0,10.0,8.6,8.0,4.0,3.0,0.75,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,6.0,83.0,4.15,6.999999999999998,99.8,4.99,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,W (+23),W (+23)
13.0,13.0,2022-11-09,31-204,UTA,ATL,1.0,20.58333333333333,6.0,10.0,0.6,1.0,3.0,0.333,1.0,2.0,0.5,3.0,3.0,6.0,2.0,0.0,0.0,2.0,3.0,14.0,10.2,-11.0,7.0,5.0,0.7142857142857143,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,8.0,38.0,1.9,9.799999999999995,52.39999999999999,2.62,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,W (+6),W (+6)
14.0,14.0,2022-11-12,31-207,UTA,WAS,1.0,28.25,4.0,10.0,0.4,2.0,5.0,0.4,0.0,0.0,,0.0,5.0,5.0,4.0,0.0,0.0,2.0,4.0,10.0,5.3,-20.0,5.0,2.0,0.4,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,7.0,45.0,2.25,5.299999999999999,61.09999999999999,3.055,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,L (-9),L (-9)
15.0,15.0,2022-11-13,31-208,UTA,PHI,1.0,29.33333333333333,4.0,9.0,0.444,0.0,4.0,0.0,6.0,6.0,1.0,1.0,5.0,6.0,1.0,1.0,0.0,2.0,5.0,14.0,9.2,-16.0,5.0,4.0,0.8,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,5.0,28.0,1.4,6.799999999999999,41.29999999999999,2.0649999999999995,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,L (-7),L (-7)
16.0,16.0,2022-11-15,31-210,UTA,NYK,1.0,28.616666666666667,7.0,13.0,0.538,2.0,5.0,0.4,11.0,13.0,0.846,2.0,9.0,11.0,2.0,1.0,0.0,3.0,5.0,27.0,21.4,-7.0,8.0,5.0,0.625,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,12.0,44.0,2.2,16.999999999999996,51.7,2.585,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,L (-7),L (-7)
17.0,17.0,2022-11-18,31-213,UTA,PHO,1.0,19.933333333333334,2.0,5.0,0.4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,4.0,5.0,5.0,0.3,19.0,4.0,2.0,0.5,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,2.0,57.0,2.85,-0.0999999999999996,69.30000000000001,3.4650000000000007,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,W (+1),W (+1)
18.0,18.0,2022-11-19,31-214,UTA,POR,1.0,31.0,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,,2.0,4.0,6.0,4.0,0.0,3.0,1.0,3.0,5.0,6.9,7.0,3.0,1.0,0.3333333333333333,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,11.0,47.0,2.35,6.9,60.0,3.0,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,W (+5),W (+5)
19.0,19.0,2022-11-21,31-216,UTA,LAC,1.0,31.633333333333333,6.0,7.0,0.857,3.0,3.0,1.0,4.0,4.0,1.0,3.0,4.0,7.0,4.0,2.0,0.0,1.0,4.0,19.0,22.0,-4.0,4.0,3.0,0.75,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,20.0,49.0,2.45,20.4,61.59999999999999,3.079999999999999,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,L (-7),L (-7)
20.0,20.0,2022-11-23,31-218,UTA,DET,1.0,35.13333333333333,4.0,7.0,0.571,0.0,2.0,0.0,0.0,0.0,,1.0,2.0,3.0,6.0,2.0,1.0,0.0,2.0,8.0,12.1,1.0,5.0,4.0,0.8,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,13.0,73.0,3.65,12.099999999999998,67.69999999999999,3.385,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,L (-9),L (-9)
21.0,21.0,2022-11-25,31-220,UTA,GSW,1.0,33.13333333333333,9.0,13.0,0.692,3.0,6.0,0.5,0.0,0.0,,2.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,21.0,18.4,-19.0,7.0,6.0,0.8571428571428571,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,15.0,75.0,3.75,18.4,71.2,3.56,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,,
22.0,22.0,2022-11-26,31-221,UTA,PHO,1.0,33.416666666666664,3.0,7.0,0.429,1.0,4.0,0.25,3.0,4.0,0.75,1.0,5.0,6.0,3.0,2.0,1.0,0.0,3.0,10.0,11.7,6.0,3.0,2.0,0.6666666666666666,40,40,16,49,22,56,8,7,43,4,32,25,46,45,41,54,28,61,48.0,1.0,78.0,4.0,18.0,61.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.8333333333333334,0.0,0.5128205128205128,0.0,0.8888888888888888,0.8032786885245902,1.0,0.8484848484848485,0.5714285714285714,1.0,0.5308641975308642,0.5714285714285714,0.4776119402985074,0.423728813559322,0.7796610169491526,0.8035714285714286,0.7884615384615384,0.8307692307692308,0.7777777777777778,0.8243243243243243,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,11.0,61.0,3.05,10.5,66.10000000000001,3.3050000000000006,14.4,4.3,0.4,-0.4,0.9,0.0882291666666666,0.643,0.424,0.417,1.2,2.4,L (-11),L (-11)
