Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Frank Jackson,Shared Games with Jarred Vanderbilt,Shared Games with Jarrell Brantley,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler
10,11,11,2022-11-06,25-345,UTA,@,LAC,W (+8),1,31.283333333333335,3.0,8.0,.375,2.0,7.0,.286,2,2,1.000,1,3,4,0,0,0,3,1,10,3.8,0,1.0,1.0,1.0,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
11,12,12,2022-11-07,25-346,UTA,,LAL,W (+23),1,21.55,5.0,8.0,.625,4.0,7.0,.571,0,0,,0,2,2,1,0,0,1,2,14,9.9,+11,1.0,1.0,1.0,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
12,13,13,2022-11-09,25-348,UTA,@,ATL,W (+6),0,29.35,6.0,11.0,.545,6.0,10.0,.600,0,0,,1,5,6,1,2,0,1,2,18,15.8,+13,1.0,0.0,0.0,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
13,14,14,2022-11-12,25-351,UTA,@,WAS,L (-9),0,29.45,6.0,13.0,.462,4.0,9.0,.444,0,0,,0,6,6,3,1,0,0,2,16,13.4,-1,4.0,2.0,0.5,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
14,15,15,2022-11-13,25-352,UTA,@,PHI,L (-7),0,28.95,6.0,13.0,.462,4.0,10.0,.400,2,2,1.000,0,4,4,2,1,0,1,2,18,13.1,+3,3.0,2.0,0.6666666666666666,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
15,16,16,2022-11-15,25-354,UTA,,NYK,L (-7),0,23.866666666666667,5.0,12.0,.417,3.0,8.0,.375,1,1,1.000,1,3,4,0,0,1,1,1,14,8.5,+5,4.0,2.0,0.5,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
16,17,17,2022-11-18,25-357,UTA,,PHO,W (+1),0,31.266666666666666,10.0,17.0,.588,7.0,13.0,.538,0,0,,0,3,3,1,1,1,2,0,27,20.4,-10,4.0,3.0,0.75,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
17,18,18,2022-11-19,25-358,UTA,@,POR,W (+5),0,29.233333333333334,10.0,18.0,.556,6.0,14.0,.429,3,3,1.000,0,3,3,1,0,0,1,2,29,20.2,+10,4.0,4.0,1.0,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
18,19,19,2022-11-21,25-360,UTA,@,LAC,L (-7),0,30.166666666666668,2.0,11.0,.182,2.0,10.0,.200,0,0,,0,6,6,1,1,0,2,2,6,-0.2,-14,1.0,0.0,0.0,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
19,20,20,2022-11-23,25-362,UTA,,DET,L (-9),0,29.283333333333335,9.0,18.0,.500,8.0,15.0,.533,3,4,.750,2,9,11,5,0,0,1,2,29,25.4,-8,3.0,1.0,0.3333333333333333,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
21,21,21,2022-11-25,25-364,UTA,@,GSW,L (-11),0,20.383333333333333,4.0,14.0,.286,2.0,8.0,.250,0,0,,2,3,5,1,5,0,1,0,10,8.8,-12,6.0,2.0,0.3333333333333333,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
22,22,22,2022-11-26,26-000,UTA,@,PHO,L (-1),0,35.25,6.0,13.0,.462,2.0,7.0,.286,0,0,,0,5,5,4,0,0,2,2,14,8.8,-2,6.0,4.0,0.6666666666666666,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
23,23,23,2022-11-28,26-002,UTA,,CHI,L (-7),0,32.61666666666667,4.0,13.0,.308,3.0,11.0,.273,0,0,,0,3,3,4,2,0,0,2,11,8.4,-3,2.0,1.0,0.5,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
24,24,24,2022-11-30,26-004,UTA,,LAC,W (+13),0,18.783333333333335,1.0,9.0,.111,1.0,7.0,.143,0,0,,1,1,2,3,1,0,1,3,3,-1.0,+6,2.0,0.0,0.0,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
25,25,25,2022-12-02,26-006,UTA,,IND,W (+20),0,30.35,6.0,15.0,.400,4.0,11.0,.364,0,0,,1,4,5,1,0,0,2,1,16,8.1,+23,4.0,2.0,0.5,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
26,26,26,2022-12-03,26-007,UTA,,POR,L (-5),0,25.6,1.0,9.0,.111,1.0,6.0,.167,0,0,,0,1,1,1,0,0,0,3,3,-3.1,-18,3.0,0.0,0.0,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
27,27,27,2022-12-07,26-011,UTA,,GSW,W (+1),1,34.483333333333334,7.0,14.0,.500,4.0,9.0,.444,0,0,,0,3,3,1,0,0,2,2,18,9.8,+6,5.0,3.0,0.6,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
28,28,28,2022-12-09,26-013,UTA,,MIN,L (-10),1,36.0,9.0,18.0,.500,5.0,12.0,.417,0,1,.000,0,4,4,1,2,0,1,1,23,16.1,-6,6.0,4.0,0.6666666666666666,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
29,29,29,2022-12-10,26-014,UTA,@,DEN,L (-5),1,33.35,7.0,13.0,.538,4.0,10.0,.400,1,2,.500,0,5,5,3,2,0,4,1,19,13.5,-8,3.0,3.0,1.0,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
30,30,30,2022-12-13,26-017,UTA,,NOP,W (+21),0,30.883333333333333,8.0,19.0,.421,5.0,12.0,.417,0,0,,0,2,2,4,0,0,0,1,21,13.9,+15,7.0,3.0,0.4285714285714285,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
31,31,31,2022-12-15,26-019,UTA,,NOP,W (+3),0,25.55,6.0,15.0,.400,4.0,11.0,.364,1,1,1.000,0,3,3,1,0,1,1,1,17,9.8,+7,4.0,2.0,0.5,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
32,32,32,2022-12-17,26-021,UTA,@,MIL,L (-26),0,28.0,6.0,13.0,.462,6.0,10.0,.600,0,0,,0,3,3,0,0,0,1,1,18,10.8,-16,3.0,0.0,0.0,42,0,78,0,0,54,43,22,50,13,7,3,43,36,32,40,26,41,19,52,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.875,0.0,1.0,0.0,0.0,0.8852459016393442,0.6323529411764706,1.0,0.7575757575757576,0.9285714285714286,1.0,0.4285714285714285,0.6417910447761194,0.6101694915254238,0.5423728813559322,0.7142857142857143,0.5,0.6307692307692307,0.5277777777777778,0.7027027027027027
