Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with Lindell Wigginton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews
10,11,9,2022-11-09,33-052,MIL,@,OKC,W (+4),0,12.25,2.0,2.0,1.000,0.0,0.0,,0,0,,0,2,2,1,0,1,1,1,4,4.0,-4,2.0,2.0,1.0,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
11,12,10,2022-11-11,33-054,MIL,@,SAS,L (-18),0,18.7,4.0,9.0,.444,1.0,3.0,.333,2,5,.400,5,4,9,0,0,0,0,2,11,9.0,-3,6.0,3.0,0.5,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
12,13,11,2022-11-14,33-057,MIL,,ATL,L (-15),0,13.3,2.0,3.0,.667,1.0,2.0,.500,0,0,,0,3,3,0,0,0,0,2,5,3.8,-8,1.0,1.0,1.0,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
13,14,12,2022-11-16,33-059,MIL,,CLE,W (+15),0,17.55,4.0,6.0,.667,1.0,2.0,.500,0,0,,2,2,4,1,0,0,1,1,9,7.7,-6,4.0,3.0,0.75,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
14,15,13,2022-11-18,33-061,MIL,@,PHI,L (-8),0,7.25,1.0,2.0,.500,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,-4,2.0,1.0,0.5,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
15,16,14,2022-11-21,33-064,MIL,,POR,W (+8),0,4.183333333333334,0.0,2.0,.000,0.0,0.0,,1,2,.500,0,0,0,0,0,0,0,2,1,-1.6,0,2.0,0.0,0.0,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
16,17,,2022-11-23,33-066,MIL,,CHI,L (-5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
17,18,,2022-11-25,33-068,MIL,,CLE,W (+15),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
18,19,,2022-11-27,33-070,MIL,,DAL,W (+9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
19,20,,2022-11-30,33-073,MIL,@,NYK,W (+6),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
21,21,,2022-12-02,33-075,MIL,,LAL,L (-4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
22,22,,2022-12-03,33-076,MIL,@,CHO,W (+9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
23,23,,2022-12-05,33-078,MIL,@,ORL,W (+7),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
24,24,,2022-12-07,33-080,MIL,,SAC,W (+13),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
25,25,,2022-12-09,33-082,MIL,@,DAL,W (+1),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
26,26,,2022-12-11,33-084,MIL,@,HOU,L (-5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
27,27,,2022-12-13,33-086,MIL,,GSW,W (+17),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
28,28,,2022-12-15,33-088,MIL,@,MEM,L (-41),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
29,29,15,2022-12-17,33-090,MIL,,UTA,W (+26),0,11.116666666666667,1.0,3.0,.333,0.0,1.0,.000,0,0,,1,1,2,0,0,0,0,0,2,1.3,+7,2.0,1.0,0.5,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
30,30,,2022-12-19,33-092,MIL,@,NOP,W (+9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
31,31,,2022-12-21,33-094,MIL,@,CLE,L (-8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,5,16,16,15,11,14,16,1,16,11,0,0,14,5,3,9,9,12,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,37.0,52.0,0.1428571428571428,0.2285714285714285,0.2051282051282051,0.3260869565217391,0.1746031746031746,0.1944444444444444,0.1975308641975308,0.0217391304347826,0.2580645161290322,0.1641791044776119,0.0,0.0,0.2692307692307692,0.5555555555555556,0.0491803278688524,0.2093023255813953,0.2432432432432432,0.2307692307692307
