Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with Lindell Wigginton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews
10,11,3,2022-11-09,23-170,MIL,@,OKC,W (+4),0,6.25,0.0,2.0,.000,0.0,1.0,.000,0,0,,0,3,3,0,0,0,0,1,0,-0.9,+2,1.0,0.0,0.0,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
11,12,4,2022-11-11,23-172,MIL,@,SAS,L (-18),0,8.466666666666667,1.0,4.0,.250,1.0,2.0,.500,0,0,,2,2,4,0,0,0,0,0,3,2.6,-2,2.0,0.0,0.0,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
12,13,5,2022-11-14,23-175,MIL,,ATL,L (-15),0,1.5833333333333335,1.0,1.0,1.000,0.0,0.0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,0,1.0,1.0,1.0,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
13,14,6,2022-11-16,23-177,MIL,,CLE,W (+15),0,7.566666666666666,1.0,3.0,.333,0.0,2.0,.000,3,6,.500,0,0,0,0,0,0,0,1,5,1.7,+3,1.0,1.0,1.0,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
14,15,,2022-11-18,23-179,MIL,@,PHI,L (-8),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
15,16,7,2022-11-21,23-182,MIL,,POR,W (+8),0,1.3833333333333333,1.0,1.0,1.000,0.0,0.0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,-6,1.0,1.0,1.0,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
16,17,,2022-11-23,23-184,MIL,,CHI,L (-5),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
17,18,8,2022-11-25,23-186,MIL,,CLE,W (+15),0,9.433333333333334,1.0,2.0,.500,0.0,1.0,.000,1,2,.500,0,1,1,0,0,0,0,1,3,1.5,-4,1.0,1.0,1.0,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
18,19,9,2022-11-27,23-188,MIL,,DAL,W (+9),0,7.2,0.0,1.0,.000,0.0,0.0,,0,0,,0,2,2,0,0,0,1,1,0,-1.5,-9,1.0,0.0,0.0,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
19,20,,2022-11-30,23-191,MIL,@,NYK,W (+6),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
21,21,,2022-12-02,23-193,MIL,,LAL,L (-4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
22,22,10,2022-12-03,23-194,MIL,@,CHO,W (+9),0,14.966666666666667,2.0,6.0,.333,1.0,4.0,.250,1,2,.500,0,6,6,0,0,1,0,1,6,4.3,-1,2.0,1.0,0.5,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
23,23,11,2022-12-05,23-196,MIL,@,ORL,W (+7),0,23.033333333333335,3.0,5.0,.600,2.0,3.0,.667,0,0,,2,4,6,2,1,1,2,3,8,8.2,+17,2.0,1.0,0.5,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
24,24,12,2022-12-07,23-198,MIL,,SAC,W (+13),0,1.3,0.0,1.0,.000,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,1.0,0.0,0.0,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
25,25,,2022-12-09,23-200,MIL,@,DAL,W (+1),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
26,26,,2022-12-11,23-202,MIL,@,HOU,L (-5),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
27,27,,2022-12-13,23-204,MIL,,GSW,W (+17),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
28,28,,2022-12-15,23-206,MIL,@,MEM,L (-41),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
29,29,13,2022-12-17,23-208,MIL,,UTA,W (+26),0,23.466666666666665,1.0,2.0,.500,1.0,1.0,1.000,0,0,,4,4,8,6,0,0,0,2,3,9.4,+26,1.0,0.0,0.0,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
30,30,,2022-12-19,23-210,MIL,@,NOP,W (+9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
31,31,,2022-12-21,23-212,MIL,@,CLE,L (-8),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,16,19,23,13,17,20,24,8,16,16,5,0,21,5,16,9,17,14,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,16.0,37.0,52.0,0.4571428571428571,0.2714285714285714,0.2948717948717949,0.2826086956521739,0.2698412698412698,0.2777777777777778,0.2962962962962963,0.1739130434782608,0.2580645161290322,0.2388059701492537,0.1515151515151515,0.0,0.4038461538461538,0.5555555555555556,0.2622950819672131,0.5625,0.4594594594594595,0.2692307692307692
