Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,26-274,GSW,,SAC,W (+3),1,20:43,1.0,4.0,.250,0.0,0.0,,0,0.0,,3.0,10.0,13.0,4.0,1.0,1.0,0.0,4.0,2.0,7.6,+8,4.0,1.0,0.25,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,17.0,63.0,3.9375,7.6,77.6,4.85
11,12,12,2022-11-11,26-278,GSW,,CLE,W (+5),1,30:25,3.0,4.0,.750,0.0,0.0,,1,1.0,1.000,1.0,8.0,9.0,3.0,0.0,2.0,2.0,4.0,7.0,8.4,+7,4.0,3.0,0.75,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,14.0,65.0,4.0625,8.0,70.0,4.375
12,13,13,2022-11-13,26-280,GSW,@,SAC,L (-7),1,29:21,4.0,7.0,.571,0.0,0.0,,0,0.0,,6.0,4.0,10.0,2.0,0.0,2.0,3.0,4.0,8.0,8.3,-4,7.0,4.0,0.5714285714285714,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,12.0,60.0,3.75,8.299999999999999,71.6,4.475
13,14,14,2022-11-14,26-281,GSW,,SAS,W (+37),1,17:33,1.0,3.0,.333,0.0,0.0,,0,0.0,,1.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,5.7,+17,3.0,1.0,0.3333333333333333,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,8.0,96.0,6.0,5.7,105.2,6.575
14,15,15,2022-11-16,26-283,GSW,@,PHO,L (-11),1,20:25,5.0,6.0,.833,0.0,0.0,,0,0.0,,2.0,6.0,8.0,2.0,0.0,1.0,0.0,2.0,10.0,12.3,-11,6.0,5.0,0.8333333333333334,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,15.0,56.0,3.5,12.299999999999995,68.60000000000001,4.2875000000000005
15,16,16,2022-11-18,26-285,GSW,,NYK,W (+10),1,23:51,1.0,2.0,.500,0.0,0.0,,3,4.0,.750,3.0,5.0,8.0,3.0,1.0,0.0,0.0,4.0,5.0,8.7,+20,2.0,1.0,0.5,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,11.0,63.0,3.9375,7.5,74.4,4.65
16,17,17,2022-11-20,26-287,GSW,@,HOU,W (+7),1,28:46,1.0,2.0,.500,0.0,0.0,,1,2.0,.500,2.0,5.0,7.0,5.0,0.0,1.0,0.0,6.0,3.0,6.3,0,2.0,1.0,0.5,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,12.0,95.0,5.9375,5.899999999999999,100.79999999999998,6.299999999999999
17,18,18,2022-11-21,26-288,GSW,@,NOP,L (-45),1,5:23,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.5,-8,0.0,0.0,,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,2.0,37.0,2.3125,-0.5000000000000001,37.49999999999999,2.3437499999999996
18,19,19,2022-11-23,26-290,GSW,,LAC,W (+17),1,16:31,4.0,4.0,1.000,0.0,0.0,,1,3.0,.333,0.0,3.0,3.0,2.0,2.0,2.0,0.0,5.0,9.0,10.7,+7,4.0,4.0,1.0,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,11.0,92.0,5.75,10.3,94.4,5.9
19,20,20,2022-11-25,26-292,GSW,,UTA,W (+11),1,27:56,5.0,8.0,.625,0.0,0.0,,0,1.0,.000,7.0,5.0,12.0,4.0,0.0,0.0,2.0,1.0,10.0,12.8,+2,8.0,5.0,0.625,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,15.0,86.0,5.375,12.8,93.2,5.825
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-11-27,26-294,GSW,@,MIN,W (+23),1,22:07,1.0,1.0,1.000,0.0,0.0,,0,0.0,,2.0,5.0,7.0,4.0,1.0,0.0,0.0,2.0,2.0,7.6,+23,1.0,1.0,1.0,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,13.0,97.0,6.0625,7.6,107.79999999999998,6.737499999999999
22,22,22,2022-11-29,26-296,GSW,@,DAL,L (-3),1,17:38,4.0,4.0,1.000,0.0,0.0,,3,3.0,1.000,3.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0,11.0,13.1,-15,4.0,4.0,1.0,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,11.0,59.0,3.6875,11.9,65.9,4.11875
23,23,23,2022-12-02,26-299,GSW,,CHI,W (+8),1,27:17,3.0,5.0,.600,0.0,0.0,,1,4.0,.250,4.0,8.0,12.0,3.0,1.0,1.0,0.0,1.0,7.0,12.1,+11,5.0,3.0,0.6,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,15.0,80.0,5.0,11.7,73.10000000000001,4.5687500000000005
24,24,24,2022-12-03,26-300,GSW,,HOU,W (+19),1,27:13,3.0,4.0,.750,0.0,0.0,,3,5.0,.600,0.0,12.0,12.0,2.0,0.0,1.0,0.0,2.0,9.0,11.5,+19,4.0,3.0,0.75,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,15.0,89.0,5.5625,10.299999999999995,89.80000000000001,5.612500000000001
25,25,25,2022-12-05,26-302,GSW,,IND,L (-8),1,13:41,2.0,2.0,1.000,0.0,0.0,,2,2.0,1.000,1.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,6.0,7.5,-21,2.0,2.0,1.0,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,9.0,62.0,3.875,6.7,66.8,4.175
26,26,26,2022-12-07,26-304,GSW,@,UTA,L (-1),1,29:13,3.0,5.0,.600,0.0,0.0,,1,1.0,1.000,5.0,4.0,9.0,1.0,0.0,1.0,1.0,4.0,7.0,8.2,+10,5.0,3.0,0.6,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,11.0,58.0,3.625,7.799999999999997,79.1,4.94375
27,27,27,2022-12-10,26-307,GSW,,BOS,W (+16),1,26:30,3.0,4.0,.750,0.0,0.0,,1,2.0,.500,3.0,12.0,15.0,3.0,0.0,2.0,0.0,1.0,7.0,13.8,+19,4.0,3.0,0.75,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,21.0,67.0,4.1875,13.399999999999997,80.69999999999999,5.043749999999999
28,28,28,2022-12-13,26-310,GSW,@,MIL,L (-17),1,18:45,2.0,4.0,.500,0.0,0.0,,1,2.0,.500,4.0,4.0,8.0,1.0,1.0,0.0,0.0,3.0,5.0,7.1,-15,4.0,2.0,0.5,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,9.0,50.0,3.125,6.699999999999999,60.39999999999999,3.7749999999999995
29,29,29,2022-12-14,26-311,GSW,@,IND,L (-6),1,21:23,2.0,5.0,.400,0.0,0.0,,0,0.0,,1.0,5.0,6.0,3.0,0.0,0.0,0.0,3.0,4.0,4.4,-10,5.0,2.0,0.4,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,8.0,59.0,3.6875,4.4,73.1,4.56875
30,30,30,2022-12-16,26-313,GSW,@,PHI,L (-12),1,26:14,6.0,8.0,.750,0.0,0.0,,2,2.0,1.000,3.0,8.0,11.0,9.0,2.0,2.0,0.0,3.0,14.0,23.8,-4,8.0,6.0,0.75,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,28.0,50.0,3.125,23.0,53.6,3.35
31,31,31,2022-12-18,26-315,GSW,@,TOR,W (+16),1,28:10,4.0,7.0,.571,0.0,0.0,,3,3.0,1.000,6.0,5.0,11.0,2.0,0.0,1.0,0.0,3.0,11.0,14.3,+12,7.0,4.0,0.5714285714285714,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,15.0,70.0,4.375,13.099999999999998,83.10000000000001,5.1937500000000005
32,32,32,2022-12-20,26-317,GSW,@,NYK,L (-38),1,20:50,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,5.0,6.0,4.0,0.0,0.0,0.0,2.0,2.0,5.9,-14,1.0,1.0,1.0,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,11.0,31.0,1.9375,5.9,48.0,3.0
33,33,33,2022-12-21,26-318,GSW,@,BRK,L (-30),1,16:55,2.0,5.0,.400,0.0,0.0,,2,2.0,1.000,4.0,3.0,7.0,1.0,0.0,0.0,1.0,3.0,6.0,5.5,-10,5.0,2.0,0.4,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,6.0,38.0,2.375,4.699999999999999,48.8,3.05
34,34,34,2022-12-25,26-322,GSW,,MEM,W (+14),1,22:42,1.0,3.0,.333,0.0,0.0,,1,4.0,.250,2.0,3.0,5.0,4.0,1.0,1.0,0.0,4.0,3.0,5.3,-3,3.0,1.0,0.3333333333333333,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,7.0,88.0,5.5,4.9,92.99999999999996,5.812499999999997
35,35,35,2022-12-27,26-324,GSW,,CHO,W (+5),1,17:31,4.0,8.0,.500,0.0,0.0,,3,4.0,.750,3.0,6.0,9.0,1.0,0.0,0.0,1.0,3.0,11.0,9.0,-4,8.0,4.0,0.5,8,37,62,72,73,21,57,67,82,69,63,31,12,56,45,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,22.0,70.0,0.3181818181818182,0.0,16,8.0,58.0,3.625,7.800000000000001,58.70000000000001,3.6687500000000006
