Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,3,2022-11-07,24-291,GSW,,SAC,W (+3),0,15:53,2.0,6.0,.333,0.0,3.0,.000,0,0.0,,2.0,3.0,5.0,1.0,1.0,0.0,0.0,3.0,4.0,3.4,-7,3.0,2.0,0.6666666666666666,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,5.0,75.0,4.6875,3.3999999999999995,81.8,5.1125
11,12,4,2022-11-11,24-295,GSW,,CLE,W (+5),0,23:40,4.0,7.0,.571,2.0,5.0,.400,0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,10.0,8.2,+6,2.0,2.0,1.0,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,8.0,71.0,4.4375,8.2,69.8,4.3625
12,13,5,2022-11-13,24-297,GSW,@,SAC,L (-7),0,13:53,2.0,4.0,.500,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,2.6,-7,2.0,1.0,0.5,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,2.0,70.0,4.375,2.6,77.29999999999998,4.831249999999999
13,14,6,2022-11-14,24-298,GSW,,SAS,W (+37),0,24:10,6.0,7.0,.857,5.0,6.0,.833,0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,1.0,2.0,17.0,16.7,+26,1.0,1.0,1.0,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,17.0,87.0,5.4375,16.7,94.2,5.8875
14,15,7,2022-11-16,24-300,GSW,@,PHO,L (-11),0,24:18,3.0,7.0,.429,1.0,4.0,.250,0,0.0,,2.0,5.0,7.0,1.0,2.0,0.0,3.0,1.0,7.0,5.5,-3,3.0,2.0,0.6666666666666666,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,7.0,64.0,4.0,5.499999999999998,75.4,4.7125
15,16,8,2022-11-18,24-302,GSW,,NYK,W (+10),0,14:23,0.0,3.0,.000,0.0,3.0,.000,0,0.0,,1.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,-1.6,-17,0.0,0.0,,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,0.0,74.0,4.625,-1.5999999999999996,83.5,5.21875
16,17,9,2022-11-20,24-304,GSW,@,HOU,W (+7),0,4:27,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,-1.0,-7,0.0,0.0,,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,0.0,107.0,6.6875,-1.0,107.69999999999996,6.7312499999999975
17,18,10,2022-11-21,24-305,GSW,@,NOP,L (-45),1,34:24,1.0,5.0,.200,0.0,4.0,.000,0,0.0,,1.0,5.0,6.0,5.0,1.0,1.0,2.0,4.0,2.0,2.7,-31,1.0,1.0,1.0,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,8.0,31.0,1.9375,2.7,34.300000000000004,2.1437500000000003
18,19,11,2022-11-23,24-307,GSW,,LAC,W (+17),0,21:00,3.0,4.0,.750,1.0,1.0,1.000,0,0.0,,1.0,6.0,7.0,2.0,0.0,0.0,1.0,4.0,7.0,6.7,+14,3.0,2.0,0.6666666666666666,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,11.0,92.0,5.75,6.700000000000001,98.0,6.125
19,20,12,2022-11-25,24-309,GSW,,UTA,W (+11),0,8:25,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,4.4,-7,0.0,0.0,,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,5.0,96.0,6.0,4.4,101.6,6.35
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,,0.0,0.0,0.0,0.0,0.0
21,21,13,2022-11-27,24-311,GSW,@,MIN,W (+23),0,8:44,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.1,-14,1.0,1.0,1.0,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,1.0,109.0,6.8125,0.0999999999999998,115.29999999999998,7.206249999999999
22,22,14,2022-11-29,24-313,GSW,@,DAL,L (-3),0,16:06,4.0,6.0,.667,2.0,4.0,.500,1,1.0,1.000,1.0,4.0,5.0,1.0,1.0,0.0,1.0,2.0,11.0,10.2,+13,2.0,2.0,1.0,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,10.0,60.0,3.75,9.8,68.00000000000001,4.250000000000001
23,23,15,2022-12-02,24-316,GSW,,CHI,W (+8),0,15:30,1.0,2.0,.500,1.0,1.0,1.000,1,2.0,.500,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,4.0,4.8,+4,1.0,0.0,0.0,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,6.0,89.0,5.5625,4.4,80.4,5.025
24,24,16,2022-12-03,24-317,GSW,,HOU,W (+19),0,17:26,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,2.0,-1.3,-3,1.0,1.0,1.0,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,0.0,104.0,6.5,-1.2999999999999998,101.4,6.3375
25,25,17,2022-12-05,24-319,GSW,,IND,L (-8),0,24:25,3.0,9.0,.333,0.0,4.0,.000,0,1.0,.000,1.0,4.0,5.0,3.0,0.0,2.0,1.0,2.0,6.0,4.1,+14,5.0,3.0,0.6,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,5.0,66.0,4.125,4.1,69.4,4.3375
26,26,18,2022-12-07,24-321,GSW,@,UTA,L (-1),0,16:11,3.0,7.0,.429,1.0,4.0,.250,0,2.0,.000,1.0,3.0,4.0,0.0,2.0,0.0,2.0,1.0,7.0,3.7,-9,3.0,2.0,0.6666666666666666,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,2.0,67.0,4.1875,3.6999999999999993,83.2,5.2
27,27,19,2022-12-10,24-324,GSW,,BOS,W (+16),0,10:19,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,-2,0.0,0.0,,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,1.0,87.0,5.4375,0.2999999999999999,93.79999999999998,5.862499999999999
28,28,20,2022-12-13,24-327,GSW,@,MIL,L (-17),0,25:47,3.0,5.0,.600,2.0,4.0,.500,0,0.0,,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,8.0,10.4,+3,1.0,1.0,1.0,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,11.0,48.0,3.0,10.399999999999997,56.69999999999999,3.5437499999999993
29,29,21,2022-12-14,24-328,GSW,@,IND,L (-6),0,11:38,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.2,-18,1.0,1.0,1.0,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,1.0,66.0,4.125,0.2000000000000001,77.30000000000001,4.831250000000001
