Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,25-280,GSW,,SAC,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,,80.0,5.0,0.0,85.19999999999999,5.324999999999999
11,12,4,2022-11-11,25-284,GSW,,CLE,W (+5),0,15:36,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,-0.5,+3,0.0,0.0,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,2.0,77.0,4.8125,-0.5000000000000007,78.5,4.90625
12,13,5,2022-11-13,25-286,GSW,@,SAC,L (-7),0,24:16,1.0,3.0,.333,1.0,3.0,.333,2,2.0,1.000,0.0,5.0,5.0,2.0,0.0,0.0,1.0,1.0,5.0,4.8,0,0.0,0.0,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,6.0,66.0,4.125,4.000000000000001,75.9,4.74375
13,14,6,2022-11-14,25-287,GSW,,SAS,W (+37),0,9:10,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,5.0,1.9,+10,1.0,1.0,1.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,2.0,102.0,6.375,1.9,109.0,6.8125
14,15,7,2022-11-16,25-289,GSW,@,PHO,L (-11),0,18:31,2.0,7.0,.286,2.0,5.0,.400,0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,6.0,3.5,+2,2.0,0.0,0.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,3.0,68.0,4.25,3.5,77.4,4.8375
15,16,8,2022-11-18,25-291,GSW,,NYK,W (+10),0,19:46,2.0,5.0,.400,2.0,5.0,.400,0,0.0,,1.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,6.0,5.5,-11,0.0,0.0,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,7.0,67.0,4.1875,5.499999999999998,76.4,4.775
16,17,9,2022-11-20,25-293,GSW,@,HOU,W (+7),0,15:30,2.0,5.0,.400,0.0,3.0,.000,0,1.0,.000,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,3.5,-7,2.0,2.0,1.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,4.0,103.0,6.4375,3.4999999999999982,103.2,6.45
17,18,10,2022-11-21,25-294,GSW,@,NOP,L (-45),1,19:09,0.0,5.0,.000,0.0,3.0,.000,0,0.0,,0.0,1.0,1.0,5.0,2.0,0.0,2.0,1.0,0.0,-0.1,-26,2.0,0.0,0.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,1.0,38.0,2.375,-0.1,37.1,2.31875
18,19,11,2022-11-23,25-296,GSW,,LAC,W (+17),0,17:23,2.0,3.0,.667,2.0,3.0,.667,0,0.0,,1.0,4.0,5.0,1.0,1.0,0.0,0.0,2.0,6.0,7.5,+6,0.0,0.0,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,10.0,93.0,5.8125,7.499999999999999,97.2,6.075
19,20,12,2022-11-25,25-298,GSW,,UTA,W (+11),0,19:28,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,0.0,3.0,3.0,5.0,2.0,0.0,1.0,1.0,3.0,6.3,-1,1.0,0.0,0.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,9.0,92.0,5.75,6.300000000000001,99.7,6.23125
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,,0.0,0.0,0.0,0.0,0.0
21,21,13,2022-11-27,25-300,GSW,@,MIN,W (+23),0,18:04,5.0,10.0,.500,4.0,8.0,.500,0,0.0,,2.0,4.0,6.0,1.0,1.0,1.0,0.0,3.0,14.0,12.8,-8,2.0,1.0,0.5,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,13.0,97.0,6.0625,12.799999999999995,102.59999999999998,6.412499999999999
22,22,14,2022-11-29,25-302,GSW,@,DAL,L (-3),0,16:53,1.0,5.0,.200,0.0,2.0,.000,4,4.0,1.000,2.0,5.0,7.0,2.0,2.0,0.0,1.0,1.0,6.0,7.8,+15,3.0,1.0,0.3333333333333333,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,7.0,63.0,3.9375,6.200000000000001,71.60000000000001,4.4750000000000005
23,23,15,2022-12-02,25-305,GSW,,CHI,W (+8),0,16:32,2.0,4.0,.500,1.0,3.0,.333,0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,5.0,1.8,-4,1.0,1.0,1.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,3.0,92.0,5.75,1.799999999999999,83.0,5.1875
24,24,16,2022-12-03,25-306,GSW,,HOU,W (+19),0,20:27,0.0,5.0,.000,0.0,5.0,.000,0,0.0,,1.0,1.0,2.0,5.0,2.0,0.0,2.0,4.0,0.0,-0.6,+2,0.0,0.0,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,2.0,102.0,6.375,-0.6000000000000001,100.7,6.29375
25,25,17,2022-12-05,25-308,GSW,,IND,L (-8),0,21:51,4.0,7.0,.571,1.0,3.0,.333,1,2.0,.500,3.0,4.0,7.0,0.0,3.0,0.0,1.0,4.0,10.0,10.0,-2,4.0,3.0,0.75,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,10.0,61.0,3.8125,9.6,63.900000000000006,3.9937500000000004
26,26,18,2022-12-07,25-310,GSW,@,UTA,L (-1),0,28:11,3.0,6.0,.500,1.0,3.0,.333,0,0.0,,3.0,6.0,9.0,7.0,3.0,0.0,2.0,2.0,7.0,13.0,-7,3.0,2.0,0.6666666666666666,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,18.0,51.0,3.1875,12.999999999999996,73.9,4.61875
27,27,19,2022-12-10,25-313,GSW,,BOS,W (+16),0,17:29,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,1.0,7.0,8.0,3.0,1.0,0.0,0.0,3.0,3.0,6.0,+20,1.0,0.0,0.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,12.0,76.0,4.75,5.999999999999999,88.1,5.50625
28,28,20,2022-12-13,25-316,GSW,@,MIL,L (-17),0,26:58,5.0,15.0,.333,4.0,10.0,.400,2,3.0,.667,2.0,5.0,7.0,2.0,2.0,0.0,3.0,0.0,16.0,10.4,-4,5.0,1.0,0.2,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,6.0,53.0,3.3125,9.599999999999998,57.49999999999999,3.5937499999999996
29,29,21,2022-12-14,25-317,GSW,@,IND,L (-6),1,37:48,4.0,10.0,.400,3.0,6.0,.500,4,4.0,1.000,0.0,8.0,8.0,3.0,1.0,0.0,2.0,1.0,15.0,12.7,+19,4.0,1.0,0.25,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,11.0,56.0,3.5,11.1,66.4,4.15
30,30,22,2022-12-16,25-319,GSW,@,PHI,L (-12),1,34:37,6.0,13.0,.462,5.0,8.0,.625,0,0.0,,3.0,7.0,10.0,6.0,1.0,0.0,1.0,3.0,17.0,17.5,-4,5.0,1.0,0.2,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,20.0,58.0,3.625,17.500000000000004,59.1,3.69375
