Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Josh Hart,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,Jalen Johnson,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with Jalen Johnson,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,29-343,POR,@,CHO,W (+10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,80.0,3.076923076923077,0.0,66.2,2.5461538461538464
11,12,,2022-11-10,29-344,POR,@,NOP,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,79.0,3.0384615384615383,0.0,64.8,2.4923076923076923
12,13,,2022-11-12,29-346,POR,@,DAL,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,72.0,2.769230769230769,0.0,59.9,2.3038461538461537
13,14,,2022-11-15,29-349,POR,,SAS,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,104.0,4.0,0.0,103.2,3.9692307692307693
14,15,,2022-11-17,29-351,POR,,BRK,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,71.0,2.730769230769231,0.0,75.9,2.9192307692307695
15,16,,2022-11-19,29-353,POR,,UTA,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,74.0,2.8461538461538463,0.0,68.69999999999999,2.642307692307692
16,17,,2022-11-21,29-355,POR,@,MIL,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,107.0,4.115384615384615,0.0,92.4,3.553846153846154
17,18,,2022-11-23,29-357,POR,@,CLE,L (-18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,39.0,1.5,0.0,41.7,1.603846153846154
18,19,,2022-11-25,29-359,POR,@,NYK,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,103.0,3.9615384615384617,0.0,77.1,2.965384615384615
19,20,,2022-11-27,29-361,POR,@,BRK,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,101.0,3.8846153846153846,0.0,88.9,3.4192307692307695
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-29,29-363,POR,,LAC,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,110.0,4.230769230769231,0.0,102.89999999999998,3.957692307692307
22,22,,2022-11-30,29-364,POR,@,LAL,L (-19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,70.0,2.6923076923076925,0.0,73.80000000000001,2.838461538461539
23,23,,2022-12-03,30-002,POR,@,UTA,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,95.0,3.6538461538461537,0.0,79.0,3.0384615384615383
24,24,,2022-12-04,30-003,POR,,IND,W (+16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,104.0,4.0,0.0,67.60000000000001,2.6000000000000005
25,25,,2022-12-08,30-007,POR,,DEN,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,71.0,2.730769230769231,0.0,73.5,2.826923076923077
26,26,,2022-12-10,30-009,POR,,MIN,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,69.0,2.6538461538461537,0.0,86.89999999999999,3.342307692307692
27,27,,2022-12-12,30-011,POR,,MIN,W (+21),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,88.0,3.3846153846153846,0.0,94.1,3.619230769230769
28,28,,2022-12-14,30-013,POR,@,SAS,W (+16),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,59.0,2.269230769230769,0.0,67.09999999999998,2.58076923076923
29,29,,2022-12-16,30-015,POR,@,DAL,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,67.0,2.576923076923077,0.0,77.5,2.980769230769231
30,30,,2022-12-17,30-016,POR,@,HOU,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,78.0,3.0,0.0,75.4,2.9000000000000004
