Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,38-283,GSW,,SAC,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,80.0,5.714285714285714,0.0,85.19999999999999,6.0857142857142845
11,12,,2022-11-11,38-287,GSW,,CLE,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,79.0,5.642857142857143,0.0,80.3,5.735714285714286
12,13,,2022-11-13,38-289,GSW,@,SAC,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,72.0,5.142857142857143,0.0,81.2,5.8
13,14,,2022-11-14,38-290,GSW,,SAS,W (+37),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,104.0,7.428571428571429,0.0,113.9,8.135714285714286
14,15,,2022-11-16,38-292,GSW,@,PHO,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,71.0,5.071428571428571,0.0,84.30000000000001,6.021428571428572
15,16,,2022-11-18,38-294,GSW,,NYK,W (+10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,74.0,5.285714285714286,0.0,78.69999999999999,5.621428571428571
16,17,,2022-11-20,38-296,GSW,@,HOU,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,107.0,7.642857142857143,0.0,113.59999999999997,8.114285714285712
17,18,,2022-11-21,38-297,GSW,@,NOP,L (-45),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,39.0,2.7857142857142856,0.0,51.79999999999999,3.6999999999999993
18,19,,2022-11-23,38-299,GSW,,LAC,W (+17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,103.0,7.357142857142857,0.0,109.0,7.785714285714286
19,20,,2022-11-25,38-301,GSW,,UTA,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,101.0,7.214285714285714,0.0,106.8,7.628571428571428
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-27,38-303,GSW,@,MIN,W (+23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,110.0,7.857142857142857,0.0,115.39999999999998,8.242857142857142
22,22,,2022-11-29,38-305,GSW,@,DAL,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,70.0,5.0,0.0,77.80000000000001,5.557142857142858
23,23,,2022-12-02,38-308,GSW,,CHI,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,95.0,6.785714285714286,0.0,97.0,6.928571428571429
24,24,,2022-12-03,38-309,GSW,,HOU,W (+19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,104.0,7.428571428571429,0.0,106.1,7.578571428571428
25,25,,2022-12-05,38-311,GSW,,IND,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,71.0,5.071428571428571,0.0,77.7,5.55
26,26,,2022-12-07,38-313,GSW,@,UTA,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,69.0,4.928571428571429,0.0,85.69999999999999,6.121428571428571
27,27,,2022-12-10,38-316,GSW,,BOS,W (+16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,88.0,6.285714285714286,0.0,93.6,6.685714285714285
28,28,,2022-12-13,38-319,GSW,@,MIL,L (-17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,59.0,4.214285714285714,0.0,76.99999999999999,5.499999999999999
29,29,,2022-12-14,38-320,GSW,@,IND,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,67.0,4.785714285714286,0.0,83.5,5.964285714285714
30,30,,2022-12-16,38-322,GSW,@,PHI,L (-12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,78.0,5.571428571428571,0.0,81.2,5.8
31,31,,2022-12-18,38-324,GSW,@,TOR,W (+16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,4,8,8,5,2,8,8,7,4,4,1,7,4,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.081081081081081,0.064516129032258,0.1111111111111111,0.1095890410958904,0.0,0.087719298245614,0.0298507462686567,0.0975609756097561,0.0975609756097561,0.1014492753623188,0.0,0.0634920634920634,0.1290322580645161,0.0833333333333333,0.125,0.0888888888888888,22.0,70.0,0.0,0.0,14,,85.0,6.071428571428571,0.0,97.0,6.928571428571429
