Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,32-139,GSW,,SAC,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,80.0,5.0,0.0,85.19999999999999,5.324999999999999
11,12,,2022-11-11,32-143,GSW,,CLE,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,79.0,4.9375,0.0,78.0,4.875
12,13,,2022-11-13,32-145,GSW,@,SAC,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,72.0,4.5,0.0,79.9,4.99375
13,14,11,2022-11-14,32-146,GSW,,SAS,W (+37),0,15:25,3.0,5.0,.600,1.0,3.0,.333,2,2.0,1.000,0.0,5.0,5.0,2.0,0.0,2.0,1.0,3.0,9.0,8.8,+18,2.0,2.0,1.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,10.0,94.0,5.875,8.0,102.9,6.43125
14,15,12,2022-11-16,32-148,GSW,@,PHO,L (-11),0,17:01,1.0,7.0,.143,0.0,2.0,.000,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,-4.1,+7,5.0,1.0,0.2,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,-4.0,75.0,4.6875,-4.1,85.0,5.3125
15,16,13,2022-11-18,32-150,GSW,,NYK,W (+10),0,16:51,5.0,8.0,.625,0.0,1.0,.000,2,3.0,.667,1.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,12.0,9.9,+8,7.0,5.0,0.7142857142857143,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,6.0,68.0,4.25,9.099999999999994,72.8,4.55
16,17,14,2022-11-20,32-152,GSW,@,HOU,W (+7),0,14:45,4.0,5.0,.800,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,8.0,5.7,-3,4.0,4.0,1.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,5.0,102.0,6.375,5.6999999999999975,101.0,6.3125
17,18,15,2022-11-21,32-153,GSW,@,NOP,L (-45),0,23:11,4.0,6.0,.667,0.0,2.0,.000,2,2.0,1.000,2.0,6.0,8.0,1.0,0.0,1.0,3.0,3.0,10.0,7.8,-21,4.0,4.0,1.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,9.0,30.0,1.875,7.0,30.0,1.875
18,19,16,2022-11-23,32-155,GSW,,LAC,W (+17),0,11:48,2.0,5.0,.400,1.0,2.0,.500,0,0.0,,3.0,3.0,6.0,0.0,0.0,0.0,1.0,3.0,5.0,3.1,0,3.0,1.0,0.3333333333333333,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,5.0,98.0,6.125,3.0999999999999988,101.6,6.35
19,20,17,2022-11-25,32-157,GSW,,UTA,W (+11),0,9:38,4.0,6.0,.667,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,8.0,6.1,+7,5.0,4.0,0.8,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,4.0,97.0,6.0625,6.1,99.9,6.24375
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,,0.0,0.0,0.0,0.0,0.0
21,21,18,2022-11-27,32-159,GSW,@,MIN,W (+23),0,14:24,3.0,4.0,.750,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,6.0,4.9,+9,3.0,3.0,1.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,5.0,105.0,6.5625,4.9,110.49999999999996,6.906249999999997
22,22,19,2022-11-29,32-161,GSW,@,DAL,L (-3),0,8:05,1.0,2.0,.500,0.0,1.0,.000,1,1.0,1.000,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.5,-2,1.0,1.0,1.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,1.0,69.0,4.3125,1.0999999999999996,76.70000000000002,4.793750000000001
23,23,20,2022-12-02,32-164,GSW,,CHI,W (+8),0,10:25,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.2,-5,1.0,1.0,1.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,0.0,95.0,5.9375,0.1999999999999999,84.60000000000001,5.2875000000000005
24,24,21,2022-12-03,32-165,GSW,,HOU,W (+19),0,10:27,2.0,4.0,.500,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,4.0,3.5,-2,3.0,2.0,0.6666666666666666,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,4.0,100.0,6.25,3.5,96.6,6.0375
25,25,22,2022-12-05,32-167,GSW,,IND,L (-8),0,8:26,2.0,2.0,1.000,0.0,0.0,,3,5.0,.600,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,7.0,5.9,-7,2.0,2.0,1.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,2.0,69.0,4.3125,4.699999999999999,68.80000000000001,4.300000000000001
26,26,23,2022-12-07,32-169,GSW,@,UTA,L (-1),1,17:01,3.0,7.0,.429,1.0,3.0,.333,0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,7.0,5.2,-4,4.0,2.0,0.5,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,5.0,64.0,4.0,5.199999999999999,81.7,5.10625
27,27,24,2022-12-10,32-172,GSW,,BOS,W (+16),0,8:48,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,+9,0.0,0.0,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,2.0,86.0,5.375,0.6,93.5,5.84375
28,28,25,2022-12-13,32-175,GSW,@,MIL,L (-17),0,13:02,1.0,4.0,.250,1.0,4.0,.250,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,3.0,6.0,3.0,-4.2,-9,0.0,0.0,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,-2.0,61.0,3.8125,-4.2,71.29999999999998,4.456249999999999
29,29,26,2022-12-14,32-176,GSW,@,IND,L (-6),0,19:07,4.0,4.0,1.000,3.0,3.0,1.000,4,6.0,.667,2.0,3.0,5.0,1.0,0.0,1.0,2.0,1.0,15.0,14.3,-5,1.0,1.0,1.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,10.0,57.0,3.5625,12.699999999999996,64.8,4.05
