Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson
16,17,17,2022-11-21,27-272,NOP,,GSW,W (+45),0,22.033333333333335,6.0,11.0,.545,6.0,11.0,.545,1,1,1.000,0,5,5,4,1,0,1,1,19,17.6,+27,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
17,18,18,2022-11-23,27-274,NOP,@,SAS,W (+19),0,27.8,7.0,13.0,.538,6.0,11.0,.545,1,1,1.000,0,4,4,0,1,1,1,2,21,15.8,+9,2.0,1.0,0.5,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
18,19,19,2022-11-25,27-276,NOP,@,MEM,L (-21),0,14.283333333333333,1.0,3.0,.333,1.0,3.0,.333,2,3,.667,0,2,2,3,1,1,1,0,5,6.3,-6,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
19,20,20,2022-11-28,27-279,NOP,,OKC,W (+4),0,17.516666666666666,1.0,6.0,.167,1.0,5.0,.200,2,2,1.000,1,0,1,3,1,0,1,0,5,4.0,-1,1.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
21,21,21,2022-11-30,27-281,NOP,,TOR,W (+18),0,20.15,0.0,6.0,.000,0.0,5.0,.000,2,2,1.000,0,1,1,2,0,0,1,1,2,-1.9,+2,1.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
22,22,22,2022-12-02,27-283,NOP,@,SAS,W (+18),0,15.883333333333333,1.0,5.0,.200,1.0,4.0,.250,0,0,,0,1,1,0,1,1,1,3,3,-0.3,+4,1.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
23,23,23,2022-12-04,27-285,NOP,,DEN,W (+15),0,13.75,1.0,4.0,.250,1.0,4.0,.250,2,2,1.000,2,1,3,5,0,0,1,1,5,6.4,+14,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
24,24,24,2022-12-07,27-288,NOP,,DET,W (+6),0,12.25,1.0,6.0,.167,0.0,4.0,.000,1,1,1.000,1,2,3,0,1,1,0,1,3,1.8,+12,2.0,1.0,0.5,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
25,25,25,2022-12-09,27-290,NOP,,PHO,W (+11),0,14.916666666666666,1.0,2.0,.500,1.0,2.0,.500,2,2,1.000,0,1,1,4,0,0,1,0,5,6.1,+3,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
26,26,26,2022-12-11,27-292,NOP,,PHO,W (+5),0,9.116666666666667,2.0,4.0,.500,0.0,2.0,.000,0,0,,0,0,0,0,0,0,1,1,4,0.6,-4,2.0,2.0,1.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
27,27,27,2022-12-13,27-294,NOP,@,UTA,L (-21),0,5.8,1.0,2.0,.500,0.0,1.0,.000,0,0,,0,0,0,1,1,0,0,0,2,2.7,-1,1.0,1.0,1.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
28,28,28,2022-12-15,27-296,NOP,@,UTA,L (-3),0,20.016666666666666,2.0,5.0,.400,1.0,3.0,.333,3,4,.750,1,2,3,3,0,0,2,1,8,5.9,+4,2.0,1.0,0.5,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
29,29,29,2022-12-17,27-298,NOP,@,PHO,L (-4),0,8.016666666666667,1.0,3.0,.333,0.0,2.0,.000,1,1,1.000,0,3,3,1,0,0,0,2,3,2.1,+3,1.0,1.0,1.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
30,30,30,2022-12-19,27-300,NOP,,MIL,L (-9),0,7.1,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-9,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
31,31,31,2022-12-22,27-303,NOP,,SAS,W (+9),0,8.833333333333334,1.0,2.0,.500,1.0,2.0,.500,3,4,.750,1,0,1,1,0,0,0,0,6,6.0,-8,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
32,32,32,2022-12-23,27-304,NOP,@,OKC,W (+3),0,18.3,3.0,6.0,.500,1.0,4.0,.250,2,2,1.000,1,1,2,5,1,0,1,1,9,10.1,-1,2.0,2.0,1.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
33,33,33,2022-12-26,27-307,NOP,,IND,W (+20),0,19.916666666666668,3.0,8.0,.375,3.0,7.0,.429,2,2,1.000,1,2,3,4,0,0,0,0,11,10.7,+31,1.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
34,34,34,2022-12-28,27-309,NOP,,MIN,W (+1),0,15.783333333333333,0.0,3.0,.000,0.0,2.0,.000,0,0,,1,3,4,1,0,1,0,1,0,0.5,+2,1.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
35,35,35,2022-12-30,27-311,NOP,,PHI,W (+11),0,17.2,1.0,3.0,.333,1.0,3.0,.333,0,1,.000,0,1,1,2,0,0,0,0,3,2.6,+9,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
36,36,36,2022-12-31,27-312,NOP,@,MEM,L (-15),0,17.333333333333332,1.0,3.0,.333,1.0,3.0,.333,0,0,,0,1,1,1,0,0,1,1,3,0.9,-5,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
37,37,37,2023-01-02,27-314,NOP,@,PHI,L (-9),0,12.5,0.0,3.0,.000,0.0,3.0,.000,2,2,1.000,1,2,3,5,0,0,0,2,2,3.9,-1,0.0,0.0,,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
38,38,38,2023-01-04,27-316,NOP,,HOU,W (+11),0,12.716666666666667,0.0,4.0,.000,0.0,3.0,.000,0,0,,0,0,0,1,0,0,0,0,0,-2.1,-1,1.0,0.0,0.0,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
39,39,39,2023-01-06,27-318,NOP,,BRK,L (-6),0,12.166666666666666,1.0,3.0,.333,0.0,1.0,.000,0,0,,0,2,2,0,2,0,1,1,2,1.5,+5,2.0,1.0,0.5,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
40,40,40,2023-01-07,27-319,NOP,@,DAL,L (-10),0,15.55,2.0,7.0,.286,0.0,4.0,.000,0,2,.000,0,0,0,3,2,0,0,0,4,3.2,-13,3.0,2.0,0.6666666666666666,18,47,4,39,17,37,30,52,52,8,43,48,50,27,29,45.0,75.0,5.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4,0.6266666666666667,0.8,0.6610169491525424,0.68,0.5606060606060606,0.6382978723404256,0.6582278481012658,0.8524590163934426,0.32,0.6615384615384615,0.6233766233766234,0.6329113924050633,0.7105263157894737,1.0
