Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-09,24-289,NOP,CHI,0.0,22.133333333333333,4.0,8.0,0.5,1.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,2.0,2.0,9.0,3.3,6.0,7.0,3.0,0.4285714285714285,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,2.0,75.0,4.6875,3.299999999999999,84.79999999999998,5.299999999999999,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+4),W (+4)
12.0,12.0,2022-11-10,24-290,NOP,POR,0.0,6.2,1.0,3.0,0.333,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6,6.0,1.0,0.0,0.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,1.0,63.0,3.9375,1.6,58.30000000000001,3.6437500000000007,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,L (-11),L (-11)
13.0,13.0,2022-11-12,24-292,NOP,HOU,0.0,15.05,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,4.4,-19.0,2.0,0.0,0.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,4.0,57.0,3.5625,4.4,80.70000000000002,5.043750000000001,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+13),W (+13)
14.0,14.0,2022-11-15,24-295,NOP,MEM,0.0,25.45,1.0,5.0,0.2,0.0,2.0,0.0,2.0,2.0,1.0,0.0,8.0,8.0,4.0,0.0,0.0,2.0,2.0,4.0,3.3,8.0,3.0,1.0,0.3333333333333333,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,7.0,93.0,5.8125,2.5000000000000018,89.4,5.5875,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+11),W (+11)
15.0,15.0,2022-11-16,24-296,NOP,CHI,0.0,18.116666666666667,1.0,6.0,0.167,1.0,4.0,0.25,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,-1.5,-6.0,2.0,0.0,0.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,-3.0,105.0,6.5625,-1.4999999999999996,99.0,6.1875,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+14),W (+14)
16.0,16.0,2022-11-18,24-298,NOP,BOS,0.0,21.516666666666666,3.0,5.0,0.6,1.0,3.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,9.0,9.7,-5.0,2.0,2.0,1.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,7.0,89.0,5.5625,8.899999999999999,83.29999999999998,5.206249999999999,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,L (-8),L (-8)
17.0,17.0,2022-11-21,24-301,NOP,GSW,0.0,23.433333333333334,3.0,7.0,0.429,0.0,2.0,0.0,0.0,0.0,,0.0,4.0,4.0,7.0,1.0,0.0,1.0,0.0,6.0,8.4,19.0,5.0,3.0,0.6,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,10.0,82.0,5.125,8.400000000000002,93.40000000000002,5.837500000000001,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+45),W (+45)
18.0,18.0,2022-11-23,24-303,NOP,SAS,0.0,24.066666666666663,1.0,4.0,0.25,0.0,1.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,5.0,0.0,0.0,2.0,1.0,5.0,3.6,4.0,3.0,1.0,0.3333333333333333,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,1.0,94.0,5.875,2.3999999999999986,88.9,5.55625,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+19),W (+19)
19.0,19.0,2022-11-25,24-305,NOP,MEM,0.0,13.916666666666666,3.0,6.0,0.5,3.0,5.0,0.6,0.0,0.0,,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,9.0,7.7,-9.0,1.0,0.0,0.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,6.0,66.0,4.125,7.699999999999999,64.9,4.05625,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,L (-21),L (-21)
20.0,,2022-11-28,24-308,NOP,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,,80.0,5.0,0.0,71.9,4.49375,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+4),W (+4)
21.0,,2022-11-30,24-310,NOP,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,,92.0,5.75,0.0,102.49999999999996,6.406249999999997,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,,
22.0,20.0,2022-12-02,24-312,NOP,SAS,0.0,20.016666666666666,5.0,11.0,0.455,1.0,5.0,0.2,4.0,4.0,1.0,1.0,4.0,5.0,1.0,2.0,0.0,0.0,2.0,15.0,13.1,5.0,6.0,4.0,0.6666666666666666,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,8.0,88.0,5.5,11.499999999999998,80.69999999999999,5.043749999999999,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+18),W (+18)
23.0,21.0,2022-12-04,24-314,NOP,DEN,0.0,23.95,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,,0.0,3.0,3.0,6.0,2.0,1.0,0.0,1.0,3.0,8.0,23.0,1.0,0.0,0.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,11.0,64.0,4.0,7.999999999999998,80.9,5.05625,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+18),W (+18)
24.0,22.0,2022-12-07,24-317,NOP,DET,0.0,29.98333333333333,6.0,7.0,0.857,3.0,4.0,0.75,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,3.0,2.0,17.0,15.7,2.0,3.0,3.0,1.0,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,14.0,61.0,3.8125,14.899999999999997,56.2,3.5125,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+15),W (+15)
25.0,23.0,2022-12-09,24-319,NOP,PHO,0.0,31.266666666666666,5.0,11.0,0.455,2.0,6.0,0.333,2.0,3.0,0.667,1.0,1.0,2.0,4.0,1.0,0.0,0.0,2.0,14.0,11.9,-1.0,5.0,3.0,0.6,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,7.0,63.0,3.9375,11.1,88.8,5.55,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+6),W (+6)
26.0,24.0,2022-12-11,24-321,NOP,PHO,0.0,36.333333333333336,6.0,8.0,0.75,0.0,0.0,,4.0,5.0,0.8,1.0,4.0,5.0,5.0,0.0,0.0,1.0,2.0,16.0,16.0,-4.0,8.0,6.0,0.75,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,12.0,83.0,5.1875,14.399999999999997,89.90000000000002,5.618750000000001,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+11),W (+11)
27.0,25.0,2022-12-13,24-323,NOP,UTA,0.0,22.5,2.0,5.0,0.4,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,6.0,6.3,-14.0,4.0,2.0,0.5,45,72,5,48,54,22,61,43,74,56,25,61,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,79.0,38.0,29.0,1.0,0.96,1.0,0.6575342465753424,0.9152542372881356,0.88,0.9242424242424242,0.9148936170212766,0.9367088607594936,0.918032786885246,1.0,0.9384615384615383,0.9367088607594936,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,5.0,44.0,2.75,5.499999999999999,71.6,4.475,11.4,2.5,-1.9,-1.9,0.0,0.074429515888249,0.539,0.382,0.306,0.1,0.5,W (+5),W (+5)
