Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Lawson,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-07,23-121,MIN,NYK,0,10.566666666666666,3.0,5.0,.600,2.0,3.0,.667,0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,8.0,7.3,-19,2.0,1.0,0.5,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,7.0,65.0,3.421052631578948,7.299999999999997,72.4,3.810526315789474,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,L (-13),L (-13)
12.0,12.0,2022-11-09,23-123,MIN,PHO,0,22.666666666666668,5.0,8.0,.625,2.0,4.0,.500,2,2.0,1.000,0.0,2.0,2.0,3.0,0.0,0.0,7.0,3.0,14.0,4.9,-11,4.0,3.0,0.75,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,2.0,68.0,3.5789473684210527,4.100000000000001,78.0,4.105263157894737,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,L (-12),L (-12)
13.0,13.0,2022-11-11,23-125,MIN,MEM,0,11.3,1.0,7.0,.143,0.0,3.0,.000,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,-1.8,-16,4.0,1.0,0.25,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,-4.0,77.0,4.052631578947368,-1.7999999999999998,86.50000000000001,4.552631578947369,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,L (-11),L (-11)
14.0,14.0,2022-11-13,23-127,MIN,CLE,0,14.666666666666666,3.0,6.0,.500,1.0,3.0,.333,2,2.0,1.000,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,9.0,6.5,-3,3.0,2.0,0.6666666666666666,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,4.0,65.0,3.421052631578948,5.700000000000001,67.5,3.5526315789473686,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,W (+5),W (+5)
15.0,15.0,2022-11-16,23-130,MIN,ORL,0,7.116666666666666,0.0,5.0,.000,0.0,3.0,.000,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.2,-10,2.0,0.0,0.0,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,-3.0,83.0,4.368421052631579,-2.2,98.6,5.189473684210526,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,W (+18),W (+18)
16.0,16.0,2022-11-19,23-133,MIN,PHI,0,14.0,5.0,7.0,.714,2.0,4.0,.500,1,2.0,.500,1.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,13.0,9.9,+1,3.0,3.0,1.0,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,7.0,61.0,3.210526315789474,9.5,63.99999999999999,3.3684210526315788,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,W (+3),W (+3)
17.0,17.0,2022-11-21,23-135,MIN,MIA,0,9.166666666666666,2.0,7.0,.286,0.0,4.0,.000,1,1.0,1.000,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,5.0,0.6,+4,3.0,2.0,0.6666666666666666,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,-2.0,77.0,4.052631578947368,0.2000000000000006,81.7,4.3,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,W (+4),W (+4)
18.0,18.0,2022-11-23,23-137,MIN,IND,0,11.45,1.0,6.0,.167,0.0,3.0,.000,0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,-1.3,-5,3.0,1.0,0.3333333333333333,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,-1.0,84.0,4.421052631578948,-1.2999999999999992,84.0,4.421052631578948,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,W (+14),W (+14)
19.0,19.0,2022-11-25,23-139,MIN,CHO,0,17.85,4.0,9.0,.444,0.0,3.0,.000,0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,8.0,2.8,-4,6.0,4.0,0.6666666666666666,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,1.0,44.0,2.3157894736842106,2.8,48.69999999999999,2.5631578947368414,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,L (-2),L (-2)
20.0,20.0,2022-11-27,23-141,MIN,GSW,0,24.2,5.0,11.0,.455,4.0,7.0,.571,2,3.0,.667,0.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,16.0,13.1,+6,4.0,1.0,0.25,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,9.0,26.0,1.368421052631579,12.3,44.8,2.357894736842105,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,L (-23),L (-23)
21.0,21.0,2022-11-28,23-142,MIN,WAS,0,25.1,9.0,13.0,.692,2.0,3.0,.667,3,4.0,.750,2.0,3.0,5.0,2.0,1.0,0.0,1.0,0.0,23.0,20.8,-5,10.0,7.0,0.7,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,13.0,45.0,2.3684210526315788,19.599999999999994,60.2,3.168421052631579,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,,
22.0,22.0,2022-11-30,23-144,MIN,MEM,0,31.116666666666667,9.0,19.0,.474,4.0,10.0,.400,2,2.0,1.000,3.0,2.0,5.0,2.0,2.0,0.0,1.0,2.0,24.0,18.6,+8,9.0,5.0,0.5555555555555556,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,11.0,52.0,2.736842105263158,17.800000000000004,62.1,3.268421052631579,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,L (-15),L (-15)
23.0,23.0,2022-12-03,23-147,MIN,OKC,0,23.03333333333333,6.0,13.0,.462,2.0,5.0,.400,7,8.0,.875,2.0,1.0,3.0,2.0,0.0,0.0,1.0,4.0,21.0,14.4,+2,8.0,4.0,0.5,1,63,48,25,54,62,27,11,22,52,22,33,57,54,39,24,15.0,79.0,52.0,25.0,71.0,79.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.7974683544303798,0.9230769230769232,1.0,0.7605633802816901,0.7848101265822784,0.627906976744186,0.7333333333333333,0.7586206896551724,0.7536231884057971,0.7857142857142857,0.868421052631579,0.8382352941176471,0.7714285714285715,0.7222222222222222,0.8275862068965517,20,9,8,34.0,67.0,59.0,29.0,0.5882352941176471,0.1343283582089552,0.135593220338983,0.0,19,4.0,70.0,3.684210526315789,11.6,68.2,3.5894736842105264,13.7,1.2,-2.5,-1.5,-1.0,0.0741520960606699,0.527,0.371,0.158,-0.2,0.0,W (+8),W (+8)
