Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Cody Martin,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,19-364,CHO,,WAS,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,,48.0,2.6666666666666665,0.0,73.10000000000001,4.061111111111112
11,12,,2022-11-09,20-001,CHO,,POR,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,,24.0,1.3333333333333333,0.0,45.6,2.533333333333333
12,13,,2022-11-10,20-002,CHO,@,MIA,L (-5),Not With Team,Not With Team,0.0,0.0,Not With Team,,,Not With Team,Not With Team,0.0,Not With Team,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Not With Team,Not With Team,,,,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,,33.0,1.8333333333333333,0.0,47.7,2.6500000000000004
13,14,,2022-11-12,20-004,CHO,@,MIA,L (-17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,,52.0,2.888888888888889,0.0,76.89999999999999,4.272222222222222
14,15,,2022-11-14,20-006,CHO,@,ORL,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,,42.0,2.333333333333333,0.0,65.59999999999998,3.6444444444444435
15,16,,2022-11-16,20-008,CHO,,IND,L (-12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,,47.0,2.611111111111111,0.0,75.3,4.183333333333334
16,17,,2022-11-18,20-010,CHO,@,CLE,L (-10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,,63.0,3.5,0.0,81.5,4.527777777777778
17,18,,2022-11-20,20-012,CHO,@,WAS,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,,50.0,2.7777777777777777,0.0,64.1,3.561111111111111
18,19,,2022-11-23,20-015,CHO,,PHI,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,,33.0,1.8333333333333333,0.0,52.39999999999999,2.9111111111111105
19,20,,2022-11-25,20-017,CHO,,MIN,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,,52.0,2.888888888888889,0.0,76.4,4.2444444444444445
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,,0.0,0.0,0.0,0.0,0.0
21,21,6,2022-11-28,20-020,CHO,@,BOS,L (-35),0,24:28,3.0,7.0,.429,2.0,4.0,.500,2,2.0,1.000,0.0,2.0,2.0,6.0,0.0,1.0,1.0,1.0,10.0,10.4,+6,3.0,1.0,0.3333333333333333,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,9.0,42.0,2.333333333333333,9.6,56.59999999999999,3.144444444444444
22,22,7,2022-12-02,20-024,CHO,,WAS,W (+1),0,20:19,1.0,4.0,.250,1.0,1.0,1.000,1,2.0,.500,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,2.6,+6,3.0,0.0,0.0,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,1.0,52.0,2.888888888888889,2.200000000000001,70.0,3.888888888888889
23,23,8,2022-12-03,20-025,CHO,,MIL,L (-9),0,17:32,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,-9,2.0,1.0,0.5,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,3.0,13.0,0.7222222222222222,1.9,28.40000000000001,1.5777777777777784
24,24,9,2022-12-05,20-027,CHO,,LAC,L (-2),0,16:48,3.0,5.0,.600,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,6.0,4.9,-19,5.0,3.0,0.6,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,4.0,50.0,2.7777777777777777,4.9,68.49999999999999,3.805555555555555
25,25,10,2022-12-07,20-029,CHO,@,BRK,L (-6),0,19:59,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,2.3,-6,1.0,0.0,0.0,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,2.0,41.0,2.2777777777777777,2.3000000000000003,59.10000000000001,3.2833333333333337
26,26,11,2022-12-09,20-031,CHO,,NYK,L (-19),0,30:03,3.0,9.0,.333,1.0,3.0,.333,3,3.0,1.000,1.0,4.0,5.0,1.0,0.0,0.0,1.0,2.0,10.0,5.7,-21,6.0,2.0,0.3333333333333333,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,3.0,33.0,1.8333333333333333,4.499999999999997,46.2,2.566666666666667
27,27,12,2022-12-11,20-033,CHO,@,PHI,L (-18),0,23:20,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,-6,1.0,1.0,1.0,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,1.0,38.0,2.111111111111111,1.0,63.400000000000006,3.5222222222222226
28,28,,2022-12-14,20-036,CHO,,DET,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,,34.0,1.8888888888888888,0.0,64.20000000000002,3.5666666666666678
29,29,13,2022-12-16,20-038,CHO,,ATL,L (-19),0,3:47,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,+4,2.0,0.0,0.0,5,32,25,22,19,42,34,24,4,12,27,22,41,38,32,22,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7142857142857143,0.5925925925925926,0.5,0.275,0.5588235294117647,0.6086956521739131,0.7391304347826086,0.5,0.8,0.3333333333333333,0.627906976744186,0.2784810126582278,0.6307692307692307,0.5205479452054794,0.5079365079365079,0.5,0.0,14,18,67.0,32.0,0.0,0.5625,18,-1.0,54.0,3.0,-1.1,75.2,4.177777777777778
