Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,22-050,CHO,,WAS,L (-8),0,20:24,3.0,7.0,.429,0.0,3.0,.000,1,2.0,.500,1.0,5.0,6.0,3.0,0.0,0.0,1.0,3.0,7.0,5.0,-5,4.0,3.0,0.75,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,6.0,42.0,2.333333333333333,4.599999999999999,68.50000000000001,3.8055555555555562
11,12,12,2022-11-09,22-052,CHO,,POR,L (-10),0,17:05,2.0,5.0,.400,1.0,3.0,.333,2,2.0,1.000,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,7.0,4.5,-11,2.0,1.0,0.5,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,1.0,23.0,1.2777777777777777,3.700000000000001,41.89999999999999,2.3277777777777775
12,13,13,2022-11-10,22-053,CHO,@,MIA,L (-5),0,17:10,0.0,5.0,.000,0.0,4.0,.000,1,2.0,.500,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,-3.8,-12,1.0,0.0,0.0,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,-4.0,37.0,2.055555555555556,-4.2,51.900000000000006,2.8833333333333337
13,14,14,2022-11-12,22-055,CHO,@,MIA,L (-17),0,14:06,4.0,6.0,.667,1.0,3.0,.333,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,6.7,-3,3.0,3.0,1.0,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,4.0,48.0,2.6666666666666665,6.699999999999999,70.2,3.9000000000000004
14,15,15,2022-11-14,22-057,CHO,@,ORL,W (+7),0,3:44,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1,1.0,0.0,0.0,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,-1.0,43.0,2.388888888888889,-0.7,66.29999999999998,3.6833333333333322
15,16,16,2022-11-16,22-059,CHO,,IND,L (-12),0,6:20,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.3,+3,2.0,1.0,0.5,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,1.0,46.0,2.555555555555556,1.2999999999999998,74.0,4.111111111111111
16,17,17,2022-11-18,22-061,CHO,@,CLE,L (-10),0,12:08,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,-0.9,-5,0.0,0.0,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,2.0,61.0,3.388888888888889,-0.9000000000000004,82.39999999999999,4.5777777777777775
17,18,,2022-11-20,22-063,CHO,@,WAS,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,50.0,2.7777777777777777,0.0,64.1,3.561111111111111
18,19,,2022-11-23,22-066,CHO,,PHI,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,33.0,1.8333333333333333,0.0,52.39999999999999,2.9111111111111105
19,20,18,2022-11-25,22-068,CHO,,MIN,W (+2),0,14:59,3.0,5.0,.600,2.0,3.0,.667,0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,8.0,6.3,+6,2.0,1.0,0.5,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,6.0,46.0,2.555555555555556,6.299999999999999,70.1,3.894444444444444
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,0.0,0.0,0.0,0.0,0.0
21,21,19,2022-11-28,22-071,CHO,@,BOS,L (-35),0,23:59,1.0,7.0,.143,0.0,3.0,.000,0,0.0,,1.0,5.0,6.0,1.0,2.0,0.0,0.0,0.0,2.0,2.4,-22,4.0,1.0,0.25,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,4.0,47.0,2.611111111111111,2.4000000000000004,63.79999999999999,3.544444444444444
22,22,,2022-12-02,22-075,CHO,,WAS,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,53.0,2.9444444444444446,0.0,72.2,4.011111111111111
23,23,,2022-12-03,22-076,CHO,,MIL,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,16.0,0.8888888888888888,0.0,30.300000000000004,1.6833333333333336
24,24,,2022-12-05,22-078,CHO,,LAC,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,54.0,3.0,0.0,73.39999999999999,4.0777777777777775
25,25,,2022-12-07,22-080,CHO,@,BRK,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,43.0,2.388888888888889,0.0,61.400000000000006,3.4111111111111114
26,26,20,2022-12-09,22-082,CHO,,NYK,L (-19),0,3:02,0.0,0.0,,0.0,0.0,,5,6.0,.833,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.6,+1,0.0,0.0,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,0.0,36.0,2.0,3.6,47.1,2.6166666666666667
27,27,21,2022-12-11,22-084,CHO,@,PHI,L (-18),0,2:39,1.0,2.0,.500,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.9,+2,1.0,0.0,0.0,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,3.0,36.0,2.0,2.8999999999999995,61.5,3.4166666666666665
28,28,,2022-12-14,22-087,CHO,,DET,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,2,17,14,26,29,24,23,5,7,12,26,32,29,17,32,46.0,7.0,54.0,50.0,80.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4130434782608695,0.2857142857142857,0.3148148148148148,0.28,0.325,0.4202898550724637,0.5217391304347826,0.4791666666666667,1.0,0.1944444444444444,0.2790697674418604,0.3291139240506329,0.4923076923076923,0.3972602739726027,0.2698412698412698,0.7272727272727273,0.0,15,8,67.0,32.0,0.0,0.25,18,,34.0,1.8888888888888888,0.0,64.20000000000002,3.5666666666666678
