Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,26-333,CHO,,WAS,L (-8),1,28:43,8.0,20.0,.400,1.0,7.0,.143,3,3.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,20.0,6.5,-3,13.0,7.0,0.5384615384615384,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,-3.0,51.0,2.833333333333333,5.300000000000001,67.80000000000001,3.7666666666666675
11,12,12,2022-11-09,26-335,CHO,,POR,L (-10),1,35:53,5.0,19.0,.263,1.0,11.0,.091,5,7.0,.714,4.0,4.0,8.0,3.0,1.0,0.0,1.0,2.0,16.0,9.2,-4,8.0,4.0,0.5,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,1.0,23.0,1.2777777777777777,7.200000000000001,38.39999999999999,2.133333333333333
12,13,13,2022-11-10,26-336,CHO,@,MIA,L (-5),1,38:44,11.0,20.0,.550,7.0,13.0,.538,0,0.0,,0.0,7.0,7.0,2.0,2.0,1.0,3.0,5.0,29.0,20.6,+2,7.0,4.0,0.5714285714285714,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,18.0,15.0,0.8333333333333334,20.6,27.1,1.5055555555555555
13,14,14,2022-11-12,26-338,CHO,@,MIA,L (-17),1,33:45,8.0,16.0,.500,2.0,5.0,.400,2,3.0,.667,1.0,7.0,8.0,1.0,0.0,1.0,1.0,1.0,20.0,14.4,-22,11.0,6.0,0.5454545454545454,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,10.0,42.0,2.333333333333333,13.6,63.3,3.5166666666666666
14,15,15,2022-11-14,26-340,CHO,@,ORL,W (+7),1,33:49,5.0,18.0,.278,0.0,6.0,.000,6,8.0,.750,3.0,2.0,5.0,0.0,6.0,0.0,1.0,4.0,16.0,10.7,+17,12.0,5.0,0.4166666666666667,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,0.0,42.0,2.333333333333333,8.300000000000002,57.29999999999999,3.1833333333333327
15,16,16,2022-11-16,26-342,CHO,,IND,L (-12),1,35:31,8.0,21.0,.381,1.0,7.0,.143,0,0.0,,7.0,6.0,13.0,2.0,2.0,0.0,1.0,4.0,17.0,13.0,-11,14.0,7.0,0.5,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,12.0,35.0,1.9444444444444444,12.999999999999998,62.3,3.461111111111111
16,17,17,2022-11-18,26-344,CHO,@,CLE,L (-10),1,38:45,12.0,21.0,.571,5.0,9.0,.556,5,5.0,1.000,1.0,2.0,3.0,0.0,3.0,0.0,2.0,6.0,34.0,24.0,+6,12.0,7.0,0.5833333333333334,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,12.0,51.0,2.833333333333333,22.0,59.5,3.3055555555555554
17,18,18,2022-11-20,26-346,CHO,@,WAS,L (-4),1,29:21,10.0,20.0,.500,1.0,7.0,.143,2,2.0,1.000,1.0,6.0,7.0,0.0,1.0,1.0,0.0,3.0,23.0,16.0,-3,13.0,9.0,0.6923076923076923,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,10.0,40.0,2.2222222222222223,15.2,48.900000000000006,2.716666666666667
18,19,19,2022-11-23,26-349,CHO,,PHI,W (+6),1,32:48,6.0,15.0,.400,0.0,6.0,.000,2,2.0,1.000,2.0,2.0,4.0,1.0,2.0,0.0,1.0,3.0,14.0,8.4,+4,9.0,6.0,0.6666666666666666,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,3.0,30.0,1.6666666666666667,7.599999999999998,44.8,2.488888888888889
19,20,20,2022-11-25,26-351,CHO,,MIN,W (+2),1,34:22,10.0,21.0,.476,3.0,7.0,.429,5,8.0,.625,2.0,4.0,6.0,2.0,3.0,0.0,0.0,1.0,28.0,22.7,+7,14.0,7.0,0.5,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,10.0,42.0,2.333333333333333,20.700000000000003,55.69999999999999,3.0944444444444437
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-11-28,26-354,CHO,@,BOS,L (-35),1,26:05,11.0,18.0,.611,0.0,4.0,.000,0,1.0,.000,2.0,3.0,5.0,3.0,2.0,0.0,3.0,2.0,22.0,16.0,-37,14.0,11.0,0.7857142857142857,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,10.0,41.0,2.2777777777777777,15.999999999999996,50.2,2.788888888888889
22,22,22,2022-12-02,26-358,CHO,,WAS,W (+1),1,37:54,9.0,21.0,.429,2.0,5.0,.400,2,4.0,.500,3.0,4.0,7.0,2.0,2.0,0.0,0.0,3.0,22.0,15.6,-11,16.0,7.0,0.4375,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,8.0,45.0,2.5,14.800000000000004,57.400000000000006,3.188888888888889
23,23,23,2022-12-03,26-359,CHO,,MIL,L (-9),1,39:20,4.0,14.0,.286,1.0,5.0,.200,11,12.0,.917,0.0,2.0,2.0,0.0,2.0,0.0,1.0,4.0,20.0,11.4,+3,9.0,3.0,0.3333333333333333,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,-3.0,19.0,1.0555555555555556,7.000000000000004,23.3,1.2944444444444445
24,24,24,2022-12-05,26-361,CHO,,LAC,L (-2),1,40:00,10.0,23.0,.435,4.0,10.0,.400,4,6.0,.667,4.0,3.0,7.0,2.0,0.0,0.0,1.0,0.0,28.0,19.2,-2,13.0,6.0,0.4615384615384615,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,7.0,47.0,2.611111111111111,17.599999999999994,55.8,3.0999999999999996
25,25,25,2022-12-07,26-363,CHO,@,BRK,L (-6),1,40:51,11.0,20.0,.550,3.0,7.0,.429,3,5.0,.600,2.0,6.0,8.0,1.0,2.0,1.0,2.0,1.0,28.0,21.8,-14,13.0,8.0,0.6153846153846154,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,13.0,30.0,1.6666666666666667,20.6,40.80000000000001,2.2666666666666675
26,26,26,2022-12-09,27-000,CHO,,NYK,L (-19),1,37:08,8.0,20.0,.400,2.0,8.0,.250,4,5.0,.800,2.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,22.0,15.2,-11,12.0,6.0,0.5,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,4.0,32.0,1.7777777777777777,13.599999999999998,37.1,2.0611111111111113
27,27,27,2022-12-11,27-002,CHO,@,PHI,L (-18),1,36:55,11.0,23.0,.478,3.0,8.0,.375,4,7.0,.571,1.0,2.0,3.0,1.0,2.0,1.0,2.0,5.0,29.0,16.8,-6,15.0,8.0,0.5333333333333333,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,4.0,35.0,1.9444444444444444,15.20000000000001,49.19999999999999,2.7333333333333325
28,28,28,2022-12-14,27-005,CHO,,DET,L (-7),1,39:57,10.0,27.0,.370,5.0,13.0,.385,3,5.0,.600,1.0,7.0,8.0,1.0,3.0,1.0,1.0,5.0,28.0,16.5,-4,14.0,5.0,0.3571428571428571,24,1,28,31,35,23,35,33,5,14,13,35,46,43,38,33,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5217391304347826,0.1428571428571428,0.5185185185185185,0.62,0.4375,0.6764705882352942,0.5072463768115942,0.717391304347826,1.0,0.3888888888888889,0.3023255813953488,0.4430379746835443,0.7076923076923077,0.589041095890411,0.6031746031746031,0.75,0.0,19,9,67.0,32.0,0.0,0.28125,18,8.0,26.0,1.4444444444444444,15.300000000000011,48.900000000000006,2.716666666666667
