Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with James Wiseman,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,10.0,2022-11-07,20-267,DET,OKC,1,33.85,6.0,15.0,.400,2.0,7.0,.286,1,1.0,1.000,3.0,8.0,11.0,6.0,2.0,3.0,2.0,2.0,15.0,16.9,+13,8.0,4.0,0.5,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,19.0,40.0,2.0,16.499999999999996,46.7,2.335,12.1,0.0,-3.3,-1.4,-1.9,0.1331122166943062,0.528,0.356,0.362,-0.7,-0.9,W (+9),W (+9)
12.0,11.0,2022-11-09,20-269,DET,BOS,1,31.383333333333333,6.0,12.0,.500,2.0,5.0,.400,5,7.0,.714,3.0,7.0,10.0,6.0,1.0,0.0,0.0,0.0,19.0,21.6,-19,7.0,4.0,0.5714285714285714,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,17.0,44.0,2.2,19.6,60.7,3.035,12.1,0.0,-3.3,-1.4,-1.9,0.1331122166943062,0.528,0.356,0.362,-0.7,-0.9,L (-16),L (-16)
13.0,12.0,2022-11-11,20-271,DET,NYK,1,25.03333333333333,4.0,11.0,.364,0.0,1.0,.000,2,5.0,.400,1.0,2.0,3.0,4.0,2.0,0.0,4.0,1.0,10.0,4.4,-17,10.0,4.0,0.4,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,-1.0,65.0,3.25,3.6,77.19999999999999,3.86,12.1,0.0,-3.3,-1.4,-1.9,0.1331122166943062,0.528,0.356,0.362,-0.7,-0.9,L (-9),L (-9)
14.0,13.0,2022-11-12,20-272,DET,BOS,1,34.166666666666664,8.0,15.0,.533,4.0,6.0,.667,6,6.0,1.000,2.0,2.0,4.0,3.0,0.0,0.0,4.0,4.0,26.0,17.2,-4,9.0,4.0,0.4444444444444444,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,8.0,60.0,3.0,14.799999999999995,61.09999999999999,3.055,12.1,0.0,-3.3,-1.4,-1.9,0.1331122166943062,0.528,0.356,0.362,-0.7,-0.9,L (-9),L (-9)
15.0,14.0,2022-11-14,20-274,DET,TOR,1,34.266666666666666,6.0,16.0,.375,1.0,5.0,.200,8,10.0,.800,0.0,4.0,4.0,8.0,1.0,0.0,4.0,6.0,21.0,12.8,+3,11.0,5.0,0.4545454545454545,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,4.0,37.0,1.85,9.599999999999996,55.6,2.78,12.1,0.0,-3.3,-1.4,-1.9,0.1331122166943062,0.528,0.356,0.362,-0.7,-0.9,L (-4),L (-4)
16.0,15.0,2022-11-17,20-277,DET,LAC,1,37.766666666666666,8.0,21.0,.381,1.0,7.0,.143,1,2.0,.500,1.0,3.0,4.0,5.0,0.0,0.0,4.0,5.0,18.0,5.2,-3,14.0,7.0,0.5,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,0.0,28.0,1.4,4.799999999999997,35.2,1.7600000000000002,12.1,0.0,-3.3,-1.4,-1.9,0.1331122166943062,0.528,0.356,0.362,-0.7,-0.9,L (-5),L (-5)
17.0,16.0,2022-11-18,20-278,DET,LAL,1,33.53333333333333,5.0,18.0,.278,1.0,9.0,.111,6,8.0,.750,1.0,3.0,4.0,5.0,0.0,1.0,1.0,2.0,17.0,9.6,-7,9.0,4.0,0.4444444444444444,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,0.0,60.0,3.0,7.199999999999996,83.9,4.195,12.1,0.0,-3.3,-1.4,-1.9,0.1331122166943062,0.528,0.356,0.362,-0.7,-0.9,L (-7),L (-7)
18.0,17.0,2022-11-20,20-280,DET,SAC,1,32.166666666666664,8.0,14.0,.571,4.0,4.0,1.000,4,6.0,.667,1.0,3.0,4.0,3.0,0.0,0.0,3.0,5.0,24.0,15.3,-14,10.0,4.0,0.4,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,8.0,53.0,2.65,13.700000000000005,71.69999999999997,3.584999999999998,12.1,0.0,-3.3,-1.4,-1.9,0.1331122166943062,0.528,0.356,0.362,-0.7,-0.9,L (-8),L (-8)
19.0,18.0,2022-11-22,20-282,DET,DEN,1,25.58333333333333,3.0,11.0,.273,1.0,4.0,.250,0,0.0,,1.0,5.0,6.0,5.0,1.0,0.0,4.0,2.0,7.0,2.4,-10,7.0,2.0,0.2857142857142857,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,4.0,57.0,2.85,2.3999999999999995,70.9,3.5450000000000004,12.1,0.0,-3.3,-1.4,-1.9,0.1331122166943062,0.528,0.356,0.362,-0.7,-0.9,W (+2),W (+2)
20.0,19.0,2022-11-23,20-283,DET,UTA,1,32.05,5.0,13.0,.385,0.0,2.0,.000,6,7.0,.857,1.0,4.0,5.0,6.0,1.0,0.0,1.0,1.0,16.0,14.2,0,11.0,5.0,0.4545454545454545,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,7.0,67.0,3.35,11.799999999999995,81.19999999999997,4.059999999999999,12.1,0.0,-3.3,-1.4,-1.9,0.1331122166943062,0.528,0.356,0.362,-0.7,-0.9,W (+9),W (+9)
21.0,,2022-11-25,20-285,DET,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,,47.0,2.35,0.0,57.79999999999999,2.89,12.1,0.0,-3.3,-1.4,-1.9,0.1331122166943062,0.528,0.356,0.362,-0.7,-0.9,,
22.0,,2022-11-27,20-287,DET,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,,39.0,1.95,0.0,49.90000000000001,2.495000000000001,12.1,0.0,-3.3,-1.4,-1.9,0.1331122166943062,0.528,0.356,0.362,-0.7,-0.9,L (-6),L (-6)
23.0,,2022-11-29,20-289,DET,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,47,56,2,8,11,55,51,45,48,60,14,38,68,37,13,25,49,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9215686274509804,0.9491525423728814,0.6666666666666666,0.8,0.9166666666666666,0.8870967741935484,0.9107142857142856,0.8653846153846154,0.96,0.8955223880597015,1.0,0.6031746031746031,0.8947368421052632,0.8809523809523809,0.7647058823529411,0.78125,0.6363636363636364,0.0,20,13,17,40.0,36.0,45.0,47.0,0.4444444444444444,0.325,0.0,0.3617021276595745,20,,58.0,2.9,0.0,70.6,3.53,12.1,0.0,-3.3,-1.4,-1.9,0.1331122166943062,0.528,0.356,0.362,-0.7,-0.9,L (-8),L (-8)
