Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Shared Games with Stanley Umude,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude
10,11,,2022-11-07,23-088,DET,,OKC,W (+9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
11,12,8,2022-11-09,23-090,DET,@,BOS,L (-16),0,5.6,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,+8,0.0,0.0,,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
12,13,,2022-11-11,23-092,DET,@,NYK,L (-9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
13,14,,2022-11-12,23-093,DET,,BOS,L (-9),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
14,15,,2022-11-14,23-095,DET,,TOR,L (-4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
15,16,9,2022-11-17,23-098,DET,@,LAC,L (-5),0,8.916666666666666,1.0,4.0,.250,1.0,3.0,.333,0,0,,1,1,2,0,1,2,0,1,3,3.6,+6,1.0,0.0,0.0,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
16,17,10,2022-11-18,23-099,DET,@,LAL,L (-7),0,4.816666666666666,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,1,1,1,0,0,1,0,0,-0.7,+2,0.0,0.0,,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
17,18,11,2022-11-20,23-101,DET,@,SAC,L (-8),0,22.6,4.0,7.0,.571,3.0,5.0,.600,0,0,,0,5,5,1,0,0,0,1,11,9.5,+13,2.0,1.0,0.5,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
18,19,12,2022-11-22,23-103,DET,@,DEN,W (+2),0,24.6,8.0,11.0,.727,1.0,4.0,.250,0,0,,1,7,8,1,1,0,1,3,17,14.8,+12,7.0,7.0,1.0,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
19,20,13,2022-11-23,23-104,DET,@,UTA,W (+9),0,25.783333333333335,6.0,8.0,.750,6.0,8.0,.750,3,4,.750,0,3,3,0,0,0,1,2,21,16.5,+9,0.0,0.0,,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
21,21,14,2022-11-25,23-106,DET,@,PHO,L (-6),0,29.316666666666666,3.0,7.0,.429,1.0,3.0,.333,0,0,,2,2,4,1,1,2,0,2,7,7.6,+5,4.0,2.0,0.5,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
22,22,15,2022-11-27,23-108,DET,,CLE,L (-8),0,17.366666666666667,1.0,3.0,.333,1.0,2.0,.500,0,0,,1,1,2,0,0,0,1,2,3,0.5,-9,1.0,0.0,0.0,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
23,23,16,2022-11-29,23-110,DET,,NYK,L (-30),0,17.05,1.0,4.0,.250,0.0,3.0,.000,3,5,.600,0,3,3,1,1,2,0,1,5,5.4,-2,1.0,1.0,1.0,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
24,24,17,2022-12-01,23-112,DET,,DAL,W (+6),0,11.816666666666666,1.0,1.0,1.000,0.0,0.0,,0,0,,1,1,2,1,1,0,0,3,2,3.2,-8,1.0,1.0,1.0,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
25,25,18,2022-12-04,23-115,DET,,MEM,L (-10),0,11.966666666666667,2.0,4.0,.500,1.0,2.0,.500,1,2,.500,1,4,5,0,0,0,0,1,6,5.1,+11,2.0,1.0,0.5,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
26,26,19,2022-12-06,23-117,DET,@,MIA,W (+20),0,17.65,3.0,5.0,.600,1.0,3.0,.333,0,0,,0,1,1,0,0,0,2,3,7,1.8,+7,2.0,2.0,1.0,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
27,27,20,2022-12-07,23-118,DET,@,NOP,L (-6),0,15.016666666666667,1.0,6.0,.167,1.0,5.0,.200,0,0,,0,3,3,0,1,0,1,4,3,-1.5,-8,1.0,0.0,0.0,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
28,28,21,2022-12-09,23-120,DET,@,MEM,L (-11),0,16.633333333333333,4.0,5.0,.800,3.0,3.0,1.000,2,2,1.000,1,3,4,0,0,0,0,4,13,11.1,-2,2.0,1.0,0.5,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
29,29,22,2022-12-11,23-122,DET,,LAL,L (-7),0,12.733333333333333,2.0,4.0,.500,1.0,3.0,.333,0,0,,1,0,1,1,0,0,1,2,5,2.6,-12,1.0,1.0,1.0,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
30,30,23,2022-12-14,23-125,DET,@,CHO,W (+7),0,19.45,4.0,6.0,.667,3.0,5.0,.600,6,6,1.000,0,1,1,1,0,2,0,3,17,15.6,-10,1.0,1.0,1.0,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
31,31,24,2022-12-16,23-127,DET,,SAC,L (-9),0,16.4,3.0,5.0,.600,1.0,1.0,1.000,0,0,,2,3,5,3,2,0,0,3,7,9.9,+3,4.0,2.0,0.5,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
32,32,25,2022-12-18,23-129,DET,,BRK,L (-3),0,17.233333333333334,3.0,6.0,.500,1.0,3.0,.333,2,3,.667,1,2,3,0,1,0,1,2,9,6.1,-12,3.0,2.0,0.6666666666666666,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
33,33,26,2022-12-20,23-131,DET,,UTA,L (-15),0,18.55,3.0,3.0,1.000,2.0,2.0,1.000,1,1,1.000,0,3,3,1,0,0,1,1,9,8.3,+9,1.0,1.0,1.0,34,39,3,1,8,31,33,23,31,38,35,12,39,22,13,17,38,0,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,76.0,42.0,17.0,32.0,77.0,1.0,0.6666666666666666,0.6610169491525424,1.0,0.1,0.6666666666666666,0.5,0.5892857142857143,0.4423076923076923,0.62,0.5135135135135135,0.5223880597014925,0.8571428571428571,0.5131578947368421,0.5238095238095238,0.7647058823529411,0.53125,0.4935064935064935,0.0
