Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,32-150,MIL,@,OKC,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,82.0,4.315789473684211,0.0,95.3,5.015789473684211
11,12,,2022-11-11,32-152,MIL,@,SAS,L (-18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,40.0,2.1052631578947367,0.0,54.7,2.878947368421053
12,13,,2022-11-14,32-155,MIL,,ATL,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,31.0,1.631578947368421,0.0,56.1,2.9526315789473685
13,14,,2022-11-16,32-157,MIL,,CLE,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,65.0,3.421052631578948,0.0,67.6,3.5578947368421048
14,15,11,2022-11-18,32-159,MIL,@,PHI,L (-8),0,23:12,5.0,12.0,.417,0.0,4.0,.000,0,0.0,,1.0,2.0,3.0,4.0,1.0,0.0,5.0,2.0,10.0,2.9,-9,8.0,5.0,0.625,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,1.0,53.0,2.789473684210526,2.8999999999999995,59.4,3.126315789473684
15,16,12,2022-11-21,32-162,MIL,,POR,W (+8),1,27:56,7.0,14.0,.500,1.0,6.0,.167,2,2.0,1.000,1.0,3.0,4.0,6.0,3.0,0.0,5.0,1.0,17.0,13.4,+7,8.0,6.0,0.75,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,9.0,68.0,3.5789473684210527,12.599999999999998,81.60000000000001,4.294736842105263
16,17,13,2022-11-23,32-164,MIL,,CHI,L (-5),1,35:50,3.0,6.0,.500,1.0,4.0,.250,7,8.0,.875,1.0,4.0,5.0,11.0,2.0,0.0,7.0,1.0,14.0,14.8,+12,2.0,2.0,1.0,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,11.0,64.0,3.3684210526315788,12.0,56.899999999999984,2.9947368421052625
17,18,14,2022-11-25,32-166,MIL,,CLE,W (+15),1,23:02,4.0,13.0,.308,1.0,3.0,.333,0,0.0,,2.0,1.0,3.0,5.0,0.0,0.0,1.0,4.0,9.0,4.1,+13,10.0,3.0,0.3,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,3.0,74.0,3.8947368421052633,4.100000000000001,80.19999999999997,4.221052631578946
18,19,15,2022-11-27,32-168,MIL,,DAL,W (+9),1,34:27,7.0,16.0,.438,2.0,6.0,.333,0,0.0,,1.0,0.0,1.0,6.0,3.0,0.0,3.0,2.0,16.0,11.7,+17,10.0,5.0,0.5,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,7.0,69.0,3.631578947368421,11.7,79.0,4.157894736842105
19,20,16,2022-11-30,32-171,MIL,@,NYK,W (+6),1,34:26,9.0,19.0,.474,2.0,5.0,.400,2,2.0,1.000,2.0,4.0,6.0,5.0,2.0,2.0,1.0,5.0,22.0,18.8,+10,14.0,7.0,0.5,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,15.0,58.0,3.0526315789473686,18.000000000000004,67.5,3.5526315789473686
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,0.0,0.0,0.0,0.0,0.0
21,21,17,2022-12-02,32-173,MIL,,LAL,L (-4),1,39:20,11.0,20.0,.550,6.0,12.0,.500,0,0.0,,0.0,6.0,6.0,9.0,1.0,0.0,2.0,2.0,28.0,24.7,-3,8.0,5.0,0.625,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,22.0,61.0,3.210526315789474,24.699999999999992,77.9,4.1000000000000005
22,22,,2022-12-03,32-174,MIL,@,CHO,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,61.0,3.210526315789474,0.0,61.3,3.2263157894736842
23,23,18,2022-12-05,32-176,MIL,@,ORL,W (+7),1,35:06,5.0,12.0,.417,1.0,6.0,.167,6,6.0,1.000,1.0,7.0,8.0,10.0,2.0,0.0,6.0,3.0,17.0,15.2,+19,6.0,4.0,0.6666666666666666,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,13.0,42.0,2.210526315789474,12.8,52.79999999999999,2.778947368421052
24,24,19,2022-12-07,32-178,MIL,,SAC,W (+13),1,34:34,12.0,23.0,.522,2.0,4.0,.500,5,6.0,.833,1.0,4.0,5.0,6.0,0.0,0.0,1.0,0.0,31.0,24.4,+18,19.0,10.0,0.5263157894736842,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,12.0,89.0,4.684210526315789,22.40000000000001,92.3,4.8578947368421055
25,25,20,2022-12-09,32-180,MIL,@,DAL,W (+1),1,36:50,6.0,13.0,.462,3.0,5.0,.600,2,2.0,1.000,3.0,4.0,7.0,6.0,0.0,0.0,2.0,3.0,17.0,14.6,-5,8.0,3.0,0.375,27,56,65,27,56,61,66,40,29,29,40,7,52,16,11,26,43,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7714285714285715,0.8,0.8333333333333334,0.5869565217391305,0.8888888888888888,0.8472222222222222,0.8148148148148148,0.8695652173913043,0.4677419354838709,0.8787878787878788,0.0,0.7692307692307693,0.7777777777777778,0.8524590163934426,0.3720930232558139,0.6875,0.7027027027027027,0.8269230769230769,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,13.0,54.0,2.8421052631578947,13.799999999999995,65.9,3.4684210526315793
