Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
26,26,25,2022-12-11,34-254,MIL,@,HOU,L (-5),1,32:42,2.0,8.0,.250,1.0,4.0,.250,2,2.0,1.000,2.0,1.0,3.0,0.0,0.0,3.0,1.0,2.0,7.0,4.2,+5,4.0,1.0,0.25,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,2.0,46.0,2.421052631578948,3.4000000000000004,53.60000000000001,2.8210526315789477
27,27,26,2022-12-13,34-256,MIL,,GSW,W (+17),1,28:20,3.0,5.0,.600,1.0,2.0,.500,0,0.0,,0.0,7.0,7.0,2.0,0.0,2.0,1.0,4.0,7.0,7.0,+19,3.0,2.0,0.6666666666666666,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,12.0,64.0,3.3684210526315788,7.0,88.00000000000003,4.631578947368422
28,28,27,2022-12-15,34-258,MIL,@,MEM,L (-41),1,18:06,1.0,6.0,.167,0.0,4.0,.000,2,2.0,1.000,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,4.0,1.8,-23,2.0,1.0,0.5,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,0.0,28.0,1.4736842105263157,1.000000000000001,52.89999999999999,2.784210526315789
29,29,28,2022-12-17,34-260,MIL,,UTA,W (+26),1,25:52,8.0,15.0,.533,1.0,3.0,.333,1,3.0,.333,3.0,5.0,8.0,1.0,0.0,3.0,1.0,0.0,18.0,15.3,+11,12.0,7.0,0.5833333333333334,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,11.0,70.0,3.684210526315789,14.899999999999997,78.69999999999999,4.1421052631578945
30,30,29,2022-12-19,34-262,MIL,@,NOP,W (+9),1,35:14,12.0,17.0,.706,4.0,9.0,.444,2,2.0,1.000,3.0,5.0,8.0,3.0,0.0,1.0,2.0,4.0,30.0,25.7,+8,8.0,8.0,1.0,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,21.0,66.0,3.473684210526316,24.9,75.7,3.9842105263157896
31,31,30,2022-12-21,34-264,MIL,@,CLE,L (-8),1,27:42,5.0,7.0,.714,2.0,3.0,.667,2,3.0,.667,2.0,4.0,6.0,2.0,2.0,1.0,5.0,3.0,14.0,11.2,-13,4.0,3.0,0.75,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,10.0,50.0,2.631578947368421,10.4,59.59999999999999,3.1368421052631574
32,32,31,2022-12-23,34-266,MIL,@,BRK,L (-18),1,30:28,10.0,16.0,.625,2.0,5.0,.400,1,2.0,.500,2.0,3.0,5.0,0.0,1.0,0.0,1.0,1.0,23.0,17.3,-27,11.0,8.0,0.7272727272727273,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,10.0,37.0,1.947368421052632,16.9,48.99999999999999,2.578947368421052
33,33,32,2022-12-25,34-268,MIL,@,BOS,L (-21),1,31:54,7.0,8.0,.875,1.0,2.0,.500,1,2.0,.500,3.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,16.0,15.5,-3,6.0,6.0,1.0,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,12.0,53.0,2.789473684210526,15.099999999999998,73.89999999999999,3.8894736842105258
34,34,33,2022-12-28,34-271,MIL,@,CHI,L (-6),1,37:23,5.0,12.0,.417,0.0,4.0,.000,4,5.0,.800,2.0,4.0,6.0,1.0,1.0,4.0,1.0,4.0,14.0,11.7,-9,8.0,5.0,0.625,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,8.0,40.0,2.1052631578947367,10.1,57.900000000000006,3.047368421052632
35,35,34,2022-12-30,34-273,MIL,,MIN,W (+9),1,26:22,5.0,11.0,.455,0.0,3.0,.000,3,4.0,.750,2.0,4.0,6.0,0.0,0.0,4.0,3.0,6.0,13.0,6.9,+6,8.0,5.0,0.625,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,5.0,77.0,4.052631578947368,5.699999999999999,82.10000000000002,4.321052631578948
36,36,35,2023-01-01,34-275,MIL,,WAS,L (-23),1,23:30,3.0,10.0,.300,1.0,3.0,.333,1,1.0,1.000,4.0,6.0,10.0,0.0,1.0,1.0,2.0,2.0,8.0,5.7,-21,7.0,2.0,0.2857142857142857,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,7.0,37.0,1.947368421052632,5.3,50.69999999999999,2.668421052631578
37,37,36,2023-01-03,34-277,MIL,,WAS,W (+10),1,27:46,10.0,13.0,.769,1.0,2.0,.500,0,0.0,,6.0,6.0,12.0,3.0,1.0,6.0,1.0,3.0,21.0,27.0,-7,11.0,9.0,0.8181818181818182,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,29.0,55.0,2.894736842105264,27.0,73.60000000000002,3.873684210526317
38,38,37,2023-01-04,34-278,MIL,@,TOR,W (+3),1,38:13,4.0,11.0,.364,1.0,3.0,.333,0,1.0,.000,3.0,16.0,19.0,2.0,0.0,2.0,2.0,5.0,9.0,8.2,+17,8.0,3.0,0.375,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,18.0,53.0,2.789473684210526,8.199999999999998,57.0,3.0
39,39,38,2023-01-06,34-280,MIL,,CHO,L (-29),1,18:57,3.0,5.0,.600,1.0,3.0,.333,2,2.0,1.000,3.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,9.0,9.4,-11,2.0,2.0,1.0,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,7.0,45.0,2.3684210526315788,8.599999999999998,60.4,3.1789473684210527
40,40,39,2023-01-09,34-283,MIL,@,NYK,W (+4),1,32:38,7.0,16.0,.438,3.0,9.0,.333,0,1.0,.000,4.0,3.0,7.0,2.0,1.0,3.0,3.0,3.0,17.0,12.2,-3,7.0,4.0,0.5714285714285714,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,10.0,68.0,3.5789473684210527,12.200000000000005,73.69999999999999,3.878947368421052
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,,0.0,0.0,0.0,0.0,0.0
42,41,40,2023-01-11,34-285,MIL,@,ATL,W (+9),1,32:10,8.0,13.0,.615,4.0,6.0,.667,0,1.0,.000,4.0,8.0,12.0,1.0,1.0,2.0,1.0,2.0,20.0,20.2,+4,7.0,4.0,0.5714285714285714,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,21.0,69.0,3.631578947368421,20.2,73.4,3.8631578947368426
43,42,41,2023-01-12,34-286,MIL,@,MIA,L (-6),1,31:31,2.0,12.0,.167,2.0,7.0,.286,0,0.0,,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,6.0,1.7,-7,5.0,0.0,0.0,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,0.0,46.0,2.421052631578948,1.7000000000000015,60.39999999999999,3.1789473684210523
44,43,42,2023-01-14,34-288,MIL,@,MIA,L (-16),1,33:23,5.0,10.0,.500,3.0,5.0,.600,0,0.0,,1.0,3.0,4.0,1.0,0.0,2.0,2.0,4.0,13.0,8.1,-13,5.0,2.0,0.4,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,8.0,52.0,2.736842105263158,8.099999999999996,63.69999999999999,3.352631578947368
45,44,43,2023-01-16,34-290,MIL,,IND,W (+13),1,33:37,8.0,11.0,.727,3.0,5.0,.600,0,0.0,,2.0,4.0,6.0,1.0,0.0,1.0,2.0,1.0,19.0,16.1,+12,6.0,5.0,0.8333333333333334,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,14.0,59.0,3.1052631578947367,16.099999999999998,71.2,3.7473684210526317
46,45,44,2023-01-17,34-291,MIL,,TOR,W (+8),1,29:22,7.0,12.0,.583,3.0,5.0,.600,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,19.0,13.6,+9,7.0,4.0,0.5714285714285714,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,8.0,79.0,4.157894736842105,12.8,85.59999999999998,4.505263157894736
47,46,45,2023-01-21,34-295,MIL,@,CLE,L (-12),1,34:26,5.0,14.0,.357,0.0,6.0,.000,0,0.0,,0.0,5.0,5.0,0.0,0.0,4.0,3.0,4.0,10.0,1.9,+4,8.0,5.0,0.625,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,2.0,49.0,2.5789473684210527,1.900000000000002,58.8,3.094736842105263
48,47,46,2023-01-23,34-297,MIL,@,DET,W (+20),1,24:02,8.0,12.0,.667,2.0,6.0,.333,3,4.0,.750,1.0,3.0,4.0,1.0,0.0,2.0,0.0,1.0,21.0,18.7,+15,6.0,6.0,1.0,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,12.0,97.0,5.105263157894737,17.499999999999996,105.6,5.557894736842105
49,48,47,2023-01-25,34-299,MIL,,DEN,W (+8),1,32:00,2.0,11.0,.182,0.0,3.0,.000,1,1.0,1.000,1.0,3.0,4.0,2.0,0.0,4.0,1.0,3.0,5.0,1.7,+14,8.0,2.0,0.25,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,2.0,57.0,3.0,1.300000000000002,66.99999999999999,3.5263157894736836
50,49,48,2023-01-27,34-301,MIL,@,IND,W (+10),1,24:29,5.0,8.0,.625,3.0,6.0,.500,2,2.0,1.000,1.0,5.0,6.0,2.0,1.0,1.0,3.0,4.0,15.0,12.1,+12,2.0,2.0,1.0,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,12.0,86.0,4.526315789473684,11.299999999999995,106.7,5.61578947368421
51,50,49,2023-01-29,34-303,MIL,,NOP,W (+25),1,31:57,6.0,12.0,.500,0.0,4.0,.000,3,4.0,.750,2.0,6.0,8.0,3.0,1.0,2.0,1.0,2.0,15.0,14.5,+26,8.0,6.0,0.75,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,12.0,80.0,4.2105263157894735,13.299999999999995,90.29999999999998,4.752631578947367
52,51,50,2023-01-31,34-305,MIL,,CHO,W (+9),1,27:30,3.0,10.0,.300,0.0,3.0,.000,2,2.0,1.000,0.0,11.0,11.0,2.0,0.0,5.0,2.0,6.0,8.0,6.0,+7,7.0,3.0,0.4285714285714285,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,12.0,72.0,3.789473684210526,5.1999999999999975,85.19999999999999,4.484210526315789
53,52,51,2023-02-02,34-307,MIL,,LAC,W (+1),1,23:22,3.0,5.0,.600,0.0,2.0,.000,0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,6.0,4.2,-32,3.0,3.0,1.0,32,67,34,61,72,77,44,37,65,31,49,8,59,23,16,35,49,35.0,70.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.9571428571428572,0.7391304347826086,0.9682539682539684,1.0,0.9506172839506172,0.9565217391304348,0.5967741935483871,0.9701492537313432,0.9393939393939394,0.0,0.9423076923076924,0.8888888888888888,0.9672131147540984,0.5348837209302325,1.0,0.945945945945946,0.9423076923076924,6,13,58.0,18.0,16.0,0.1034482758620689,0.7222222222222222,0.0,19,5.0,55.0,2.894736842105264,4.2,68.4,3.6
