Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,29-307,MIL,@,OKC,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,82.0,4.315789473684211,0.0,95.3,5.015789473684211
11,12,,2022-11-11,29-309,MIL,@,SAS,L (-18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,40.0,2.1052631578947367,0.0,54.7,2.878947368421053
12,13,,2022-11-14,29-312,MIL,,ATL,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,31.0,1.631578947368421,0.0,56.1,2.9526315789473685
13,14,,2022-11-16,29-314,MIL,,CLE,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,65.0,3.421052631578948,0.0,67.6,3.5578947368421048
14,15,,2022-11-18,29-316,MIL,@,PHI,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,54.0,2.8421052631578947,0.0,62.3,3.2789473684210524
15,16,1,2022-11-21,29-319,MIL,,POR,W (+8),0,15:31,2.0,5.0,.400,1.0,4.0,.250,2,2.0,1.000,0.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,7.0,7.2,+3,1.0,1.0,1.0,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,5.0,72.0,3.789473684210526,6.4,87.8,4.621052631578947
16,17,2,2022-11-23,29-321,MIL,,CHI,L (-5),0,14:24,1.0,6.0,.167,1.0,5.0,.200,0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.8,+1,1.0,0.0,0.0,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,2.0,73.0,3.842105263157895,1.8000000000000007,67.1,3.5315789473684207
17,18,,2022-11-25,29-323,MIL,,CLE,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,77.0,4.052631578947368,0.0,84.29999999999998,4.436842105263157
18,19,3,2022-11-27,29-325,MIL,,DAL,W (+9),0,10:52,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6,-9,0.0,0.0,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,1.0,75.0,3.947368421052632,1.6,89.10000000000001,4.689473684210527
19,20,4,2022-11-30,29-328,MIL,@,NYK,W (+6),0,23:42,4.0,13.0,.308,2.0,8.0,.250,0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,4.1,+20,5.0,2.0,0.4,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,1.0,72.0,3.789473684210526,4.1,81.4,4.28421052631579
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,,0.0,0.0,0.0,0.0,0.0
21,21,5,2022-12-02,29-330,MIL,,LAL,L (-4),0,18:36,3.0,10.0,.300,2.0,7.0,.286,0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,8.0,4.2,-13,3.0,1.0,0.3333333333333333,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,2.0,81.0,4.2631578947368425,4.199999999999999,98.4,5.178947368421053
22,22,6,2022-12-03,29-331,MIL,@,CHO,W (+9),0,19:34,3.0,7.0,.429,1.0,4.0,.250,2,2.0,1.000,1.0,4.0,5.0,0.0,1.0,0.0,1.0,2.0,9.0,6.4,+10,3.0,2.0,0.6666666666666666,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,5.0,56.0,2.9473684210526314,5.6,55.7,2.931578947368421
23,23,7,2022-12-05,29-333,MIL,@,ORL,W (+7),0,21:59,2.0,9.0,.222,2.0,8.0,.250,1,2.0,.500,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,7.0,3.3,+11,1.0,0.0,0.0,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,1.0,54.0,2.8421052631578947,2.9000000000000004,62.69999999999999,3.2999999999999994
24,24,8,2022-12-07,29-335,MIL,,SAC,W (+13),0,24:15,2.0,7.0,.286,2.0,6.0,.333,0,1.0,.000,2.0,4.0,6.0,0.0,0.0,1.0,0.0,2.0,6.0,4.0,+9,1.0,0.0,0.0,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,5.0,96.0,5.052631578947368,3.9999999999999982,110.70000000000002,5.826315789473685
25,25,9,2022-12-09,29-337,MIL,@,DAL,W (+1),0,24:53,3.0,9.0,.333,2.0,7.0,.286,0,0.0,,3.0,4.0,7.0,2.0,0.0,0.0,0.0,4.0,8.0,6.0,+9,2.0,1.0,0.5,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,8.0,59.0,3.1052631578947367,5.999999999999998,73.7,3.878947368421053
26,26,10,2022-12-11,29-339,MIL,@,HOU,L (-5),0,24:43,3.0,10.0,.300,1.0,6.0,.167,0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,7.0,3.2,+4,4.0,2.0,0.5,28,51,59,19,48,56,60,42,22,52,31,34,3,16,3,23,34,35.0,70.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,43.0,16.0,37.0,52.0,0.8,0.7285714285714285,0.7564102564102564,0.4130434782608695,0.7619047619047619,0.7777777777777778,0.7407407407407407,0.9130434782608696,0.3548387096774194,0.7761194029850746,0.9393939393939394,0.0,0.6538461538461539,0.3333333333333333,0.3720930232558139,0.1875,0.6216216216216216,0.6538461538461539,5,13,58.0,18.0,16.0,0.0862068965517241,0.7222222222222222,0.0,19,1.0,47.0,2.473684210526316,3.199999999999997,53.8,2.831578947368421
