Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Giannis Antetokounmpo,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-09,27-032,MIL,@,OKC,W (+4),1,35:02,5.0,8.0,.625,2.0,3.0,.667,6,6.0,1.000,1.0,2.0,3.0,6.0,0.0,1.0,3.0,5.0,18.0,15.6,+10,5.0,3.0,0.6,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,11.0,71.0,3.736842105263158,13.200000000000005,82.10000000000001,4.321052631578948
11,12,,2022-11-11,27-034,MIL,@,SAS,L (-18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,,40.0,2.1052631578947367,0.0,54.7,2.878947368421053
12,13,12,2022-11-14,27-037,MIL,,ATL,L (-15),1,9:37,0.0,2.0,.000,0.0,0.0,,2,2.0,1.000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.3,-6,2.0,0.0,0.0,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,0.0,31.0,1.631578947368421,1.5000000000000002,54.6,2.873684210526316
13,14,,2022-11-16,27-039,MIL,,CLE,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,,65.0,3.421052631578948,0.0,67.6,3.5578947368421048
14,15,13,2022-11-18,27-041,MIL,@,PHI,L (-8),0,26:36,3.0,6.0,.500,1.0,3.0,.333,0,0.0,,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,0,3.0,2.0,0.6666666666666666,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,7.0,47.0,2.473684210526316,6.999999999999998,55.3,2.9105263157894736
15,16,14,2022-11-21,27-044,MIL,,POR,W (+8),1,31:48,5.0,8.0,.625,2.0,5.0,.400,5,5.0,1.000,2.0,6.0,8.0,2.0,0.0,0.0,0.0,2.0,17.0,17.2,+9,3.0,3.0,1.0,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,14.0,63.0,3.3157894736842106,15.2,79.0,4.157894736842105
16,17,15,2022-11-23,27-046,MIL,,CHI,L (-5),1,32:48,4.0,8.0,.500,2.0,4.0,.500,3,3.0,1.000,3.0,1.0,4.0,2.0,0.0,0.0,1.0,2.0,13.0,11.0,+2,4.0,2.0,0.5,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,7.0,68.0,3.5789473684210527,9.799999999999995,59.09999999999999,3.110526315789473
17,18,16,2022-11-25,27-048,MIL,,CLE,W (+15),1,28:15,2.0,8.0,.250,1.0,6.0,.167,3,3.0,1.000,0.0,5.0,5.0,5.0,2.0,0.0,1.0,0.0,8.0,9.2,+9,2.0,1.0,0.5,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,8.0,69.0,3.631578947368421,8.0,76.29999999999998,4.01578947368421
18,19,17,2022-11-27,27-050,MIL,,DAL,W (+9),1,31:54,8.0,10.0,.800,7.0,8.0,.875,2,4.0,.500,0.0,2.0,2.0,5.0,2.0,1.0,0.0,2.0,25.0,26.4,+20,2.0,1.0,0.5,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,21.0,55.0,2.894736842105264,25.6,65.1,3.426315789473684
19,20,18,2022-11-30,27-053,MIL,@,NYK,W (+6),1,30:24,4.0,9.0,.444,1.0,4.0,.250,2,2.0,1.000,0.0,5.0,5.0,4.0,1.0,0.0,1.0,2.0,11.0,9.8,-4,5.0,3.0,0.6,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,9.0,64.0,3.3684210526315788,8.999999999999996,76.5,4.026315789473684
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,,0.0,0.0,0.0,0.0,0.0
21,21,19,2022-12-02,27-055,MIL,,LAL,L (-4),1,28:03,3.0,6.0,.500,2.0,4.0,.500,0,0.0,,0.0,5.0,5.0,1.0,0.0,0.0,1.0,2.0,8.0,5.4,+1,2.0,1.0,0.5,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,7.0,76.0,4.0,5.4,97.2,5.11578947368421
22,22,20,2022-12-03,27-056,MIL,@,CHO,W (+9),1,25:06,3.0,7.0,.429,1.0,4.0,.250,0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,1.0,1.0,7.0,4.5,-4,3.0,2.0,0.6666666666666666,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,5.0,56.0,2.9473684210526314,4.499999999999997,56.8,2.9894736842105263
23,23,,2022-12-05,27-058,MIL,@,ORL,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,,55.0,2.894736842105264,0.0,65.6,3.452631578947368
24,24,21,2022-12-07,27-060,MIL,,SAC,W (+13),1,28:50,4.0,7.0,.571,2.0,4.0,.500,0,0.0,,2.0,4.0,6.0,4.0,0.0,0.0,0.0,2.0,10.0,11.3,+20,3.0,2.0,0.6666666666666666,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,13.0,88.0,4.631578947368421,11.3,103.40000000000002,5.442105263157896
25,25,22,2022-12-09,27-062,MIL,@,DAL,W (+1),1,33:29,4.0,8.0,.500,1.0,5.0,.200,3,3.0,1.000,1.0,4.0,5.0,5.0,2.0,0.0,0.0,1.0,12.0,15.0,-3,3.0,3.0,1.0,28,61,72,32,58,72,41,34,61,30,44,7,56,20,14,31,45,35.0,70.0,78.0,46.0,63.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.8,0.8714285714285714,0.9230769230769232,0.6956521739130435,0.9206349206349206,0.8888888888888888,0.8913043478260869,0.5483870967741935,0.9104477611940298,0.9090909090909092,0.0,0.8461538461538461,0.7777777777777778,0.918032786885246,0.4651162790697674,0.875,0.8378378378378378,0.8653846153846154,5,10,58.0,18.0,16.0,0.0862068965517241,0.5555555555555556,0.0,19,13.0,54.0,2.8421052631578947,13.8,65.89999999999999,3.4684210526315784
