Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,TS%,3PAr,FTr,VORP,OWS,Player_Played,avg_MP,avg_FG,avg_FGA,avg_FG%,avg_3P,avg_3PA,avg_3P%,avg_FT,avg_FTA,avg_FT%,avg_ORB,avg_DRB,avg_TRB,avg_AST,avg_STL,avg_BLK,avg_TOV,avg_PF,avg_PTS,avg_GmSc,avg_+/-,avg_2PA,avg_2P,avg_2P%,avg_CO_EFF,avg_avg_EFF,avg_CO_HGS,avg_avg_HGS,avg_PER,avg_WS,avg_BPM,avg_OBPM,avg_DBPM,avg_TS%,avg_3PAr,avg_FTr,avg_VORP,avg_OWS,WIN,home,team_opp,Team
2022/12/14,265,46,84,6.544,9,28,2.45,19,22,3.441,3,28,31,25,6,7,12,18,120,98.1,-40,56,37,8.243939394,69,1419,141.9,84.6,1494.9,149.49,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,10,26.5,4.6,8.4,0.6544,0.9,2.8,0.245,1.9,2.2,0.3441,0.3,2.8,3.1,2.5,0.6,0.7,1.2,1.8,12,9.81,-4,5.6,3.7,0.824393939,6.9,14.19,8.46,14.949,15.88,2.99,1.03,0.04,1.01,0.661,0.4119,0.2862,1.09,1.8,L (-8),,NYK,CHI
2022/12/16,240,36,77,5.48,12,30,3.749,7,8,3.5,2,37,39,26,3,2,20,25,91,56.2,-115,47,24,6.032967033,52,1004,83.66666667,48.4,879.5,73.29166667,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,12,20,3,6.416666667,0.456666667,1,2.5,0.312416667,0.583333333,0.666666667,0.291666667,0.166666667,3.083333333,3.25,2.166666667,0.25,0.166666667,1.666666667,2.083333333,7.583333333,4.683333333,-9.583333333,3.916666667,2,0.502747253,4.333333333,6.972222222,4.033333333,6.107638889,13.23333333,2.491666667,0.858333333,0.033333333,0.841666667,0.550833333,0.34325,0.2385,0.908333333,1.5,L (-23),,NYK,CHI
2022/12/18,240,46,88,4.637,16,38,3.733,18,24,5.195,6,24,30,31,6,1,11,16,126,102.8,-120,50,30,6.061111111,64,1167,116.7,89,1442.8,144.28,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,10,24,4.6,8.8,0.4637,1.6,3.8,0.3733,1.8,2.4,0.5195,0.6,2.4,3,3.1,0.6,0.1,1.1,1.6,12.6,10.28,-12,5,3,0.606111111,6.4,11.67,8.9,14.428,15.88,2.99,1.03,0.04,1.01,0.661,0.4119,0.2862,1.09,1.8,L (-24),@,MIN,CHI
2022/12/20,239.9833333,40,73,4.425,13,31,3.267,20,24,5.3,5,34,39,24,7,0,16,16,113,91.4,50,42,27,4.825641026,68,1189,118.9,81,1314.3,131.43,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,10,23.99833333,4,7.3,0.4425,1.3,3.1,0.3267,2,2.4,0.53,0.5,3.4,3.9,2.4,0.7,0,1.6,1.6,11.3,9.14,5,4.2,2.7,0.482564103,6.8,11.89,8.1,13.143,15.88,2.99,1.03,0.04,1.01,0.661,0.4119,0.2862,1.09,1.8,W (+10),@,MIA,CHI
2022/12/21,240,43,86,4.532,7,24,2.519,17,22,3.833,8,39,47,20,9,4,11,15,110,91.1,10,62,36,5.312121212,71,1390,154.4444444,79.7,1413.9,157.1,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,9,26.66666667,4.777777778,9.555555556,0.503555556,0.777777778,2.666666667,0.279888889,1.888888889,2.444444444,0.425888889,0.888888889,4.333333333,5.222222222,2.222222222,1,0.444444444,1.222222222,1.666666667,12.22222222,10.12222222,1.111111111,6.888888889,4,0.59023569,7.888888889,17.16049383,8.855555556,17.45555556,17.64444444,3.322222222,1.144444444,0.044444444,1.122222222,0.734444444,0.457666667,0.318,1.211111111,2,W (+2),@,ATL,CHI
2022/12/23,239.95,45,93,3.878,14,31,3.206,14,18,3.357,11,30,41,24,6,4,4,22,118,98.8,5,62,31,4.377289377,76,1568,196,82.2,1471.9,183.9875,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,8,29.99375,5.625,11.625,0.48475,1.75,3.875,0.40075,1.75,2.25,0.419625,1.375,3.75,5.125,3,0.75,0.5,0.5,2.75,14.75,12.35,0.625,7.75,3.875,0.547161172,9.5,24.5,10.275,22.9984375,19.85,3.7375,1.2875,0.05,1.2625,0.82625,0.514875,0.35775,1.3625,2.25,W (+1),@,NYK,CHI
2022/12/26,240,45,92,3.933,13,35,2.199,15,21,3.3,8,27,35,27,6,2,8,19,118,93.6,-75,57,32,4.807905983,66,1304,144.8888889,73,1262.7,140.3,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,9,26.66666667,5,10.22222222,0.437,1.444444444,3.888888889,0.244333333,1.666666667,2.333333333,0.366666667,0.888888889,3,3.888888889,3,0.666666667,0.222222222,0.888888889,2.111111111,13.11111111,10.4,-8.333333333,6.333333333,3.555555556,0.534211776,7.333333333,16.09876543,8.111111111,15.58888889,17.64444444,3.322222222,1.144444444,0.044444444,1.122222222,0.734444444,0.457666667,0.318,1.211111111,2,L (-15),,HOU,CHI
2022/12/28,265,42,92,3.535,9,23,1.671,26,30,5.407,7,45,52,21,5,10,13,23,119,92.7,30,69,33,3.744588745,71,1300,130,69.7,1257.5,125.75,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,10,26.5,4.2,9.2,0.3535,0.9,2.3,0.1671,2.6,3,0.5407,0.7,4.5,5.2,2.1,0.5,1,1.3,2.3,11.9,9.27,3,6.9,3.3,0.374458874,7.1,13,6.97,12.575,15.88,2.99,1.03,0.04,1.01,0.661,0.4119,0.2862,1.09,1.8,W (+6),,MIL,CHI
2022/12/30,240,53,92,5.206,12,27,3.222,14,15,2.8,12,26,38,21,10,4,13,20,132,111.1,70,65,41,5.768173003,85,1732,173.2,93.6,1628.4,162.84,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,10,24,5.3,9.2,0.5206,1.2,2.7,0.3222,1.4,1.5,0.28,1.2,2.6,3.8,2.1,1,0.4,1.3,2,13.2,11.11,7,6.5,4.1,0.5768173,8.5,17.32,9.36,16.284,15.88,2.99,1.03,0.04,1.01,0.661,0.4119,0.2862,1.09,1.8,W (+14),,DET,CHI
2022/12/31,239.9666667,39,81,5.02,7,21,3.083,17,24,4.1,9,31,40,14,15,6,15,15,102,81.7,-5,60,32,5.441956654,57,1237,137.4444444,71.8,1374.5,152.7222222,158.8,29.9,10.3,0.4,10.1,6.61,4.119,2.862,10.9,18,9,26.66296296,4.333333333,9,0.557777778,0.777777778,2.333333333,0.342555556,1.888888889,2.666666667,0.455555556,1,3.444444444,4.444444444,1.555555556,1.666666667,0.666666667,1.666666667,1.666666667,11.33333333,9.077777778,-0.555555556,6.666666667,3.555555556,0.60466185,6.333333333,15.27160494,7.977777778,16.9691358,17.64444444,3.322222222,1.144444444,0.044444444,1.122222222,0.734444444,0.457666667,0.318,1.211111111,2,L (-1),,CLE,CHI
