Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with James Wiseman,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,33-203,DET,,OKC,W (+9),1,30:04,3.0,11.0,.273,2.0,7.0,.286,4,4.0,1.000,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,6.1,+15,4.0,1.0,0.25,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,-1.0,60.0,3.0,4.5,58.69999999999999,2.9349999999999996
11,12,12,2022-11-09,33-205,DET,@,BOS,L (-16),1,26:11,6.0,11.0,.545,1.0,4.0,.250,4,6.0,.667,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,17.0,11.2,-19,7.0,5.0,0.7142857142857143,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,2.0,59.0,2.95,9.6,70.69999999999999,3.5349999999999993
12,13,13,2022-11-11,33-207,DET,@,NYK,L (-9),1,34:17,9.0,15.0,.600,0.0,5.0,.000,7,7.0,1.000,0.0,5.0,5.0,3.0,0.0,0.0,2.0,3.0,25.0,18.5,-11,10.0,9.0,0.9,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,9.0,55.0,2.75,15.700000000000005,65.1,3.255
13,14,14,2022-11-12,33-208,DET,,BOS,L (-9),1,32:59,9.0,15.0,.600,3.0,7.0,.429,7,8.0,.875,0.0,6.0,6.0,4.0,0.0,0.0,4.0,3.0,28.0,20.1,-2,8.0,6.0,0.75,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,11.0,57.0,2.85,17.299999999999997,58.6,2.93
14,15,15,2022-11-14,33-210,DET,,TOR,L (-4),1,32:55,5.0,12.0,.417,2.0,8.0,.250,6,10.0,.600,0.0,5.0,5.0,5.0,0.0,0.0,5.0,2.0,18.0,9.2,-1,4.0,3.0,0.75,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,1.0,40.0,2.0,6.800000000000001,58.4,2.92
15,16,16,2022-11-17,33-213,DET,@,LAC,L (-5),1,34:53,10.0,18.0,.556,2.0,4.0,.500,4,5.0,.800,0.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,26.0,19.2,+4,14.0,8.0,0.5714285714285714,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,9.0,19.0,0.95,17.599999999999998,22.4,1.1199999999999999
16,17,17,2022-11-18,33-214,DET,@,LAL,L (-7),1,35:05,7.0,15.0,.467,0.0,2.0,.000,6,7.0,.857,2.0,4.0,6.0,5.0,0.0,0.0,2.0,1.0,20.0,15.6,-7,13.0,7.0,0.5384615384615384,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,7.0,53.0,2.65,13.199999999999998,77.89999999999999,3.8949999999999996
17,18,18,2022-11-20,33-216,DET,@,SAC,L (-8),1,33:43,8.0,12.0,.667,2.0,5.0,.400,3,3.0,1.000,0.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,21.0,13.9,-23,7.0,6.0,0.8571428571428571,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,8.0,53.0,2.65,12.7,72.69999999999999,3.6349999999999993
18,19,19,2022-11-22,33-218,DET,@,DEN,W (+2),1,35:20,8.0,17.0,.471,1.0,5.0,.200,5,6.0,.833,2.0,7.0,9.0,4.0,0.0,0.0,3.0,1.0,22.0,15.8,-7,12.0,7.0,0.5833333333333334,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,9.0,52.0,2.6,13.800000000000004,59.5,2.975
19,20,20,2022-11-23,33-219,DET,@,UTA,W (+9),1,34:13,7.0,18.0,.389,1.0,3.0,.333,8,8.0,1.000,1.0,4.0,5.0,3.0,1.0,0.0,1.0,1.0,23.0,16.8,+1,15.0,6.0,0.4,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,5.0,69.0,3.45,13.599999999999996,79.39999999999998,3.969999999999999
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-11-25,33-221,DET,@,PHO,L (-6),1,33:13,9.0,21.0,.429,1.0,4.0,.250,0,0.0,,1.0,3.0,4.0,3.0,0.0,0.0,5.0,2.0,19.0,5.8,-6,17.0,8.0,0.4705882352941176,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,0.0,47.0,2.35,5.799999999999997,51.99999999999999,2.5999999999999996
22,22,,2022-11-27,33-223,DET,,CLE,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,,39.0,1.95,0.0,49.90000000000001,2.4950000000000006
23,23,22,2022-11-29,33-225,DET,,NYK,L (-30),1,19:22,4.0,6.0,.667,1.0,2.0,.500,4,6.0,.667,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,13.0,8.0,-21,4.0,3.0,0.75,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,0.0,58.0,2.9,6.4,64.19999999999999,3.2099999999999995
24,24,23,2022-12-01,33-227,DET,,DAL,W (+6),1,41:11,10.0,14.0,.714,5.0,6.0,.833,5,6.0,.833,0.0,4.0,4.0,4.0,2.0,0.0,2.0,3.0,30.0,26.6,+14,8.0,5.0,0.625,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,18.0,68.0,3.4,24.600000000000005,75.8,3.79
25,25,24,2022-12-04,33-230,DET,,MEM,L (-10),1,24:02,4.0,8.0,.500,2.0,4.0,.500,8,8.0,1.000,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,18.0,13.0,-29,4.0,2.0,0.5,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,2.0,62.0,3.1,9.8,60.3,3.0149999999999997
26,26,25,2022-12-06,33-232,DET,@,MIA,W (+20),1,30:21,12.0,16.0,.750,7.0,9.0,.778,0,0.0,,0.0,3.0,3.0,5.0,3.0,0.0,3.0,1.0,31.0,28.6,+13,7.0,5.0,0.7142857142857143,46,3,1,12,41,50,37,49,56,51,12,39,55,26,13,19,49,51.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.9019607843137256,1.0,0.1,1.0,0.6612903225806451,0.8928571428571429,0.7115384615384616,0.98,0.7567567567567568,0.7611940298507462,0.8571428571428571,0.6190476190476191,0.7236842105263158,0.6190476190476191,0.7647058823529411,0.59375,0.6363636363636364,0.0,5,2,7,40.0,36.0,45.0,47.0,0.1111111111111111,0.05,0.0,0.1489361702127659,20,23.0,47.0,2.35,28.6,50.6,2.5300000000000002
