Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,27-097,WAS,@,CHO,W (+8),1,30:46,6.0,14.0,.429,1.0,6.0,.167,6,8.0,.750,1.0,7.0,8.0,5.0,0.0,1.0,1.0,4.0,19.0,15.2,+3,8.0,5.0,0.625,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,10.0,66.0,3.6666666666666665,12.800000000000002,64.6,3.5888888888888886
11,12,,2022-11-10,27-100,WAS,,DAL,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,94.0,5.222222222222222,0.0,82.30000000000001,4.572222222222223
12,13,12,2022-11-12,27-102,WAS,,UTA,W (+9),1,32:36,12.0,20.0,.600,4.0,8.0,.500,3,5.0,.600,1.0,9.0,10.0,2.0,1.0,2.0,1.0,0.0,31.0,27.2,+24,12.0,8.0,0.6666666666666666,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,20.0,72.0,4.0,26.0,76.09999999999998,4.227777777777777
13,14,13,2022-11-13,27-103,WAS,,MEM,W (+10),1,31:23,7.0,15.0,.467,6.0,10.0,.600,5,6.0,.833,3.0,3.0,6.0,2.0,2.0,2.0,2.0,4.0,25.0,21.1,+10,5.0,1.0,0.2,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,14.0,54.0,3.0,19.099999999999994,56.79999999999999,3.155555555555555
14,15,14,2022-11-16,27-106,WAS,,OKC,L (-1),1,36:28,8.0,15.0,.533,4.0,7.0,.571,7,9.0,.778,2.0,7.0,9.0,4.0,1.0,1.0,2.0,1.0,27.0,24.5,+16,8.0,4.0,0.5,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,16.0,68.0,3.7777777777777777,21.7,72.50000000000001,4.027777777777779
15,16,15,2022-11-18,27-108,WAS,,MIA,W (+1),1,39:24,7.0,20.0,.350,1.0,6.0,.167,5,7.0,.714,2.0,15.0,17.0,5.0,1.0,2.0,1.0,5.0,20.0,16.8,-2,14.0,6.0,0.4285714285714285,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,17.0,62.0,3.4444444444444446,14.8,62.1,3.45
16,17,16,2022-11-20,27-110,WAS,,CHO,W (+4),1,34:12,4.0,19.0,.211,2.0,8.0,.250,2,2.0,1.000,4.0,4.0,8.0,2.0,1.0,5.0,4.0,5.0,12.0,4.2,+5,11.0,2.0,0.1818181818181818,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,3.0,66.0,3.6666666666666665,3.399999999999997,73.5,4.083333333333333
17,18,17,2022-11-23,27-113,WAS,@,MIA,L (-8),1,33:09,8.0,19.0,.421,2.0,9.0,.222,3,6.0,.500,1.0,8.0,9.0,4.0,0.0,0.0,3.0,5.0,21.0,10.6,-3,10.0,6.0,0.6,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,6.0,74.0,4.111111111111111,9.399999999999997,80.50000000000001,4.472222222222223
18,19,18,2022-11-25,27-115,WAS,@,MIA,L (-3),1,35:52,7.0,18.0,.389,1.0,4.0,.250,3,3.0,1.000,2.0,5.0,7.0,1.0,0.0,2.0,1.0,3.0,18.0,11.0,-6,14.0,6.0,0.4285714285714285,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,6.0,80.0,4.444444444444445,9.799999999999995,88.69999999999999,4.927777777777777
19,20,19,2022-11-27,27-117,WAS,@,BOS,L (-9),1,26:18,7.0,11.0,.636,0.0,1.0,.000,7,8.0,.875,0.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0,21.0,16.5,-23,10.0,7.0,0.7,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,7.0,58.0,3.2222222222222223,13.7,83.8,4.655555555555555
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,20,2022-11-28,27-118,WAS,,MIN,W (+15),1,30:55,12.0,18.0,.667,6.0,10.0,.600,11,11.0,1.000,2.0,2.0,4.0,3.0,2.0,3.0,1.0,3.0,41.0,39.2,+13,8.0,6.0,0.75,46,42,57,63,40,64,5,4,6,20,47,53,53,9,27,37,10,33,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7796610169491526,0.84,0.7702702702702703,0.8076923076923077,0.8,0.8421052631578947,0.8333333333333334,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7580645161290323,0.0,0.828125,0.8548387096774194,1.0,0.4285714285714285,0.7551020408163265,0.9090909090909092,0.5892857142857143,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,23.0,77.0,4.277777777777778,34.8,87.39999999999999,4.855555555555555
