Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Devonte' Graham,Dominick Barlow,Doug McDermott,Gorgui Dieng,Jeremy Sochan,Jordan Hall,Joshua Primo,Julian Champagnie,Justin Jackson,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Sandro Mamukelashvili,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Devonte' Graham,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Joshua Primo,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Sandro Mamukelashvili,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,0.0,0.0,0.0,0,0.0
21,21,11,2022-11-30,30-063,TOR,@,NOP,L (-18),0,5:02,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.3,-4,1.0,1.0,1.0,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,90.0,5.294117647058823,0.2999999999999998,0,0.0
22,22,12,2022-12-02,30-065,TOR,@,BRK,L (-9),0,4:02,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,-1,1.0,1.0,1.0,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0,71.0,4.176470588235294,1.7,0,0.0
23,23,13,2022-12-03,30-066,TOR,,ORL,W (+13),0,5:37,1.0,2.0,.500,0.0,0.0,,0,0.0,,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.3,+2,2.0,1.0,0.5,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2.0,66.0,3.882352941176471,1.2999999999999998,0,0.0
24,24,,2022-12-05,30-068,TOR,,BOS,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,47.0,2.764705882352941,0.0,0,0.0
25,25,,2022-12-07,30-070,TOR,,LAL,W (+13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,71.0,4.176470588235294,0.0,0,0.0
26,26,14,2022-12-09,30-072,TOR,@,ORL,L (-4),0,6:31,0.0,0.0,,0.0,0.0,,1,2.0,.500,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.6,+4,0.0,0.0,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0,62.0,3.647058823529412,1.1999999999999995,0,0.0
27,27,15,2022-12-11,30-074,TOR,@,ORL,L (-12),0,18:14,4.0,5.0,.800,0.0,1.0,.000,1,1.0,1.000,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,9.0,6.3,-6,4.0,4.0,1.0,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4.0,47.0,2.764705882352941,5.9,0,0.0
28,28,16,2022-12-14,30-077,TOR,,SAC,L (-1),0,7:22,1.0,3.0,.333,0.0,0.0,,0,0.0,,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,-8,3.0,1.0,0.3333333333333333,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3.0,52.0,3.0588235294117645,3.0,0,0.0
29,29,,2022-12-16,30-079,TOR,,BRK,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,72.0,4.235294117647059,0.0,0,0.0
30,30,17,2022-12-18,30-081,TOR,,GSW,L (-16),0,1:29,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,79.0,4.647058823529412,0.0,0,0.0
31,31,18,2022-12-19,30-082,TOR,@,PHI,L (-3),0,23:02,1.0,3.0,.333,0.0,0.0,,0,0.0,,0.0,5.0,5.0,2.0,0.0,1.0,1.0,1.0,2.0,2.5,+6,3.0,1.0,0.3333333333333333,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,6.0,42.0,2.4705882352941178,2.5000000000000004,0,0.0
32,32,,2022-12-21,30-084,TOR,@,NYK,W (+7),Not With Team,Not With Team,0.0,0.0,Not With Team,,,Not With Team,Not With Team,0.0,Not With Team,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Not With Team,Not With Team,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,58.0,3.411764705882353,0.0,0,0.0
33,33,,2022-12-23,30-086,TOR,@,CLE,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,59.0,3.4705882352941178,0.0,0,0.0
34,34,19,2022-12-27,30-090,TOR,,LAC,L (-11),0,2:51,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,+2,0.0,0.0,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0,46.0,2.7058823529411766,0.3,0,0.0
35,35,20,2022-12-29,30-092,TOR,,MEM,L (-13),0,11:28,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,-1.2,-2,1.0,1.0,1.0,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,48.0,2.823529411764706,-1.2000000000000004,0,0.0
36,36,,2022-12-30,30-093,TOR,,PHO,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,48.0,2.823529411764706,0.0,0,0.0
37,37,,2023-01-02,30-096,TOR,@,IND,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,40.0,2.3529411764705883,0.0,0,0.0
38,38,,2023-01-04,30-098,TOR,,MIL,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,35.0,2.0588235294117645,0.0,0,0.0
39,39,,2023-01-06,30-100,TOR,,NYK,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,41.0,2.411764705882353,0.0,0,0.0
40,40,,2023-01-08,30-102,TOR,,POR,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,55.0,3.235294117647059,0.0,0,0.0
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,19,19,12,15,15,9,6,16,1,14,17,2,15,4,2,17,16,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.25,0.3275862068965517,0.3870967741935484,0.217391304347826,0.2272727272727272,0.36,0.6666666666666666,0.3809523809523809,0.2,0.2641509433962264,0.2537313432835821,0.25,0.2112676056338028,0.0727272727272727,0.2222222222222222,0.2207792207792207,0.2962962962962963,4.0,37.0,35.0,38.0,73.0,28.0,64.0,31.0,56.0,9.0,4.0,17.0,23.0,67.0,63.0,66.0,43.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,,0.0,0.0,0.0,0,0.0
