Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Blake Wesley,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Josh Richardson,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Shared Games with Devonte' Graham,Shared Games with Julian Champagnie,Shared Games with Sandro Mamukelashvili,Devonte' Graham,Julian Champagnie,Justin Jackson,Khem Birch,Sandro Mamukelashvili,co_inf with Devonte' Graham,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Khem Birch,co_inf with Sandro Mamukelashvili,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,5,2022-11-14,22-017,SAS,@,GSW,L (-37),0,23:49,3.0,5.0,.600,0.0,0.0,,0,0.0,,6.0,1.0,7.0,3.0,0.0,2.0,3.0,2.0,6.0,7.9,-27,5.0,3.0,0.6,11,22,12,27,13,25,17,26,19,29,29,26,15,22,26,24,4.0,37.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.5789473684210527,0.4285714285714285,0.421875,0.4193548387096774,0.5952380952380952,0.2361111111111111,0.4642857142857143,0.0,0.2923076923076923,0.0,0.4328358208955223,0.4603174603174603,0.3939393939393939,0.3488372093023256,0.7333333333333333,0.3823529411764705,0.3809523809523809,9,3,4,73.0,17.0,23.0,20.0,43.0,0.1232876712328767,0.1764705882352941,0.0,0.0,0.0930232558139534,19,10.0,60.0,3.1578947368421053,7.899999999999999,68.8,3.621052631578947
11,12,6,2022-11-15,22-018,SAS,@,POR,L (-7),0,16:20,3.0,4.0,.750,0.0,0.0,,0,0.0,,2.0,3.0,5.0,1.0,0.0,1.0,3.0,5.0,6.0,3.1,-14,4.0,3.0,0.75,11,22,12,27,13,25,17,26,19,29,29,26,15,22,26,24,4.0,37.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.5789473684210527,0.4285714285714285,0.421875,0.4193548387096774,0.5952380952380952,0.2361111111111111,0.4642857142857143,0.0,0.2923076923076923,0.0,0.4328358208955223,0.4603174603174603,0.3939393939393939,0.3488372093023256,0.7333333333333333,0.3823529411764705,0.3809523809523809,9,3,4,73.0,17.0,23.0,20.0,43.0,0.1232876712328767,0.1764705882352941,0.0,0.0,0.0930232558139534,19,6.0,49.0,2.5789473684210527,3.099999999999998,62.6,3.294736842105263
12,13,7,2022-11-17,22-020,SAS,@,SAC,L (-18),0,11:23,2.0,2.0,1.000,0.0,0.0,,0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,4.0,2.0,4.0,2.0,+1,2.0,2.0,1.0,11,22,12,27,13,25,17,26,19,29,29,26,15,22,26,24,4.0,37.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.5789473684210527,0.4285714285714285,0.421875,0.4193548387096774,0.5952380952380952,0.2361111111111111,0.4642857142857143,0.0,0.2923076923076923,0.0,0.4328358208955223,0.4603174603174603,0.3939393939393939,0.3488372093023256,0.7333333333333333,0.3823529411764705,0.3809523809523809,9,3,4,73.0,17.0,23.0,20.0,43.0,0.1232876712328767,0.1764705882352941,0.0,0.0,0.0930232558139534,19,3.0,59.0,3.1052631578947367,1.9999999999999991,69.10000000000001,3.6368421052631583
13,14,8,2022-11-19,22-022,SAS,@,LAC,L (-22),0,22:56,2.0,6.0,.333,0.0,1.0,.000,2,4.0,.500,2.0,7.0,9.0,0.0,0.0,0.0,3.0,1.0,6.0,1.9,-6,5.0,2.0,0.4,11,22,12,27,13,25,17,26,19,29,29,26,15,22,26,24,4.0,37.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.5789473684210527,0.4285714285714285,0.421875,0.4193548387096774,0.5952380952380952,0.2361111111111111,0.4642857142857143,0.0,0.2923076923076923,0.0,0.4328358208955223,0.4603174603174603,0.3939393939393939,0.3488372093023256,0.7333333333333333,0.3823529411764705,0.3809523809523809,9,3,4,73.0,17.0,23.0,20.0,43.0,0.1232876712328767,0.1764705882352941,0.0,0.0,0.0930232558139534,19,2.0,15.0,0.7894736842105263,1.0999999999999996,37.4,1.9684210526315788
14,15,9,2022-11-20,22-023,SAS,@,LAL,L (-31),0,20:56,4.0,5.0,.800,0.0,0.0,,0,2.0,.000,2.0,6.0,8.0,5.0,1.0,0.0,1.0,2.0,8.0,11.2,-15,5.0,4.0,0.8,11,22,12,27,13,25,17,26,19,29,29,26,15,22,26,24,4.0,37.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.5789473684210527,0.4285714285714285,0.421875,0.4193548387096774,0.5952380952380952,0.2361111111111111,0.4642857142857143,0.0,0.2923076923076923,0.0,0.4328358208955223,0.4603174603174603,0.3939393939393939,0.3488372093023256,0.7333333333333333,0.3823529411764705,0.3809523809523809,9,3,4,73.0,17.0,23.0,20.0,43.0,0.1232876712328767,0.1764705882352941,0.0,0.0,0.0930232558139534,19,14.0,49.0,2.5789473684210527,11.2,57.6,3.031578947368421
15,16,10,2022-11-23,22-026,SAS,,NOP,L (-19),0,11:58,1.0,1.0,1.000,0.0,0.0,,1,2.0,.500,0.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,3.8,+3,1.0,1.0,1.0,11,22,12,27,13,25,17,26,19,29,29,26,15,22,26,24,4.0,37.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.5789473684210527,0.4285714285714285,0.421875,0.4193548387096774,0.5952380952380952,0.2361111111111111,0.4642857142857143,0.0,0.2923076923076923,0.0,0.4328358208955223,0.4603174603174603,0.3939393939393939,0.3488372093023256,0.7333333333333333,0.3823529411764705,0.3809523809523809,9,3,4,73.0,17.0,23.0,20.0,43.0,0.1232876712328767,0.1764705882352941,0.0,0.0,0.0930232558139534,19,5.0,52.0,2.736842105263158,3.4000000000000004,63.2,3.3263157894736843
16,17,11,2022-11-25,22-028,SAS,,LAL,L (-11),0,1:37,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,+2,1.0,1.0,1.0,11,22,12,27,13,25,17,26,19,29,29,26,15,22,26,24,4.0,37.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.5789473684210527,0.4285714285714285,0.421875,0.4193548387096774,0.5952380952380952,0.2361111111111111,0.4642857142857143,0.0,0.2923076923076923,0.0,0.4328358208955223,0.4603174603174603,0.3939393939393939,0.3488372093023256,0.7333333333333333,0.3823529411764705,0.3809523809523809,9,3,4,73.0,17.0,23.0,20.0,43.0,0.1232876712328767,0.1764705882352941,0.0,0.0,0.0930232558139534,19,2.0,48.0,2.526315789473684,1.5999999999999996,55.6,2.9263157894736844
17,18,12,2022-11-26,22-029,SAS,,LAL,L (-5),0,2:13,0.0,1.0,.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,1.0,0.0,0.0,11,22,12,27,13,25,17,26,19,29,29,26,15,22,26,24,4.0,37.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.5789473684210527,0.4285714285714285,0.421875,0.4193548387096774,0.5952380952380952,0.2361111111111111,0.4642857142857143,0.0,0.2923076923076923,0.0,0.4328358208955223,0.4603174603174603,0.3939393939393939,0.3488372093023256,0.7333333333333333,0.3823529411764705,0.3809523809523809,9,3,4,73.0,17.0,23.0,20.0,43.0,0.1232876712328767,0.1764705882352941,0.0,0.0,0.0930232558139534,19,0.0,37.0,1.947368421052632,0.0,54.20000000000001,2.852631578947369
18,19,,2022-11-30,22-033,SAS,@,OKC,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,11,22,12,27,13,25,17,26,19,29,29,26,15,22,26,24,4.0,37.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.5789473684210527,0.4285714285714285,0.421875,0.4193548387096774,0.5952380952380952,0.2361111111111111,0.4642857142857143,0.0,0.2923076923076923,0.0,0.4328358208955223,0.4603174603174603,0.3939393939393939,0.3488372093023256,0.7333333333333333,0.3823529411764705,0.3809523809523809,9,3,4,73.0,17.0,23.0,20.0,43.0,0.1232876712328767,0.1764705882352941,0.0,0.0,0.0930232558139534,19,,48.0,2.526315789473684,0.0,67.4,3.547368421052632
19,20,13,2022-12-02,22-035,SAS,,NOP,L (-18),0,20:32,5.0,5.0,1.000,0.0,0.0,,1,2.0,.500,3.0,6.0,9.0,0.0,1.0,2.0,0.0,4.0,11.0,13.8,+12,5.0,5.0,1.0,11,22,12,27,13,25,17,26,19,29,29,26,15,22,26,24,4.0,37.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.5789473684210527,0.4285714285714285,0.421875,0.4193548387096774,0.5952380952380952,0.2361111111111111,0.4642857142857143,0.0,0.2923076923076923,0.0,0.4328358208955223,0.4603174603174603,0.3939393939393939,0.3488372093023256,0.7333333333333333,0.3823529411764705,0.3809523809523809,9,3,4,73.0,17.0,23.0,20.0,43.0,0.1232876712328767,0.1764705882352941,0.0,0.0,0.0930232558139534,19,16.0,40.0,2.1052631578947367,13.399999999999997,52.80000000000001,2.7789473684210533
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,11,22,12,27,13,25,17,26,19,29,29,26,15,22,26,24,4.0,37.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.5789473684210527,0.4285714285714285,0.421875,0.4193548387096774,0.5952380952380952,0.2361111111111111,0.4642857142857143,0.0,0.2923076923076923,0.0,0.4328358208955223,0.4603174603174603,0.3939393939393939,0.3488372093023256,0.7333333333333333,0.3823529411764705,0.3809523809523809,9,3,4,73.0,17.0,23.0,20.0,43.0,0.1232876712328767,0.1764705882352941,0.0,0.0,0.0930232558139534,19,,0.0,0.0,0.0,0.0,0.0
21,21,14,2022-12-04,22-037,SAS,,PHO,L (-38),0,19:55,2.0,2.0,1.000,0.0,0.0,,1,2.0,.500,4.0,3.0,7.0,1.0,0.0,1.0,1.0,3.0,5.0,6.9,-11,2.0,2.0,1.0,11,22,12,27,13,25,17,26,19,29,29,26,15,22,26,24,4.0,37.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.5789473684210527,0.4285714285714285,0.421875,0.4193548387096774,0.5952380952380952,0.2361111111111111,0.4642857142857143,0.0,0.2923076923076923,0.0,0.4328358208955223,0.4603174603174603,0.3939393939393939,0.3488372093023256,0.7333333333333333,0.3823529411764705,0.3809523809523809,9,3,4,73.0,17.0,23.0,20.0,43.0,0.1232876712328767,0.1764705882352941,0.0,0.0,0.0930232558139534,19,9.0,81.0,4.2631578947368425,6.499999999999997,90.8,4.778947368421052
22,22,15,2022-12-08,22-041,SAS,,HOU,W (+9),0,20:39,3.0,3.0,1.000,0.0,0.0,,4,4.0,1.000,1.0,4.0,5.0,3.0,1.0,4.0,0.0,4.0,10.0,15.3,+10,3.0,3.0,1.0,11,22,12,27,13,25,17,26,19,29,29,26,15,22,26,24,4.0,37.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.5789473684210527,0.4285714285714285,0.421875,0.4193548387096774,0.5952380952380952,0.2361111111111111,0.4642857142857143,0.0,0.2923076923076923,0.0,0.4328358208955223,0.4603174603174603,0.3939393939393939,0.3488372093023256,0.7333333333333333,0.3823529411764705,0.3809523809523809,9,3,4,73.0,17.0,23.0,20.0,43.0,0.1232876712328767,0.1764705882352941,0.0,0.0,0.0930232558139534,19,16.0,56.0,2.9473684210526314,13.7,74.49999999999999,3.9210526315789465
23,23,16,2022-12-10,22-043,SAS,@,MIA,W (+4),0,17:38,4.0,5.0,.800,0.0,0.0,,0,0.0,,2.0,2.0,4.0,2.0,0.0,1.0,1.0,3.0,8.0,8.0,+2,5.0,4.0,0.8,11,22,12,27,13,25,17,26,19,29,29,26,15,22,26,24,4.0,37.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.5789473684210527,0.4285714285714285,0.421875,0.4193548387096774,0.5952380952380952,0.2361111111111111,0.4642857142857143,0.0,0.2923076923076923,0.0,0.4328358208955223,0.4603174603174603,0.3939393939393939,0.3488372093023256,0.7333333333333333,0.3823529411764705,0.3809523809523809,9,3,4,73.0,17.0,23.0,20.0,43.0,0.1232876712328767,0.1764705882352941,0.0,0.0,0.0930232558139534,19,9.0,59.0,3.1052631578947367,8.0,61.8,3.2526315789473683
24,24,17,2022-12-12,22-045,SAS,,CLE,W (+1),0,20:11,3.0,5.0,.600,0.0,0.0,,0,0.0,,6.0,5.0,11.0,1.0,0.0,0.0,1.0,1.0,6.0,8.7,+10,5.0,3.0,0.6,11,22,12,27,13,25,17,26,19,29,29,26,15,22,26,24,4.0,37.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.5789473684210527,0.4285714285714285,0.421875,0.4193548387096774,0.5952380952380952,0.2361111111111111,0.4642857142857143,0.0,0.2923076923076923,0.0,0.4328358208955223,0.4603174603174603,0.3939393939393939,0.3488372093023256,0.7333333333333333,0.3823529411764705,0.3809523809523809,9,3,4,73.0,17.0,23.0,20.0,43.0,0.1232876712328767,0.1764705882352941,0.0,0.0,0.0930232558139534,19,12.0,35.0,1.8421052631578947,8.699999999999998,52.2,2.7473684210526317
