Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Javonte Green,Shared Games with Kostas Antetokounmpo,Shared Games with Lonzo Ball,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine
10,11,11,2022-11-06,36-184,CHI,@,TOR,L (-9),0,20.783333333333335,6.0,10.0,.600,4.0,6.0,.667,0,0,,2,0,2,2,0,0,2,3,16,11.0,+1,4.0,2.0,0.5,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
11,12,12,2022-11-07,36-185,CHI,,TOR,W (+14),0,25.033333333333335,4.0,9.0,.444,0.0,2.0,.000,2,2,1.000,2,3,5,2,1,0,2,2,10,7.2,+18,7.0,4.0,0.5714285714285714,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
12,13,13,2022-11-09,36-187,CHI,,NOP,L (-4),0,25.55,6.0,11.0,.545,1.0,5.0,.200,1,1,1.000,2,0,2,6,0,0,2,0,14,12.3,+9,6.0,5.0,0.8333333333333334,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
13,14,14,2022-11-13,36-191,CHI,,DEN,L (-23),0,22.633333333333333,5.0,10.0,.500,1.0,2.0,.500,0,0,,0,1,1,6,1,0,3,2,11,7.7,-2,8.0,4.0,0.5,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
14,15,15,2022-11-16,36-194,CHI,@,NOP,L (-14),0,20.416666666666668,3.0,7.0,.429,0.0,2.0,.000,0,2,.000,0,2,2,7,0,0,2,2,6,4.2,-6,5.0,3.0,0.6,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
15,16,16,2022-11-18,36-196,CHI,,ORL,L (-1),0,16.483333333333334,0.0,2.0,.000,0.0,1.0,.000,1,2,.500,0,2,2,4,0,0,0,1,1,2.2,+4,1.0,0.0,0.0,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
16,17,17,2022-11-21,36-199,CHI,,BOS,W (+14),0,7.183333333333334,0.0,1.0,.000,0.0,0.0,,0,0,,0,0,0,0,1,0,1,0,0,-0.7,-3,1.0,0.0,0.0,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
17,18,,2022-11-23,36-201,CHI,@,MIL,W (+5),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
18,19,18,2022-11-25,36-203,CHI,@,OKC,L (-4),0,10.733333333333333,1.0,5.0,.200,0.0,1.0,.000,0,0,,0,0,0,0,0,0,1,1,2,-2.5,-10,4.0,1.0,0.25,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
19,20,19,2022-11-28,36-206,CHI,@,UTA,W (+7),0,13.5,2.0,7.0,.286,1.0,3.0,.333,2,2,1.000,1,1,2,2,1,1,0,2,7,6.2,+4,4.0,1.0,0.25,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
21,21,20,2022-11-30,36-208,CHI,@,PHO,L (-19),0,13.616666666666667,2.0,5.0,.400,0.0,3.0,.000,1,3,.333,0,0,0,1,0,0,2,0,5,0.2,-4,2.0,2.0,1.0,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
22,22,21,2022-12-02,36-210,CHI,@,GSW,L (-8),0,23.3,6.0,11.0,.545,2.0,2.0,1.000,0,0,,1,3,4,5,0,0,0,4,14,12.2,+5,9.0,4.0,0.4444444444444444,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
23,23,22,2022-12-04,36-212,CHI,@,SAC,L (-9),0,7.75,1.0,2.0,.500,0.0,1.0,.000,0,0,,0,1,1,2,0,0,2,1,2,0.3,-12,1.0,1.0,1.0,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
24,24,23,2022-12-07,36-215,CHI,,WAS,W (+4),0,11.05,1.0,4.0,.250,0.0,1.0,.000,0,0,,1,0,1,3,0,0,2,0,2,0.4,-9,3.0,1.0,0.3333333333333333,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
25,25,24,2022-12-10,36-218,CHI,,DAL,W (+29),0,15.866666666666667,5.0,7.0,.714,2.0,3.0,.667,2,3,.667,0,0,0,3,1,0,0,2,14,13.0,+18,4.0,3.0,0.75,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
26,26,25,2022-12-11,36-219,CHI,@,ATL,L (-1),0,17.266666666666666,1.0,7.0,.143,0.0,4.0,.000,0,0,,0,0,0,6,0,0,2,3,2,-1.5,+4,3.0,1.0,0.3333333333333333,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
27,27,26,2022-12-14,36-222,CHI,,NYK,L (-8),0,10.066666666666666,3.0,5.0,.600,1.0,3.0,.333,0,1,.000,0,0,0,1,0,0,0,0,7,5.0,-5,2.0,2.0,1.0,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
28,28,27,2022-12-16,36-224,CHI,,NYK,L (-23),0,16.316666666666666,3.0,6.0,.500,1.0,3.0,.333,2,2,1.000,0,2,2,2,0,0,1,2,9,6.2,-10,3.0,2.0,0.6666666666666666,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
29,29,28,2022-12-18,36-226,CHI,@,MIN,L (-24),0,19.45,2.0,4.0,.500,1.0,3.0,.333,1,2,.500,0,3,3,5,0,0,1,0,6,7.0,-4,1.0,1.0,1.0,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
30,30,29,2022-12-20,36-228,CHI,@,MIA,W (+10),0,20.483333333333334,3.0,7.0,.429,2.0,3.0,.667,0,0,,0,2,2,0,0,0,1,4,8,2.3,-2,4.0,1.0,0.25,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
31,31,,2022-12-21,36-229,CHI,@,ATL,W (+2),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
32,32,30,2022-12-23,36-231,CHI,@,NYK,W (+1),0,17.733333333333334,3.0,6.0,.500,2.0,4.0,.500,1,2,.500,0,0,0,1,0,0,0,0,9,6.3,0,2.0,1.0,0.5,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
33,33,31,2022-12-26,36-234,CHI,,HOU,L (-15),0,17.066666666666666,5.0,11.0,.455,2.0,6.0,.333,0,0,,0,1,1,0,0,0,1,2,12,4.8,-7,5.0,3.0,0.6,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
34,34,32,2022-12-28,36-236,CHI,,MIL,W (+6),0,19.5,5.0,11.0,.455,2.0,4.0,.500,0,0,,0,2,2,1,0,0,3,1,12,4.2,-2,7.0,3.0,0.4285714285714285,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
35,35,33,2022-12-30,36-238,CHI,,DET,W (+14),0,15.45,2.0,6.0,.333,0.0,2.0,.000,0,0,,1,1,2,1,0,0,1,4,4,-0.3,-5,4.0,2.0,0.5,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
36,36,,2022-12-31,36-239,CHI,,CLE,L (-1),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
37,37,34,2023-01-02,36-241,CHI,@,CLE,L (-11),0,10.933333333333334,1.0,3.0,.333,0.0,1.0,.000,0,0,,0,0,0,1,0,0,0,0,2,1.0,+2,2.0,1.0,0.5,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
38,38,35,2023-01-04,36-243,CHI,,BRK,W (+9),0,17.1,3.0,6.0,.500,0.0,1.0,.000,0,0,,0,3,3,6,0,0,2,0,6,6.1,+9,5.0,3.0,0.6,42,39,49,6,43,19,47,43,26,0,0,4,2,51,51,11,47,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.6268656716417911,0.582089552238806,0.6125,0.8571428571428571,0.581081081081081,0.5,0.6351351351351351,0.671875,0.8125,,,0.8,0.2857142857142857,0.6219512195121951,0.6219512195121951,0.9166666666666666,0.6103896103896104
