Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-11-30,32-037,CHI,@,PHO,L (-19),1,29:22,5.0,9.0,.556,1.0,3.0,.333,6,7.0,.857,1.0,7.0,8.0,1.0,2.0,1.0,2.0,5.0,17.0,14.5,-10,6.0,4.0,0.6666666666666666,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,11.0,65.0,3.823529411764706,12.099999999999998,68.39999999999999,4.023529411764706
22,22,22,2022-12-02,32-039,CHI,@,GSW,L (-8),1,32:11,9.0,17.0,.529,2.0,7.0,.286,3,4.0,.750,0.0,11.0,11.0,1.0,3.0,0.0,1.0,1.0,23.0,19.9,-8,10.0,7.0,0.7,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,16.0,57.0,3.3529411764705883,18.70000000000001,64.2,3.7764705882352945
23,23,23,2022-12-04,32-041,CHI,@,SAC,L (-9),1,37:04,4.0,10.0,.400,2.0,4.0,.500,2,2.0,1.000,0.0,6.0,6.0,1.0,0.0,1.0,2.0,0.0,12.0,7.8,-5,6.0,2.0,0.3333333333333333,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,6.0,56.0,3.294117647058824,6.9999999999999964,71.29999999999998,4.194117647058823
24,24,24,2022-12-07,32-044,CHI,,WAS,W (+4),1,35:35,10.0,16.0,.625,3.0,5.0,.600,2,3.0,.667,2.0,9.0,11.0,3.0,2.0,2.0,1.0,1.0,25.0,25.6,+13,11.0,7.0,0.6363636363636364,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,23.0,69.0,4.0588235294117645,24.800000000000004,72.0,4.235294117647059
25,25,25,2022-12-10,32-047,CHI,,DAL,W (+29),1,26:06,8.0,11.0,.727,2.0,3.0,.667,2,2.0,1.000,2.0,6.0,8.0,4.0,1.0,1.0,0.0,3.0,20.0,22.0,+10,8.0,6.0,0.75,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,21.0,117.0,6.882352941176471,21.2,115.9,6.81764705882353
26,26,26,2022-12-11,32-048,CHI,@,ATL,L (-1),1,36:37,6.0,11.0,.545,1.0,2.0,.500,0,0.0,,2.0,6.0,8.0,1.0,2.0,0.0,0.0,0.0,13.0,13.6,-3,9.0,5.0,0.5555555555555556,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,13.0,86.0,5.0588235294117645,13.6,81.3,4.7823529411764705
27,27,27,2022-12-14,32-051,CHI,,NYK,L (-8),1,41:07,9.0,16.0,.563,1.0,5.0,.200,0,0.0,,0.0,7.0,7.0,5.0,0.0,2.0,1.0,1.0,19.0,17.0,-3,11.0,8.0,0.7272727272727273,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,16.0,77.0,4.529411764705882,17.000000000000004,88.3,5.194117647058824
28,28,28,2022-12-16,32-053,CHI,,NYK,L (-23),1,29:19,4.0,8.0,.500,1.0,3.0,.333,0,0.0,,1.0,7.0,8.0,4.0,0.0,0.0,2.0,2.0,9.0,7.8,-23,5.0,3.0,0.6,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,11.0,54.0,3.176470588235294,7.799999999999999,52.29999999999999,3.0764705882352934
29,29,29,2022-12-18,32-055,CHI,@,MIN,L (-24),1,32:14,10.0,15.0,.667,3.0,6.0,.500,0,0.0,,1.0,8.0,9.0,5.0,2.0,1.0,4.0,3.0,23.0,20.6,-18,9.0,7.0,0.7777777777777778,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,21.0,57.0,3.3529411764705883,20.6,83.79999999999998,4.929411764705882
