Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,+/-,GmSc,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,co_inf with Terry Taylor,Total Shared Players,STL,BLK,TOV,CO_EFF,EFF,avg_EFF,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,,2022-11-06,24-351,CHI,TOR,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,90.0,0.0,88.99999999999999,0.0,,L (-9),L (-9)
12.0,,2022-11-07,24-352,CHI,TOR,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,102.0,0.0,100.8,0.0,,W (+14),W (+14)
13.0,,2022-11-09,24-354,CHI,NOP,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,75.0,0.0,76.3,0.0,,L (-4),L (-4)
14.0,,2022-11-13,24-358,CHI,DEN,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,69.0,0.0,70.19999999999999,0.0,,L (-23),L (-23)
15.0,,2022-11-16,24-361,CHI,NOP,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,67.0,0.0,75.7,0.0,,L (-14),L (-14)
16.0,,2022-11-18,24-363,CHI,ORL,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,98.0,0.0,96.7,0.0,,L (-1),L (-1)
17.0,,2022-11-21,25-001,CHI,BOS,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,107.0,0.0,101.3,0.0,,W (+14),W (+14)
18.0,,2022-11-23,25-003,CHI,MIL,Did Not Play,0.0,Did Not Play,,Did Not Play,Did Not Play,,Did Not Play,,,Did Not Play,,Did Not Play,Did Not Play,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,105.0,0.0,107.7,0.0,,W (+5),W (+5)
19.0,,2022-11-25,25-005,CHI,OKC,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,67.0,0.0,78.3,0.0,,L (-4),L (-4)
20.0,,2022-11-28,25-008,CHI,UTA,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,69.0,0.0,72.69999999999999,0.0,,W (+7),W (+7)
21.0,,2022-11-30,25-010,CHI,PHO,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,76.0,0.0,80.49999999999999,0.0,,,
22.0,,2022-12-02,25-012,CHI,GSW,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,73.0,0.0,82.9,0.0,,L (-19),L (-19)
23.0,,2022-12-04,25-014,CHI,SAC,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,62.0,0.0,78.29999999999998,0.0,,L (-8),L (-8)
24.0,,2022-12-07,25-017,CHI,WAS,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,92.0,0.0,96.8,0.0,,L (-9),L (-9)
25.0,,2022-12-10,25-020,CHI,DAL,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,138.0,0.0,137.1,0.0,,W (+4),W (+4)
26.0,,2022-12-11,25-021,CHI,ATL,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,99.0,0.0,94.9,0.0,,W (+29),W (+29)
27.0,,2022-12-14,25-024,CHI,NYK,,0.0,,,,,,,,,,,,,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,5.0,7.0,82.0,82.0,12.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,67.0,35.0,31.0,0.0,0.0,0.0,0.0,0,0,0,0,,93.0,0.0,105.3,0.0,,L (-1),L (-1)
