Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,HGS,avg_HGS
61,60,47,2023-02-24,29-198,CHI,,BRK,W (+44),0,14:26,6.0,10.0,.600,0.0,0.0,,1,2.0,.500,7,3,10.0,1.0,2.0,0.0,2.0,3,13.0,13.3,+3,10.0,6.0,0.6,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,12.0,117.0,6.882352941176471,121.7,7.158823529411765
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,,,FG%,,,3P%,FT,,FT%,ORB,DRB,,,,,,PF,,GmSc,+/-,,,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,,0.0,0.0,0.0,0.0
63,61,48,2023-02-26,29-200,CHI,,WAS,W (+20),0,13:53,1.0,2.0,.500,0.0,0.0,,0,2.0,.000,1,4,5.0,0.0,0.0,0.0,0.0,1,2.0,1.7,+19,2.0,1.0,0.5,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,3.0,90.0,5.294117647058823,104.0,6.117647058823529
64,62,49,2023-02-28,29-202,CHI,@,TOR,L (-6),0,16:29,2.0,4.0,.500,0.0,0.0,,2,2.0,1.000,3,7,10.0,1.0,0.0,1.0,2.0,1,6.0,7.2,-5,4.0,2.0,0.5,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,10.0,90.0,5.294117647058823,92.3,5.429411764705883
65,63,50,2023-03-01,29-203,CHI,@,DET,W (+2),0,12:32,0.0,1.0,.000,0.0,0.0,,1,2.0,.500,2,4,6.0,0.0,0.0,0.0,3.0,4,1.0,-2.1,-9,1.0,0.0,0.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,1.0,92.0,5.411764705882353,108.4,6.376470588235295
66,64,51,2023-03-03,29-205,CHI,,PHO,L (-21),0,15:28,2.0,6.0,.333,0.0,0.0,,0,0.0,,1,7,8.0,1.0,1.0,0.0,1.0,3,4.0,2.9,-7,6.0,2.0,0.3333333333333333,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,7.0,92.0,5.411764705882353,112.49999999999996,6.617647058823527
67,65,52,2023-03-05,29-207,CHI,,IND,L (-3),0,6:04,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0,3,3.0,0.0,0.0,0.0,0.0,0,2.0,2.6,-6,1.0,1.0,1.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,4.0,81.0,4.764705882352941,95.4,5.611764705882353
68,66,53,2023-03-08,29-210,CHI,@,DEN,W (+21),0,11:04,1.0,2.0,.500,0.0,0.0,,0,0.0,,1,4,5.0,1.0,0.0,1.0,0.0,1,2.0,3.9,+3,2.0,1.0,0.5,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,7.0,89.0,5.235294117647059,103.59999999999998,6.094117647058822
69,67,54,2023-03-11,29-213,CHI,@,HOU,W (+8),0,13:41,4.0,4.0,1.000,0.0,0.0,,3,4.0,.750,2,3,5.0,0.0,1.0,0.0,2.0,3,11.0,9.5,-1,4.0,4.0,1.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,7.0,67.0,3.941176470588236,83.2,4.894117647058824
70,68,55,2023-03-15,29-217,CHI,,SAC,L (-3),0,12:38,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1,3,4.0,1.0,2.0,1.0,3.0,4,2.0,2.1,+6,1.0,1.0,1.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,6.0,70.0,4.117647058823529,91.5,5.382352941176471
71,69,56,2023-03-17,29-219,CHI,,MIN,W (+8),0,9:36,0.0,2.0,.000,0.0,0.0,,0,2.0,.000,0,5,5.0,0.0,1.0,1.0,0.0,0,0.0,1.0,-9,2.0,0.0,0.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,3.0,92.0,5.411764705882353,115.0,6.764705882352941
72,70,57,2023-03-18,29-220,CHI,,MIA,W (+14),0,6:28,0.0,2.0,.000,0.0,0.0,,2,2.0,1.000,2,4,6.0,0.0,0.0,0.0,1.0,2,2.0,1.4,+6,2.0,0.0,0.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,3.0,105.0,6.176470588235294,106.9,6.288235294117648
73,71,58,2023-03-20,29-222,CHI,@,PHI,W (+4),0,6:33,0.0,1.0,.000,0.0,0.0,,0,0.0,,0,3,3.0,0.0,0.0,0.0,0.0,2,0.0,-0.6,-1,1.0,0.0,0.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,2.0,82.0,4.823529411764706,100.70000000000002,5.923529411764707
74,72,59,2023-03-22,29-224,CHI,,PHI,L (-25),0,16:58,6.0,8.0,.750,0.0,0.0,,1,2.0,.500,6,6,12.0,1.0,0.0,2.0,3.0,0,13.0,14.5,+5,8.0,6.0,0.75,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,15.0,52.0,3.0588235294117645,66.39999999999999,3.905882352941176
75,73,60,2023-03-24,29-226,CHI,@,POR,W (+28),0,12:38,1.0,6.0,.167,0.0,1.0,.000,0,0.0,,2,6,8.0,0.0,1.0,1.0,2.0,2,2.0,0.3,-10,5.0,1.0,0.2,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,4.0,112.0,6.588235294117647,117.7,6.923529411764706
76,74,61,2023-03-26,29-228,CHI,@,LAL,W (+10),0,17:36,5.0,6.0,.833,0.0,0.0,,2,3.0,.667,2,6,8.0,0.0,2.0,0.0,0.0,3,12.0,13.4,+20,6.0,5.0,0.8333333333333334,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,13.0,116.0,6.823529411764706,114.1,6.711764705882352
77,75,62,2023-03-27,29-229,CHI,@,LAC,L (-12),0,14:07,4.0,6.0,.667,0.0,0.0,,3,6.0,.500,3,5,8.0,0.0,1.0,1.0,1.0,0,11.0,11.5,-1,6.0,4.0,0.6666666666666666,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,8.0,92.0,5.411764705882353,105.50000000000004,6.205882352941179
78,76,,2023-03-29,29-231,CHI,,LAL,L (-11),Inactive,Inactive,,,Inactive,,,Inactive,Inactive,,Inactive,Inactive,Inactive,,,,,,Inactive,,Inactive,Inactive,,,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,,97.0,5.705882352941177,106.9,6.288235294117648
79,77,63,2023-03-31,29-233,CHI,@,CHO,W (+30),0,13:56,3.0,4.0,.750,0.0,0.0,,0,0.0,,2,9,11.0,1.0,2.0,1.0,1.0,1,6.0,10.5,+6,4.0,3.0,0.75,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,16.0,100.0,5.882352941176471,118.9,6.9941176470588236
80,78,64,2023-04-02,29-235,CHI,,MEM,W (+21),0,6:39,1.0,2.0,.500,0.0,0.0,,0,0.0,,0,3,3.0,0.0,0.0,0.0,0.0,0,2.0,1.9,-9,2.0,1.0,0.5,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,3.0,103.0,6.0588235294117645,124.1,7.3
81,79,65,2023-04-04,29-237,CHI,,ATL,L (-18),0,7:30,0.0,0.0,,0.0,0.0,,2,4.0,.500,1,3,4.0,0.0,0.0,2.0,0.0,0,2.0,4.2,0,0.0,0.0,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,4.0,69.0,4.0588235294117645,84.99999999999999,4.999999999999999
82,80,66,2023-04-05,29-238,CHI,@,MIL,L (-13),0,13:25,1.0,1.0,1.000,0.0,0.0,,1,2.0,.500,0,2,2.0,0.0,0.0,0.0,0.0,1,3.0,2.5,-5,1.0,1.0,1.0,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,2.0,68.0,4.0,75.39999999999999,4.435294117647058
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,,,FG%,,,3P%,FT,,FT%,ORB,DRB,,,,,,PF,,GmSc,+/-,,,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,,0.0,0.0,0.0,0.0
84,81,,2023-04-07,29-240,CHI,@,DAL,W (+3),Did Not Play,Did Not Play,,,Did Not Play,,,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,Did Not Play,,,,,,Did Not Play,,Did Not Play,Did Not Play,,,,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,,94.0,5.529411764705882,99.5,5.852941176470588
85,82,67,2023-04-09,29-242,CHI,,DET,W (+22),0,12:40,3.0,7.0,.429,0.0,0.0,,2,4.0,.500,5,5,10.0,0.0,1.0,0.0,1.0,1,8.0,8.1,-9,7.0,3.0,0.4285714285714285,52,66,6,64,28,62,49,39,24,3,6,67,67,9,64,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.7761194029850746,0.825,0.8571428571428571,0.8648648648648649,0.7368421052631579,0.8378378378378378,0.765625,0.6724137931034483,0.75,,,0.6,0.8571428571428571,0.8170731707317073,0.8170731707317073,0.75,0.8311688311688312,5,21,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3134328358208955,0.0,17,7.0,47.0,2.764705882352941,59.6,3.5058823529411764
