Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,10,2022-11-10,34-295,DAL,@,WAS,L (-8),0,7:33,1.0,4.0,.250,0.0,0.0,,1,2.0,.500,1.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,-0.2,-7,4.0,1.0,0.25,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,-1.0,44.0,2.3157894736842106,-0.6000000000000005,66.89999999999999,3.521052631578947
11,12,,2022-11-12,34-297,DAL,,POR,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,,53.0,2.789473684210526,0.0,71.6,3.7684210526315787
12,13,,2022-11-15,34-300,DAL,,LAC,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,,38.0,2.0,0.0,43.6,2.294736842105263
13,14,,2022-11-16,34-301,DAL,,HOU,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,,35.0,1.8421052631578947,0.0,48.70000000000001,2.5631578947368427
14,15,11,2022-11-18,34-303,DAL,,DEN,W (+28),0,16:32,5.0,6.0,.833,0.0,0.0,,0,2.0,.000,0.0,4.0,4.0,1.0,0.0,2.0,2.0,4.0,10.0,6.7,+11,6.0,5.0,0.8333333333333334,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,7.0,69.0,3.631578947368421,6.699999999999999,77.79999999999998,4.094736842105262
15,16,12,2022-11-20,34-305,DAL,,DEN,L (-1),0,10:44,1.0,3.0,.333,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.3,+3,3.0,1.0,0.3333333333333333,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,1.0,44.0,2.3157894736842106,1.2999999999999998,58.3,3.068421052631579
16,17,13,2022-11-23,34-308,DAL,@,BOS,L (-13),0,4:36,2.0,2.0,1.000,0.0,0.0,,1,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.3,+4,2.0,2.0,1.0,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,3.0,48.0,2.526315789473684,3.899999999999999,62.1,3.268421052631579
17,18,14,2022-11-26,34-311,DAL,@,TOR,L (-5),0,6:26,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.2,-7,1.0,1.0,1.0,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,3.0,51.0,2.6842105263157894,1.2000000000000002,62.29999999999999,3.278947368421052
18,19,15,2022-11-27,34-312,DAL,@,MIL,L (-9),0,3:32,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.6,-10,1.0,1.0,1.0,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,1.0,61.0,3.210526315789474,0.5999999999999996,83.69999999999999,4.405263157894736
19,20,,2022-11-29,34-314,DAL,,GSW,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,,60.0,3.1578947368421053,0.0,79.89999999999998,4.205263157894736
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-12-01,34-316,DAL,@,DET,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,,86.0,4.526315789473684,0.0,116.5,6.131578947368421
22,22,16,2022-12-03,34-318,DAL,@,NYK,W (+21),0,4:42,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.7,-10,1.0,1.0,1.0,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,2.0,71.0,3.736842105263158,1.6999999999999993,85.30000000000001,4.489473684210527
23,23,,2022-12-05,34-320,DAL,,PHO,W (+19),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,,82.0,4.315789473684211,0.0,106.2,5.589473684210526
24,24,,2022-12-06,34-321,DAL,@,DEN,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,36,22,37,21,23,26,29,35,17,16,40,29,25,35,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.3333333333333333,0.4868421052631579,0.4666666666666667,0.0,0.4893617021276595,0.5416666666666666,0.4833333333333333,0.0,0.5303030303030303,0.4594594594594595,0.5925925925925926,0.5128205128205128,0.3670886075949367,0.625,0.4929577464788732,0.3333333333333333,5,8,3,9,15.0,,46.0,60.0,35.0,0.108695652173913,0.1333333333333333,0.0857142857142857,0.6,,19,,67.0,3.526315789473684,0.0,79.1,4.163157894736842
