Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-10,27-044,DAL,@,WAS,L (-8),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,,43.0,2.263157894736842,0.0,66.29999999999998,3.4894736842105254
11,12,10,2022-11-12,27-046,DAL,,POR,W (+5),0,25:08,7.0,11.0,.636,1.0,5.0,.200,4,5.0,.800,0.0,5.0,5.0,1.0,2.0,0.0,2.0,6.0,19.0,13.5,+14,6.0,6.0,1.0,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,9.0,44.0,2.3157894736842106,11.9,59.7,3.142105263157895
12,13,11,2022-11-15,27-049,DAL,,LAC,W (+2),0,23:49,6.0,8.0,.750,2.0,2.0,1.000,1,4.0,.250,0.0,7.0,7.0,0.0,0.0,0.0,4.0,2.0,15.0,7.9,-4,6.0,4.0,0.6666666666666666,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,6.0,32.0,1.6842105263157894,7.5,36.1,1.9000000000000001
13,14,12,2022-11-16,27-050,DAL,,HOU,L (-9),0,30:31,9.0,22.0,.409,2.0,7.0,.286,6,6.0,1.000,1.0,7.0,8.0,3.0,1.0,1.0,0.0,4.0,26.0,19.2,0,15.0,7.0,0.4666666666666667,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,11.0,24.0,1.263157894736842,16.800000000000004,31.90000000000001,1.6789473684210532
14,15,13,2022-11-18,27-052,DAL,,DEN,W (+28),0,26:09,11.0,16.0,.688,2.0,4.0,.500,4,5.0,.800,2.0,6.0,8.0,1.0,0.0,0.0,3.0,2.0,28.0,20.9,+21,12.0,9.0,0.75,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,13.0,63.0,3.3157894736842106,19.3,65.19999999999999,3.4315789473684206
15,16,14,2022-11-20,27-054,DAL,,DEN,L (-1),0,17:25,2.0,3.0,.667,0.0,0.0,,1,2.0,.500,1.0,6.0,7.0,2.0,0.0,0.0,0.0,1.0,5.0,6.8,-3,3.0,2.0,0.6666666666666666,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,9.0,36.0,1.894736842105263,6.400000000000001,53.2,2.8000000000000003
16,17,15,2022-11-23,27-057,DAL,@,BOS,L (-13),0,34:10,10.0,14.0,.714,2.0,3.0,.667,4,5.0,.800,2.0,10.0,12.0,2.0,0.0,0.0,5.0,4.0,26.0,19.0,-8,11.0,8.0,0.7272727272727273,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,16.0,35.0,1.8421052631578947,17.4,48.6,2.557894736842105
17,18,16,2022-11-26,27-060,DAL,@,TOR,L (-5),0,22:50,3.0,8.0,.375,2.0,4.0,.500,2,4.0,.500,1.0,5.0,6.0,0.0,1.0,3.0,3.0,2.0,10.0,6.3,-13,4.0,1.0,0.25,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,5.0,49.0,2.5789473684210527,5.5,57.99999999999999,3.052631578947368
18,19,17,2022-11-27,27-061,DAL,@,MIL,L (-9),0,32:05,8.0,17.0,.471,2.0,6.0,.333,3,4.0,.750,0.0,7.0,7.0,2.0,1.0,0.0,1.0,4.0,21.0,13.8,+5,11.0,6.0,0.5454545454545454,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,9.0,53.0,2.789473684210526,12.6,71.7,3.7736842105263158
19,20,18,2022-11-29,27-063,DAL,,GSW,W (+3),0,25:48,2.0,12.0,.167,0.0,5.0,.000,0,2.0,.000,1.0,7.0,8.0,1.0,0.0,1.0,2.0,3.0,4.0,-3.4,-16,7.0,2.0,0.2857142857142857,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,-2.0,62.0,3.263157894736842,-3.4000000000000004,83.29999999999997,4.384210526315788
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,,0.0,0.0,0.0,0.0,0.0
21,21,19,2022-12-01,27-065,DAL,@,DET,L (-6),0,34:35,10.0,13.0,.769,1.0,2.0,.500,4,6.0,.667,1.0,7.0,8.0,3.0,0.0,0.0,2.0,3.0,25.0,20.8,-9,11.0,9.0,0.8181818181818182,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,15.0,71.0,3.736842105263158,19.2,97.3,5.121052631578947
22,22,,2022-12-03,27-067,DAL,@,NYK,W (+21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,,73.0,3.842105263157895,0.0,87.00000000000001,4.578947368421053
23,23,20,2022-12-05,27-069,DAL,,PHO,W (+19),0,27:01,6.0,12.0,.500,2.0,4.0,.500,4,5.0,.800,3.0,6.0,9.0,5.0,0.0,1.0,6.0,4.0,18.0,12.1,+13,8.0,4.0,0.5,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,10.0,72.0,3.789473684210526,10.5,95.7,5.036842105263158
24,24,21,2022-12-06,27-070,DAL,@,DEN,W (+1),0,26:42,6.0,7.0,.857,0.0,1.0,.000,2,2.0,1.000,0.0,6.0,6.0,2.0,2.0,1.0,1.0,3.0,14.0,15.2,+9,6.0,6.0,1.0,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,15.0,52.0,2.736842105263158,14.4,64.69999999999999,3.405263157894736
25,25,22,2022-12-09,27-073,DAL,,MIL,L (-1),0,23:10,6.0,14.0,.429,2.0,5.0,.400,0,0.0,,0.0,9.0,9.0,2.0,0.0,0.0,2.0,4.0,14.0,7.1,+2,9.0,4.0,0.4444444444444444,29,62,33,35,36,36,48,55,33,21,64,41,31,58,3,1.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4393939393939394,0.8157894736842105,0.7333333333333333,0.0,0.7446808510638298,0.75,0.8571428571428571,0.8,0.0,0.8333333333333334,0.8918918918918919,0.7777777777777778,0.8205128205128205,0.5189873417721519,0.775,0.8169014084507042,1.0,16,18,8,14,15.0,,46.0,60.0,35.0,0.3478260869565217,0.3,0.2285714285714285,0.9333333333333332,,19,9.0,42.0,2.210526315789474,7.099999999999998,63.00000000000001,3.315789473684211
