Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-10,31-239,DAL,@,WAS,L (-8),1,27:13,2.0,4.0,.500,2.0,4.0,.500,0,0.0,,0.0,5.0,5.0,2.0,1.0,0.0,0.0,1.0,6.0,7.5,+1,0.0,0.0,,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,10.0,33.0,1.736842105263158,7.500000000000001,58.79999999999999,3.0947368421052626
11,12,12,2022-11-12,31-241,DAL,,POR,W (+5),1,17:13,1.0,5.0,.200,0.0,4.0,.000,0,0.0,,0.0,2.0,2.0,1.0,2.0,0.0,0.0,4.0,2.0,0.6,-5,1.0,1.0,1.0,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,2.0,51.0,2.6842105263157894,0.6000000000000001,71.0,3.736842105263158
12,13,13,2022-11-15,31-244,DAL,,LAC,W (+2),1,30:50,4.0,8.0,.500,4.0,8.0,.500,1,2.0,.500,1.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,13.0,9.4,+9,0.0,0.0,,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,7.0,31.0,1.631578947368421,8.999999999999996,34.60000000000001,1.821052631578948
13,14,14,2022-11-16,31-245,DAL,,HOU,L (-9),1,32:51,0.0,6.0,.000,0.0,6.0,.000,0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,-3.3,-16,0.0,0.0,,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,-3.0,38.0,2.0,-3.299999999999999,52.00000000000001,2.7368421052631584
14,15,15,2022-11-18,31-247,DAL,,DEN,W (+28),1,30:32,4.0,7.0,.571,2.0,5.0,.400,0,0.0,,0.0,6.0,6.0,3.0,1.0,0.0,0.0,2.0,10.0,10.8,+20,2.0,2.0,1.0,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,13.0,63.0,3.3157894736842106,10.8,73.69999999999999,3.878947368421052
15,16,16,2022-11-20,31-249,DAL,,DEN,L (-1),1,25:33,1.0,5.0,.200,1.0,5.0,.200,0,0.0,,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0,2.1,-25,0.0,0.0,,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,3.0,42.0,2.210526315789474,2.1,57.50000000000001,3.0263157894736845
16,17,17,2022-11-23,31-252,DAL,@,BOS,L (-13),1,27:27,2.0,6.0,.333,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,1.2,-21,3.0,1.0,0.3333333333333333,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,0.0,51.0,2.6842105263157894,1.2000000000000006,64.79999999999998,3.4105263157894727
17,18,18,2022-11-26,31-255,DAL,@,TOR,L (-5),1,26:32,0.0,4.0,.000,0.0,4.0,.000,4,4.0,1.000,0.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,4.0,3.4,+6,0.0,0.0,,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,2.0,52.0,2.736842105263158,1.8,61.7,3.2473684210526317
18,19,,2022-11-27,31-256,DAL,@,MIL,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,,62.0,3.263157894736842,0.0,84.30000000000001,4.436842105263159
19,20,19,2022-11-29,31-258,DAL,,GSW,W (+3),0,13:37,0.0,3.0,.000,0.0,3.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-14,0.0,0.0,,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,-3.0,63.0,3.3157894736842106,-2.1,81.99999999999997,4.315789473684209
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,,0.0,0.0,0.0,0.0,0.0
21,21,20,2022-12-01,31-260,DAL,@,DET,L (-6),0,22:14,2.0,4.0,.500,1.0,3.0,.333,1,2.0,.500,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,6.0,5.4,+8,1.0,1.0,1.0,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,5.0,81.0,4.2631578947368425,5.0,111.5,5.868421052631579
22,22,21,2022-12-03,31-262,DAL,@,NYK,W (+21),0,24:58,3.0,8.0,.375,3.0,7.0,.429,1,1.0,1.000,1.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,10.0,8.1,+15,1.0,0.0,0.0,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,7.0,66.0,3.473684210526316,7.699999999999998,79.30000000000001,4.173684210526316
23,23,22,2022-12-05,31-264,DAL,,PHO,W (+19),0,24:41,0.0,2.0,.000,0.0,2.0,.000,0,1.0,.000,0.0,4.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,-0.4,+13,0.0,0.0,,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,2.0,80.0,4.2105263157894735,-0.3999999999999998,106.6,5.610526315789474
24,24,23,2022-12-06,31-265,DAL,@,DEN,W (+1),0,14:27,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,-2.6,-3,0.0,0.0,,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,-1.0,68.0,3.5789473684210527,-2.6,81.69999999999999,4.3
25,25,24,2022-12-09,31-268,DAL,,MIL,L (-1),0,18:56,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,5.0,5.5,-3,1.0,1.0,1.0,64,39,73,41,43,45,40,58,63,36,25,51,36,68,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,79.0,40.0,71.0,3.0,0.0,0.9552238805970148,0.5909090909090909,0.9605263157894736,0.9111111111111112,0.0,0.9148936170212766,0.9375,0.9523809523809524,0.9666666666666668,0.0,0.9545454545454546,0.972972972972973,0.925925925925926,0.6455696202531646,0.9,0.9577464788732394,1.0,17,20,7,13,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2,0.8666666666666667,,19,8.0,43.0,2.263157894736842,5.5,64.60000000000001,3.4000000000000004
