Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-10,21-359,DAL,@,WAS,L (-8),0,19:02,1.0,4.0,.250,0.0,1.0,.000,2,2.0,1.000,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,3.3,-15,3.0,1.0,0.3333333333333333,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,0.0,43.0,2.263157894736842,2.500000000000001,63.79999999999999,3.3578947368421046
11,12,12,2022-11-12,21-361,DAL,,POR,W (+5),0,23:42,2.0,5.0,.400,1.0,4.0,.250,1,2.0,.500,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,6.0,3.7,+4,1.0,1.0,1.0,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,2.0,51.0,2.6842105263157894,3.2999999999999994,68.3,3.594736842105263
12,13,13,2022-11-15,21-364,DAL,,LAC,W (+2),0,13:40,0.0,1.0,.000,0.0,1.0,.000,0,2.0,.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.6,-3,0.0,0.0,,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,-2.0,40.0,2.1052631578947367,-1.6,45.20000000000001,2.3789473684210534
13,14,14,2022-11-16,22-000,DAL,,HOU,L (-9),1,16:32,0.0,2.0,.000,0.0,1.0,.000,4,4.0,1.000,3.0,2.0,5.0,0.0,2.0,0.0,1.0,3.0,4.0,5.1,-11,1.0,0.0,0.0,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,4.0,31.0,1.631578947368421,3.499999999999999,45.20000000000001,2.3789473684210534
14,15,15,2022-11-18,22-002,DAL,,DEN,W (+28),0,17:42,2.0,3.0,.667,0.0,1.0,.000,1,1.0,1.000,1.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,5.0,4.9,+21,2.0,2.0,1.0,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,5.0,71.0,3.736842105263158,4.5,79.99999999999999,4.210526315789473
15,16,16,2022-11-20,22-004,DAL,,DEN,L (-1),0,30:04,8.0,9.0,.889,6.0,7.0,.857,1,2.0,.500,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,23.0,17.9,+13,2.0,2.0,1.0,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,13.0,32.0,1.6842105263157894,17.5,42.1,2.2157894736842105
16,17,17,2022-11-23,22-007,DAL,@,BOS,L (-13),0,22:10,1.0,4.0,.250,1.0,2.0,.500,0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,0.7,+11,2.0,0.0,0.0,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,1.0,50.0,2.631578947368421,0.6999999999999997,65.29999999999998,3.436842105263157
17,18,18,2022-11-26,22-010,DAL,@,TOR,L (-5),0,17:08,2.0,6.0,.333,0.0,3.0,.000,2,2.0,1.000,0.0,1.0,1.0,2.0,0.0,0.0,1.0,6.0,6.0,0.9,-15,3.0,2.0,0.6666666666666666,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,0.0,54.0,2.8421052631578947,0.1000000000000005,63.399999999999984,3.336842105263157
18,19,19,2022-11-27,22-011,DAL,@,MIL,L (-9),0,19:58,2.0,3.0,.667,1.0,2.0,.500,3,4.0,.750,0.0,4.0,4.0,0.0,1.0,0.0,1.0,2.0,8.0,6.7,+5,1.0,1.0,1.0,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,5.0,57.0,3.0,5.500000000000001,78.80000000000001,4.147368421052632
19,20,20,2022-11-29,22-013,DAL,,GSW,W (+3),0,26:59,5.0,7.0,.714,3.0,5.0,.600,0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,13.0,11.0,-9,2.0,2.0,1.0,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,9.0,51.0,2.6842105263157894,11.0,68.89999999999998,3.626315789473683
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-12-01,22-015,DAL,@,DET,L (-6),0,15:08,3.0,5.0,.600,0.0,2.0,.000,0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,1.0,4.0,6.0,3.8,-5,3.0,3.0,1.0,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,4.0,82.0,4.315789473684211,3.8000000000000007,112.7,5.931578947368421
22,22,22,2022-12-03,22-017,DAL,@,NYK,W (+21),0,27:20,2.0,6.0,.333,1.0,4.0,.250,2,3.0,.667,1.0,2.0,3.0,5.0,2.0,0.0,1.0,3.0,7.0,7.8,+6,2.0,1.0,0.5,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,7.0,66.0,3.473684210526316,6.999999999999999,80.00000000000001,4.210526315789474
23,23,23,2022-12-05,22-019,DAL,,PHO,W (+19),0,31:08,6.0,7.0,.857,1.0,2.0,.500,3,3.0,1.000,1.0,3.0,4.0,5.0,2.0,0.0,0.0,0.0,16.0,20.6,+26,5.0,5.0,1.0,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,17.0,65.0,3.421052631578948,19.4,86.8,4.568421052631579
24,24,24,2022-12-06,22-020,DAL,@,DEN,W (+1),0,17:12,1.0,5.0,.200,0.0,2.0,.000,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,-2.7,+1,3.0,1.0,0.3333333333333333,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,-2.0,69.0,3.631578947368421,-2.7000000000000006,81.8,4.3052631578947365
25,25,25,2022-12-09,22-023,DAL,,MIL,L (-1),0,25:51,3.0,5.0,.600,0.0,0.0,,2,2.0,1.000,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,8.0,5.6,-12,5.0,3.0,0.6,48,34,57,26,26,33,29,49,36,12,58,34,22,53,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.7164179104477612,0.5151515151515151,0.75,0.5777777777777777,0.0,0.5531914893617021,0.6875,0.6904761904761905,0.0,0.7424242424242424,0.972972972972973,0.4444444444444444,0.7435897435897436,0.430379746835443,0.55,0.7464788732394366,0.3333333333333333,17,20,8,10,15.0,,46.0,60.0,35.0,0.3695652173913043,0.3333333333333333,0.2285714285714285,0.6666666666666666,,19,3.0,48.0,2.526315789473684,4.799999999999999,65.30000000000001,3.4368421052631586
