Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-09,27-345,NYK,@,BRK,L (-27),1,31:16,7.0,15.0,.467,4.0,8.0,.500,6,9.0,.667,1.0,10.0,11.0,3.0,0.0,0.0,4.0,1.0,24.0,16.5,-29,7.0,3.0,0.4285714285714285,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,10.0,31.0,1.8235294117647056,14.1,31.5,1.8529411764705883
11,12,12,2022-11-11,27-347,NYK,,DET,W (+9),1,32:59,8.0,18.0,.444,0.0,7.0,.000,5,5.0,1.000,4.0,4.0,8.0,5.0,0.0,0.0,2.0,5.0,21.0,15.1,+13,11.0,8.0,0.7272727272727273,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,9.0,67.0,3.941176470588236,13.1,81.20000000000002,4.776470588235295
12,13,13,2022-11-13,27-349,NYK,,OKC,L (-10),1,33:15,7.0,14.0,.500,3.0,6.0,.500,8,10.0,.800,3.0,7.0,10.0,3.0,0.0,0.0,2.0,3.0,25.0,20.3,-10,8.0,4.0,0.5,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,12.0,57.0,3.3529411764705883,17.100000000000005,58.99999999999999,3.4705882352941173
13,14,14,2022-11-15,27-351,NYK,@,UTA,W (+7),1,31:13,5.0,11.0,.455,2.0,6.0,.333,3,3.0,1.000,1.0,4.0,5.0,1.0,0.0,1.0,4.0,2.0,15.0,7.8,-12,5.0,3.0,0.6,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,4.0,80.0,4.705882352941177,6.599999999999998,79.1,4.652941176470588
14,15,15,2022-11-16,27-352,NYK,@,DEN,W (+3),1,32:17,11.0,21.0,.524,3.0,10.0,.300,9,13.0,.692,3.0,8.0,11.0,4.0,4.0,0.0,3.0,3.0,34.0,29.2,+7,11.0,8.0,0.7272727272727273,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,16.0,57.0,3.3529411764705883,25.6,57.1,3.3588235294117648
15,16,16,2022-11-18,27-354,NYK,@,GSW,L (-10),1,30:15,7.0,15.0,.467,3.0,7.0,.429,3,4.0,.750,4.0,3.0,7.0,2.0,0.0,0.0,4.0,3.0,20.0,11.8,-17,8.0,4.0,0.5,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,6.0,51.0,3.0,10.599999999999998,55.6,3.2705882352941176
16,17,17,2022-11-20,27-356,NYK,@,PHO,L (-21),1,26:33,4.0,11.0,.364,1.0,4.0,.250,0,0.0,,1.0,5.0,6.0,2.0,1.0,0.0,3.0,1.0,9.0,4.1,-6,7.0,3.0,0.4285714285714285,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,4.0,65.0,3.823529411764706,4.1,74.1,4.358823529411764
17,18,18,2022-11-21,27-357,NYK,@,OKC,W (+10),1,33:14,9.0,16.0,.563,2.0,6.0,.333,5,6.0,.833,1.0,10.0,11.0,1.0,0.0,0.0,2.0,5.0,25.0,17.4,+8,10.0,7.0,0.7,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,13.0,88.0,5.176470588235294,15.4,88.09999999999998,5.182352941176469
18,19,19,2022-11-25,27-361,NYK,,POR,L (-3),1,38:31,8.0,19.0,.421,3.0,8.0,.375,4,4.0,1.000,0.0,6.0,6.0,3.0,3.0,0.0,2.0,4.0,23.0,16.2,-17,11.0,5.0,0.4545454545454545,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,10.0,83.0,4.882352941176471,14.6,83.39999999999999,4.905882352941176
19,20,20,2022-11-27,27-363,NYK,,MEM,L (-4),1,34:36,4.0,9.0,.444,1.0,5.0,.200,5,6.0,.833,2.0,8.0,10.0,9.0,0.0,0.0,1.0,4.0,14.0,16.4,-2,4.0,3.0,0.75,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,17.0,68.0,4.0,14.4,80.5,4.735294117647059
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-11-29,28-000,NYK,@,DET,W (+30),1,30:57,14.0,24.0,.583,6.0,13.0,.462,2,4.0,.500,1.0,6.0,7.0,5.0,1.0,0.0,3.0,3.0,36.0,26.8,+36,11.0,8.0,0.7272727272727273,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,18.0,105.0,6.176470588235294,26.000000000000004,102.7,6.041176470588235
22,22,22,2022-11-30,28-001,NYK,,MIL,L (-6),1,38:48,8.0,24.0,.333,1.0,8.0,.125,1,1.0,1.000,3.0,5.0,8.0,5.0,0.0,0.0,1.0,3.0,18.0,9.3,-7,16.0,7.0,0.4375,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,5.0,55.0,3.235294117647059,8.899999999999999,57.5,3.3823529411764706
23,23,23,2022-12-03,28-004,NYK,,DAL,L (-21),1,30:17,8.0,15.0,.533,3.0,8.0,.375,5,5.0,1.000,1.0,4.0,5.0,3.0,0.0,0.0,3.0,2.0,24.0,16.9,-11,7.0,5.0,0.7142857142857143,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,9.0,53.0,3.117647058823529,14.899999999999997,48.0,2.823529411764706
24,24,24,2022-12-04,28-005,NYK,,CLE,W (+11),1,35:08,7.0,19.0,.368,1.0,7.0,.143,3,3.0,1.000,1.0,8.0,9.0,4.0,0.0,0.0,1.0,0.0,18.0,12.4,0,12.0,6.0,0.5,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,8.0,54.0,3.176470588235294,11.2,56.3,3.3117647058823527
25,25,25,2022-12-07,28-008,NYK,,ATL,W (+24),1,33:14,10.0,19.0,.526,6.0,12.0,.500,8,8.0,1.000,1.0,16.0,17.0,5.0,1.0,0.0,0.0,3.0,34.0,33.5,+29,7.0,4.0,0.5714285714285714,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,30.0,73.0,4.294117647058823,30.300000000000004,62.7,3.6882352941176473
26,26,26,2022-12-09,28-010,NYK,@,CHO,W (+19),1,35:33,9.0,21.0,.429,4.0,10.0,.400,11,14.0,.786,1.0,6.0,7.0,2.0,1.0,1.0,2.0,3.0,33.0,23.1,+17,11.0,5.0,0.4545454545454545,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,7.0,101.0,5.941176470588236,18.700000000000003,84.19999999999999,4.9529411764705875
27,27,27,2022-12-11,28-012,NYK,,SAC,W (+13),1,27:09,9.0,20.0,.450,3.0,11.0,.273,6,6.0,1.000,1.0,7.0,8.0,3.0,0.0,0.0,2.0,3.0,27.0,18.3,+12,9.0,6.0,0.6666666666666666,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,10.0,85.0,5.0,15.900000000000002,70.2,4.129411764705883
28,28,28,2022-12-14,28-015,NYK,@,CHI,W (+8),1,46:22,8.0,19.0,.421,3.0,7.0,.429,12,15.0,.800,1.0,12.0,13.0,7.0,0.0,0.0,6.0,2.0,31.0,22.1,+1,12.0,5.0,0.4166666666666667,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,11.0,88.0,5.176470588235294,17.300000000000008,84.39999999999999,4.96470588235294
29,29,29,2022-12-16,28-017,NYK,@,CHI,W (+23),1,36:02,6.0,16.0,.375,2.0,8.0,.250,5,7.0,.714,2.0,10.0,12.0,4.0,3.0,1.0,2.0,1.0,19.0,17.9,+21,8.0,4.0,0.5,20,27,23,76,77,66,50,59,55,62,66,70,11,13,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,1.0,0.8518518518518519,,0.9382716049382716,0.9390243902439024,0.9705882352941176,0.9615384615384616,0.921875,0.9322033898305084,0.9253731343283582,0.9295774647887324,0.958904109589041,0.55,0.40625,1.0,15,21,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.2763157894736842,17,14.0,59.0,3.4705882352941178,15.9,73.9,4.347058823529412
