Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Scotty Pippen Jr.,Shared Games with Sterling Brown,Shared Games with Thomas Bryant,Shared Games with Tristan Thompson,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
21,21,20,2022-12-02,34-020,LAL,@,MIL,W (+4),0,28.566666666666666,6.0,11.0,.545,0.0,2.0,.000,3,7,.429,2,5,7,11,0,0,0,4,15,17.1,+4,9.0,6.0,0.6666666666666666,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
22,22,21,2022-12-04,34-022,LAL,@,WAS,W (+11),0,28.633333333333333,3.0,8.0,.375,0.0,1.0,.000,0,0,,0,7,7,15,0,0,6,2,6,7.4,0,7.0,3.0,0.4285714285714285,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
23,23,22,2022-12-06,34-024,LAL,@,CLE,L (-14),0,26.05,6.0,13.0,.462,0.0,1.0,.000,4,5,.800,1,2,3,3,0,2,4,2,16,8.9,-13,12.0,6.0,0.5,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
24,24,23,2022-12-07,34-025,LAL,@,TOR,L (-13),0,28.1,5.0,13.0,.385,1.0,4.0,.250,5,7,.714,4,5,9,4,1,0,5,3,16,10.0,-18,9.0,4.0,0.4444444444444444,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
25,25,24,2022-12-09,34-027,LAL,@,PHI,L (-11),0,36.25,4.0,14.0,.286,1.0,5.0,.200,3,4,.750,2,9,11,11,4,0,4,4,12,13.6,-7,9.0,3.0,0.3333333333333333,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
26,26,25,2022-12-11,34-029,LAL,@,DET,W (+7),0,21.383333333333333,5.0,9.0,.556,0.0,1.0,.000,1,2,.500,0,4,4,9,1,0,4,1,11,10.4,-12,8.0,5.0,0.625,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
27,27,26,2022-12-13,34-031,LAL,,BOS,L (-4),0,34.85,7.0,19.0,.368,1.0,6.0,.167,5,6,.833,1,13,14,5,1,4,2,4,20,17.4,-1,13.0,6.0,0.4615384615384615,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
28,28,27,2022-12-16,34-034,LAL,,DEN,W (+18),0,29.75,5.0,13.0,.385,0.0,3.0,.000,5,8,.625,2,9,11,12,2,0,4,2,15,16.4,+25,10.0,5.0,0.5,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
29,29,28,2022-12-18,34-036,LAL,,WAS,W (+2),0,22.85,4.0,12.0,.333,0.0,2.0,.000,1,4,.250,2,7,9,8,1,1,3,0,9,8.8,-5,10.0,4.0,0.4,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
