Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Scotty Pippen Jr.,Shared Games with Sterling Brown,Shared Games with Thomas Bryant,Shared Games with Tristan Thompson,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel
66,64,57,2023-03-03,34-111,LAC,@,SAC,L (-1),1,35.5,12.0,16.0,.750,1.0,2.0,.500,2,5,.400,0,2,2,10,1,2,5,1,27,24.0,+10,14.0,11.0,0.7857142857142857,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
67,65,58,2023-03-05,34-113,LAC,,MEM,W (+6),1,34.11666666666667,4.0,9.0,.444,0.0,2.0,.000,1,1,1.000,0,5,5,6,1,0,4,3,9,5.8,+9,7.0,4.0,0.5714285714285714,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
68,66,59,2023-03-08,34-116,LAC,,TOR,W (+8),1,23.266666666666666,3.0,6.0,.500,1.0,3.0,.333,0,0,,1,1,2,7,1,1,3,2,7,7.8,+12,3.0,2.0,0.6666666666666666,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
69,67,60,2023-03-11,34-119,LAC,,NYK,W (+11),1,22.95,3.0,8.0,.375,0.0,2.0,.000,1,3,.333,0,5,5,3,1,0,3,2,7,2.6,+1,6.0,3.0,0.5,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
70,68,61,2023-03-15,34-123,LAC,,GSW,W (+8),1,27.083333333333332,6.0,16.0,.375,2.0,5.0,.400,1,2,.500,4,5,9,7,2,0,0,1,15,16.6,+10,11.0,4.0,0.3636363636363636,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
71,69,62,2023-03-18,34-126,LAC,,ORL,L (-5),1,37.083333333333336,5.0,14.0,.357,0.0,3.0,.000,4,7,.571,2,3,5,9,1,0,6,2,14,7.8,-15,11.0,5.0,0.4545454545454545,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
72,70,63,2023-03-19,34-127,LAC,@,POR,W (+15),1,33.6,3.0,12.0,.250,1.0,2.0,.500,2,2,1.000,4,8,12,10,0,0,4,1,9,9.6,+13,10.0,2.0,0.2,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
73,71,64,2023-03-21,34-129,LAC,,OKC,L (-1),1,26.166666666666668,6.0,10.0,.600,0.0,3.0,.000,3,5,.600,3,5,8,2,2,1,2,4,15,13.7,+9,7.0,6.0,0.8571428571428571,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
74,72,65,2023-03-23,34-131,LAC,,OKC,W (+22),1,29.616666666666667,8.0,13.0,.615,2.0,4.0,.500,6,8,.750,1,1,2,7,0,1,4,2,24,19.1,-1,9.0,6.0,0.6666666666666666,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
75,73,66,2023-03-25,34-133,LAC,,NOP,L (-21),1,25.85,4.0,12.0,.333,1.0,5.0,.200,5,5,1.000,0,3,3,5,0,0,4,2,14,6.8,-17,7.0,3.0,0.4285714285714285,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
76,74,67,2023-03-27,34-135,LAC,,CHI,W (+12),1,32.733333333333334,6.0,11.0,.545,0.0,3.0,.000,0,3,.000,1,4,5,10,3,0,3,0,12,14.4,+16,8.0,6.0,0.75,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
77,75,68,2023-03-29,34-137,LAC,@,MEM,W (+9),1,35.5,13.0,18.0,.722,5.0,5.0,1.000,5,9,.556,1,3,4,10,0,2,2,1,36,34.6,+3,13.0,8.0,0.6153846153846154,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
78,76,69,2023-03-31,34-139,LAC,@,MEM,L (-14),1,25.8,2.0,8.0,.250,0.0,3.0,.000,0,0,,0,4,4,11,1,1,5,0,4,4.8,,5.0,2.0,0.4,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
79,77,70,2023-04-01,34-140,LAC,@,NOP,L (-8),1,39.65,9.0,18.0,.500,3.0,6.0,.500,3,5,.600,0,3,3,10,1,1,1,5,24,20.8,-7,12.0,6.0,0.5,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
80,78,71,2023-04-05,34-144,LAC,,LAL,W (+7),1,20.916666666666668,6.0,12.0,.500,2.0,4.0,.500,0,1,.000,0,3,3,4,1,1,3,0,14,10.0,-1,8.0,4.0,0.5,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
81,79,72,2023-04-08,34-147,LAC,,POR,W (+11),1,24.65,9.0,14.0,.643,2.0,3.0,.667,0,0,,4,2,6,6,0,0,3,0,20,18.4,+7,11.0,7.0,0.6363636363636364,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
82,80,73,2023-04-09,34-148,LAC,@,PHO,W (+5),1,39.78333333333333,8.0,19.0,.421,2.0,4.0,.500,7,10,.700,6,1,7,9,1,0,2,1,25,23.1,+8,15.0,6.0,0.4,30,36,5,19,39,29,36,42,35,11,30,42,5,0,39,0,46,39,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,6.0,4.0,59.0,,76.0,68.0,0.5357142857142857,0.5625,0.7142857142857143,0.4634146341463415,0.5909090909090909,0.5576923076923077,0.5142857142857142,0.7636363636363637,0.625,0.3235294117647059,0.7317073170731707,0.6268656716417911,0.8333333333333334,0.0,0.6610169491525424,,0.6052631578947368,0.5735294117647058
