Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Sterling Brown,Shared Games with Thomas Bryant,Shared Games with Tristan Thompson,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel
10,11,9,2022-11-09,34-120,LAL,@,LAC,L (-13),1,34.583333333333336,2.0,8.0,.250,2.0,5.0,.400,1,2,.500,0,2,2,4,1,0,1,5,7,3.2,+3,3.0,0.0,0.0,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
11,12,10,2022-11-11,34-122,LAL,,SAC,L (-6),1,26.4,2.0,8.0,.250,1.0,3.0,.333,0,0,,1,2,3,3,2,0,0,2,5,4.8,-3,5.0,1.0,0.2,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
12,13,11,2022-11-13,34-124,LAL,,BRK,W (+13),1,25.533333333333335,1.0,5.0,.200,0.0,4.0,.000,0,1,.000,0,4,4,5,0,1,1,5,2,0.9,+8,1.0,1.0,1.0,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
13,14,12,2022-11-18,34-129,LAL,,DET,W (+7),1,25.066666666666666,1.0,3.0,.333,1.0,3.0,.333,1,2,.500,0,3,3,2,0,1,3,5,4,-0.1,-2,0.0,0.0,,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
14,15,13,2022-11-20,34-131,LAL,,SAS,W (+31),1,19.7,1.0,5.0,.200,1.0,4.0,.250,0,0,,0,1,1,3,0,0,0,1,3,1.9,+27,1.0,0.0,0.0,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
15,16,14,2022-11-22,34-133,LAL,@,PHO,L (-10),1,29.183333333333334,0.0,2.0,.000,0.0,1.0,.000,0,0,,0,10,10,2,0,0,1,2,0,1.2,-15,1.0,0.0,0.0,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
16,17,,2022-11-25,34-136,LAL,@,SAS,W (+11),Player Suspended,0.0,,,Player Suspended,,,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,,,,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
17,18,,2022-11-26,34-137,LAL,@,SAS,W (+5),Player Suspended,0.0,,,Player Suspended,,,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,,,,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
18,19,,2022-11-28,34-139,LAL,,IND,L (-1),Not With Team,0.0,,,Not With Team,,,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,,,,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
19,20,15,2022-11-30,34-141,LAL,,POR,W (+19),1,22.433333333333334,2.0,7.0,.286,1.0,5.0,.200,0,0,,0,4,4,0,1,1,0,3,5,2.6,-1,2.0,1.0,0.5,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
21,21,16,2022-12-02,34-143,LAL,@,MIL,W (+4),1,23.366666666666667,3.0,5.0,.600,1.0,3.0,.333,0,0,,1,3,4,2,0,0,1,3,7,5.5,-7,2.0,2.0,1.0,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
22,22,17,2022-12-04,34-145,LAL,@,WAS,W (+11),1,24.083333333333332,0.0,4.0,.000,0.0,4.0,.000,1,2,.500,2,2,4,1,1,1,0,2,1,1.4,+5,0.0,0.0,,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
23,23,18,2022-12-06,34-147,LAL,@,CLE,L (-14),1,21.466666666666665,1.0,5.0,.200,1.0,5.0,.200,2,2,1.000,0,1,1,2,1,1,0,1,5,4.9,-5,0.0,0.0,,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
24,24,,2022-12-07,34-148,LAL,@,TOR,L (-13),Did Not Dress,0.0,,,Did Not Dress,,,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,,,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
25,25,19,2022-12-09,34-150,LAL,@,PHI,L (-11),1,38.266666666666666,4.0,4.0,1.000,1.0,1.0,1.000,0,0,,0,3,3,3,2,1,2,4,9,9.9,+5,3.0,3.0,1.0,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
26,26,20,2022-12-11,34-152,LAL,@,DET,W (+7),1,24.45,1.0,5.0,.200,1.0,4.0,.250,2,4,.500,0,5,5,3,2,0,0,4,5,5.1,+5,1.0,0.0,0.0,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
27,27,21,2022-12-13,34-154,LAL,,BOS,L (-4),1,18.75,2.0,5.0,.400,2.0,3.0,.667,0,0,,0,2,2,0,0,1,2,1,6,2.2,-10,2.0,0.0,0.0,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
28,28,22,2022-12-16,34-157,LAL,,DEN,W (+18),1,20.666666666666668,4.0,6.0,.667,2.0,3.0,.667,0,0,,0,4,4,5,0,0,0,1,10,11.7,-11,3.0,2.0,0.6666666666666666,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
29,29,,2022-12-18,34-159,LAL,,WAS,W (+2),Did Not Dress,0.0,,,Did Not Dress,,,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,,,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
30,30,23,2022-12-19,34-160,LAL,@,PHO,L (-26),1,23.15,4.0,8.0,.500,0.0,2.0,.000,1,1,1.000,0,1,1,3,0,0,3,2,9,3.6,-17,6.0,4.0,0.6666666666666666,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
31,31,24,2022-12-21,34-162,LAL,@,SAC,L (-14),1,37.25,5.0,7.0,.714,1.0,2.0,.500,2,2,1.000,0,2,2,3,3,1,3,3,13,12.3,-15,5.0,4.0,0.8,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
32,32,25,2022-12-23,34-164,LAL,,CHO,L (-4),1,29.85,4.0,5.0,.800,3.0,3.0,1.000,0,0,,2,4,6,3,1,0,1,2,11,13.0,-8,2.0,1.0,0.5,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
33,33,26,2022-12-25,34-166,LAL,@,DAL,L (-9),1,32.43333333333333,2.0,5.0,.400,1.0,3.0,.333,3,3,1.000,1,2,3,3,1,0,0,5,8,7.7,-1,2.0,1.0,0.5,26,30,4,19,33,24,31,36,31,10,25,42,5,0,34,0,39,35,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.4642857142857143,0.46875,0.5714285714285714,0.4634146341463415,0.5,0.4615384615384615,0.4428571428571428,0.6545454545454545,0.5535714285714286,0.2941176470588235,0.6097560975609756,0.5753424657534246,0.8333333333333334,0.0,0.576271186440678,,0.5131578947368421,0.5147058823529411
