Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Justin Champagnie,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,7.0,2022-11-09,27-117,BOS,DET,0,17.816666666666666,1.0,2.0,.500,0.0,0.0,,0,0.0,,3.0,2.0,5.0,2.0,0.0,1.0,2.0,3.0,2.0,2.6,-6,2.0,1.0,0.5,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,6.0,86.0,5.0588235294117645,2.6000000000000005,100.0,5.882352941176471,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,W (+16),W (+16)
12.0,8.0,2022-11-11,27-119,BOS,DEN,0,12.883333333333333,4.0,8.0,.500,0.0,0.0,,0,0.0,,4.0,3.0,7.0,1.0,0.0,1.0,0.0,1.0,8.0,8.7,+10,8.0,4.0,0.5,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,9.0,92.0,5.411764705882353,8.699999999999998,103.79999999999998,6.105882352941175,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,W (+19),W (+19)
13.0,9.0,2022-11-12,27-120,BOS,DET,0,9.233333333333333,1.0,1.0,1.000,0.0,0.0,,4,4.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,5.9,-5,1.0,1.0,1.0,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,3.0,79.0,4.647058823529412,4.3,95.3,5.605882352941176,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,W (+9),W (+9)
14.0,10.0,2022-11-14,27-122,BOS,OKC,0,5.383333333333334,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6,+7,0.0,0.0,,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,2.0,80.0,4.705882352941177,0.6,101.5,5.970588235294118,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,W (+4),W (+4)
15.0,11.0,2022-11-16,27-124,BOS,ATL,0,25.383333333333333,7.0,7.0,1.000,1.0,1.0,1.000,0,0.0,,1.0,7.0,8.0,1.0,0.0,4.0,1.0,2.0,15.0,17.4,+7,6.0,6.0,1.0,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,20.0,85.0,5.0,17.400000000000002,88.79999999999998,5.223529411764705,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,W (+25),W (+25)
16.0,12.0,2022-11-18,27-126,BOS,NOP,0,14.95,1.0,1.0,1.000,0.0,0.0,,2,2.0,1.000,1.0,5.0,6.0,1.0,0.0,1.0,0.0,1.0,4.0,6.9,-10,1.0,1.0,1.0,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,9.0,85.0,5.0,6.1,101.7,5.982352941176471,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,W (+8),W (+8)
17.0,13.0,2022-11-21,27-129,BOS,CHI,0,6.35,1.0,1.0,1.000,0.0,0.0,,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.9,-7,1.0,1.0,1.0,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,3.0,71.0,4.176470588235294,1.8999999999999992,85.39999999999999,5.023529411764706,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,L (-14),L (-14)
18.0,,2022-11-23,27-131,BOS,DAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,,91.0,5.352941176470588,0.0,106.79999999999998,6.28235294117647,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,W (+13),W (+13)
19.0,14.0,2022-11-25,27-133,BOS,SAC,0,12.783333333333331,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,5.0,5.0,0.0,0.0,2.0,0.0,3.0,4.0,5.1,+19,2.0,2.0,1.0,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,9.0,80.0,4.705882352941177,5.099999999999999,98.99999999999996,5.823529411764703,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,W (+18),W (+18)
20.0,15.0,2022-11-27,27-135,BOS,WAS,0,22.28333333333333,4.0,8.0,.500,0.0,1.0,.000,4,4.0,1.000,4.0,0.0,4.0,1.0,0.0,2.0,1.0,4.0,12.0,10.3,-8,7.0,4.0,0.5714285714285714,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,6.0,72.0,4.235294117647059,8.699999999999998,89.0,5.235294117647059,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,W (+9),W (+9)
21.0,16.0,2022-11-28,27-136,BOS,CHO,0,18.116666666666667,4.0,4.0,1.000,0.0,0.0,,1,1.0,1.000,1.0,7.0,8.0,0.0,0.0,1.0,0.0,3.0,9.0,10.1,+18,4.0,4.0,1.0,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,13.0,107.0,6.294117647058823,9.699999999999996,120.40000000000002,7.082352941176472,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,,
22.0,17.0,2022-11-30,27-138,BOS,MIA,0,14.616666666666667,2.0,3.0,.667,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,-3,3.0,2.0,0.6666666666666666,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,2.0,95.0,5.588235294117647,3.0000000000000004,115.0,6.764705882352941,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,W (+35),W (+35)
23.0,18.0,2022-12-02,27-140,BOS,MIA,0,10.45,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9,-9,0.0,0.0,,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,2.0,74.0,4.352941176470588,0.9,94.8,5.576470588235294,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,W (+13),W (+13)
24.0,19.0,2022-12-04,27-142,BOS,BRK,0,2.533333333333333,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-5,2.0,1.0,0.5,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,0.0,85.0,5.0,1.0,89.9,5.288235294117648,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,L (-4),L (-4)
25.0,20.0,2022-12-05,27-143,BOS,TOR,0,15.55,5.0,7.0,.714,0.0,1.0,.000,1,1.0,1.000,3.0,4.0,7.0,0.0,0.0,1.0,3.0,2.0,11.0,8.3,+3,6.0,5.0,0.8333333333333334,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,8.0,74.0,4.352941176470588,7.9,86.50000000000001,5.088235294117648,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,W (+11),W (+11)
26.0,21.0,2022-12-07,27-145,BOS,PHO,0,26.08333333333333,6.0,6.0,1.000,0.0,0.0,,0,0.0,,1.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0,12.0,16.6,-3,6.0,6.0,1.0,51,36,69,68,55,61,12,22,56,49,4,19,45,30,67,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8095238095238095,0.8780487804878049,,0.8414634146341463,0.8607594936708861,0.8208955223880597,0.8243243243243243,1.0,0.9565217391304348,0.835820895522388,0.8032786885245902,1.0,0.8260869565217391,0.9375,0.8571428571428571,0.8375,1,17,72.0,5.0,63.0,0.0,0.2,0.2698412698412698,17,16.0,83.0,4.882352941176471,16.6,92.9,5.464705882352941,16.7,3.3,1.0,-0.4,1.3,0.0269879019749767,0.697,0.076,0.229,0.6,2.1,W (+6),W (+6)
