Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Justin Champagnie,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11,10,2022/11/9,23-344,BOS,DET,1,20.45,2,4,0.5,1,3,0.333,0,0,,0,4,4,1,0,0,0,5,5,2.9,15,1,1,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,6,86,5.058823529,2.9,99.7,5.864705882,0.066280633,W (+16),W (+16)
12,11,2022/11/11,23-346,BOS,DEN,1,32.26666667,5,8,0.625,2,5,0.4,1,3,0.333,1,3,4,4,1,1,0,3,13,13.5,0,3,3,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,12,89,5.235294118,13.1,99.4,5.847058824,0.066280633,W (+19),W (+19)
13,12,2022/11/12,23-347,BOS,DET,1,44.9,7,12,0.583,3,6,0.5,2,2,1,1,9,10,4,0,0,1,2,19,17.8,8,6,4,0.666666667,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,18,64,3.764705882,17,82.6,4.858823529,0.066280633,W (+9),W (+9)
14,13,2022/11/14,23-349,BOS,OKC,1,28.51666667,2,6,0.333,1,3,0.333,2,2,1,1,6,7,0,2,0,0,1,7,7.7,-4,3,1,0.333333333,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,8,74,4.352941176,6.9,95.2,5.6,0.066280633,W (+4),W (+4)
15,14,2022/11/16,23-351,BOS,ATL,1,27.83333333,6,10,0.6,4,7,0.571,2,2,1,0,1,1,1,0,0,2,4,18,10.8,7,3,2,0.666666667,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,6,99,5.823529412,10,96.2,5.658823529,0.066280633,W (+25),W (+25)
16,15,2022/11/18,23-353,BOS,NOP,1,34.95,5,10,0.5,2,6,0.333,0,0,,1,4,5,1,0,0,2,3,12,6.4,6,4,3,0.75,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,6,88,5.176470588,6.4,101.4,5.964705882,0.066280633,W (+8),W (+8)
17,16,2022/11/21,23-356,BOS,CHI,1,34.81666667,5,9,0.556,3,7,0.429,0,0,,1,6,7,1,0,0,1,2,13,10.1,-10,2,2,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,11,63,3.705882353,10.1,77.2,4.541176471,0.066280633,L (-14),L (-14)
18,17,2022/11/23,23-358,BOS,DAL,0,26.03333333,1,5,0.2,0,3,0,0,0,,0,3,3,3,1,0,0,4,2,1.3,-3,2,1,0.5,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,4,87,5.117647059,1.3,105.5,6.205882353,0.066280633,W (+13),W (+13)
19,18,2022/11/25,23-360,BOS,SAC,0,18.45,0,3,0,0,1,0,2,2,1,1,0,1,2,0,1,0,2,2,1.9,-2,2,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,1,88,5.176470588,1.1,103,6.058823529,0.066280633,W (+18),W (+18)
20,19,2022/11/27,23-362,BOS,WAS,1,31.58333333,2,7,0.286,1,4,0.25,0,0,,2,5,7,3,0,0,1,5,5,2.9,6,3,1,0.333333333,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,7,71,4.176470588,2.9,94.8,5.576470588,0.066280633,W (+9),W (+9)
21,20,2022/11/28,23-363,BOS,CHO,1,22.28333333,3,5,0.6,2,2,1,0,0,,1,3,4,4,2,0,2,2,8,9.3,9,3,1,0.333333333,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,11,109,6.411764706,9.3,120.8,7.105882353,0.066280633,,W (+35)
22,21,2022/11/30,24-000,BOS,MIA,0,31.1,1,4,0.25,1,4,0.25,0,0,,1,3,4,3,1,0,0,3,3,4.1,-1,0,0,,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,7,90,5.294117647,4.1,113.9,6.7,0.066280633,W (+35),W (+15)
23,22,2022/12/2,24-002,BOS,MIA,0,33,6,8,0.75,4,6,0.667,2,2,1,1,3,4,2,1,1,1,2,18,17.7,-7,2,2,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,15,61,3.588235294,16.9,78.8,4.635294118,0.066280633,W (+13),W (+13)
24,23,2022/12/4,24-004,BOS,BRK,1,35.83333333,4,7,0.571,2,4,0.5,0,0,,1,4,5,1,3,0,1,3,10,10.1,15,3,2,0.666666667,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,11,74,4.352941176,10.1,80.8,4.752941176,0.066280633,L (-4),L (-4)
25,24,2022/12/5,24-005,BOS,TOR,0,32.41666667,3,6,0.5,1,3,0.333,0,0,,1,3,4,1,1,0,1,4,7,4.7,-7,3,2,0.666666667,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,6,76,4.470588235,4.7,89.7,5.276470588,0.066280633,W (+11),W (+11)
26,25,2022/12/7,24-007,BOS,PHO,1,22.21666667,6,6,1,2,2,1,0,0,,2,4,6,0,0,0,0,1,14,14.4,31,4,4,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,14,85,5,14.4,95.1,5.594117647,0.066280633,W (+6),W (+6)
27,26,2022/12/10,24-010,BOS,GSW,1,31.43333333,2,3,0.667,0,1,0,0,0,,0,2,2,0,1,0,2,1,4,1.9,-6,2,2,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,2,55,3.235294118,1.9,80,4.705882353,0.066280633,W (+27),W (+27)
28,27,2022/12/12,24-012,BOS,LAC,0,29.46666667,4,7,0.571,1,3,0.333,5,7,0.714,1,3,4,2,2,0,1,1,14,13.5,-4,4,3,0.75,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,7,50,2.941176471,11.5,60.8,3.576470588,0.066280633,L (-16),L (-16)
29,28,2022/12/13,24-013,BOS,LAL,0,30.65,3,6,0.5,3,5,0.6,0,0,,2,3,5,0,1,0,0,4,9,7.7,-7,1,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,9,78,4.588235294,7.7,92.4,5.435294118,0.066280633,L (-20),L (-20)
30,29,2022/12/16,24-016,BOS,ORL,0,19.15,2,7,0.286,1,5,0.2,2,2,1,2,3,5,0,1,0,0,0,7,6.2,-7,2,1,0.5,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,4,60,3.529411765,5.4,78.9,4.641176471,0.066280633,W (+4),W (+4)
31,30,2022/12/18,24-018,BOS,ORL,1,31.05,4,11,0.364,1,6,0.167,5,7,0.714,1,5,6,3,1,0,4,4,14,6.8,5,5,3,0.6,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,2,81,4.764705882,4.8,81.8,4.811764706,0.066280633,L (-8),L (-8)
32,31,2022/12/21,24-021,BOS,IND,0,15.9,3,8,0.375,1,3,0.333,0,0,,3,3,6,0,1,0,1,1,7,5.2,-4,5,2,0.4,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,5,85,5,5.2,100.3,5.9,0.066280633,L (-3),L (-3)
33,32,2022/12/23,24-023,BOS,MIN,0,22.93333333,2,7,0.286,2,6,0.333,0,0,,2,2,4,1,0,0,2,1,6,2.2,10,1,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,2,90,5.294117647,2.2,106.8,6.282352941,0.066280633,L (-5),L (-5)
34,33,2022/12/25,24-025,BOS,MIL,0,25.86666667,3,6,0.5,3,5,0.6,2,2,1,2,4,6,3,2,0,0,4,11,13.1,20,1,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,14,93,5.470588235,12.3,123.4,7.258823529,0.066280633,W (+12),W (+12)
35,34,2022/12/27,24-027,BOS,HOU,0,25.26666667,2,5,0.4,2,4,0.5,2,2,1,0,1,1,2,0,1,1,2,8,5.9,16,1,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,4,95,5.588235294,5.1,104.5,6.147058824,0.066280633,W (+21),W (+21)
36,35,2022/12/29,24-029,BOS,LAC,0,22.88333333,1,1,1,1,1,1,0,0,,2,8,10,2,0,0,0,2,3,7.1,9,0,0,,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,14,62,3.647058824,7.1,84.9,4.994117647,0.066280633,W (+24),W (+24)
37,36,2023/1/1,24-032,BOS,DEN,0,27.51666667,2,4,0.5,0,1,0,5,5,1,2,3,5,1,1,1,2,3,9,8.5,-12,3,2,0.666666667,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,6,61,3.588235294,6.5,77.2,4.541176471,0.066280633,W (+6),W (+6)
38,37,2023/1/3,24-034,BOS,OKC,0,16.21666667,0,1,0,0,1,0,0,0,,2,2,4,2,0,0,3,1,0,-0.7,-20,0,0,,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,2,68,4,-0.7,94.7,5.570588235,0.066280633,L (-12),L (-12)
39,38,2023/1/5,24-036,BOS,DAL,0,27.88333333,5,9,0.556,1,4,0.25,1,1,1,1,3,4,3,1,0,0,3,12,11.2,25,5,4,0.8,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,10,97,5.705882353,10.8,103.2,6.070588235,0.066280633,L (-33),L (-33)
40,39,2023/1/7,24-038,BOS,SAS,0,17.6,0,3,0,0,1,0,2,2,1,0,3,3,0,1,0,1,0,2,0.8,3,2,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,0,92,5.411764706,2.22E-16,106.1,6.241176471,0.066280633,W (+29),W (+29)
41,40,2023/1/9,24-040,BOS,CHI,0,36.73333333,8,15,0.533,3,9,0.333,1,2,0.5,2,6,8,1,0,2,0,2,20,16.8,4,6,5,0.833333333,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,14,70,4.117647059,16.4,75.3,4.429411765,0.066280633,W (+5),W (+5)
42,41,2023/1/11,24-042,BOS,NOP,1,37.61666667,3,9,0.333,1,6,0.167,2,2,1,0,3,3,4,0,0,0,2,9,6.8,13,3,2,0.666666667,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,5,91,5.352941176,6,105.3,6.194117647,0.066280633,,
43,42,2023/1/12,24-043,BOS,BRK,1,42.85,4,8,0.5,0,3,0,4,4,1,0,5,5,1,0,3,1,3,12,10.1,10,5,4,0.8,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,8,76,4.470588235,8.5,86.3,5.076470588,0.066280633,W (+8),W (+8)
