Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Justin Champagnie,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
32,,2022/12/21,28-290,BOS,IND,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,90,5.294117647,0,105.5,6.205882353,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-3),L (-3)
33,29,2022/12/23,28-292,BOS,MIN,1,37.96666667,2,5,0.4,2,4,0.5,0,0,,3,4,7,10,3,0,0,0,6,16.6,20,1,0,0,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,21,71,4.176470588,16.6,92.4,5.435294118,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-5),L (-5)
34,30,2022/12/25,28-294,BOS,MIL,1,29.93333333,2,4,0.5,0,0,,2,2,1,1,2,3,8,1,0,1,0,6,10.9,15,4,2,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,11,96,5.647058824,10.1,125.6,7.388235294,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+12),W (+12)
35,31,2022/12/27,28-296,BOS,HOU,1,28.9,3,7,0.429,3,7,0.429,0,0,,0,1,1,6,3,0,1,1,9,11.4,8,0,0,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,11,88,5.176470588,11.4,98.2,5.776470588,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+21),W (+21)
36,32,2022/12/29,28-298,BOS,LAC,1,37.16666667,7,15,0.467,2,7,0.286,1,2,0.5,0,3,3,9,2,1,3,2,17,15,10,8,5,0.625,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,12,64,3.764705882,14.6,77.4,4.552941176,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+24),W (+24)
37,33,2023/1/1,28-301,BOS,DEN,1,31.31666667,2,12,0.167,0,4,0,0,0,,2,3,5,7,1,0,1,3,4,2.4,-3,8,2,0.25,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,4,63,3.705882353,2.4,81.3,4.782352941,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+6),W (+6)
38,34,2023/1/3,28-303,BOS,OKC,1,25.56666667,3,6,0.5,0,2,0,1,2,0.5,1,3,4,8,0,1,3,2,7,7.7,-26,4,3,0.75,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,9,61,3.588235294,7.3,86.7,5.1,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-12),L (-12)
39,35,2023/1/5,28-305,BOS,DAL,1,33.86666667,4,10,0.4,4,9,0.444,3,3,1,2,3,5,3,1,0,2,1,15,12.6,25,1,0,0,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,9,98,5.764705882,11.4,102.6,6.035294118,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-33),L (-33)
40,36,2023/1/7,28-307,BOS,SAS,1,21.55,2,4,0.5,1,3,0.333,0,0,,0,2,2,4,0,1,3,2,5,3.3,0,1,1,1,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,5,87,5.117647059,3.3,102.8,6.047058824,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+29),W (+29)
41,,2023/1/9,28-309,BOS,CHI,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,84,4.941176471,0,91.7,5.394117647,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+5),W (+5)
42,,2023/1/11,28-311,BOS,NOP,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,96,5.647058824,0,111.3,6.547058824,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,,
43,37,2023/1/12,28-312,BOS,BRK,1,35.86666667,4,12,0.333,2,8,0.25,6,7,0.857,3,3,6,10,2,0,4,2,16,16,0,4,2,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,11,73,4.294117647,13.6,81.2,4.776470588,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+8),W (+8)
44,38,2023/1/14,28-314,BOS,CHO,1,35.63333333,5,15,0.333,3,12,0.25,0,0,,0,2,2,12,2,0,2,2,13,12.7,24,3,2,0.666666667,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,12,98,5.764705882,12.7,108.2,6.364705882,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+11),W (+11)
45,39,2023/1/16,28-316,BOS,CHO,1,30.86666667,4,8,0.5,1,4,0.25,1,2,0.5,1,3,4,6,0,1,3,4,10,7.5,14,4,3,0.75,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,8,90,5.294117647,7.1,103.3,6.076470588,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+11),W (+11)
46,40,2023/1/19,28-319,BOS,GSW,1,37.58333333,7,16,0.438,3,6,0.5,1,2,0.5,1,4,5,4,3,1,4,3,18,12.4,-2,10,4,0.4,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,9,54,3.176470588,12,68,4,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+16),W (+16)
47,41,2023/1/21,28-321,BOS,TOR,1,15.58333333,1,1,1,0,0,,0,0,,0,2,2,4,0,1,3,1,2,2.4,-17,1,1,1,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,5,85,5,2.4,99.1,5.829411765,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+12),W (+12)
48,,2023/1/23,28-323,BOS,ORL,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,67,3.941176471,0,75.6,4.447058824,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+3),W (+3)
49,,2023/1/24,28-324,BOS,MIA,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,69,4.058823529,0,72.1,4.241176471,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+2),W (+2)
50,,2023/1/26,28-326,BOS,NYK,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,73,4.294117647,0,86.9,5.111764706,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-15),L (-15)
51,,2023/1/28,28-328,BOS,LAL,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,76,4.470588235,0,99.7,5.864705882,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-3),L (-3)
52,,2023/2/1,28-332,BOS,BRK,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,141,8.294117647,0,146,8.588235294,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-3),L (-3)
53,,2023/2/3,28-334,BOS,PHO,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,46,2.705882353,0,54.1,3.182352941,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+4),W (+4)
54,,2023/2/6,28-337,BOS,DET,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,99,5.823529412,0,108.5,6.382352941,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+43),W (+43)
55,,2023/2/8,28-339,BOS,PHI,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,93,5.470588235,0,95.3,5.605882353,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-12),L (-12)
56,,2023/2/10,28-341,BOS,CHO,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,93,5.470588235,0,99.8,5.870588235,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+12),W (+12)
57,,2023/2/12,28-343,BOS,MEM,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,84,4.941176471,0,96,5.647058824,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+7),W (+7)
58,,2023/2/14,28-345,BOS,MIL,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,68,4,0,80.4,4.729411765,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+11),W (+11)
59,42,2023/2/15,28-346,BOS,DET,1,29.06666667,4,6,0.667,1,3,0.333,0,0,,0,7,7,6,6,0,2,1,9,16.3,9,3,3,1,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,20,84,4.941176471,16.3,101.3,5.958823529,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+10),W (+10)
60,43,2023/2/23,28-354,BOS,IND,1,35.38333333,5,11,0.455,1,5,0.2,4,5,0.8,2,3,5,3,2,0,5,2,15,9.5,-3,6,4,0.666666667,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,4,98,5.764705882,7.9,115.8,6.811764706,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-6),L (-6)
61,44,2023/2/25,28-356,BOS,PHI,1,26.46666667,4,11,0.364,2,6,0.333,0,0,,0,2,2,3,1,0,2,4,10,4,-22,5,2,0.4,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,3,73,4.294117647,4,78.5,4.617647059,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+18),W (+18)
62,45,2023/2/27,28-358,BOS,NYK,1,33.58333333,7,15,0.467,2,7,0.286,3,4,0.75,1,3,4,2,1,2,1,3,19,14.1,-8,8,5,0.625,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,8,43,2.529411765,12.9,45.9,2.7,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+4),W (+4)
63,46,2023/3/1,28-360,BOS,CLE,1,36.16666667,3,11,0.273,2,3,0.667,6,8,0.75,0,0,0,2,3,0,1,1,14,9.7,1,8,1,0.125,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,-1,83,4.882352941,7.3,86,5.058823529,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,,
64,47,2023/3/3,28-362,BOS,BRK,1,29.53333333,4,9,0.444,2,4,0.5,3,3,1,1,3,4,8,3,0,3,5,13,13.5,-6,5,2,0.4,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,13,59,3.470588235,12.3,64.8,3.811764706,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+3),W (+3)
65,48,2023/3/5,28-364,BOS,NYK,1,39.26666667,4,13,0.308,3,11,0.273,2,2,1,2,1,3,4,1,0,5,6,13,3.6,-3,2,1,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,1,78,4.588235294,2.8,89,5.235294118,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-15),L (-15)
66,49,2023/3/6,29-000,BOS,CLE,1,37.25,4,17,0.235,3,11,0.273,0,0,,1,2,3,5,2,1,3,1,11,4.8,-8,6,1,0.166666667,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,2,57,3.352941176,4.8,68.4,4.023529412,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+4),W (+4)
67,50,2023/3/8,29-002,BOS,POR,1,21.51666667,3,4,0.75,2,2,1,2,4,0.5,0,0,0,1,2,0,1,4,10,7.7,16,2,1,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,4,75,4.411764706,6.9,81.4,4.788235294,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-10),L (-10)
68,51,2023/3/11,29-005,BOS,ATL,1,35.91666667,4,12,0.333,3,6,0.5,0,0,,1,0,1,6,0,1,2,3,11,6.6,-6,6,1,0.166666667,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,5,100,5.882352941,6.6,108.5,6.382352941,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-2),L (-2)
69,52,2023/3/13,29-007,BOS,HOU,1,28.3,2,7,0.286,1,5,0.2,1,2,0.5,1,1,2,2,2,0,4,6,6,-0.5,-5,2,1,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,-1,61,3.588235294,-0.9,77.8,4.576470588,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-4),L (-4)
70,53,2023/3/15,29-009,BOS,MIN,1,34.88333333,4,12,0.333,0,5,0,1,2,0.5,1,1,2,5,2,0,3,5,9,3.3,5,7,4,0.571428571,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,1,58,3.411764706,2.9,73,4.294117647,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+22),W (+22)
71,54,2023/3/17,29-011,BOS,POR,1,36.16666667,5,8,0.625,3,6,0.5,2,3,0.667,0,2,2,6,4,0,4,3,15,14.6,15,2,2,1,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,12,93,5.470588235,13.8,107.9,6.347058824,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+9),W (+9)
