Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alize Johnson,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Jordan Hall,Shared Games with Josh Richardson,Shared Games with Joshua Primo,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins
10,11,7,2022-11-07,24-277,SAS,,DEN,L (-6),0,2.2333333333333334,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-6,0.0,0.0,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
11,12,,2022-11-09,24-279,SAS,,MEM,L (-2),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
12,13,8,2022-11-11,24-281,SAS,,MIL,W (+18),0,1.65,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
13,14,9,2022-11-14,24-284,SAS,@,GSW,L (-37),0,24.15,3.0,9.0,.333,1.0,4.0,.250,2,4,.500,0,4,4,3,0,1,1,2,9,5.3,-17,5.0,2.0,0.4,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
14,15,10,2022-11-15,24-285,SAS,@,POR,L (-7),0,5.6,2.0,4.0,.500,0.0,1.0,.000,0,1,.000,1,0,1,0,0,0,1,1,4,0.9,-6,3.0,2.0,0.6666666666666666,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
15,16,11,2022-11-17,24-287,SAS,@,SAC,L (-18),0,22.383333333333333,4.0,7.0,.571,3.0,3.0,1.000,0,0,,0,2,2,3,0,2,0,3,11,10.6,-6,4.0,1.0,0.25,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
16,17,12,2022-11-19,24-289,SAS,@,LAC,L (-22),0,21.283333333333335,2.0,6.0,.333,1.0,5.0,.200,3,3,1.000,0,4,4,1,1,0,1,2,8,5.7,-17,1.0,1.0,1.0,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
17,18,13,2022-11-20,24-290,SAS,@,LAL,L (-31),0,14.666666666666666,1.0,2.0,.500,0.0,0.0,,0,0,,1,6,7,3,0,0,0,2,2,4.8,-1,2.0,1.0,0.5,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
18,19,14,2022-11-23,24-293,SAS,,NOP,L (-19),0,15.9,3.0,4.0,.750,1.0,1.0,1.000,1,2,.500,1,2,3,1,0,0,0,1,8,7.6,+9,3.0,2.0,0.6666666666666666,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
19,20,15,2022-11-25,24-295,SAS,,LAL,L (-11),0,11.55,2.0,5.0,.400,1.0,2.0,.500,0,0,,0,1,1,0,0,0,1,1,5,1.2,+3,3.0,1.0,0.3333333333333333,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
21,21,16,2022-11-26,24-296,SAS,,LAL,L (-5),0,16.116666666666667,4.0,6.0,.667,2.0,3.0,.667,0,2,.000,0,1,1,0,0,0,1,6,10,3.5,-14,3.0,2.0,0.6666666666666666,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
22,22,17,2022-11-30,24-300,SAS,@,OKC,L (-8),0,17.316666666666666,2.0,6.0,.333,0.0,3.0,.000,0,0,,0,5,5,2,1,1,1,1,4,3.8,-2,3.0,2.0,0.6666666666666666,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
23,23,18,2022-12-02,24-302,SAS,,NOP,L (-18),0,15.1,3.0,5.0,.600,1.0,3.0,.333,0,0,,1,4,5,3,1,0,2,0,7,7.7,-1,2.0,2.0,1.0,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
24,24,19,2022-12-04,24-304,SAS,,PHO,L (-38),0,18.25,1.0,6.0,.167,0.0,3.0,.000,0,0,,1,2,3,1,1,0,1,2,2,-0.6,-12,3.0,1.0,0.3333333333333333,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
25,25,20,2022-12-08,24-308,SAS,,HOU,W (+9),0,13.683333333333334,0.0,3.0,.000,0.0,2.0,.000,0,0,,0,5,5,2,1,0,3,3,0,-2.4,+9,1.0,0.0,0.0,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
26,26,21,2022-12-10,24-310,SAS,@,MIA,W (+4),0,3.3166666666666664,2.0,2.0,1.000,0.0,0.0,,1,3,.333,2,2,4,0,2,0,1,1,5,6.2,+3,2.0,2.0,1.0,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
27,27,22,2022-12-12,24-312,SAS,,CLE,W (+1),1,14.5,4.0,7.0,.571,1.0,2.0,.500,0,0,,1,2,3,2,0,0,1,1,9,7.0,+11,5.0,3.0,0.6,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
28,28,23,2022-12-14,24-314,SAS,,POR,L (-16),0,7.85,1.0,2.0,.500,1.0,1.0,1.000,1,2,.500,0,1,1,0,0,0,1,0,4,1.9,-10,1.0,0.0,0.0,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
29,29,24,2022-12-17,24-317,SAS,,MIA,L (-10),0,2.8,0.0,0.0,,0.0,0.0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,+2,0.0,0.0,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
30,30,25,2022-12-19,24-319,SAS,@,HOU,W (+19),0,2.9166666666666665,0.0,1.0,.000,0.0,1.0,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-7,0.0,0.0,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
31,31,26,2022-12-22,24-322,SAS,@,NOP,L (-9),0,3.5166666666666666,0.0,0.0,,0.0,0.0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+4,0.0,0.0,,0,11,25,25,8,35,16,30,32,0,29,0,34,37,30,21,25,36,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.7142857142857143,0.6578947368421053,0.2857142857142857,0.546875,0.5161290322580645,0.4166666666666667,0.5714285714285714,0.0,0.4461538461538462,0.0,0.5074626865671642,0.5873015873015873,0.4545454545454545,0.4883720930232558,0.8333333333333334,0.5294117647058824,0.5079365079365079
