Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Josh Richardson,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Shared Games with Devonte' Graham,Shared Games with Julian Champagnie,Shared Games with Sandro Mamukelashvili,Devonte' Graham,Julian Champagnie,Justin Jackson,Khem Birch,Sandro Mamukelashvili,co_inf with Devonte' Graham,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Khem Birch,co_inf with Sandro Mamukelashvili,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,19-179,SAS,,DEN,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,,70.0,3.684210526315789,0.0,76.69999999999999,4.036842105263157
11,12,,2022-11-09,19-181,SAS,,MEM,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,,55.0,2.894736842105264,0.0,65.7,3.4578947368421056
12,13,,2022-11-11,19-183,SAS,,MIL,W (+18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,,62.0,3.263157894736842,0.0,71.10000000000001,3.742105263157895
13,14,,2022-11-14,19-186,SAS,@,GSW,L (-37),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,,17.0,0.8947368421052632,0.0,38.5,2.026315789473684
14,15,,2022-11-15,19-187,SAS,@,POR,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,,63.0,3.3157894736842106,0.0,68.8,3.621052631578947
15,16,,2022-11-17,19-189,SAS,@,SAC,L (-18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,,57.0,3.0,0.0,66.60000000000001,3.505263157894737
16,17,5,2022-11-19,19-191,SAS,@,LAC,L (-22),0,9:36,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.6,+4,0.0,0.0,,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,3.0,47.0,2.473684210526316,2.6,54.6,2.873684210526316
17,18,6,2022-11-20,19-192,SAS,@,LAL,L (-31),0,5:39,0.0,4.0,.000,0.0,3.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-4.8,-7,1.0,0.0,0.0,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,-6.0,43.0,2.263157894736842,-4.8,59.00000000000001,3.105263157894737
18,19,,2022-11-23,19-195,SAS,,NOP,L (-19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,,48.0,2.526315789473684,0.0,67.4,3.547368421052632
19,20,7,2022-11-25,19-197,SAS,,LAL,L (-11),0,13:42,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.6,+7,1.0,0.0,0.0,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,2.0,54.0,2.8421052631578947,1.6000000000000003,64.6,3.4
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,,0.0,0.0,0.0,0.0,0.0
21,21,8,2022-11-26,19-198,SAS,,LAL,L (-5),0,16:57,3.0,4.0,.750,2.0,3.0,.667,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,8.0,6.7,-12,1.0,1.0,1.0,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,6.0,84.0,4.421052631578948,6.700000000000001,90.6,4.768421052631578
22,22,9,2022-11-30,19-202,SAS,@,OKC,L (-8),0,19:23,3.0,6.0,.500,0.0,3.0,.000,1,2.0,.500,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,7.0,5.1,-3,3.0,3.0,1.0,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,3.0,69.0,3.631578947368421,4.699999999999999,83.49999999999999,4.394736842105263
23,23,10,2022-12-02,19-204,SAS,,NOP,L (-18),0,19:57,2.0,8.0,.250,1.0,4.0,.250,0,0.0,,0.0,4.0,4.0,3.0,0.0,1.0,3.0,2.0,5.0,0.4,-12,4.0,1.0,0.25,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,2.0,66.0,3.473684210526316,0.3999999999999994,69.4,3.6526315789473687
24,24,11,2022-12-04,19-206,SAS,,PHO,L (-38),0,24:52,3.0,9.0,.333,0.0,3.0,.000,2,2.0,1.000,0.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,8.0,3.1,-20,6.0,3.0,0.5,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,0.0,47.0,2.473684210526316,2.3,58.6,3.0842105263157897
