Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alize Johnson,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jeremy Sochan,Shared Games with Jordan Hall,Shared Games with Josh Richardson,Shared Games with Joshua Primo,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins
10,11,11,2022-11-07,27-023,SAS,,DEN,L (-6),1,31.8,2.0,3.0,.667,0.0,0.0,,0,2,.000,0,7,7,9,2,3,3,1,4,11.0,-12,3.0,2.0,0.6666666666666666,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
11,12,12,2022-11-09,27-025,SAS,,MEM,L (-2),1,36.733333333333334,10.0,12.0,.833,0.0,0.0,,2,5,.400,6,3,9,4,2,0,1,3,22,24.1,-9,12.0,10.0,0.8333333333333334,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
12,13,13,2022-11-11,27-027,SAS,,MIL,W (+18),1,29.783333333333335,7.0,11.0,.636,0.0,0.0,,1,3,.333,3,7,10,3,0,4,2,3,15,15.2,+9,11.0,7.0,0.6363636363636364,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
13,14,14,2022-11-14,27-030,SAS,@,GSW,L (-37),1,20.333333333333332,3.0,6.0,.500,0.0,0.0,,0,0,,4,6,10,1,0,1,4,3,6,3.8,-16,6.0,3.0,0.5,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
14,15,15,2022-11-15,27-031,SAS,@,POR,L (-7),1,31.666666666666668,14.0,17.0,.824,0.0,0.0,,3,5,.600,5,9,14,5,0,1,4,3,31,29.1,+7,17.0,14.0,0.8235294117647058,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
15,16,16,2022-11-17,27-033,SAS,@,SAC,L (-18),1,27.35,5.0,9.0,.556,0.0,0.0,,0,0,,3,4,7,4,1,1,2,4,10,9.9,-10,9.0,5.0,0.5555555555555556,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
16,17,17,2022-11-19,27-035,SAS,@,LAC,L (-22),1,25.066666666666666,8.0,15.0,.533,0.0,0.0,,4,4,1.000,3,5,8,3,1,0,0,1,20,19.0,-16,15.0,8.0,0.5333333333333333,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
17,18,,2022-11-20,27-036,SAS,@,LAL,L (-31),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
18,19,18,2022-11-23,27-039,SAS,,NOP,L (-19),1,25.55,1.0,3.0,.333,0.0,0.0,,2,4,.500,4,10,14,3,3,0,5,2,4,6.6,-27,3.0,1.0,0.3333333333333333,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
19,20,19,2022-11-25,27-041,SAS,,LAL,L (-11),1,25.216666666666665,5.0,8.0,.625,0.0,0.0,,0,0,,5,3,8,4,0,0,3,4,10,9.0,-6,8.0,5.0,0.625,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
20,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
21,21,20,2022-11-26,27-042,SAS,,LAL,L (-5),1,9.783333333333333,6.0,8.0,.750,0.0,0.0,,0,0,,4,5,9,0,0,1,1,2,12,12.0,+11,8.0,6.0,0.75,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
22,22,,2022-11-30,27-046,SAS,@,OKC,L (-8),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
23,23,,2022-12-02,27-048,SAS,,NOP,L (-18),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
24,24,,2022-12-04,27-050,SAS,,PHO,L (-38),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
25,25,,2022-12-08,27-054,SAS,,HOU,W (+9),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
26,26,,2022-12-10,27-056,SAS,@,MIA,W (+4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
27,27,,2022-12-12,27-058,SAS,,CLE,W (+1),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
28,28,,2022-12-14,27-060,SAS,,POR,L (-16),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
29,29,21,2022-12-17,27-063,SAS,,MIA,L (-10),1,20.833333333333332,3.0,6.0,.500,0.0,0.0,,1,4,.250,2,5,7,0,2,0,1,1,7,6.3,-16,6.0,3.0,0.5,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
30,30,22,2022-12-19,27-065,SAS,@,HOU,W (+19),1,22.5,4.0,6.0,.667,0.0,0.0,,0,0,,0,5,5,1,0,2,1,5,8,6.0,+6,6.0,4.0,0.6666666666666666,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
31,31,23,2022-12-22,27-068,SAS,@,NOP,L (-9),1,21.7,6.0,9.0,.667,0.0,0.0,,1,1,1.000,1,3,4,1,1,0,2,4,13,8.8,-4,9.0,6.0,0.6666666666666666,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
32,32,24,2022-12-23,27-069,SAS,@,ORL,L (-20),1,21.383333333333333,3.0,4.0,.750,0.0,0.0,,0,0,,2,2,4,0,0,1,1,4,6,4.5,-6,4.0,3.0,0.75,0,11,17,22,4,42,18,30,41,0,36,0,35,41,33,25,22,42,37,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.2972972972972973,0.4857142857142857,0.5789473684210527,0.1428571428571428,0.65625,0.5806451612903226,0.7142857142857143,0.7321428571428571,0.0,0.5538461538461539,0.0,0.5223880597014925,0.6507936507936508,0.5,0.5813953488372093,0.7333333333333333,0.6176470588235294,0.5873015873015873
