Player,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p1,p12,p13,p14
Don Ackerman,(Buddy),Position: Point Guard Ñ”? Shoots: Right,"6-0, 183lb (183cm, 83kg)","Born: September 4, 1930 in New York, New York us","Died: July 9, 2011 (Aged 80-308d)",College: Long Island University,"High School: Metropolitan in New York, New York","Draft: New York Knicks, 2nd round (2nd pick, 11th overall), 1953 NBA Draft","NBA Debut: October 31, 1953",Career Length: 1 year,,,Donald D. Ackerman,
Mark Acres,Position: Center Ñ”? Shoots: Right,"6-11, 220lb (211cm, 99kg)","Born: November 15, 1962 (Age: 60-337d) in Inglewood, California us",Relatives: Brother Jeff Acres,College: Oral Roberts,"High School: Palos Verdes in Palos Verdes Estates, California","Draft: Dallas Mavericks, 2nd round (16th pick, 40th overall), 1985 NBA Draft","NBA Debut: November 6, 1987",Career Length: 6 years,,,,Mark Richard Acres,
Bud Acton,Position: Small Forward Ñ”? Shoots: Right,"6-6, 210lb (198cm, 95kg)","Born: January 11, 1942 (Age: 81-280d)",College: Hillsdale College,"High School: Troy in Troy, Michigan","NBA Debut: February 1, 1968",Career Length: 1 year,,,,,,Charles R. Acton,
Quincy Acy,Position: Power Forward and Small Forward Ñ”? Shoots: Right,"6-7, 240lb (201cm, 108kg)","Born: October 6, 1990 (Age: 33-012d) in Tyler, Texas us",College: Baylor,"High School: Mesquite Horn in Mesquite, Texas","Draft: Toronto Raptors, 2nd round (7th pick, 37th overall), 2012 NBA Draft","NBA Debut: November 7, 2012",Career Length: 7 years,,,,,,
Alvan Adams,"(Double A, The Oklahoma Kid)",Position: Center and Power Forward Ñ”? Shoots: Right,"6-9, 210lb (206cm, 95kg)","Born: July 19, 1954 (Age: 69-091d) in Lawrence, Kansas us",College: Oklahoma,"High School: Putnam City in Warr Acres, Oklahoma","Draft: Phoenix Suns, 1st round (4th pick, 4th overall), 1975 NBA Draft","NBA Debut: October 25, 1975",Career Length: 13 years,,,,,
Don Adams,(Smart),Position: Small Forward Ñ”? Shoots: Right,"6-6, 210lb (198cm, 95kg)","Born: November 27, 1947 in Atlanta, Georgia us","Died: December 25, 2013 (Aged 66-028d)",College: Northwestern,"High School: South Fulton in South Fulton, Georgia","Draft: San Diego Rockets, 8th round (1st pick, 120th overall), 1970 NBA Draft","NBA Debut: October 13, 1970 Ñ”? ABA Debut: March 4, 1975",Career Length: 7 years,,,Donald L. Adams,
George Adams,Position: Small Forward Ñ”? Shoots: Right,"6-5, 210lb (196cm, 95kg)","Born: May 15, 1949 (Age: 74-156d) in Kings Mountain, North Carolina us",College: Gardner-Webb University,"Draft: Milwaukee Bucks, 3rd round (16th pick, 46th overall), 1972 NBA Draft","ABA Debut: November 1, 1972",Career Length: 3 years,,,,,,George Adams,
Hassan Adams,(Hot Sauce),Position: Shooting Guard Ñ”? Shoots: Right,"6-4, 220lb (193cm, 99kg)","Born: June 20, 1984 (Age: 39-120d) in Inglewood, California us",College: Arizona,"High School: Westchester in Los Angeles, California",Recruiting Rank: 2002 (20),"Draft: New Jersey Nets, 2nd round (24th pick, 54th overall), 2006 NBA Draft","NBA Debut: November 1, 2006",Career Length: 2 years,,,Hassan Olawale Adams,
Jaylen Adams,Jaylen Tairique Adams Ñ”? Twitter: 10jadams Ñ”? Instagram: 10jadams,Position: Point Guard Ñ”? Shoots: Right,"6-0, 225lb (183cm, 102kg)","Born: May 4, 1996 (Age: 27-167d) in Baltimore, Maryland us",College: St. Bonaventure,"High School: Mount St. Joseph in Baltimore, Maryland","NBA Debut: October 17, 2018",Career Length: 3 years,,,,,,
Jordan Adams,"(Money, Spider Man)",Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 209lb (196cm, 94kg)","Born: July 8, 1994 (Age: 29-102d) in Atlanta, Georgia us",College: UCLA,"High Schools: Central Gwinnett in Lawrenceville, Georgia, Oak Hill Academy in Mouth of Wilson, Virginia",Recruiting Rank: 2012 (59),"Draft: Memphis Grizzlies, 1st round (22nd pick, 22nd overall), 2014 NBA Draft","NBA Debut: November 3, 2014",Career Length: 2 years,,,,
Michael Adams,Position: Point Guard Ñ”? Shoots: Right,"5-10, 162lb (178cm, 73kg)","Born: January 19, 1963 (Age: 60-272d) in Hartford, Connecticut us",College: Boston College,"High School: Hartford Public in Hartford, Connecticut","Draft: Sacramento Kings, 3rd round (19th pick, 66th overall), 1985 NBA Draft","NBA Debut: October 25, 1985",Career Length: 11 years,,,,,,
Steven Adams,"(Big Kiwi, Kiwi Phenom, Aquaman)",Position: Center Ñ”? Shoots: Right,"6-11, 265lb (211cm, 120kg)","Born: July 20, 1993 (Age: 30-090d) in Rotorua, New Zealand nz",College: Pitt,"High School: Notre Dame Prep in Fitchburg, Massachusetts",Recruiting Rank: 2012 (5),"Draft: Oklahoma City Thunder, 1st round (12th pick, 12th overall), 2013 NBA Draft","NBA Debut: October 30, 2013",Experience: 10 years,,,,
Rafael Addison,(Raf),Position: Small Forward Ñ”? Shoots: Right,"6-7, 215lb (201cm, 97kg)","Born: July 22, 1964 (Age: 59-088d) in Jersey City, New Jersey us",College: Syracuse,"High School: Snyder in Jersey City, New Jersey","Draft: Phoenix Suns, 2nd round (15th pick, 39th overall), 1986 NBA Draft","NBA Debut: November 1, 1986",Career Length: 6 years,,,,Rafael Addison,
Bam Adebayo,Edrice Femi Adebayo Ñ”? Twitter: Bam1of1 Ñ”? Instagram: Bam1of1,"(Bam Bam, Bam)",Position: Center and Power Forward Ñ”? Shoots: Right,"6-9, 255lb (206cm, 115kg)","Born: July 18, 1997 (Age: 26-092d) in Newark, New Jersey us",College: Kentucky,"High Schools: Northside in Pinetown, North Carolina, High Point Christian Academy in High Point, North Carolina",Recruiting Rank: 2016 (8),"Draft: Miami Heat, 1st round (14th pick, 14th overall), 2017 NBA Draft","NBA Debut: October 18, 2017",Experience: 6 years,,,
Deng Adel,Deng Adel Ñ”? Twitter: Foreverdeng Ñ”? Instagram: foreverdeng22,Position: Small Forward Ñ”? Shoots: Right,"6-7, 200lb (201cm, 90kg)","Born: February 1, 1997 (Age: 26-259d) in Juba, South Sudan ss",College: Louisville,"High School: Victoria Rock Prep in Bradenton, Florida",Recruiting Rank: 2015 (34),"NBA Debut: January 19, 2019",Career Length: 1 year,,,,,
Rick Adelman,Richard Leonard Adelman,Position: Point Guard Ñ”? Shoots: Right,"6-1, 175lb (185cm, 79kg)","Born: June 16, 1946 (Age: 77-124d) in Lynwood, California us",College: Loyola Marymount,"High School: Saint Pius X in Downey, California","Draft: San Diego Rockets, 7th round (1st pick, 79th overall), 1968 NBA Draft","NBA Debut: October 17, 1968",Hall of Fame: Inducted as Coach in 2021 (Full List),Career Length: 7 years,,,,
Jeff Adrien,Position: Power Forward Ñ”? Shoots: Right,"6-7, 245lb (201cm, 111kg)","Born: February 10, 1986 (Age: 37-250d) in Brookline, Massachusetts us",College: UConn,"High Schools: Brookline in Brookline, Massachusetts, Brewster Academy in Wolfeboro, New Hampshire",Recruiting Rank: 2005 (53),"NBA Debut: October 27, 2010",Career Length: 5 years,,,,,,
Arron Afflalo,Arron Agustin Afflalo,(Spell Check),Position: Shooting Guard and Small Forward Ñ”? Shoots: Right,"6-5, 210lb (196cm, 95kg)","Born: October 15, 1985 (Age: 38-003d) in Los Angeles, California us",College: UCLA,"High School: Centennial in Compton, California",Recruiting Rank: 2004 (26),"Draft: Detroit Pistons, 1st round (27th pick, 27th overall), 2007 NBA Draft","NBA Debut: November 1, 2007",Career Length: 11 years,,,
Ochai Agbaji,Ochai Young Agbaji Ñ”? Twitter: youngoch Ñ”? Instagram: youngoch,Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 215lb (196cm, 97kg)","Born: April 20, 2000 (Age: 23-181d) in Milwaukee, Wisconsin us",College: Kansas,"High School: Oak Park HS in Kansas City, Missouri","Draft: Cleveland Cavaliers, 1st round (14th pick, 14th overall), 2022 NBA Draft","NBA Debut: October 19, 2022",Experience: 1 year,,,,,
Maurice Ager,Maurice Darnell Ager Ñ”? Twitter: moeager,(Mo),Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 202lb (196cm, 91kg)","Born: February 9, 1984 (Age: 39-251d) in Detroit, Michigan us",College: Michigan State,"High School: Crockett in Detroit, Michigan",Recruiting Rank: 2002 (54),"Draft: Dallas Mavericks, 1st round (28th pick, 28th overall), 2006 NBA Draft","NBA Debut: November 4, 2006",Career Length: 4 years,,,
Mark Aguirre,Mark Anthony Aguirre,"(Ziggy, The Pillsbury Doughboy, Elephant Drawers, The Muffin Man, Fat Daddy)",Position: Small Forward Ñ”? Shoots: Right,"6-6, 232lb (198cm, 105kg)","Born: December 10, 1959 (Age: 63-312d) in Chicago, Illinois us",College: DePaul,"High School: Westinghouse in Chicago, Illinois","Draft: Dallas Mavericks, 1st round (1st pick, 1st overall), 1981 NBA Draft","NBA Debut: October 30, 1981",Career Length: 13 years,,,,
Blake Ahearn,Position: Point Guard Ñ”? Shoots: Right,"6-2, 190lb (188cm, 86kg)","Born: May 27, 1984 (Age: 39-144d) in St. Louis, Missouri us",College: Missouri State,"High School: De Smet Jesuit in Creve Coeur, Missouri","NBA Debut: March 21, 2008",Career Length: 3 years,,,,,,,
Danny Ainge,Position: Shooting Guard and Point Guard Ñ”? Shoots: Right,"6-4, 175lb (193cm, 79kg)","Born: March 17, 1959 (Age: 64-215d) in Eugene, Oregon us",College: BYU,"High School: North Eugene in North Eugene, Oregon","Draft: Boston Celtics, 2nd round (8th pick, 31st overall), 1981 NBA Draft","NBA Debut: December 9, 1981",Career Length: 14 years,,,,,,
Matt Aitch,Position: Power Forward Ñ”? Shoots: Right,"6-7, 230lb (201cm, 104kg)","Born: September 21, 1944 in St. Louis, Missouri us","Died: April 4, 2007 (Aged 62-195d)","Colleges: Moberly Area Community College, Michigan State","High School: Maplewood-Richmond Heights in Maplewood, Missouri","Draft: Detroit Pistons, 13th round (2nd pick, 135th overall), 1967 NBA Draft","ABA Debut: October 14, 1967",Career Length: 1 year,,,,Matthew Alexander Aitch Jr.,
Alexis Ajin??a,Alexis Ajin??a Ñ”? Twitter: AjincaAlexis42,Position: Center and Power Forward Ñ”? Shoots: Right,"7-2, 248lb (218cm, 112kg)","Born: May 6, 1988 (Age: 35-165d) in Saint-Etienne, France fr","Draft: Charlotte Bobcats, 1st round (20th pick, 20th overall), 2008 NBA Draft","NBA Debut: October 30, 2008",Career Length: 7 years,,,,,,,
Henry Akin,Position: Power Forward and Center Ñ”? Shoots: Right,"6-10, 225lb (208cm, 102kg)","Born: July 31, 1944 in Detroit, Michigan us","Died: February 16, 2020 (Aged 75-200d)",College: Morehead State University,"High School: Troy in Troy, Michigan","Draft: New York Knicks, 2nd round (1st pick, 11th overall), 1966 NBA Draft","NBA Debut: October 15, 1966 Ñ”? ABA Debut: October 30, 1968",Career Length: 3 years,,,,Henry T. Akin,
Josh Akognon,Joshua Emmanuel Akognon,Position: Point Guard Ñ”? Shoots: Right,"5-11, 185lb (180cm, 83kg)","Born: February 10, 1986 (Age: 37-250d) in Greenbrae, California us","Colleges: Washington State, Cal State Fullerton","High School: Casa Grande in Petaluma, California","NBA Debut: April 10, 2013",Career Length: 1 year,,,,,,
DeVaughn Akoon-Purcell,Position: Shooting Guard Ñ”? Shoots: Right,"6-6, 200lb (198cm, 90kg)","Born: June 5, 1993 (Age: 30-135d) in Orlando, Florida us",College: Illinois State,"High School: West Oaks Academy in Orlando, Florida","NBA Debut: October 23, 2018",Career Length: 1 year,,,,,,,
Solomon Alabi,Makafan Solomon Alabi,Position: Center Ñ”? Shoots: Right,"7-1, 251lb (216cm, 113kg)","Born: March 21, 1988 (Age: 35-211d) in Kaduna, Nigeria ng",College: Florida State,"High School: Montverde Academy in Montverde, Florida",Recruiting Rank: 2007 (24),"Draft: Dallas Mavericks, 2nd round (20th pick, 50th overall), 2010 NBA Draft","NBA Debut: November 13, 2010",Career Length: 2 years,,,,
Mark Alarie,Position: Power Forward Ñ”? Shoots: Right,"6-8, 217lb (203cm, 98kg)","Born: December 11, 1963 (Age: 59-311d) in Phoenix, Arizona us",College: Duke,"High School: Brophy College Preparatory in Phoenix, Arizona","Draft: Denver Nuggets, 1st round (18th pick, 18th overall), 1986 NBA Draft","NBA Debut: October 31, 1986",Career Length: 5 years,,,,,Mark Steven Alarie,
Gary Alcorn,Position: Center Ñ”? Shoots: Right,"6-9, 225lb (206cm, 102kg)","Born: October 8, 1936 in Fresno, California us","Died: November 29, 2006 (Aged 70-052d)",College: Fresno State,"High School: Roosevelt in Fresno, California","Draft: Minneapolis Lakers, 13th round (1st pick, 83rd overall), 1958 NBA Draft, and Detroit Pistons, 3rd round (2nd pick, 18th overall), 1959 NBA Draft","NBA Debut: October 18, 1959",Career Length: 2 years,,,,Gary R. Alcorn,
Santi Aldama,Santiago Aldama Ñ”? Twitter: santialdama Ñ”? Instagram: santialdama,(Full name Santiago Aldama Toledo),Position: Power Forward Ñ”? Shoots: Right,"6-11, 224lb (211cm, 101kg)","Born: January 10, 2001 (Age: 22-281d) in Las Palmas, Spain es",College: Loyola (MD),"High School: Canterbury Academy in Las Palmas, Spain","Draft: Utah Jazz, 1st round (30th pick, 30th overall), 2021 NBA Draft","NBA Debut: October 27, 2021",Experience: 2 years,,,,
Furkan Aldemir,Furkan Aldemir Ñ”? Twitter: furkanaldemir19,(Mr. Rebound),Position: Power Forward Ñ”? Shoots: Right,"6-10, 240lb (208cm, 108kg)","Born: August 9, 1991 (Age: 32-070d) in Konak, Turkey tr","Draft: Los Angeles Clippers, 2nd round (23rd pick, 53rd overall), 2012 NBA Draft","NBA Debut: December 15, 2014",Career Length: 1 year,,,,,,
Cole Aldrich,(Cole Sore),Position: Center Ñ”? Shoots: Right,"6-11, 250lb (211cm, 113kg)","Born: October 31, 1988 (Age: 34-352d) in Burnsville, Minnesota us",College: Kansas,"High School: Thomas Jefferson in Bloomington, Minnesota",Recruiting Rank: 2007 (22),"Draft: New Orleans Hornets, 1st round (11th pick, 11th overall), 2010 NBA Draft","NBA Debut: October 31, 2010",Career Length: 8 years,,,,
LaMarcus Aldridge,(LMA),Position: Power Forward and Center Ñ”? Shoots: Right,"6-11, 250lb (211cm, 113kg)","Born: July 19, 1985 (Age: 38-091d) in Dallas, Texas us",College: Texas,"High School: Seagoville in Dallas, Texas",Recruiting Rank: 2004 (12),"Draft: Chicago Bulls, 1st round (2nd pick, 2nd overall), 2006 NBA Draft","NBA Debut: November 12, 2006",Career Length: 16 years,,,,
Chuck Aleksinas,(Asesino),Position: Center Ñ”? Shoots: Right,"6-11, 260lb (211cm, 117kg)","Born: February 26, 1959 (Age: 64-234d) in Litchfield, Connecticut us","Colleges: Kentucky, UConn","High School: Wamogo in Litchfield, Connecticut","Draft: Chicago Bulls, 4th round (7th pick, 76th overall), 1982 NBA Draft","NBA Debut: October 26, 1984",Career Length: 1 year,,,,Charles John Aleksinas,
Cliff Alexander,(Thunder),Position: Power Forward Ñ”? Shoots: Right,"6-8, 245lb (203cm, 111kg)","Born: November 16, 1995 (Age: 27-336d) in Chicago, Illinois us",College: Kansas,"High School: Curie in Chicago, Illinois",Recruiting Rank: 2014 (4),"NBA Debut: November 15, 2015",Career Length: 1 year,,,,,
Cory Alexander,Position: Point Guard and Shooting Guard Ñ”? Shoots: Right,"6-1, 185lb (185cm, 83kg)","Born: June 22, 1973 (Age: 50-118d) in Waynesboro, Virginia us",College: Virginia,"High School: Oak Hill Academy in Mouth of Wilson, Virginia","Draft: San Antonio Spurs, 1st round (29th pick, 29th overall), 1995 NBA Draft","NBA Debut: November 4, 1995",Career Length: 7 years,,,,,Cory Lynn Alexander,
Courtney Alexander,Position: Point Guard and Shooting Guard Ñ”? Shoots: Right,"6-5, 205lb (196cm, 92kg)","Born: April 27, 1977 (Age: 46-174d) in Bridgeport, Connecticut us","Colleges: Virginia, Fresno State","High School: Jordan in Durham, North Carolina","Draft: Orlando Magic, 1st round (13th pick, 13th overall), 2000 NBA Draft","NBA Debut: November 4, 2000",Career Length: 3 years,,,,,Courtney Jason Alexander,
Gary Alexander,Position: Power Forward Ñ”? Shoots: Right,"6-7, 240lb (201cm, 108kg)","Born: November 1, 1969 (Age: 53-351d) in Jacksonville, Florida us",College: South Florida,"High School: William M. Raines in Jacksonville, Florida","NBA Debut: November 5, 1993",Career Length: 1 year,,,,,,Gary R. Alexander,
Joe Alexander,Position: Small Forward Ñ”? Shoots: Right,"6-8, 230lb (203cm, 104kg)","Born: December 26, 1986 (Age: 36-296d) in Kaohsiung, Taiwan tw",College: West Virginia,"High Schools: Linganore in Frederick, Maryland, Hargrave Military Academy in Chatham, Virginia","Draft: Milwaukee Bucks, 1st round (8th pick, 8th overall), 2008 NBA Draft","NBA Debut: November 2, 2008",Career Length: 2 years,,,,,,
Kyle Alexander,Position: Center Ñ”? Shoots: Right,"6-11, 220lb (211cm, 99kg)","Born: October 21, 1996 (Age: 26-362d) in Scarborough, Ontario ca",College: Tennessee,"High School: Athlete Institute in Mono, Canada","NBA Debut: August 6, 2020",Career Length: 1 year,,,,,,,
Ty-Shon Alexander,Position: Shooting Guard Ñ”? Shoots: Right,"6-3, 195lb (190cm, 88kg)","Born: July 16, 1998 (Age: 25-094d) in Charlotte, North Carolina us",College: Creighton,"High Schools: Concord in Concord, North Carolina, Northside Christian Academy in Charlotte, North Carolina, Oak Hill Academy in Mouth of Wilson, Virginia",Recruiting Rank: 2017 (96),"NBA Debut: December 27, 2020",Experience: 1 year,,,,,,
Victor Alexander,(Big Smoothie),Position: Center Ñ”? Shoots: Right,"6-9, 265lb (206cm, 120kg)","Born: August 31, 1969 (Age: 54-048d) in Detroit, Michigan us",College: Iowa State,"High School: Denby in Detroit, Michigan","Draft: Golden State Warriors, 1st round (17th pick, 17th overall), 1991 NBA Draft","NBA Debut: November 1, 1991",Career Length: 5 years,,,,Victor Joe Alexander,
Nickeil Alexander-Walker,Nickeil Alexander-Walker Ñ”? Twitter: NickeilAW Ñ”? Instagram: nickeilaw,Position: Shooting Guard Ñ”? Shoots: Right,"6-6, 205lb (198cm, 92kg)","Born: September 2, 1998 (Age: 25-046d) in Toronto, Ontario ca",Relatives: Cousin Shai Gilgeous-Alexander,College: Virginia Tech,"High School: Hamilton Heights Christian in Chattanooga, Tennessee",Recruiting Rank: 2017 (33),"Draft: Brooklyn Nets, 1st round (17th pick, 17th overall), 2019 NBA Draft","NBA Debut: October 22, 2019",Experience: 4 years,,,
Steve Alford,Position: Point Guard Ñ”? Shoots: Right,"6-2, 183lb (188cm, 83kg)","Born: November 23, 1964 (Age: 58-329d) in Franklin, Indiana us",Relatives: Son Bryce Alford,College: Indiana,"High School: Chrysler in New Castle, Indiana","Draft: Dallas Mavericks, 2nd round (3rd pick, 26th overall), 1987 NBA Draft","NBA Debut: November 6, 1987",Career Length: 4 years,,,,Stephen Todd Alford,
Rawle Alkins,Rawle Prince Alkins Ñ”? Twitter: Iam_RawleAlkins Ñ”? Instagram: kingrawle,"(King of the City, Brooklyn Bomber, Savage Life)",Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 225lb (196cm, 102kg)","Born: October 29, 1997 (Age: 25-354d) in Brooklyn, New York us",College: Arizona,"High School: Word of God Academy in Raleigh, North Carolina",Recruiting Rank: 2016 (21),"NBA Debut: December 17, 2018",Experience: 1 year,,,,
Bill Allen,Position: Center Ñ”? Shoots: Right,"6-8, 205lb (203cm, 92kg)",Born: 1945,College: New Mexico State,"High School: Manual Arts in Los Angeles, California","ABA Debut: January 2, 1968",Career Length: 1 year,,,,,,Bill Allen,
Bob Allen,Position: Power Forward Ñ”? Shoots: Right,"6-9, 205lb (206cm, 92kg)","Born: July 17, 1946 (Age: 77-093d)",College: Marshall,"Draft: San Francisco Warriors, 6th round (7th pick, 71st overall), 1968 NBA Draft","NBA Debut: October 29, 1968",Career Length: 1 year,,,,,,Robert J. Allen,
Grayson Allen,"(G-money, Deebo)",Position: Shooting Guard Ñ”? Shoots: Right,"6-4, 198lb (193cm, 89kg)","Born: October 8, 1995 (Age: 28-010d) in Jacksonville, Florida us",College: Duke,"High School: Providence School in Jacksonville, Florida",Recruiting Rank: 2014 (24),"Draft: Utah Jazz, 1st round (21st pick, 21st overall), 2018 NBA Draft","NBA Debut: October 22, 2018",Experience: 5 years,,,,
Jarrett Allen,(Fro),Position: Center Ñ”? Shoots: Right,"6-11, 243lb (211cm, 110kg)","Born: April 21, 1998 (Age: 25-181d) in San Diego, California us",College: Texas,"High School: St. Stephen's Episcopal School in Austin, Texas",Recruiting Rank: 2016 (15),"Draft: Brooklyn Nets, 1st round (22nd pick, 22nd overall), 2017 NBA Draft","NBA Debut: October 20, 2017",Experience: 6 years,,,,
Jerome Allen,(Pooh),Position: Shooting Guard Ñ”? Shoots: Right,"6-4, 184lb (193cm, 83kg)","Born: January 28, 1973 (Age: 50-264d) in Philadelphia, Pennsylvania us",College: Penn,"High School: The Episcopal Academy in Newtown Square, Pennsylvania","Draft: Minnesota Timberwolves, 2nd round (20th pick, 49th overall), 1995 NBA Draft","NBA Debut: November 3, 1995",Career Length: 2 years,,,,Jerome Byron Allen,
Kadeem Allen,"(Big Bruiser, B.B.)",Position: Point Guard Ñ”? Shoots: Right,"6-1, 200lb (185cm, 90kg)","Born: January 15, 1993 (Age: 30-277d) in Wilmington, North Carolina us",College: Arizona,"High School: New Hanover in Wilmington, North Carolina","Draft: Boston Celtics, 2nd round (23rd pick, 53rd overall), 2017 NBA Draft","NBA Debut: December 11, 2017",Career Length: 3 years,,,,,
Lavoy Allen,Position: Power Forward and Center Ñ”? Shoots: Right,"6-9, 260lb (206cm, 117kg)","Born: February 4, 1989 (Age: 34-257d) in Morrisville, Pennsylvania us",College: Temple,"High School: Pennsbury in Fairless Hills, Pennsylvania","Draft: Philadelphia 76ers, 2nd round (20th pick, 50th overall), 2011 NBA Draft","NBA Debut: January 7, 2012",Career Length: 6 years,,,,,,
Lucius Allen,Position: Point Guard Ñ”? Shoots: Right,"6-2, 175lb (188cm, 79kg)","Born: September 26, 1947 (Age: 76-023d) in Kansas City, Kansas us",College: UCLA,"High School: Wyandotte in Kansas City, Kansas","Draft: Seattle SuperSonics, 1st round (3rd pick, 3rd overall), 1969 NBA Draft","NBA Debut: October 14, 1969",Career Length: 10 years,,,,,,
Malik Allen,Malik Allen Ñ”? Twitter: THEleekAllen30,Position: Power Forward Ñ”? Shoots: Right,"6-10, 255lb (208cm, 115kg)","Born: June 27, 1978 (Age: 45-114d) in Willingboro, New Jersey us",College: Villanova,"High School: Shawnee in Medford, New Jersey","NBA Debut: November 30, 2001",Career Length: 10 years,,,,,,
Randy Allen,Position: Shooting Guard Ñ”? Shoots: Right,"6-8, 220lb (203cm, 99kg)","Born: January 26, 1965 (Age: 58-266d) in Milton, Florida us",College: Florida State,"High School: Milton in Milton, Florida","NBA Debut: March 9, 1989",Career Length: 2 years,,,,,,James Randall Allen,
