Player,championship_x,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,championship_y
Giannis Antetokounmpo,"7x All Star
2021 NBA Champ
7x All-NBA
2013-14 All-Rookie
5x All-Defensive
2016-17 Most Improved
2x MVP
2019-20 Def. POY
2020-21 AS MVP
2020-21 Finals MVP
NBA 75th Anniv. Team",Career,719,22.6,9.6,4.7,53.7,28.7,70.8,55.9,24.9,96.1,1
Neil Johnston,"Hall of Fame
6x All Star
3x Scoring Champ
1954-55 TRB Champ
1956 NBA Champ
5x All-NBA",Career,516,19.4,11.3,2.5,44.4,,76.8,,24.9,92,0
Kareem Abdul-Jabbar,"
6",Career,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4,6
Charles Barkley,"Hall of Fame
11x All Star
1986-87 TRB Champ
11x All-NBA
1984-85 All-Rookie
1990-91 AS MVP
1992-93 MVP
NBA 75th Anniv. Team",Career,1073,22.1,11.7,3.9,54.1,26.6,73.5,55.8,24.6,177.2,0
James Harden,"10x All Star
3x Scoring Champ
2x AST Champ
7x All-NBA
2009-10 All-Rookie
2011-12 Sixth Man
2017-18 MVP
NBA 75th Anniv. Team",Career,1000,24.7,5.6,7,44.2,36.3,86,52.6,24.4,158,0
Karl-Anthony Towns,"3x All Star
2x All-NBA
2015-16 ROY
2015-16 All-Rookie",Career,511,23,11.2,3.2,52.6,39.5,83.5,57.7,24.4,68.7,0
Chris Paul,"12x All Star
5x AST Champ
6x STL Champ
11x All-NBA
2005-06 All-Rookie
2005-06 ROY
9x All-Defensive
2012-13 AS MVP
NBA 75th Anniv. Team",Career,1214,17.9,4.5,9.5,47.2,36.9,87,52.2,24.3,205.1,0
Tim Duncan,"Hall of Fame
15x All Star
5x NBA Champ
15x All-NBA
15x All-Defensive
1997-98 All-Rookie
1997-98 ROY
3x Finals MVP
1999-00 AS MVP
2x MVP
NBA 75th Anniv. Team",Career,1392,19,10.8,3,50.6,17.9,69.6,50.7,24.2,206.4,5
Magic Johnson,"Hall of Fame
12x All Star
4x AST Champ
2x STL Champ
5x NBA Champ
10x All-NBA
1979-80 All-Rookie
3x Finals MVP
3x MVP
2x AS MVP
NBA 75th Anniv. Team",Career,906,19.5,7.2,11.2,52,30.3,84.8,53.3,24.1,155.8,5
Karl Malone,"Hall of Fame
14x All Star
14x All-NBA
1985-86 All-Rookie
4x All-Defensive
2x AS MVP
2x MVP
NBA 75th Anniv. Team",Career,1476,25,10.1,3.6,51.6,27.4,74.2,51.8,23.9,234.6,0
Hassan Whiteside,"2016-17 TRB Champ
2x BLK Champ
2015-16 All-Defensive",Career,511,12.6,10.8,0.6,58.6,30.8,60.5,58.7,23.9,52,0
Stephen Curry,"9x All Star
2x Scoring Champ
2015-16 STL Champ
4x NBA Champ
9x All-NBA
2009-10 All-Rookie
2x MVP
NBA 75th Anniv. Team
2021-22 AS MVP
2021-22 WCF MVP
2021-22 Finals MVP",Career,882,24.6,4.7,6.5,47.5,42.8,90.9,58.3,23.8,128,4
Julius Erving,"Hall of Fame
16x All Star
1983 NBA Champ
2x ABA Champ
7x All-NBA
5x All-ABA
1971-72 All-Rookie
4x MVP
1975-76 All-Defensive
2x AS MVP
ABA All-Time Team
NBA 75th Anniv. Team",Career,1243,24.2,8.5,4.2,50.6,29.8,77.7,50.9,23.6,181.1,1
Hakeem Olajuwon,"Hall of Fame
12x All Star
2x TRB Champ
3x BLK Champ
2x NBA Champ
12x All-NBA
9x All-Defensive
1984-85 All-Rookie
2x Def. POY
2x Finals MVP
1993-94 MVP
NBA 75th Anniv. Team",Career,1238,21.8,11.1,2.5,51.2,20.2,71.2,51.3,23.6,162.8,2
Larry Bird,"Hall of Fame
12x All Star
3x NBA Champ
10x All-NBA
1979-80 All-Rookie
1979-80 ROY
3x All-Defensive
1981-82 AS MVP
2x Finals MVP
3x MVP
NBA 75th Anniv. Team",Career,897,24.3,10,6.3,49.6,37.6,88.6,51.4,23.5,145.8,3
Dwyane Wade,"13x All Star
2008-09 Scoring Champ
3x NBA Champ
8x All-NBA
2003-04 All-Rookie
3x All-Defensive
2005-06 Finals MVP
2009-10 AS MVP
NBA 75th Anniv. Team",Career,1054,22,4.7,5.4,48,29.3,76.5,49.5,23.5,120.7,3
Kawhi Leonard,"5x All Star
2014-15 STL Champ
2x NBA Champ
5x All-NBA
2011-12 All-Rookie
7x All-Defensive
2x Finals MVP
2x Def. POY
2019-20 AS MVP
NBA 75th Anniv. Team",Career,628,19.6,6.4,3,49.5,38.7,85.9,54.9,23.4,90.4,2
Oscar Robertson,"Hall of Fame
12x All Star
6x AST Champ
1971 NBA Champ
11x All-NBA
3x AS MVP
1960-61 ROY
1963-64 MVP
NBA 75th Anniv. Team",Career,1040,25.7,7.5,9.5,48.5,,83.8,,23.2,189.2,1
Yao Ming,"Hall of Fame
8x All Star
5x All-NBA
2002-03 All-Rookie",Career,486,19,9.2,1.6,52.4,20,83.3,52.5,23,65.9,0
Kobe Bryant,"Hall of Fame
18x All Star
2x Scoring Champ
5x NBA Champ
15x All-NBA
1996-97 All-Rookie
12x All-Defensive
4x AS MVP
2007-08 MVP
2x Finals MVP
NBA 75th Anniv. Team
2018 Oscar",Career,1346,25,5.2,4.7,44.7,32.9,83.7,48.2,22.9,172.7,5
Jerry West,"Hall of Fame
14x All Star
1969-70 Scoring Champ
1971-72 AST Champ
1972 NBA Champ
12x All-NBA
5x All-Defensive
1968-69 Finals MVP
1971-72 AS MVP
NBA 75th Anniv. Team",Career,932,27,5.8,6.7,47.4,,81.4,,22.9,162.6,1
Elgin Baylor,"Hall of Fame
11x All Star
10x All-NBA
1958-59 AS MVP
1958-59 ROY
NBA 75th Anniv. Team",Career,846,27.4,13.5,4.3,43.1,,78,,22.7,104.2,0
Kevin Garnett,"Hall of Fame
15x All Star
4x TRB Champ
2008 NBA Champ
9x All-NBA
1995-96 All-Rookie
12x All-Defensive
2002-03 AS MVP
2003-04 MVP
2007-08 Def. POY
NBA 75th Anniv. Team",Career,1462,17.8,10,3.7,49.7,27.5,78.9,50.1,22.7,191.4,1
Damian Lillard,"7x All Star
7x All-NBA
2012-13 All-Rookie
2012-13 ROY
NBA 75th Anniv. Team",Career,769,25.2,4.2,6.7,43.9,37.2,89.5,52.3,22.5,103.1,0
Kyrie Irving,"8x All Star
2016 NBA Champ
3x All-NBA
2011-12 All-Rookie
2011-12 ROY
2013-14 AS MVP",Career,671,23.4,3.9,5.7,47.2,39.1,88.5,53.6,22.4,79.4,1
Dirk Nowitzki,"14x All Star
2011 NBA Champ
12x All-NBA
2006-07 MVP
2010-11 Finals MVP
NBA 75th Anniv. Team",Career,1522,20.7,7.5,2.4,47.1,38,87.9,51.2,22.4,206.3,1
Montrezl Harrell,2019-20 Sixth Man,Career,515,12.1,5,1.3,61.9,10.8,66.4,62,22.3,42.9,0
Robert Williams,2021-22 All-Defensive,Career,209,7.3,6.9,1.4,73.2,0,65.6,73.2,22.3,22.2,0
Clint Capela,2020-21 TRB Champ,Career,536,12.4,10.7,1,62.7,0,53.3,62.7,22.2,60.1,0
Russell Westbrook,"9x All Star
2x Scoring Champ
3x AST Champ
9x All-NBA
2008-09 All-Rookie
2x AS MVP
2016-17 MVP
NBA 75th Anniv. Team",Career,1094,22.4,7.3,8.4,43.8,30.5,77.8,46.9,22.2,108.4,0
Trae Young,"2x All Star
2021-22 All-NBA
2018-19 All-Rookie",Career,353,25.5,3.7,9.3,43.7,35.1,87.6,50.5,22.2,33,0
Tracy McGrady,"Hall of Fame
7x All Star
2x Scoring Champ
7x All-NBA
2000-01 Most Improved",Career,938,19.6,5.6,4.4,43.5,33.8,74.6,47,22.1,97.3,0
Dolph Schayes,"Hall of Fame
12x All Star
1950-51 TRB Champ
1955 NBA Champ
12x All-NBA
NBA 75th Anniv. Team",Career,996,18.5,12.1,3.1,38,,84.9,,22.1,142.4,1
DeMarcus Cousins,"4x All Star
2x All-NBA
2010-11 All-Rookie",Career,654,19.6,10.2,3,46,33.1,73.7,48.1,22,46.8,0
Moses Malone,"Hall of Fame
13x All Star
6x TRB Champ
1983 NBA Champ
8x All-NBA
1974-75 All-Rookie
2x All-Defensive
3x MVP
1982-83 Finals MVP
ABA All-Time Team
NBA 75th Anniv. Team",Career,1455,20.3,12.3,1.3,49.5,9.6,76,49.5,22,179.1,1
Andre Drummond,"2x All Star
4x TRB Champ
2015-16 All-NBA
2012-13 All-Rookie",Career,785,13.2,12.7,1.3,54.2,12.8,47.5,54.3,21.8,70.5,0
Rudy Gobert,"3x All Star
2021-22 TRB Champ
2016-17 BLK Champ
4x All-NBA
6x All-Defensive
3x Def. POY",Career,681,12.5,11.6,1.3,65.4,0,63.9,65.4,21.8,94.4,0
John Stockton,"Hall of Fame
10x All Star
9x AST Champ
2x STL Champ
11x All-NBA
5x All-Defensive
1992-93 AS MVP
NBA 75th Anniv. Team",Career,1504,13.1,2.7,10.5,51.5,38.4,82.6,54.6,21.8,207.7,0
Amar'e Stoudemire,"6x All Star
5x All-NBA
2002-03 All-Rookie
2002-03 ROY",Career,846,18.9,7.8,1.2,53.7,23.6,76.1,53.8,21.8,92.5,0
Bob Lanier,"Hall of Fame
8x All Star
1970-71 All-Rookie
1973-74 AS MVP",Career,959,20.1,10.1,3.1,51.4,15.4,76.7,51.4,21.7,117.1,0
Clyde Lovellette,"Hall of Fame
4x All Star
3x NBA Champ
1955-56 All-NBA",Career,704,17,9.5,1.6,44.3,,75.7,,21.7,70.6,3
Jimmy Butler,"6x All Star
2020-21 STL Champ
5x All-NBA
5x All-Defensive
2014-15 Most Improved
2022-23 ECF MVP",Career,754,18.2,5.3,4.2,46.7,32.3,84.2,49.9,21.6,105.9,0
Harry Gallatin,"Hall of Fame
7x All Star
1953-54 TRB Champ
2x All-NBA",Career,682,13,11.9,1.8,39.8,,77.3,,21.6,78.4,0
Dominique Wilkins,"Hall of Fame
9x All Star
1985-86 Scoring Champ
7x All-NBA
1982-83 All-Rookie
NBA 75th Anniv. Team",Career,1074,24.8,6.7,2.5,46.1,31.9,81.1,47.8,21.6,117.5,0
Adrian Dantley,"Hall of Fame
6x All Star
2x Scoring Champ
2x All-NBA
1976-77 All-Rookie
1976-77 ROY",Career,955,24.3,5.7,3,54,17.1,81.8,54,21.5,134.2,0
Pau Gasol,"6x All Star
2x NBA Champ
4x All-NBA
2001-02 All-Rookie
2001-02 ROY",Career,1226,17,9.2,3.2,50.7,36.8,75.3,51.3,21.4,144.1,2
George Gervin,"Hall of Fame
12x All Star
4x Scoring Champ
7x All-NBA
1972-73 All-Rookie
2x All-ABA
1979-80 AS MVP
ABA All-Time Team
NBA 75th Anniv. Team",Career,1060,25.1,5.3,2.6,50.4,27.1,84.1,50.7,21.4,116.3,0
Artis Gilmore,"Hall of Fame
11x All Star
1975 ABA Champ
5x All-ABA
1971-72 All-Rookie
1971-72 MVP
1971-72 ROY
5x All-Defensive
1973-74 AS MVP
ABA All-Time Team",Career,1329,18.8,12.3,2.3,58.2,15,69.8,58.2,21.4,189.7,0
Dan Issel,"Hall of Fame
7x All Star
1975 ABA Champ
5x All-ABA
1970-71 All-Rookie
1970-71 ROY
1971-72 AS MVP
ABA All-Time Team",Career,1218,22.6,9.1,2.4,49.9,20.4,79.3,50,21.4,157.8,0
Dwight Howard,"8x All Star
5x TRB Champ
2x BLK Champ
2020 NBA Champ
8x All-NBA
2004-05 All-Rookie
5x All-Defensive
3x Def. POY",Career,1242,15.7,11.8,1.3,58.7,21.4,56.7,58.8,21.3,141.7,1
Alonzo Mourning,"Hall of Fame
7x All Star
2x BLK Champ
2006 NBA Champ
2x All-NBA
1992-93 All-Rookie
2x All-Defensive
2x Def. POY",Career,838,17.1,8.5,1.1,52.7,24.7,69.2,52.9,21.2,89.7,1
Arvydas Sabonis,"Hall of Fame
1995-96 All-Rookie",Career,470,12,7.3,2.1,50,32.8,78.6,51.7,21.2,47.3,0
Al Cervi,"Hall of Fame
1949-50 All-NBA",Career,202,7.9,1.8,3.2,35.9,,83.9,,21.1,21.9,0
Clyde Drexler,"Hall of Fame
10x All Star
1995 NBA Champ
5x All-NBA
NBA 75th Anniv. Team",Career,1086,20.4,6.1,5.6,47.2,31.8,78.8,49.5,21.1,135.6,1
Rick Barry,"Hall of Fame
12x All Star
1966-67 Scoring Champ
1974-75 STL Champ
1975 NBA Champ
6x All-NBA
1965-66 All-Rookie
1965-66 ROY
1966-67 AS MVP
4x All-ABA
1974-75 Finals MVP
ABA All-Time Team
NBA 75th Anniv. Team",Career,1020,24.8,6.7,4.9,45.6,29.7,89.3,46,21,128.9,1
Blake Griffin,"6x All Star
5x All-NBA
2010-11 All-Rookie
2010-11 ROY",Career,765,19,8,4,49.3,32.8,69.6,51.8,21,81.1,0
Allen Iverson,"Hall of Fame
11x All Star
4x Scoring Champ
3x STL Champ
7x All-NBA
1996-97 All-Rookie
1996-97 ROY
2x AS MVP
2000-01 MVP
NBA 75th Anniv. Team",Career,914,26.7,3.7,6.2,42.5,31.3,78,45.2,20.9,99,0
Kevin Love,"5x All Star
2010-11 TRB Champ
2016 NBA Champ
2x All-NBA
2008-09 All-Rookie
2010-11 Most Improved",Career,874,16.9,10.4,2.3,43.9,37,83,50.9,20.9,91.2,1
Maurice Stokes,"Hall of Fame
3x All Star
1956-57 TRB Champ
3x All-NBA
1955-56 ROY",Career,202,16.4,17.3,5.3,35.1,,69.8,,20.9,16.1,0
Chris Webber,"Hall of Fame
5x All Star
1998-99 TRB Champ
5x All-NBA
1993-94 All-Rookie
1993-94 ROY",Career,831,20.7,9.8,4.2,47.9,29.9,64.9,48.7,20.9,84.7,0
LaMarcus Aldridge,"7x All Star
5x All-NBA
2006-07 All-Rookie",Career,1076,19.1,8.1,1.9,49.3,32,81.3,49.9,20.7,115.7,0
John Drew,"2x All Star
1974-75 All-Rookie",Career,739,20.7,6.9,1.7,47,17.5,74.8,47.1,20.7,68.9,0
Kevin Johnson,"3x All Star
5x All-NBA
1988-89 Most Improved",Career,735,17.9,3.3,9.1,49.3,30.5,84.1,50.1,20.7,92.8,0
Bob McAdoo,"Hall of Fame
5x All Star
3x Scoring Champ
2x NBA Champ
2x All-NBA
1972-73 All-Rookie
1972-73 ROY
1974-75 MVP
NBA 75th Anniv. Team",Career,852,22.1,9.4,2.3,50.3,8.1,75.4,50.3,20.7,89.1,2
Mitchell Robinson,2018-19 All-Rookie,Career,289,8.2,7.9,0.6,71.2,-,52.9,71.2,20.7,31.4,0
Chris Bosh,"Hall of Fame
11x All Star
2x NBA Champ
2006-07 All-NBA
2003-04 All-Rookie",Career,893,19.2,8.5,2,49.4,33.5,79.9,50.6,20.6,106,2
Al Jefferson,"2013-14 All-NBA
2004-05 All-Rookie",Career,915,15.7,8.4,1.5,49.9,12.1,71.1,49.9,20.6,71,0
George Yardley,"Hall of Fame
6x All Star
1957-58 Scoring Champ
2x All-NBA",Career,472,19.2,8.9,1.7,42.2,,78,,20.6,58.5,0
Deandre Ayton,2018-19 All-Rookie,Career,303,16.7,10.4,1.6,59.7,26.3,75.5,59.9,20.5,30.9,0
Elton Brand,"2x All Star
2005-06 All-NBA
1999-00 All-Rookie
1999-00 ROY",Career,1058,15.9,8.5,2.1,50,9.5,73.6,50.1,20.5,109.6,0
Ed Macauley,"Hall of Fame
7x All Star
1958 NBA Champ
4x All-NBA
1950-51 AS MVP",Career,641,17.5,7.5,3.2,43.6,,76.1,,20.5,100.4,1
Brandon Clarke,2019-20 All-Rookie,Career,237,10.7,5.6,1.4,60.4,29,70.5,61.8,20.4,19.9,0
Kristaps Porzi??is,"1x All Star
2015-16 All-Rookie",Career,402,19.6,7.9,1.8,45.3,35.9,82.7,51.2,20.4,34.8,0
Ja Morant,"2x All Star
2021-22 All-NBA
2019-20 ROY
2019-20 All-Rookie
2021-22 Most Improved",Career,248,22.4,4.8,7.4,47.2,32.1,75.3,50.9,20.3,19.7,0
Nikola Vu?evi?,2x All Star,Career,823,17,10.5,2.8,49.6,34.8,76.4,52.4,20.3,67.2,0
John Brisker,"2x All Star
1969-70 All-Rookie
1970-71 All-ABA",Career,331,20.7,6.5,2.4,45.3,32.1,83.4,46.7,20.1,22.1,0
Shai Gilgeous-Alexander,"1x All Star
2022-23 All-NBA
2018-19 All-Rookie",Career,311,21.1,4.6,4.5,48.4,34.7,84.5,52.1,20.1,29,0
Marques Johnson,"5x All Star
3x All-NBA
1977-78 All-Rookie",Career,691,20.1,7,3.6,51.8,15.2,73.9,51.9,20.1,79.8,0
Greg Monroe,2010-11 All-Rookie,Career,646,13,8.2,2.1,51.4,5.9,70.3,51.4,20.1,50.4,0
Bam Adebayo,"2x All Star
4x All-Defensive",Career,418,14.7,8.5,3.4,55.4,12.9,75.5,55.5,20,42.8,0
Jarrett Allen,1x All Star,Career,409,12,8.9,1.4,63,18.1,70.4,63.3,20,44.4,0
Thomas Bryant,2023 NBA Champ,Career,229,10.1,5.7,1.1,59.8,36.6,75.7,63.6,20,15.7,1
Billy Cunningham,"Hall of Fame
5x All Star
1967 NBA Champ
4x All-NBA
1965-66 All-Rookie
1972-73 All-ABA
1972-73 MVP
ABA All-Time Team
NBA 75th Anniv. Team",Career,770,21.2,10.4,4.3,45.2,26.3,73,45.2,20,78.6,1
Kevin McHale,"Hall of Fame
7x All Star
3x NBA Champ
1986-87 All-NBA
1980-81 All-Rookie
6x All-Defensive
2x Sixth Man
NBA 75th Anniv. Team",Career,971,17.9,7.3,1.7,55.4,26.1,79.8,55.5,20,113,3
Steve Nash,"Hall of Fame
8x All Star
5x AST Champ
7x All-NBA
2x MVP
NBA 75th Anniv. Team",Career,1217,14.3,3,8.5,49,42.8,90.4,55.6,20,129.7,0
Brandon Roy,"3x All Star
2x All-NBA
2006-07 All-Rookie
2006-07 ROY",Career,326,18.8,4.3,4.7,45.9,34.8,80,49.2,20,37.4,0
Bill Walton,"Hall of Fame
2x All Star
1976-77 TRB Champ
1976-77 BLK Champ
2x NBA Champ
2x All-NBA
2x All-Defensive
1976-77 Finals MVP
1977-78 MVP
1985-86 Sixth Man
NBA 75th Anniv. Team",Career,468,13.3,10.5,3.4,52.1,0,66,52.1,20,39.3,
Walt Bellamy,"Hall of Fame
4x All Star
1961-62 ROY",Career,1043,20.1,13.7,2.4,51.6,,63.2,,19.9,130,
Bob Cousy,"Hall of Fame
13x All Star
8x AST Champ
6x NBA Champ
12x All-NBA
2x AS MVP
1956-57 MVP
NBA 75th Anniv. Team",Career,924,18.4,5.2,7.5,37.5,,80.3,,19.9,91.1,
Alex English,"Hall of Fame
8x All Star
1982-83 Scoring Champ
3x All-NBA",Career,1193,21.5,5.5,3.6,50.7,21.7,83.2,50.7,19.9,100.7,
Connie Hawkins,"Hall of Fame
5x All Star
1968 ABA Champ
1969-70 All-NBA
2x All-ABA
1967-68 MVP
ABA All-Time Team",Career,616,18.7,8.8,4.1,47.9,16.1,77.9,48,19.9,76.7,
Larry Nance,"3x All Star
3x All-Defensive",Career,920,17.1,8,2.6,54.6,14.5,75.5,54.6,19.9,109.6,
David Thompson,"Hall of Fame
5x All Star
2x All-NBA
1975-76 All-ABA
1975-76 All-Rookie
2x AS MVP
1975-76 ROY
ABA All-Time Team",Career,592,22.7,4.1,3.3,50.5,25.5,78.1,50.7,19.9,63.3,
Paul Arizin,"Hall of Fame
10x All Star
2x Scoring Champ
1956 NBA Champ
4x All-NBA
1951-52 AS MVP
1950-51 ROY *
NBA 75th Anniv. Team",Career,713,22.8,8.6,2.3,42.1,,81,,19.8,108.8,
Larry Foust,"8x All Star
1951-52 TRB Champ
2x All-NBA",Career,817,13.7,9.8,1.7,40.5,,74.1,,19.8,79.2,
Cliff Hagan,"Hall of Fame
6x All Star
1958 NBA Champ
2x All-NBA",Career,839,17.7,6.6,3.2,45.4,0,79.9,45.4,19.8,85.3,
Terrell Brandon,"2x All Star
1991-92 All-Rookie",Career,724,13.8,3,6.1,44.8,35.5,87.3,47.1,19.7,65.9,
Kenneth Faried,2011-12 All-Rookie,Career,478,11.4,8.1,1,54.6,22.2,65.4,54.8,19.7,38.8,
Paul Pierce,"Hall of Fame
10x All Star
2008 NBA Champ
4x All-NBA
1998-99 All-Rookie
2007-08 Finals MVP
NBA 75th Anniv. Team",Career,1343,19.7,5.6,3.5,44.5,36.8,80.6,50,19.7,150,
Jayson Tatum,"4x All Star
3x All-NBA
2017-18 All-Rookie
2021-22 ECF MVP
2022-23 AS MVP",Career,439,22.5,7,3.3,45.8,37.5,84.7,52.9,19.7,45.6,
Gilbert Arenas,"3x All Star
3x All-NBA
2002-03 Most Improved",Career,552,20.7,3.9,5.3,42.1,35.1,80.3,48.2,19.6,51.3,
John Beasley,"3x All Star
2x All-ABA
1968-69 AS MVP",Career,506,13.7,8.4,1.2,49.1,31.6,83.1,49.9,19.6,37.9,
Andrew Bynum,"1x All Star
2x NBA Champ
2011-12 All-NBA",Career,418,11.5,7.7,1.2,55.6,11.1,69,55.6,19.6,37.4,
JaVale McGee,3x NBA Champ,Career,863,7.8,5.2,0.4,57.8,19.7,60.4,57.9,19.6,43,
Donovan Mitchell,"4x All Star
2022-23 All-NBA
2017-18 All-Rookie",Career,413,24.6,4.2,4.5,44.8,36.5,83.9,52.2,19.6,37.9,
Mark Price,"4x All Star
4x All-NBA",Career,722,15.2,2.6,6.7,47.2,40.2,90.4,53,19.6,71.1,
Domantas Sabonis,"3x All Star
2022-23 TRB Champ
2022-23 All-NBA",Career,494,15.1,9.7,4.2,54.8,32.6,73.1,56.8,19.6,47.2,
Isaiah Thomas,"2x All Star
2016-17 All-NBA
2011-12 All-Rookie",Career,550,17.7,2.4,4.8,43.4,36.2,87.2,50.6,19.6,45.3,
Carmelo Anthony,"10x All Star
2012-13 Scoring Champ
6x All-NBA
2003-04 All-Rookie
NBA 75th Anniv. Team",Career,1260,22.5,6.2,2.7,44.7,35.5,81.4,48.5,19.5,108.5,
Carlos Boozer,"2x All Star
2007-08 All-NBA
2002-03 All-Rookie",Career,861,16.2,9.5,2.2,52.1,7.1,72.2,52.1,19.5,80.3,
Chris Boucher,2x NBA Champ,Career,307,9.1,5.4,0.5,48.6,33.4,78,55.2,19.5,21.5,
Sam Cassell,"1x All Star
3x NBA Champ
2003-04 All-NBA",Career,993,15.7,3.2,6,45.4,33.1,86.1,48,19.5,87.5,
Michael Redd,"1x All Star
2003-04 All-NBA",Career,629,19,3.8,2.1,44.7,38,83.8,50.3,19.5,55.9,
Paul George,"8x All Star
2018-19 STL Champ
6x All-NBA
2010-11 All-Rookie
4x All-Defensive
2012-13 Most Improved",Career,793,20.6,6.4,3.7,43.7,38.1,85,51.6,19.4,81.2,
Paul Westphal,"Hall of Fame
5x All Star
1974 NBA Champ
4x All-NBA",Career,823,15.6,1.9,4.4,50.4,27.5,82,50.6,19.4,67.7,
Cedric Ceballos,1x All Star,Career,609,14.3,5.3,1.2,50,30.9,75.3,51.8,19.3,40.4,
Clark Kellogg,1982-83 All-Rookie,Career,260,18.9,9.5,2.9,49.7,33.8,75.7,50,19.3,20.9,
Zach Randolph,"2x All Star
2010-11 All-NBA
2003-04 Most Improved",Career,1116,16.6,9.1,1.8,47.1,27.3,76.4,47.8,19.3,81.1,
Tyrese Haliburton,"1x All Star
2020-21 All-Rookie",Career,191,16.2,3.6,8,47.9,40.8,85.7,57.2,19.2,18.2,
Bernard King,"Hall of Fame
4x All Star
1984-85 Scoring Champ
4x All-NBA
1977-78 All-Rookie",Career,874,22.5,5.8,3.3,51.8,17.2,73,51.9,19.2,75.4,
Brook Lopez,"1x All Star
2021 NBA Champ
2008-09 All-Rookie
2x All-Defensive",Career,946,16.4,6.3,1.4,49.7,34.6,79.5,53,19.2,79.4,
Jusuf Nurki?,2014-15 All-Rookie,Career,463,12.3,8.6,2.3,50.2,29.2,67.1,51,19.2,26,
Robert Parish,"Hall of Fame
9x All Star
4x NBA Champ
2x All-NBA
NBA 75th Anniv. Team",Career,1611,14.5,9.1,1.4,53.7,0,72.1,53.7,19.2,147,
John Collins,2017-18 All-Rookie,Career,364,15.8,8,1.5,55.1,35.6,78.3,59.3,19.1,32.3,
