Player,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
Bob Fitzgerald,Career,78,3.1,-,0.6,19.4,,62.9,,-,-0.2
Dick Fitzgerald,Career,61,4.5,-,0.7,23.7,,68.3,,-,-0.9
Marcus Fizer,Career,289,9.6,4.6,1.2,43.5,19.1,69.1,43.9,13.4,2.7
Jerry Fleishman,Career,262,5.8,4.6,1.6,27.7,,63.8,,13.6,7.8
Al Fleming,Career,20,2.0,1.5,0.4,48.4,,58.8,,10.7,0.0
Ed Fleming,Career,292,8.6,5.2,1.9,35.9,,73.1,,14.1,9.8
Vern Fleming,Career,893,11.3,3.4,4.8,49.8,18.1,76.4,50.1,15.1,52.0
Luis Flores,Career,16,2.2,0.2,0.7,48.3,50.0,100.0,56.9,10.1,0.0
Bruce Flowers,Career,53,4.9,3.4,0.9,53.4,0.0,77.4,53.4,15.2,1.7
Sleepy Floyd,Career,957,12.8,2.6,5.4,44.4,32.4,81.5,47.0,15.5,50.6
Jonny Flynn,Career,163,9.2,1.9,3.9,40.0,33.8,80.9,44.2,11.3,-1.1
Mike Flynn,Career,211,6.2,2.1,2.2,41.9,25.3,62.9,42.9,12.1,2.8
Larry Fogle,Career,2,1.0,1.5,0.0,20.0,,-,,-0.5,0.0
Jack Foley,Career,11,4.8,1.5,0.5,39.2,,86.7,,15.6,0.1
Isaac Fontaine,Career,6,1.8,0.8,0.7,21.4,20.0,66.7,25.0,-0.9,-0.2
Levi Fontaine,Career,35,3.8,0.4,0.6,36.6,,75.7,,12.1,-0.3
Jeff Foote,Career,4,1.0,1.5,0.0,33.3,-,-,33.3,-0.9,-0.1
Gary Forbes,Career,111,5.8,2.0,0.9,43.4,34.0,70.2,47.8,12.4,1.7
Aleem Ford,Career,5,2.8,3.0,0.4,30.0,13.3,-,35.0,0.5,-0.2
Alphonso Ford,Career,11,3.2,1.8,0.9,30.8,10.0,50.0,31.7,4.4,-0.4
Alton Ford,Career,73,2.5,1.7,0.2,50.7,-,69.7,50.7,9.4,0.8
Bob Ford,Career,9,1.6,1.3,0.4,29.4,-,80.0,29.4,2.8,-0.1
Chris Ford,Career,794,9.2,3.0,3.4,46.0,37.5,73.1,46.9,12.2,35.6
Don Ford,Career,474,6.4,3.6,1.4,46.4,14.3,77.3,46.4,10.8,12.7
Jake Ford,Career,31,4.1,0.6,1.1,46.2,,76.4,,15.4,0.7
Phil Ford,Career,482,11.6,1.8,6.4,46.7,21.0,82.0,46.9,13.9,23.3
Sharrod Ford,Career,3,1.3,1.0,0.0,66.7,-,-,66.7,0.6,0.0
Sherell Ford,Career,28,3.2,0.9,0.2,37.5,16.0,76.5,40.0,16.4,0.4
T.J. Ford,Career,429,11.2,3.1,5.8,43.3,28.9,81.5,44.8,15.1,16.9
Donnie Forman,Career,44,4.1,-,1.7,29.4,,64.2,,-,0.8
Bayard Forrest,Career,139,4.1,4.1,2.1,44.9,,50.9,,10.6,2.7
Joseph Forte,Career,25,1.2,0.7,0.7,23.4,0.0,80.0,23.4,3.2,-0.4
Courtney Fortson,Career,10,3.5,1.5,1.0,34.4,23.1,66.7,39.1,9.9,0.0
Danny Fortson,Career,440,8.2,7.2,0.7,47.2,16.7,78.5,47.2,16.2,22.3
Fred Foster,Career,524,7.8,2.4,1.1,41.4,,72.7,,10.7,2.9
Greg Foster,Career,656,3.9,2.6,0.5,44.0,22.5,74.8,44.4,8.9,5.6
Jeff Foster,Career,764,4.9,6.9,0.9,49.7,13.0,61.5,49.8,14.2,47.5
Jimmy Foster,Career,89,3.7,1.3,2.1,37.3,7.1,67.3,37.4,5.3,-1.4
Rod Foster,Career,207,7.5,1.2,2.3,44.0,29.8,76.8,46.5,10.9,2.2
Antonis Fotsis,Career,28,3.9,2.2,0.4,40.4,30.4,85.0,43.8,11.3,0.1
Larry Foust,Career,817,13.7,9.8,1.7,40.5,,74.1,,19.8,79.2
Calvin Fowler,Career,78,4.4,2.2,1.6,45.5,41.2,62.2,46.7,9.1,2.1
Jerry Fowler,Career,6,1.5,1.7,0.3,30.8,,25.0,,3.9,-0.1
Tremaine Fowlkes,Career,103,2.9,2.2,0.5,40.9,20.0,79.1,41.6,10.1,2.1
Harold Fox,Career,10,3.1,0.8,1.0,37.5,,87.5,,10.0,0.0
Jim Fox,Career,743,9.3,7.4,1.6,47.9,,77.0,,15.2,41.8
Rick Fox,Career,930,9.6,3.8,2.8,45.0,34.9,77.0,50.1,13.6,44.7
Randy Foye,Career,752,10.3,2.2,2.8,40.1,36.6,85.2,48.2,12.0,23.5
Adonal Foyle,Career,733,4.1,4.7,0.5,47.7,0.0,49.9,47.7,12.3,18.7
Richie Frahm,Career,140,3.6,1.2,0.6,41.1,35.6,81.0,52.1,12.0,2.8
Steve Francis,Career,576,18.1,5.6,6.0,42.9,34.1,79.7,46.3,18.3,54.1
Tellis Frank,Career,264,6.5,3.9,1.0,43.9,0.0,74.1,43.9,10.3,4.0
Nat Frankel,Career,6,2.7,-,0.5,14.8,,66.7,,-,-0.2
Bill Franklin,Career,107,6.1,3.7,0.6,41.5,25.0,60.1,41.7,11.3,0.2
Jamaal Franklin,Career,24,1.8,1.0,0.4,41.5,46.2,100.0,48.8,4.7,0.0
Robert Franks,Career,7,6.1,2.0,0.7,46.4,33.3,92.3,55.4,16.5,0.3
Ron Franz,Career,403,11.7,5.3,1.7,44.7,27.9,70.3,45.4,14.2,18.1
Melvin Frazier,Career,32,2.7,0.9,0.2,34.0,20.9,53.3,38.3,4.2,-0.4
Michael Frazier,Career,13,2.1,0.8,0.2,24.1,17.4,64.3,31.0,-0.9,-0.2
Tim Frazier,Career,289,4.9,2.3,4.0,40.0,32.3,72.3,45.1,11.3,6.3
Walt Frazier,Career,825,18.9,5.9,6.1,49.0,0.0,78.6,49.0,19.1,113.5
Will Frazier,Career,153,9.8,7.1,1.1,41.5,50.0,61.0,41.5,14.8,4.6
Anthony Frederick,Career,147,4.9,1.9,0.9,43.9,27.3,69.9,44.3,12.3,0.7
Jimmer Fredette,Career,241,6.0,1.0,1.4,40.9,37.2,87.9,48.4,12.5,2.2
World B. Free,Career,886,20.3,2.7,3.7,45.6,33.7,75.3,46.3,18.8,67.7
Enes Freedom,Career,748,11.2,7.8,0.9,54.8,28.9,77.7,55.1,20.8,52.8
Joel Freeland,Career,151,3.2,3.4,0.4,45.9,0.0,72.8,45.9,11.1,3.2
Donnie Freeman,Career,648,18.9,3.5,3.5,45.6,15.1,80.0,45.7,18.2,58.0
Gary Freeman,Career,52,3.2,2.0,0.7,51.5,,72.5,,15.0,1.2
Rod Freeman,Career,35,3.0,1.5,0.4,37.9,,68.3,,10.9,0.0
Matt Freije,Career,42,3.2,2.0,0.6,29.3,22.4,71.4,34.0,4.6,-0.6
Frido Frey,Career,23,3.8,-,0.6,28.9,,57.1,,-,1.2
Larry Friend,Career,44,4.0,2.4,1.1,32.7,,65.9,,7.7,-0.4
Pat Frink,Career,48,2.6,0.9,1.1,34.0,,79.3,,7.9,-0.5
Jim Fritsche,Career,84,3.9,3.0,0.9,30.9,,73.8,,7.8,-1.6
Channing Frye,Career,890,8.7,4.5,1.0,44.0,38.8,82.2,51.9,13.3,38.9
Bernie Fryer,Career,120,6.3,1.9,3.0,44.7,0.0,78.6,44.7,11.9,2.0
Frank Fucarino,Career,28,5.0,-,0.3,26.8,,56.7,,-,0.4
Herm Fuetsch,Career,42,2.6,-,0.4,30.0,,62.5,,-,0.9
Joe Fulks,Career,489,16.4,5.3,1.2,30.2,,76.6,,10.9,29.2
Carl Fuller,Career,76,5.7,4.7,0.8,45.6,0.0,60.0,45.6,10.1,1.3
Hiram Fuller,Career,4,2.0,2.8,0.5,37.5,-,33.3,37.5,3.6,-0.1
Todd Fuller,Career,225,3.7,3.0,0.2,42.2,0.0,66.8,42.2,10.3,2.2
Tony Fuller,Career,15,4.0,2.8,1.9,36.4,0.0,75.0,36.4,6.9,-0.1
Lawrence Funderburke,Career,318,6.4,3.6,0.6,50.6,11.8,67.5,50.6,16.4,12.9
Terry Furlow,Career,239,10.7,2.1,2.4,45.9,29.3,86.2,46.5,16.2,7.3
Bill Gabor,Career,307,9.8,1.8,2.0,34.4,,73.7,,12.9,11.2
Dan Gadzuric,Career,527,4.7,4.4,0.4,50.0,0.0,49.8,50.0,14.4,15.8
Deng Gai,Career,2,0.0,0.0,0.0,-,-,-,-,0.0,0.0
Elmer Gainer,Career,20,1.5,-,0.5,22.7,,64.3,,-,-0.3
Bill Gaines,Career,1,2.0,1.0,0.0,50.0,-,-,50.0,7.6,0.0
Corey Gaines,Career,80,3.1,0.9,3.1,42.4,22.9,73.6,44.9,10.8,1.1
Reece Gaines,Career,71,1.7,0.7,0.7,32.4,26.9,60.6,34.8,5.3,-0.6
Smokey Gaines,Career,3,3.3,3.3,0.0,25.0,100.0,50.0,28.1,4.8,-0.1
Sundiata Gaines,Career,113,4.5,1.5,1.8,39.7,30.1,56.2,44.5,14.5,1.4
Mike Gale,Career,842,7.4,2.9,3.7,46.4,18.7,78.1,46.6,12.4,34.6
Chad Gallagher,Career,2,3.0,0.0,0.0,100.0,-,-,100.0,66.8,0.1
Harry Gallatin,Career,682,13.0,11.9,1.8,39.8,,77.3,,21.6,78.4
Gene Gallette,Career,14,0.6,-,0.1,9.1,,66.7,,-,0.2
Danilo Gallinari,Career,728,15.6,4.8,1.9,42.8,38.2,87.7,51.6,16.9,64.1
Langston Galloway,Career,452,8.1,2.4,1.6,39.7,36.8,81.6,49.4,11.4,14.4
Dave Gambee,Career,750,10.6,5.2,1.0,42.0,,82.2,,15.2,35.9
Kevin Gamble,Career,649,9.5,2.2,2.0,50.2,36.0,81.0,52.4,14.2,33.3
Bob Gantt,Career,23,3.1,-,0.2,32.6,,46.4,,-,1.3
Jorge Garbajosa,Career,74,8.0,4.7,1.7,41.5,34.4,73.1,48.0,12.0,3.0
Rubén Garcés,Career,13,1.2,2.2,0.4,31.8,-,25.0,31.8,9.7,0.0
Alex Garcia,Career,10,4.7,1.5,1.8,32.2,27.8,66.7,36.4,7.4,-0.1
Francisco García,Career,549,7.9,2.6,1.4,42.7,35.7,79.9,50.7,12.3,18.2
Chuck Gardner,Career,42,4.7,3.2,0.3,40.6,0.0,69.6,40.6,10.4,1.0
Earl Gardner,Career,50,1.8,-,0.4,37.6,,46.4,,-,0.7
Ken Gardner,Career,9,1.6,1.4,0.3,33.3,-,100.0,33.3,10.1,0.1
Thomas Gardner,Career,20,2.3,0.6,0.2,30.5,20.0,33.3,36.4,2.4,-0.4
Vern Gardner,Career,151,8.9,4.0,1.6,34.4,,74.8,,11.2,7.4
Jack Garfinkel,Career,92,5.2,-,1.5,27.5,,70.5,,-,0.9
Patricio Garino,Career,5,0.0,1.4,0.0,0.0,0.0,-,0.0,-9.2,-0.2
Gary Garland,Career,78,4.3,1.8,1.9,43.5,31.6,69.2,44.4,10.2,0.5
Winston Garland,Career,511,9.4,2.8,4.7,43.0,28.1,83.0,43.8,12.5,14.2
Dick Garmaker,Career,421,13.3,4.2,2.6,40.3,,78.7,,14.2,25.6
Bill Garner,Career,53,1.5,2.2,0.5,27.2,0.0,50.0,27.2,-1.2,-0.7
Chris Garner,Career,46,1.6,0.8,1.4,28.0,19.0,61.5,29.9,4.1,-0.8
Bill Garnett,Career,300,5.5,4.3,1.3,49.0,0.0,72.0,49.0,12.3,10.8
Kevin Garnett,Career,1462,17.8,10.0,3.7,49.7,27.5,78.9,50.1,22.7,191.4
Marlon Garnett,Career,24,2.1,0.9,0.8,29.4,26.1,75.0,35.3,6.5,0.0
Billy Garrett,Career,4,6.5,0.8,1.8,40.7,0.0,100.0,40.7,9.8,0.0
Calvin Garrett,Career,166,5.2,2.6,1.5,45.7,30.0,76.7,46.1,8.9,2.6
Dean Garrett,Career,359,4.8,5.0,0.6,48.0,-,67.7,48.0,13.3,14.1
Diante Garrett,Career,90,3.2,1.2,1.7,37.3,35.1,68.2,43.5,7.3,-1.0
Dick Garrett,Career,339,10.3,3.0,2.5,42.3,,86.3,,10.8,6.0
Marcus Garrett,Career,12,1.1,1.9,0.6,23.8,25.0,40.0,26.2,4.7,0.1
Rowland Garrett,Career,263,5.1,2.3,0.4,44.1,,77.2,,13.4,5.4
Tom Garrick,Career,251,5.4,2.0,3.4,46.9,8.3,77.5,47.1,11.6,5.9
John Garris,Career,33,4.0,2.3,0.3,51.0,-,79.4,51.0,18.5,0.9
Kiwane Lemorris Garris,Career,31,2.3,0.6,1.0,32.0,33.3,76.0,35.3,7.5,-0.2
Pat Garrity,Career,552,7.3,2.6,0.8,41.7,39.8,80.6,50.6,10.7,18.7
Jim Garvin,Career,6,0.3,0.8,0.0,25.0,,-,,3.9,0.0
Marc Gasol,Career,891,14.0,7.4,3.4,48.1,36.0,77.6,50.3,18.0,85.3
Pau Gasol,Career,1226,17.0,9.2,3.2,50.7,36.8,75.3,51.3,21.4,144.1
Frank Gates,Career,64,4.5,-,1.4,28.1,,62.2,,-,1.3
Chris Gatling,Career,700,10.3,5.3,0.7,51.3,24.9,66.0,51.7,17.6,32.1
Kenny Gattison,Career,494,7.9,4.7,0.9,52.0,8.3,64.9,52.0,13.0,16.9
Ed Gayda,Career,15,3.7,2.6,0.9,41.3,,75.0,,-,0.6
Andrew Gaze,Career,26,1.7,0.5,0.4,38.1,37.5,100.0,48.8,9.6,0.1
Michael Gbinije,Career,9,0.4,0.3,0.2,10.0,0.0,100.0,10.0,-2.1,-0.1
Reggie Geary,Career,101,2.1,0.8,1.1,34.4,32.8,49.3,38.8,7.3,0.6
Alonzo Gee,Career,417,6.6,3.3,1.1,43.4,32.5,75.4,47.4,10.7,9.7
Matt Geiger,Career,552,9.2,5.7,0.7,49.9,23.2,72.8,50.1,15.2,28.4
Mickaël Gelabale,Career,145,4.6,2.3,0.8,47.0,31.6,81.5,50.8,10.5,3.0
Devean George,Career,630,5.6,3.1,0.9,39.2,34.3,72.1,45.6,10.6,18.2
Jack George,Career,506,10.2,4.2,4.3,36.4,,70.4,,12.3,17.7
Tate George,Career,177,4.2,1.0,1.8,41.4,7.1,82.0,41.5,10.7,1.3
Marcus Georges-Hunt,Career,47,1.6,0.5,0.2,41.8,29.4,71.0,46.4,7.5,0.3
Gus Gerard,Career,446,8.4,4.1,1.3,43.8,27.3,69.6,43.9,13.8,11.1
Derrick Gervin,Career,77,8.8,2.3,0.5,43.5,22.6,76.4,44.1,16.3,2.1
George Gervin,Career,1060,25.1,5.3,2.6,50.4,27.1,84.1,50.7,21.4,116.3
Gorham Getchell,Career,16,0.3,-,0.0,0.0,,100.0,,-,-0.1
John Gianelli,Career,541,7.8,5.9,1.5,47.0,-,70.2,47.0,11.7,23.0
Dick Gibbs,Career,333,5.2,1.9,0.8,40.2,,79.9,,9.8,2.6
Daniel Gibson,Career,397,7.8,2.0,2.0,40.2,40.7,78.0,51.2,10.8,16.0
Dee Gibson,Career,44,6.4,-,2.9,31.4,,71.8,,-,2.7
Hoot Gibson,Career,32,5.5,-,1.2,34.4,,65.6,,-,0.0
Jonathan Gibson,Career,21,6.7,1.2,1.4,41.5,36.8,72.4,50.4,11.8,0.0
Mel Gibson,Career,9,1.4,0.4,0.7,30.0,,50.0,,2.5,-0.1
Mike Gibson,Career,64,1.6,1.7,0.2,38.7,-,67.9,38.7,8.6,0.3
J.R. Giddens,Career,38,1.9,1.4,0.3,47.6,0.0,56.5,47.6,9.7,0.1
Trey Gilder,Career,2,1.0,0.5,0.0,100.0,-,-,100.0,30.9,0.0
Harry Giles,Career,142,5.9,3.8,1.2,51.1,25.8,67.1,51.7,14.8,3.0
Eddie Gill,Career,187,3.1,1.1,1.2,36.1,32.0,84.7,42.4,9.9,1.9
Kendall Gill,Career,966,13.4,4.1,3.0,43.4,30.0,75.4,44.8,14.7,47.8
Ben Gillery,Career,24,1.0,1.0,0.1,31.6,-,56.5,31.6,5.0,0.0
Freddie Gillespie,Career,29,4.6,4.6,0.5,50.0,0.0,65.0,50.0,12.5,1.1
Jack Gillespie,Career,2,1.0,3.5,0.0,0.0,-,100.0,0.0,0.8,-0.1
Armen Gilliam,Career,929,13.7,6.9,1.2,48.9,0.0,77.6,48.9,16.4,58.1
Herm Gilliam,Career,578,10.8,3.8,3.8,44.1,,79.2,,13.8,20.8
Artis Gilmore,Career,1329,18.8,12.3,2.3,58.2,15.0,69.8,58.2,21.4,189.7
Walt Gilmore,Career,27,2.1,2.7,0.4,42.6,,46.2,,6.4,0.2
Chuck Gilmur,Career,239,5.8,4.7,1.5,32.5,,60.9,,-,15.1
Manu Ginóbili,Career,1057,13.3,3.5,3.8,44.7,36.9,82.7,52.0,20.2,106.4
Gordan Giriček,Career,384,9.6,2.5,1.5,44.2,36.8,82.3,48.6,11.8,8.0
Jack Givens,Career,156,6.7,2.9,0.9,40.1,0.0,79.1,40.1,12.3,4.3
Mickell Gladness,Career,26,2.2,2.2,0.2,42.4,-,50.0,42.4,9.5,0.2
George Glamack,Career,11,9.3,-,1.7,24.8,,76.4,,-,0.2
Gerald Glass,Career,201,7.7,2.5,1.5,43.3,23.6,64.3,44.2,13.3,1.8
Mike Glenn,Career,593,7.6,1.2,1.6,54.2,28.6,85.5,54.3,15.1,25.3
Normie Glick,Career,1,2.0,-,0.0,100.0,,-,,-,0.1
Georgi Glouchkov,Career,49,4.9,3.3,0.7,40.2,100.0,57.4,40.4,5.7,-0.5
Clarence Glover,Career,25,2.6,1.8,0.2,45.5,,46.9,,14.0,0.3
Dion Glover,Career,294,8.2,3.1,1.5,41.1,31.7,75.6,44.5,12.8,5.8
Andreas Glyniadakis,Career,13,1.3,0.6,0.1,47.1,-,50.0,47.1,-3.3,-0.2
Mike Gminski,Career,938,11.7,6.9,1.3,46.5,12.2,84.3,46.5,16.3,55.9
Dan Godfread,Career,11,1.2,0.2,0.0,41.7,0.0,75.0,41.7,18.5,0.1
Tom Gola,Career,698,11.3,8.0,4.2,43.1,,76.0,,14.2,53.2
Ben Goldfaden,Career,2,1.0,-,0.0,0.0,,50.0,,-,0.0
Anthony Goldwire,Career,266,6.3,1.3,2.8,40.7,38.6,79.2,47.9,12.7,6.4
Ryan Gomes,Career,487,10.1,4.6,1.5,44.5,34.9,79.9,48.4,12.5,19.4
Glen Gondrezick,Career,435,5.8,4.5,1.4,47.3,14.3,72.4,47.4,13.7,15.9
Grant Gondrezick,Career,91,5.0,1.6,1.3,43.8,25.0,68.7,44.7,11.1,0.8
Drew Gooden,Career,790,11.0,7.1,1.1,46.2,25.7,76.0,46.8,16.3,43.9
Gail Goodrich,Career,1031,18.6,3.2,4.7,45.6,,80.7,,16.7,76.3
Steve Goodrich,Career,21,1.1,1.2,0.5,32.1,33.3,55.6,33.9,2.7,-0.2
Archie Goodwin,Career,165,6.3,2.0,1.2,42.9,23.6,70.0,45.5,11.6,1.1
Brandon Goodwin,Career,133,4.7,1.6,1.9,39.0,31.5,73.0,45.7,10.6,1.0
Pop Goodwin,Career,79,4.4,-,0.3,26.6,,77.5,,-,0.4
Ben Gordon,Career,744,14.9,2.5,2.5,43.2,40.1,85.7,49.7,14.9,33.3
Drew Gordon,Career,9,1.9,2.0,0.2,42.1,0.0,50.0,42.1,3.7,-0.1
Lancaster Gordon,Career,201,5.6,1.3,1.5,39.1,27.1,76.7,40.0,9.4,-2.7
Paul Gordon,Career,4,0.8,-,0.8,0.0,,60.0,,-,-0.1
Marcin Gortat,Career,806,9.9,7.9,1.1,55.1,15.0,68.0,55.2,17.1,61.3
Leo Gottlieb,Career,84,5.5,-,0.4,28.8,,64.5,,-,1.8
Andrew Goudelock,Career,49,4.0,0.7,0.5,39.3,34.5,87.5,46.7,8.6,0.0
Gerald Govan,Career,681,7.7,10.5,3.2,40.5,20.8,67.8,40.6,10.2,27.0
Bato Govedarica,Career,23,3.3,0.8,1.0,31.6,,67.6,,7.2,0.2
Joe Graboski,Career,845,11.0,8.1,1.8,35.2,,70.0,,13.8,25.3
Ricky Grace,Career,3,1.3,0.3,0.3,66.7,-,0.0,66.7,10.8,0.0
Calvin Graham,Career,8,1.6,1.3,0.0,28.6,-,62.5,28.6,2.2,0.0
Greg Graham,Career,207,4.5,1.1,1.0,40.7,29.0,77.5,43.7,10.6,1.3
Joey Graham,Career,377,5.9,2.8,0.5,48.3,30.0,81.5,49.8,11.0,7.8
Mal Graham,Career,70,4.7,1.7,1.1,39.8,,65.7,,8.3,0.8
Orlando Graham,Career,7,1.1,1.6,0.0,30.0,-,50.0,30.0,6.7,0.0
Paul Graham,Career,179,8.4,2.4,2.0,44.8,33.9,73.9,48.7,13.7,5.7
Stephen Graham,Career,239,4.0,1.8,0.5,44.6,30.8,76.6,47.7,8.2,1.7
Treveon Graham,Career,180,4.2,2.2,0.8,38.3,33.3,69.1,47.0,7.6,2.8
Jim Grandholm,Career,26,3.0,1.9,0.3,51.7,52.9,47.6,59.5,16.5,0.4
Ron Grandison,Career,105,2.4,1.6,0.6,40.4,16.7,71.3,41.3,9.8,1.2
Danny Granger,Career,586,16.8,4.9,1.9,43.4,38.0,84.8,50.0,16.9,48.5
Stewart Granger,Career,80,4.0,1.0,2.2,41.4,23.5,74.2,42.1,8.4,-0.1
Brian Grant,Career,756,10.5,7.4,1.2,49.0,21.4,74.6,49.1,14.9,54.5
Bud Grant,Career,96,2.6,1.9,0.9,31.8,,59.0,,-,1.1
Gary Grant,Career,552,7.9,2.3,5.5,45.0,27.8,77.6,46.2,13.4,12.0
Greg Grant,Career,274,2.8,0.9,2.7,38.3,28.1,71.0,40.8,9.9,1.6
Harvey Grant,Career,783,9.9,4.4,1.6,46.9,26.7,70.9,47.3,12.7,36.4
Horace Grant,Career,1165,11.2,8.1,2.2,50.9,6.3,69.2,50.9,16.0,118.2
Jerian Grant,Career,279,6.1,1.9,2.9,41.1,32.3,77.0,47.2,12.5,8.3
Josh Grant,Career,53,3.0,1.7,0.5,40.4,27.9,75.9,46.2,11.7,0.5
Paul Grant,Career,16,1.8,1.1,0.2,44.8,-,37.5,44.8,4.0,-0.1
Travis Grant,Career,201,13.8,4.1,1.0,52.4,33.3,81.1,52.5,18.7,11.6
Donte Grantham,Career,3,0.0,0.0,0.0,0.0,0.0,-,0.0,-38.1,0.0
Don Grate,Career,2,2.0,-,1.5,16.7,,100.0,,-,0.0
Butch Graves,Career,4,1.3,0.5,0.3,33.3,0.0,20.0,33.3,-0.8,-0.1
Hassani Gravett,Career,8,6.3,2.6,2.5,47.4,42.3,75.0,61.8,10.1,0.3
Aaron Gray,Career,318,3.4,3.7,0.7,50.9,0.0,56.2,50.9,11.5,6.2
Devin Gray,Career,27,2.5,1.4,0.3,36.5,-,61.8,36.5,11.3,0.1
Ed Gray,Career,60,6.2,1.2,0.8,33.9,34.1,81.4,37.8,9.6,0.1
Evric Gray,Career,5,2.6,0.6,0.4,26.7,25.0,100.0,30.0,2.8,-0.1
Gary Gray,Career,44,2.4,0.5,0.6,36.6,,70.0,,5.4,-0.5
Josh Gray,Career,7,4.9,1.7,2.0,27.9,23.1,63.6,31.4,4.7,-0.3
Leonard Gray,Career,224,10.8,5.2,2.2,46.9,,73.9,,12.7,9.9
Stuart Gray,Career,386,2.3,2.6,0.4,44.6,0.0,66.3,44.6,8.6,3.3
Sylvester Gray,Career,55,8.0,5.2,2.1,42.0,25.0,67.3,42.1,11.2,0.7
Wyndol Gray,Career,67,5.4,-,0.7,28.3,,57.0,,-,2.0
Jeff Grayer,Career,438,7.4,3.0,1.4,45.7,25.5,66.3,46.3,12.0,9.0
Bob Greacen,Career,47,2.4,1.4,0.9,37.4,-,60.0,37.4,7.9,-0.1
A.C. Green,Career,1278,9.6,7.4,1.1,49.4,25.4,73.4,50.1,14.4,99.5
Devin Green,Career,27,0.9,0.9,0.3,21.4,0.0,61.9,21.4,4.7,-0.1
Erick Green,Career,52,3.1,0.7,0.8,37.7,28.8,85.7,42.0,9.3,0.1
Gerald Green,Career,658,9.7,2.5,0.9,41.7,36.1,81.8,50.4,13.0,18.4
Johnny Green,Career,1057,11.6,8.6,1.4,49.3,,55.3,,17.1,58.0
Ken Green,Career,7,4.4,3.9,0.3,48.1,-,55.6,48.1,19.3,0.3
Kenny Green,Career,60,4.4,1.7,0.3,41.2,0.0,72.1,41.2,8.1,-0.3
Lamar Green,Career,411,5.2,6.2,0.8,43.0,-,66.0,43.0,10.6,7.4
Litterial Green,Career,148,2.9,0.5,1.2,42.0,7.7,66.5,42.3,11.6,1.6
Luther Green,Career,90,4.3,3.6,0.3,38.3,0.0,50.7,38.3,10.5,-0.5
Mike Green,Career,459,11.5,6.9,1.3,48.0,8.3,73.2,48.0,16.3,27.6
Rickey Green,Career,946,9.4,1.9,5.5,46.9,20.7,80.7,47.1,15.3,47.2
Sean Green,Career,84,4.2,1.0,0.5,38.6,24.6,62.0,40.5,9.7,-1.3
Si Green,Career,504,9.2,4.3,3.3,38.7,,67.6,,11.2,11.1
Sidney Green,Career,679,7.5,6.1,0.9,45.4,3.7,73.8,45.5,12.1,17.4
Steve Green,Career,205,5.8,2.4,0.8,44.1,0.0,73.0,44.1,12.0,3.4
Taurean Green,Career,17,1.6,0.6,0.6,28.0,18.2,91.7,32.0,7.0,-0.1
Tommie Green,Career,59,3.9,1.2,2.4,38.8,,76.2,,8.3,-0.3
Willie Green,Career,731,8.3,1.8,1.4,42.5,34.6,76.5,47.1,11.0,12.9
Donté Greene,Career,253,6.1,2.4,0.7,40.6,30.4,70.1,46.3,10.0,1.5
