Player,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,championship
Dirk Nowitzki,Career,1522,20.7,7.5,2.4,47.1,38,87.9,51.2,22.4,206.3,1
Montrezl Harrell,Career,515,12.1,5,1.3,61.9,10.8,66.4,62,22.3,42.9,0
Robert Williams,Career,209,7.3,6.9,1.4,73.2,0,65.6,73.2,22.3,22.2,0
Clint Capela,Career,536,12.4,10.7,1,62.7,0,53.3,62.7,22.2,60.1,0
Russell Westbrook,Career,1094,22.4,7.3,8.4,43.8,30.5,77.8,46.9,22.2,108.4,0
Trae Young,Career,353,25.5,3.7,9.3,43.7,35.1,87.6,50.5,22.2,33,0
Tracy McGrady,Career,938,19.6,5.6,4.4,43.5,33.8,74.6,47,22.1,97.3,0
Dolph Schayes,Career,996,18.5,12.1,3.1,38,,84.9,,22.1,142.4,1
DeMarcus Cousins,Career,654,19.6,10.2,3,46,33.1,73.7,48.1,22,46.8,0
Moses Malone,Career,1455,20.3,12.3,1.3,49.5,9.6,76,49.5,22,179.1,1
Andre Drummond,Career,785,13.2,12.7,1.3,54.2,12.8,47.5,54.3,21.8,70.5,0
Rudy Gobert,Career,681,12.5,11.6,1.3,65.4,0,63.9,65.4,21.8,94.4,0
John Stockton,Career,1504,13.1,2.7,10.5,51.5,38.4,82.6,54.6,21.8,207.7,0
Amar'e Stoudemire,Career,846,18.9,7.8,1.2,53.7,23.6,76.1,53.8,21.8,92.5,0
Bob Lanier,Career,959,20.1,10.1,3.1,51.4,15.4,76.7,51.4,21.7,117.1,0
Clyde Lovellette,Career,704,17,9.5,1.6,44.3,,75.7,,21.7,70.6,3
Jimmy Butler,Career,754,18.2,5.3,4.2,46.7,32.3,84.2,49.9,21.6,105.9,0
Harry Gallatin,Career,682,13,11.9,1.8,39.8,,77.3,,21.6,78.4,0
Dominique Wilkins,Career,1074,24.8,6.7,2.5,46.1,31.9,81.1,47.8,21.6,117.5,0
Adrian Dantley,Career,955,24.3,5.7,3,54,17.1,81.8,54,21.5,134.2,0
Pau Gasol,Career,1226,17,9.2,3.2,50.7,36.8,75.3,51.3,21.4,144.1,2
George Gervin,Career,1060,25.1,5.3,2.6,50.4,27.1,84.1,50.7,21.4,116.3,0
Artis Gilmore,Career,1329,18.8,12.3,2.3,58.2,15,69.8,58.2,21.4,189.7,0
Dan Issel,Career,1218,22.6,9.1,2.4,49.9,20.4,79.3,50,21.4,157.8,0
Dwight Howard,Career,1242,15.7,11.8,1.3,58.7,21.4,56.7,58.8,21.3,141.7,1
Alonzo Mourning,Career,838,17.1,8.5,1.1,52.7,24.7,69.2,52.9,21.2,89.7,1
Arvydas Sabonis,Career,470,12,7.3,2.1,50,32.8,78.6,51.7,21.2,47.3,0
Al Cervi,Career,202,7.9,1.8,3.2,35.9,,83.9,,21.1,21.9,0
Clyde Drexler,Career,1086,20.4,6.1,5.6,47.2,31.8,78.8,49.5,21.1,135.6,1
Rick Barry,Career,1020,24.8,6.7,4.9,45.6,29.7,89.3,46,21,128.9,1
Blake Griffin,Career,765,19,8,4,49.3,32.8,69.6,51.8,21,81.1,0
Allen Iverson,Career,914,26.7,3.7,6.2,42.5,31.3,78,45.2,20.9,99,0
Kevin Love,Career,874,16.9,10.4,2.3,43.9,37,83,50.9,20.9,91.2,1
Maurice Stokes,Career,202,16.4,17.3,5.3,35.1,,69.8,,20.9,16.1,0
Chris Webber,Career,831,20.7,9.8,4.2,47.9,29.9,64.9,48.7,20.9,84.7,0
LaMarcus Aldridge,Career,1076,19.1,8.1,1.9,49.3,32,81.3,49.9,20.7,115.7,0
John Drew,Career,739,20.7,6.9,1.7,47,17.5,74.8,47.1,20.7,68.9,0
Kevin Johnson,Career,735,17.9,3.3,9.1,49.3,30.5,84.1,50.1,20.7,92.8,0
Bob McAdoo,Career,852,22.1,9.4,2.3,50.3,8.1,75.4,50.3,20.7,89.1,2
Mitchell Robinson,Career,289,8.2,7.9,0.6,71.2,-,52.9,71.2,20.7,31.4,0
Chris Bosh,Career,893,19.2,8.5,2,49.4,33.5,79.9,50.6,20.6,106,2
Al Jefferson,Career,915,15.7,8.4,1.5,49.9,12.1,71.1,49.9,20.6,71,0
George Yardley,Career,472,19.2,8.9,1.7,42.2,,78,,20.6,58.5,0
Deandre Ayton,Career,303,16.7,10.4,1.6,59.7,26.3,75.5,59.9,20.5,30.9,0
Elton Brand,Career,1058,15.9,8.5,2.1,50,9.5,73.6,50.1,20.5,109.6,0
Ed Macauley,Career,641,17.5,7.5,3.2,43.6,,76.1,,20.5,100.4,1
Brandon Clarke,Career,237,10.7,5.6,1.4,60.4,29,70.5,61.8,20.4,19.9,0
Kristaps Porzi??is,Career,402,19.6,7.9,1.8,45.3,35.9,82.7,51.2,20.4,34.8,0
Ja Morant,Career,248,22.4,4.8,7.4,47.2,32.1,75.3,50.9,20.3,19.7,0
Nikola Vu?evi?,Career,823,17,10.5,2.8,49.6,34.8,76.4,52.4,20.3,67.2,0
John Brisker,Career,331,20.7,6.5,2.4,45.3,32.1,83.4,46.7,20.1,22.1,0
Shai Gilgeous-Alexander,Career,311,21.1,4.6,4.5,48.4,34.7,84.5,52.1,20.1,29,0
Marques Johnson,Career,691,20.1,7,3.6,51.8,15.2,73.9,51.9,20.1,79.8,0
Greg Monroe,Career,646,13,8.2,2.1,51.4,5.9,70.3,51.4,20.1,50.4,0
Bam Adebayo,Career,418,14.7,8.5,3.4,55.4,12.9,75.5,55.5,20,42.8,0
Jarrett Allen,Career,409,12,8.9,1.4,63,18.1,70.4,63.3,20,44.4,0
Thomas Bryant,Career,229,10.1,5.7,1.1,59.8,36.6,75.7,63.6,20,15.7,1
Billy Cunningham,Career,770,21.2,10.4,4.3,45.2,26.3,73,45.2,20,78.6,1
Kevin McHale,Career,971,17.9,7.3,1.7,55.4,26.1,79.8,55.5,20,113,3
Steve Nash,Career,1217,14.3,3,8.5,49,42.8,90.4,55.6,20,129.7,0
Brandon Roy,Career,326,18.8,4.3,4.7,45.9,34.8,80,49.2,20,37.4,0
