,Season,Lg,Player,G,Tm
342,,,Ben Wallace*,82,DET
343,,,Damien Wilkins,82,SEA
344,2004-05,NBA,Casey Jacobsen,84,TOT
345,2003-04,NBA,Shareef Abdur-Rahim,85,TOT
346,,,Theo Ratliff,85,TOT
347,2002-03,NBA,James Posey,83,TOT
348,2001-02,NBA,Bo Outlaw,83,TOT
349,,,Jalen Rose,83,TOT
350,2000-01,NBA,Mark Jackson,83,TOT
351,1999-00,NBA,Chris Gatling,85,TOT
352,1998-99,NBA,Shareef Abdur-Rahim,50,VAN
353,,,Ray Allen*,50,MIL
354,,,Shandon Anderson,50,UTA
355,,,Greg Anthony,50,POR
356,,,Darrell Armstrong,50,ORL
357,,,Dana Barros,50,BOS
358,,,Tony Battie,50,BOS
359,,,Mike Bibby,50,VAN
360,,,P.J. Brown,50,MIA
361,,,Kobe Bryant*,50,LAL
362,,,Jud Buechler,50,DET
363,,,Vince Carter,50,TOR
364,,,Calbert Cheaney,50,WAS
365,,,Doug Christie,50,TOR
366,,,Terry Cummings,50,GSW
367,,,Michael Curry,50,MIL
368,,,Erick Dampier,50,GSW
369,,,Kornél Dávid,50,CHI
370,,,Dale Davis,50,IND
371,,,Hubert Davis,50,DAL
372,,,Michael Dickerson,50,HOU
373,,,Vlade Divac*,50,SAC
374,,,Tim Duncan*,50,SAS
375,,,Howard Eisley,50,UTA
376,,,Sean Elliott,50,SAS
377,,,Danny Ferry,50,CLE
378,,,Michael Finley,50,DAL
379,,,Derek Fisher,50,LAL
380,,,Danny Fortson,50,DEN
381,,,Matt Geiger,50,PHI
382,,,Kendall Gill,50,NJN
383,,,Horace Grant,50,ORL
384,,,A.C. Green,50,DAL
385,,,Anfernee Hardaway,50,ORL
386,,,Matt Harpring,50,ORL
387,,,Hersey Hawkins,50,SEA
388,,,Cedric Henderson,50,CLE
389,,,Grant Hill*,50,DET
390,,,Allan Houston,50,NYK
391,,,Larry Hughes,50,PHI
392,,,Bobby Jackson,50,MIN
393,,,Avery Johnson,50,SAS
394,,,Ervin Johnson,50,MIL
395,,,Eddie Jones,50,TOT
396,,,Jason Kidd*,50,PHO
397,,,Grant Long,50,ATL
398,,,Danny Manning,50,PHO
399,,,Antonio McDyess,50,DEN
400,,,Aaron McKie,50,PHI
401,,,Reggie Miller*,50,IND
402,,,Sam Mitchell,50,MIN
403,,,Chris Mullin*,50,IND
404,,,Lamond Murray,50,LAC
405,,,Dikembe Mutombo*,50,ATL
406,,,Tyrone Nesby,50,LAC
407,,,Johnny Newman,50,CLE
408,,,Charles Oakley,50,TOR
409,,,Hakeem Olajuwon*,50,HOU
410,,,Gary Payton*,50,SEA
411,,,Chuck Person,50,CHH
412,,,Scottie Pippen*,50,HOU
413,,,Terry Porter,50,MIA
414,,,Vitaly Potapenko,50,TOT
415,,,Theo Ratliff,50,PHI
416,,,Mitch Richmond*,50,WAS
417,,,Clifford Robinson,50,PHO
418,,,Bryon Russell,50,UTA
419,,,Arvydas Sabonis*,50,POR
420,,,Detlef Schrempf,50,SEA
421,,,Dickey Simpkins,50,CHI
422,,,John Starks,50,GSW
423,,,John Stockton*,50,UTA
424,,,Damon Stoudamire,50,POR
425,,,Bob Sura,50,CLE
426,,,Kurt Thomas,50,NYK
427,,,Tim Thomas,50,TOT
428,,,Nick Van Exel,50,DEN
429,,,Charlie Ward,50,NYK
430,,,David Wesley,50,CHH
431,,,Alvin Williams,50,TOR
432,,,Corliss Williamson,50,SAC
433,,,Jason Williams,50,SAC
434,,,Jerome Williams,50,DET
435,1997-98,NBA,Shareef Abdur-Rahim,82,VAN
436,,,Ray Allen*,82,MIL
437,,,Shandon Anderson,82,UTA
438,,,Vin Baker,82,SEA
439,,,Travis Best,82,IND
440,,,Calbert Cheaney,82,WAS
441,,,Pete Chilcutt,82,VAN
442,,,Michael Curry,82,MIL
443,,,Erick Dampier,82,GSW
444,,,Antonio Davis,82,IND
445,,,Tim Duncan*,82,SAS
446,,,Howard Eisley,82,UTA
447,,,Michael Finley,82,DAL
448,,,Derek Fisher,82,LAL
449,,,Rick Fox,82,LAL
450,,,Kevin Garnett*,82,MIN
451,,,Dean Garrett,82,DEN
452,,,Armen Gilliam,82,MIL
453,,,Anthony Goldwire,82,DEN
454,,,A.C. Green,82,DAL
455,,,Ron Harper,82,CHI
456,,,Hersey Hawkins,82,SEA
457,,,Cedric Henderson,82,CLE
458,,,Allan Houston,82,NYK
459,,,Zydrunas Ilgauskas,82,CLE
460,,,Jaren Jackson,82,SAS
461,,,Mark Jackson,82,IND
462,,,Michael Jordan*,82,CHI
463,,,Jason Kidd*,82,PHO
464,,,George Lynch,82,VAN
465,,,Stephon Marbury,82,MIN
466,,,Darrick Martin,82,LAC
467,,,Walter McCarty,82,BOS
468,,,Chris Mullin*,82,IND
469,,,Eric Murdock,82,MIA
470,,,Tracy Murray,82,WAS
471,,,Dikembe Mutombo*,82,ATL
472,,,Bo Outlaw,82,ORL
473,,,Gary Payton*,82,SEA
474,,,Wesley Person,82,CLE
475,,,Terry Porter,82,MIN
476,,,Theo Ratliff,82,TOT
