Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11,3.0,2022-12-17,32-223,DAL,CLE,1,41.96666666666667,12.0,25.0,.480,4.0,13.0,.308,4,6.0,.667,0.0,5.0,5.0,7.0,0.0,1.0,2.0,2.0,32.0,22.8,+7,12.0,8.0,0.6666666666666666,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,12.0,31.0,0.0,21.2,45.09999999999999,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,L (-1),L (-1)
12,4.0,2022-12-19,32-225,DAL,MIN,0,23.98333333333333,3.0,9.0,.333,1.0,6.0,.167,7,7.0,1.000,0.0,2.0,2.0,3.0,0.0,0.0,0.0,4.0,14.0,10.0,-4,3.0,2.0,0.6666666666666666,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,3.0,50.0,0.0,7.1999999999999975,64.4,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,L (-10),L (-10)
13,5.0,2022-12-21,32-227,DAL,MIN,0,20.133333333333333,2.0,6.0,.333,0.0,1.0,.000,0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,1.2,+3,5.0,2.0,0.4,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,1.0,37.0,0.0,1.200000000000001,42.40000000000001,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,W (+5),W (+5)
14,,2022-12-23,32-229,DAL,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,35.0,0.0,0.0,48.70000000000001,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,W (+6),W (+6)
15,,2022-12-25,32-231,DAL,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,76.0,0.0,0.0,84.49999999999999,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,W (+9),W (+9)
16,6.0,2022-12-27,32-233,DAL,NYK,0,4.916666666666667,0.0,1.0,.000,0.0,1.0,.000,1,2.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1,0,0.0,0.0,,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,-2.0,47.0,0.0,-0.5,60.10000000000001,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,W (+5),W (+5)
17,7.0,2022-12-29,32-235,DAL,HOU,0,12.95,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.7,-7,1.0,0.0,0.0,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,2.0,49.0,0.0,2.7,63.29999999999998,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,W (+15),W (+15)
18,,2022-12-31,32-237,DAL,SAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,54.0,0.0,0.0,63.49999999999999,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,W (+1),W (+1)
19,8.0,2023-01-02,32-239,DAL,HOU,0,4.983333333333333,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0,1.0,1.0,1.0,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,2.0,60.0,0.0,3.0000000000000004,81.30000000000001,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,W (+5),W (+5)
20,9.0,2023-01-05,32-242,DAL,BOS,0,2.4166666666666665,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.3,-1,1.0,1.0,1.0,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,1.0,59.0,0.0,1.2999999999999998,78.59999999999997,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,L (-29),L (-29)
