Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-11,32-064,SAC,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,,78.0,4.333333333333333,0.0,94.60000000000002,5.255555555555556,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,W (+6),W (+6)
12.0,,2022-11-13,32-066,SAC,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,,83.0,4.611111111111111,0.0,94.5,5.25,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,W (+7),W (+7)
13.0,4.0,2022-11-15,32-068,SAC,BRK,0,7.716666666666667,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.4,-5,2.0,0.0,0.0,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,2.0,110.0,6.111111111111111,1.4,127.5,7.083333333333333,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,W (+32),W (+32)
14.0,5.0,2022-11-17,32-070,SAC,SAS,0,1.6166666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0.0,0.0,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,1.0,82.0,4.555555555555555,0.3,102.5,5.694444444444445,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,W (+18),W (+18)
15.0,,2022-11-20,32-073,SAC,DET,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,,82.0,4.555555555555555,0.0,110.10000000000002,6.116666666666668,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,W (+8),W (+8)
16.0,,2022-11-22,32-075,SAC,MEM,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,,63.0,3.5,0.0,75.2,4.177777777777778,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,W (+4),W (+4)
17.0,6.0,2022-11-23,32-076,SAC,ATL,0,2.1,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,0.0,60.0,3.333333333333333,0.0,68.19999999999999,3.788888888888888,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,L (-9),L (-9)
18.0,7.0,2022-11-25,32-078,SAC,BOS,0,4.5,1.0,2.0,.500,0.0,1.0,.000,0,1.0,.000,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,+7,1.0,1.0,1.0,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,1.0,43.0,2.388888888888889,2.0,55.29999999999998,3.072222222222221,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,L (-18),L (-18)
19.0,,2022-11-28,32-081,SAC,PHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,,81.0,4.5,0.0,95.5,5.305555555555555,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,L (-5),L (-5)
20.0,8.0,2022-11-30,32-083,SAC,IND,0,7.466666666666667,0.0,3.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.1,-9,2.0,0.0,0.0,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,-4.0,97.0,5.388888888888889,-3.1,105.4,5.855555555555556,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,W (+23),W (+23)
21.0,9.0,2022-12-03,32-086,SAC,LAC,0,6.933333333333334,1.0,3.0,.333,0.0,0.0,,1,2.0,.500,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.9,-2,3.0,1.0,0.3333333333333333,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,0.0,86.0,4.777777777777778,1.4999999999999998,97.89999999999998,5.438888888888887,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,,
22.0,,2022-12-04,32-087,SAC,CHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,,75.0,4.166666666666667,0.0,81.60000000000001,4.533333333333334,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,W (+27),W (+27)
23.0,10.0,2022-12-07,32-090,SAC,MIL,0,1.3,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+2,0.0,0.0,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,0.0,62.0,3.4444444444444446,0.0,77.19999999999997,4.288888888888888,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,W (+9),W (+9)
24.0,11.0,2022-12-09,32-092,SAC,CLE,0,15.833333333333334,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,4.0,3.0,0.0,1.0,3.0,3.0,6.6,-6,0.0,0.0,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,9.0,57.0,3.1666666666666665,6.6000000000000005,71.19999999999997,3.955555555555554,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,L (-13),L (-13)
25.0,12.0,2022-12-11,32-094,SAC,NYK,0,13.383333333333333,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,2.0,2.3,-19,1.0,1.0,1.0,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,3.0,29.0,1.6111111111111112,2.3,50.39999999999999,2.7999999999999994,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,W (+11),W (+11)
26.0,,2022-12-13,32-096,SAC,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,,52.0,2.888888888888889,0.0,62.09999999999999,3.45,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,L (-13),L (-13)
