Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Jay Scrubb,Shared Games with Jonathan Isaac,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Michael Carter-Williams,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Wendell Carter Jr.
23,23,20,2022-12-02,31-300,ORL,@,CLE,L (-11),0,21.25,2.0,7.0,.286,0.0,3.0,.000,0,0,,0,2,2,1,0,0,1,0,4,0.2,-4,4.0,2.0,0.5,24,37,26,17,27,41,15,20,0,0,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701
24,24,21,2022-12-03,31-301,ORL,@,TOR,L (-13),0,24.866666666666667,7.0,7.0,1.000,4.0,4.0,1.000,0,0,,0,1,1,0,2,0,0,1,18,17.8,+17,3.0,3.0,1.0,24,37,26,17,27,41,15,20,0,0,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701
25,25,22,2022-12-05,31-303,ORL,,MIL,L (-7),0,22.983333333333334,2.0,10.0,.200,1.0,4.0,.250,0,0,,1,3,4,2,0,0,1,0,5,0.8,-5,6.0,1.0,0.1666666666666666,24,37,26,17,27,41,15,20,0,0,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701
26,26,23,2022-12-07,31-305,ORL,,LAC,W (+5),0,11.066666666666666,0.0,3.0,.000,0.0,2.0,.000,0,0,,0,2,2,0,0,1,0,1,0,-1.2,+2,1.0,0.0,0.0,24,37,26,17,27,41,15,20,0,0,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701
27,27,24,2022-12-09,31-307,ORL,,TOR,W (+4),0,20.166666666666668,0.0,2.0,.000,0.0,2.0,.000,0,0,,0,0,0,2,0,1,2,4,0,-2.9,-14,0.0,0.0,,24,37,26,17,27,41,15,20,0,0,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701
28,28,25,2022-12-11,31-309,ORL,,TOR,W (+12),0,23.116666666666667,3.0,6.0,.500,2.0,3.0,.667,0,0,,0,1,1,0,1,0,0,1,8,5.9,+16,3.0,1.0,0.3333333333333333,24,37,26,17,27,41,15,20,0,0,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701
29,29,26,2022-12-14,31-312,ORL,,ATL,W (+11),0,24.316666666666666,4.0,9.0,.444,3.0,7.0,.429,0,0,,1,3,4,1,1,0,2,1,11,7.2,+9,2.0,1.0,0.5,24,37,26,17,27,41,15,20,0,0,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701
30,30,27,2022-12-16,31-314,ORL,@,BOS,W (+8),0,27.7,3.0,8.0,.375,1.0,5.0,.200,0,0,,0,5,5,2,1,0,1,0,7,5.5,+13,3.0,2.0,0.6666666666666666,24,37,26,17,27,41,15,20,0,0,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701
31,31,28,2022-12-18,31-316,ORL,@,BOS,W (+3),0,18.95,1.0,6.0,.167,0.0,3.0,.000,0,0,,0,1,1,2,0,0,1,1,2,-1.5,0,3.0,1.0,0.3333333333333333,24,37,26,17,27,41,15,20,0,0,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701
32,32,29,2022-12-19,31-317,ORL,@,ATL,L (-1),0,25.283333333333335,5.0,11.0,.455,2.0,7.0,.286,2,2,1.000,0,0,0,3,0,0,0,1,14,10.0,-15,4.0,3.0,0.75,24,37,26,17,27,41,15,20,0,0,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701
33,33,30,2022-12-21,31-319,ORL,@,HOU,W (+6),0,19.233333333333334,1.0,6.0,.167,0.0,4.0,.000,0,0,,0,1,1,1,1,0,0,1,2,-0.2,+10,2.0,1.0,0.5,24,37,26,17,27,41,15,20,0,0,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701
34,34,31,2022-12-23,31-321,ORL,,SAS,W (+20),0,6.566666666666666,1.0,1.0,1.000,0.0,0.0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,-8,1.0,1.0,1.0,24,37,26,17,27,41,15,20,0,0,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701
