Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Vit Krejci,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
28,28,8,2022-12-12,23-280,ATL,@,MEM,L (-25),0,12:00,1.0,7.0,.143,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.5,+1,5.0,1.0,0.2,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,-5.0,37.0,1.947368421052632,-2.5,61.3,3.2263157894736842
29,29,,2022-12-14,23-282,ATL,@,ORL,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,71.0,3.736842105263158,0.0,101.60000000000002,5.347368421052633
30,30,9,2022-12-16,23-284,ATL,@,CHO,W (+19),0,2:42,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-2,1.0,1.0,1.0,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,2.0,45.0,2.3684210526315788,2.0,81.2,4.273684210526316
31,31,,2022-12-19,23-287,ATL,,ORL,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,79.0,4.157894736842105,0.0,106.2,5.589473684210526
32,32,,2022-12-21,23-289,ATL,,CHI,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,68.0,3.5789473684210527,0.0,85.4,4.494736842105263
33,33,10,2022-12-23,23-291,ATL,,DET,W (+25),0,2:37,1.0,1.0,1.000,0.0,0.0,,2,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.3,0,1.0,1.0,1.0,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,0.0,101.0,5.315789473684211,1.5000000000000004,115.09999999999998,6.057894736842104
34,34,11,2022-12-27,23-295,ATL,@,IND,L (-15),0,4:15,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,+5,1.0,0.0,0.0,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,0.0,57.0,3.0,-0.3999999999999999,89.99999999999999,4.7368421052631575
35,35,,2022-12-28,23-296,ATL,,BRK,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,60.0,3.1578947368421053,0.0,87.59999999999998,4.610526315789473
36,36,,2022-12-30,23-298,ATL,,LAL,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,65.0,3.421052631578948,0.0,91.0,4.7894736842105265
37,37,,2023-01-02,23-301,ATL,@,GSW,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,97.0,5.105263157894737,0.0,130.60000000000002,6.873684210526317
38,38,,2023-01-04,23-303,ATL,@,SAC,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,68.0,3.5789473684210527,0.0,101.8,5.3578947368421055
39,39,,2023-01-06,23-305,ATL,@,LAL,L (-16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,60.0,3.1578947368421053,0.0,88.3,4.647368421052631
40,40,,2023-01-08,23-307,ATL,@,LAC,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,73.0,3.842105263157895,0.0,88.80000000000001,4.673684210526316
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-11,23-310,ATL,,MIL,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,66.0,3.473684210526316,0.0,91.29999999999998,4.805263157894736
43,42,,2023-01-13,23-312,ATL,@,IND,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,87.0,4.578947368421052,0.0,97.9,5.152631578947369
44,43,,2023-01-14,23-313,ATL,@,TOR,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,70.0,3.684210526315789,0.0,82.5,4.342105263157895
45,44,,2023-01-16,23-315,ATL,,MIA,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,79.0,4.157894736842105,0.0,106.29999999999998,5.594736842105262
46,45,,2023-01-18,23-317,ATL,@,DAL,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,90.0,4.7368421052631575,0.0,123.5,6.5
47,46,12,2023-01-20,23-319,ATL,,NYK,W (+15),0,1:19,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+1,0.0,0.0,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,0.0,96.0,5.052631578947368,0.0,133.9,7.0473684210526315
48,47,,2023-01-21,23-320,ATL,,CHO,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,89.0,4.684210526315789,0.0,106.8,5.621052631578947
49,48,,2023-01-23,23-322,ATL,@,CHI,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,68.0,3.5789473684210527,0.0,87.20000000000002,4.589473684210527
50,49,,2023-01-25,23-324,ATL,@,OKC,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,84.0,4.421052631578948,0.0,123.9,6.521052631578947
51,50,,2023-01-28,23-327,ATL,,LAC,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,93.0,4.894736842105263,0.0,121.3,6.38421052631579
52,51,,2023-01-30,23-329,ATL,@,POR,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,77.0,4.052631578947368,0.0,107.6,5.663157894736842
53,52,,2023-02-01,23-331,ATL,@,PHO,W (+32),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,103.0,5.421052631578948,0.0,114.6,6.031578947368421
54,53,,2023-02-03,23-333,ATL,@,UTA,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,94.0,4.947368421052632,0.0,119.1,6.268421052631578
55,54,,2023-02-04,23-334,ATL,@,DEN,L (-20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,78.0,4.105263157894737,0.0,105.29999999999998,5.542105263157894
56,55,,2023-02-07,23-337,ATL,@,NOP,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,75.0,3.947368421052632,0.0,94.70000000000002,4.98421052631579
57,56,,2023-02-09,23-339,ATL,,PHO,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,76.0,4.0,0.0,83.79999999999998,4.410526315789473
