Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with AJ Griffin,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,CO_EFF,EFF,CO_HGS,HGS,Total Shared Players,avg_EFF,avg_HGS
10,11,7,2022-11-09,19-076,ATL,,UTA,L (-6),0,10:29,1.0,5.0,.200,1.0,4.0,.250,0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.8,-18,1.0,0.0,0.0,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,1.0,85.0,0.7999999999999993,106.09999999999998,20,4.25,5.304999999999999
11,12,8,2022-11-10,19-077,ATL,,PHI,W (+9),0,14:19,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,1.8,+6,1.0,0.0,0.0,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,3.0,52.0,1.8000000000000007,69.0,20,2.6,3.45
12,13,9,2022-11-12,19-079,ATL,@,PHI,L (-12),0,12:00,3.0,7.0,.429,2.0,2.0,1.000,1,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,4.6,+3,5.0,1.0,0.2,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,1.0,39.0,4.2,65.8,20,1.95,3.29
13,14,10,2022-11-14,19-081,ATL,@,MIL,W (+15),0,17:06,3.0,6.0,.500,1.0,2.0,.500,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,7.0,3.3,-1,4.0,2.0,0.5,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,2.0,67.0,3.299999999999999,89.29999999999997,20,3.35,4.464999999999998
14,15,11,2022-11-16,19-083,ATL,,BOS,L (-25),0,20:51,3.0,9.0,.333,0.0,4.0,.000,0,0.0,,3.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,6.0,2.3,-21,5.0,3.0,0.6,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,0.0,55.0,2.3,73.2,20,2.75,3.66
15,16,12,2022-11-19,19-086,ATL,,TOR,W (+2),0,30:00,8.0,15.0,.533,1.0,6.0,.167,0,0.0,,3.0,2.0,5.0,1.0,1.0,1.0,0.0,2.0,17.0,14.0,-6,9.0,7.0,0.7777777777777778,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,10.0,79.0,13.999999999999996,95.0,20,3.95,4.75
16,17,13,2022-11-21,19-088,ATL,@,CLE,L (-12),1,35:55,7.0,11.0,.636,3.0,6.0,.500,0,0.0,,1.0,1.0,2.0,1.0,3.0,0.0,2.0,3.0,17.0,13.6,-8,5.0,4.0,0.8,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,10.0,57.0,13.6,71.49999999999999,20,2.85,3.5749999999999993
17,18,14,2022-11-23,19-090,ATL,,SAC,W (+9),0,24:06,4.0,8.0,.500,2.0,4.0,.500,2,2.0,1.000,1.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,12.0,10.7,+3,4.0,2.0,0.5,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,7.0,87.0,9.899999999999997,104.89999999999998,20,4.35,5.244999999999999
18,19,15,2022-11-25,19-092,ATL,@,HOU,L (-6),0,23:58,3.0,5.0,.600,3.0,4.0,.750,2,2.0,1.000,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,11.0,9.9,-2,1.0,0.0,0.0,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,7.0,53.0,9.099999999999998,82.5,20,2.65,4.125
19,20,16,2022-11-27,19-094,ATL,,MIA,L (-8),0,21:21,3.0,13.0,.231,2.0,9.0,.222,0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,8.0,1.3,-3,4.0,1.0,0.25,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,-2.0,54.0,1.2999999999999994,68.2,20,2.7,3.41
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,,0.0,0.0,0.0,20,0.0,0.0
21,21,17,2022-11-28,19-095,ATL,@,PHI,L (-3),0,15:40,1.0,6.0,.167,1.0,6.0,.167,0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,-0.6,-6,0.0,0.0,,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,-1.0,63.0,-0.5999999999999999,66.29999999999998,20,3.15,3.314999999999999
22,22,18,2022-11-30,19-097,ATL,@,ORL,W (+17),0,23:07,6.0,12.0,.500,3.0,6.0,.500,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15.0,11.0,+7,6.0,3.0,0.5,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,6.0,108.0,11.0,127.0,20,5.4,6.35
23,23,19,2022-12-02,19-099,ATL,,DEN,W (+8),1,34:40,11.0,16.0,.688,2.0,5.0,.400,0,0.0,,1.0,2.0,3.0,1.0,3.0,0.0,2.0,0.0,24.0,20.2,-5,11.0,9.0,0.8181818181818182,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,13.0,89.0,20.200000000000006,106.5,20,4.45,5.325
24,24,20,2022-12-05,19-102,ATL,,OKC,L (-7),1,30:19,4.0,15.0,.267,3.0,9.0,.333,0,0.0,,1.0,3.0,4.0,2.0,3.0,0.0,1.0,2.0,11.0,6.3,+12,6.0,1.0,0.1666666666666666,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,4.0,66.0,6.299999999999998,85.79999999999998,20,3.3,4.289999999999999
25,25,21,2022-12-07,19-104,ATL,@,NYK,L (-24),1,28:59,3.0,13.0,.231,1.0,8.0,.125,2,2.0,1.000,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,9.0,2.0,-10,5.0,2.0,0.4,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,-3.0,46.0,1.200000000000001,64.0,20,2.3,3.2
26,26,22,2022-12-09,19-106,ATL,@,BRK,L (-4),1,20:01,4.0,11.0,.364,1.0,5.0,.200,1,2.0,.500,1.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,10.0,3.9,-13,6.0,3.0,0.5,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,-1.0,65.0,3.500000000000001,102.8,20,3.25,5.14
27,27,23,2022-12-11,19-108,ATL,,CHI,W (+1),1,40:11,7.0,17.0,.412,2.0,11.0,.182,1,1.0,1.000,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,17.0,8.8,+6,6.0,5.0,0.8333333333333334,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,3.0,80.0,8.4,111.8,20,4.0,5.59
