Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Shared Games with John Collins,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-09,25-047,ATL,,UTA,L (-6),1,28:16,6.0,8.0,.750,1.0,1.0,1.000,2,2.0,1.000,1.0,3.0,4.0,3.0,0.0,0.0,0.0,2.0,15.0,14.7,+19,7.0,5.0,0.7142857142857143,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,12.0,85.0,4.25,13.899999999999991,106.09999999999998,5.304999999999999
11,12,12,2022-11-10,25-048,ATL,,PHI,W (+9),1,25:44,3.0,11.0,.273,0.0,3.0,.000,5,5.0,1.000,0.0,4.0,4.0,2.0,1.0,0.0,2.0,5.0,11.0,4.1,0,8.0,3.0,0.375,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,0.0,52.0,2.6,2.1,68.99999999999999,3.4499999999999993
12,13,13,2022-11-12,25-050,ATL,@,PHI,L (-12),1,33:29,2.0,6.0,.333,0.0,3.0,.000,2,2.0,1.000,1.0,5.0,6.0,0.0,0.0,1.0,0.0,2.0,6.0,4.7,-22,3.0,2.0,0.6666666666666666,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,5.0,39.0,1.95,3.9,65.8,3.29
13,14,14,2022-11-14,25-052,ATL,@,MIL,W (+15),1,33:28,6.0,15.0,.400,1.0,5.0,.200,3,3.0,1.000,4.0,5.0,9.0,0.0,1.0,1.0,1.0,4.0,16.0,11.3,+13,10.0,5.0,0.5,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,8.0,67.0,3.35,10.1,89.29999999999998,4.464999999999999
14,15,15,2022-11-16,25-054,ATL,,BOS,L (-25),1,31:59,6.0,12.0,.500,0.0,3.0,.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,12.0,7.0,-17,9.0,6.0,0.6666666666666666,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,4.0,55.0,2.75,7.0,73.2,3.66
15,16,16,2022-11-19,25-057,ATL,,TOR,W (+2),1,34:00,2.0,4.0,.500,1.0,3.0,.333,4,5.0,.800,0.0,11.0,11.0,4.0,1.0,0.0,4.0,6.0,9.0,7.3,+10,1.0,1.0,1.0,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,12.0,79.0,3.95,5.700000000000001,95.0,4.75
16,17,17,2022-11-21,25-059,ATL,@,CLE,L (-12),1,33:55,5.0,9.0,.556,3.0,5.0,.600,3,3.0,1.000,1.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,16.0,12.5,-17,4.0,2.0,0.5,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,8.0,57.0,2.85,11.299999999999995,71.49999999999999,3.5749999999999993
17,18,18,2022-11-23,25-061,ATL,,SAC,W (+9),1,31:51,3.0,12.0,.250,0.0,7.0,.000,1,1.0,1.000,0.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,7.0,-0.8,+3,5.0,3.0,0.6,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,-2.0,87.0,4.35,-1.1999999999999993,104.89999999999998,5.244999999999999
18,19,19,2022-11-25,25-063,ATL,@,HOU,L (-6),1,33:44,2.0,7.0,.286,0.0,4.0,.000,4,5.0,.800,0.0,5.0,5.0,1.0,2.0,2.0,0.0,2.0,8.0,8.3,-4,3.0,2.0,0.6666666666666666,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,6.0,53.0,2.65,6.7,82.50000000000001,4.125000000000001
19,20,20,2022-11-27,25-065,ATL,,MIA,L (-8),1,36:34,11.0,17.0,.647,1.0,4.0,.250,0,0.0,,1.0,13.0,14.0,2.0,0.0,1.0,0.0,3.0,23.0,21.0,-4,13.0,10.0,0.7692307692307693,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,23.0,54.0,2.7,21.000000000000004,68.2,3.41
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-11-28,25-066,ATL,@,PHI,L (-3),1,32:23,4.0,8.0,.500,1.0,4.0,.250,4,8.0,.500,0.0,8.0,8.0,3.0,2.0,4.0,0.0,4.0,13.0,15.1,+6,4.0,3.0,0.75,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,14.0,63.0,3.15,13.500000000000004,66.3,3.315
22,22,22,2022-11-30,25-068,ATL,@,ORL,W (+17),1,16:32,2.0,6.0,.333,0.0,2.0,.000,2,3.0,.667,1.0,6.0,7.0,0.0,2.0,1.0,0.0,1.0,6.0,7.0,+21,4.0,2.0,0.5,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,7.0,108.0,5.4,6.2,127.0,6.35
23,23,,2022-12-02,25-070,ATL,,DEN,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,,89.0,4.45,0.0,106.5,5.325
24,24,,2022-12-05,25-073,ATL,,OKC,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,,66.0,3.3,0.0,85.79999999999998,4.289999999999999
25,25,,2022-12-07,25-075,ATL,@,NYK,L (-24),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,,46.0,2.3,0.0,64.0,3.2
26,26,,2022-12-09,25-077,ATL,@,BRK,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,,65.0,3.25,0.0,102.8,5.14
27,27,,2022-12-11,25-079,ATL,,CHI,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,,80.0,4.0,0.0,111.8,5.59
